self [us] ; cumulative ; imported package
     2565 ;       2565 ;   _io
      860 ;        860 ;   marshal
     4338 ;       4338 ;   posix
     8295 ;      16057 ; _frozen_importlib_external
     1561 ;       1561 ;   time
     2823 ;       4383 ; zipimport
     2661 ;       2661 ;     _codecs
     6972 ;       9632 ;   codecs
     6492 ;       6492 ;   encodings.aliases
     9717 ;      25840 ; encodings
     3678 ;       3678 ; encodings.utf_8
     1392 ;       1392 ; _signal
      863 ;        863 ;     _abc
     4658 ;       5520 ;   abc
     5066 ;      10585 ; io
      998 ;        998 ;       _stat
     3921 ;       4918 ;     stat
    16168 ;      16168 ;     _collections_abc
     3087 ;       3087 ;       genericpath
     3974 ;       7060 ;     posixpath
    12754 ;      40899 ;   os
     3433 ;       3433 ;   _sitebuiltins
    11315 ;      11315 ;   _distutils_hack
     5044 ;       5044 ;   types
     4550 ;       4550 ;       warnings
     3773 ;       8322 ;     importlib
     3360 ;       3360 ;     importlib._abc
     2178 ;       2178 ;         itertools
     3064 ;       3064 ;         keyword
    13324 ;      13324 ;           _operator
     5294 ;      18617 ;         operator
     3625 ;       3625 ;         reprlib
     1573 ;       1573 ;         _collections
    14114 ;      43168 ;       collections
     2928 ;       2928 ;         _functools
     9080 ;      12007 ;       functools
     9747 ;      64921 ;     contextlib
     6276 ;      82878 ;   importlib.util
     3615 ;       3615 ;   importlib.machinery
     2886 ;       2886 ;     apport_python_hook
     3100 ;       5986 ;   sitecustomize
     1893 ;       1893 ;   usercustomize
    29261 ;     184319 ; site
     3386 ;       3386 ;           shepherd_core.data_models.base
     1499 ;       1499 ;             _struct
     3256 ;       4755 ;           struct
     1428 ;       1428 ;             math
     3008 ;       3008 ;             _datetime
    14951 ;      19387 ;           datetime
     3971 ;       3971 ;             collections.abc
    14890 ;      14890 ;               enum
     1277 ;       1277 ;                 _sre
     8516 ;       8516 ;                   sre_constants
     6543 ;      15059 ;                 sre_parse
     6659 ;      22993 ;               sre_compile
     1563 ;       1563 ;               _locale
     3535 ;       3535 ;               copyreg
    11416 ;      54396 ;             re
    33152 ;      91517 ;           typing
     5805 ;       5805 ;             numpy._globals
     3052 ;       3052 ;             numpy.__config__
     3675 ;       3675 ;                     _json
     9837 ;      13512 ;                   json.scanner
    10160 ;      23671 ;                 json.decoder
     9185 ;       9185 ;                 json.encoder
     4705 ;      37560 ;               json
     3161 ;      40721 ;             numpy._version
     2575 ;       2575 ;             numpy._distributor_init
     3081 ;       3081 ;               numpy.version
    27270 ;      27270 ;                   textwrap
    20105 ;      20105 ;                   numpy.core._multiarray_umath
     3946 ;       3946 ;                       numpy.compat._inspect
     3922 ;       3922 ;                           fnmatch
     2579 ;       2579 ;                             _winapi
     2069 ;       2069 ;                             nt
     2243 ;       2243 ;                             nt
     2293 ;       2293 ;                             nt
