Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Projects\shepherd_v2\Project Outputs for shepherd_v2\Pick Place\Pick Place for shepherd_pcb_v2.2.csv

========================================================================================================================
File Design Information:

Date:       27.06.21
Time:       23:16
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Manufacturer PN","Value"
"U30","74HC4066","TopLayer","PQFN50P250X300X100_HS-15N","70,8500","45,6000","0","74HC4066BQ,115",""
"U29","NLAS4684","TopLayer","PSON50P300X100_HS-11N","74,3000","18,2000","0","NLAS4684MNR2G",""
"U28","NLAS4684","TopLayer","PSON50P300X100_HS-11N","74,3000","21,9000","0","NLAS4684MNR2G",""
"U27","NLAS4684","TopLayer","PSON50P300X100_HS-11N","74,3000","10,7000","0","NLAS4684MNR2G",""
"U26","NLAS4684","TopLayer","PSON50P300X100_HS-11N","74,3000","25,7000","0","NLAS4684MNR2G",""
"U25","NLAS4684","TopLayer","PSON50P300X100_HS-11N","70,7000","40,2000","0","NLAS4684MNR2G",""
"U24","NLAS4684","TopLayer","PSON50P300X100_HS-11N","74,3000","14,5000","0","NLAS4684MNR2G",""
"U23","NLAS4684","TopLayer","PSON50P300X100_HS-11N","70,7000","32,6000","0","NLAS4684MNR2G",""
"U22","LT3487","TopLayer","PSON50P300X100_HS-11N","35,1000","14,2000","0","LT3487EDD#TRPBF",""
"U21","LP2989-3.3","TopLayer","TSOP65P490X110-8N","39,6000","21,3000","0","LP2989IMM-3.3/NOPB",""
"U20","MP3221","TopLayer","SOT95P280X100-6N","52,8000","11,7000","0","MP3221GJ-Z",""
"U19","LP2989-5.0","TopLayer","TSOP65P490X110-8N","52,2000","19,9000","0","LP2989AIMM-5.0/NOPB",""
"U18","TPL5010","TopLayer","SOT95P280X100-6N","24,0000","22,3000","270","TPL5010DDCR",""
"U17","CAT24C256","TopLayer","PSON50P300X55_HS-9N","31,1000","22,8000","0","CAT24C256HU4IGT3",""
"U16","OPA388","TopLayer","SOT95P280X145-5N","68,5000","24,7000","180","OPA388IDBVR",""
"U15","HCT2G04","TopLayer","SOT65P210X110-6N","77,1955","30,7974","90","74HC2G04GW,125",""
"U14","TC7WH08FK","TopLayer","TSSOP50P310X80-8N","77,4000","40,8000","270","TC7WH08FK,LJ(CT",""
"U13","NLAS4684","TopLayer","PSON50P300X100_HS-11N","70,7000","36,4000","0","NLAS4684MNR2G",""
"U12","LSF0108","TopLayer","QFN50P250X450X100_HS-21N","63,8000","10,2000","0","LSF0108BQX",""
"U11","LSF0108","TopLayer","QFN50P250X450X100_HS-21N","63,8000","18,3000","0","LSF0108BQX",""
"U10","OPA189","TopLayer","SOT95P280X145-5N","31,1000","35,3000","180","OPA189IDBVR",""
"U9","ADS8691","TopLayer","TSOP65P640X120-16N","39,1000","30,6000","0","ADS8691IPWR",""
"U8","DAC8562","TopLayer","PSON50P300X80_HS-11N","39,4000","35,3000","0","DAC8562SDSCR",""
"U7","AD8421B","TopLayer","TSOP65P490X110-8N","29,9000","30,5000","90","AD8421BRMZ",""
"U6","ADS8691","TopLayer","TSOP65P640X120-16N","39,9000","40,9000","0","ADS8691IPWR",""
"U5","OPA2388","TopLayer","TSOP65P490X110-8N","30,1000","40,0000","180","OPA2388IDGKR",""
"U4","ADS8691","TopLayer","TSOP65P640X120-16N","54,6000","30,0000","180","ADS8691IPWR",""
"U3","AD8421B","TopLayer","TSOP65P490X110-8N","63,0000","35,3000","270","AD8421BRMZ",""
"U2","DAC8562","TopLayer","PSON50P300X80_HS-11N","49,9000","39,8000","270","DAC8562SDSCR",""
"U1","OPA2388","TopLayer","TSOP65P490X110-8N","56,0000","40,4000","180","OPA2388IDGKR",""
"T3","BSH105","TopLayer","SOT95P230X110-3N","21,4000","14,1000","270","BSH105,215",""
"T2","BSH105","TopLayer","SOT95P230X110-3N","19,2000","17,8000","270","BSH105,215",""
"T1","BSH105","TopLayer","SOT95P230X110-3N","23,5000","18,7000","270","BSH105,215",""
"R123","R_0402_1k","TopLayer","RESC1005X04","66,6000","11,9000","0","ERJ-2GEJ102X","1k"
"R122","R_0402_1k","TopLayer","RESC1005X04","66,6000","7,9000","0","ERJ-2GEJ102X","1k"
"R121","R_0402_1k","TopLayer","RESC1005X04","66,6000","8,9000","0","ERJ-2GEJ102X","1k"
"R120","R_0402_1k","TopLayer","RESC1005X04","66,6000","9,9000","0","ERJ-2GEJ102X","1k"
"R119","R_0402_1k","TopLayer","RESC1005X04","66,6000","10,9000","0","ERJ-2GEJ102X","1k"
"R118","R_0402_1k","TopLayer","RESC1005X04","66,6000","15,5000","0","ERJ-2GEJ102X","1k"
"R117","R_0402_1k","TopLayer","RESC1005X04","66,6000","16,5000","0","ERJ-2GEJ102X","1k"
"R116","R_0402_1k","TopLayer","RESC1005X04","66,6000","17,5000","0","ERJ-2GEJ102X","1k"
"R115","R_0402_1k","TopLayer","RESC1005X04","66,6000","18,5000","0","ERJ-2GEJ102X","1k"
"R114","R_0402_1k","TopLayer","RESC1005X04","66,6000","19,5000","0","ERJ-2GEJ102X","1k"
"R113","R_0402_1k","TopLayer","RESC1005X04","75,6000","33,3000","270","ERJ-2GEJ102X","1k"
"R112","R_0402_1k","TopLayer","RESC1005X04","76,6000","33,3000","270","ERJ-2GEJ102X","1k"
"R111","R_0402_100k_1%","TopLayer","RESC1005X04","38,1000","15,8000","180","ERJ-2RKF1003X","100k"
"R110","R_0402_240k_1%","TopLayer","RESC1005X04","38,1000","14,8000","0","ERJ-2RKF2403X","240k"
"R109","R_0402_470R","TopLayer","RESC1005X04","39,7000","15,3000","90","ERJ-2GEJ471X","470R"
"R108","R_0402_240k_1%","TopLayer","RESC1005X04","39,5000","12,8000","270","ERJ-2RKF2403X","240k"
"R107","R_0402_10k","TopLayer","RESC1005X04","19,3000","11,5000","180","ERJ-2GEJ103X","10k"
"R106","R_0402_470R","TopLayer","RESC1005X04","31,6000","20,3000","0","ERJ-2GEJ471X","470R"
