voltage_set_V;current_meas_mA;open_circuit_mA
-5;-8,70E-08;-8,61E-08
-4,9;-6,63E-08;-7,13E-08
-4,8;-6,18E-08;-6,16E-08
-4,7;-5,43E-08;-5,22E-08
-4,6;-4,48E-08;-4,94E-08
-4,5;-4,72E-08;-4,83E-08
-4,4;-4,39E-08;-4,21E-08
-4,3;-3,45E-08;-3,94E-08
-4,2;-3,63E-08;-3,86E-08
-4,1;-3,88E-08;-3,71E-08
-4;-3,05E-08;-3,32E-08
-3,9;-2,75E-08;-3,09E-08
-3,8;-3,29E-08;-3,16E-08
-3,7;-2,90E-08;-3,11E-08
-3,6;-2,26E-08;-2,45E-08
-3,5;-2,58E-08;-2,46E-08
-3,4;-2,65E-08;-2,65E-08
-3,3;-1,92E-08;-2,25E-08
-3,2;-1,85E-08;-1,87E-08
-3,1;-2,32E-08;-2,06E-08
-3;-1,92E-08;-1,96E-08
-2,9;-1,15E-08;-1,60E-08
-2,8;-1,62E-08;-1,41E-08
-2,7;-1,55E-08;-1,47E-08
-2,6;-7,56E-09;-1,29E-08
-2,5;-1,10E-08;-1,00E-08
-2,4;-1,27E-08;-9,13E-09
-2,3;-3,72E-09;-8,58E-09
-2,2;-3,42E-09;-6,15E-09
-2,1;-1,00E-08;-3,74E-09
-2;-2,50E-10;-4,16E-09
-1,9;-2,58E-08;-3,70E-09
-1,8;6,28E-09;1,79E-10
-1,7;5,35E-09;2,01E-09
-1,6;1,05E-08;1,30E-09
-1,5;-7,15E-11;2,22E-09
-1,4;1,93E-09;5,66E-09
-1,3;1,37E-08;7,27E-09
-1,2;5,46E-09;4,45E-09
-1,1;3,55E-09;7,34E-09
-1;1,79E-08;1,30E-08
-0,9;1,39E-08;1,13E-08
-0,8;6,97E-09;1,00E-08
-0,7;2,09E-08;1,66E-08
-0,6;1,58E-08;1,69E-08
-0,5;1,05E-08;1,56E-08
-0,4;2,36E-08;1,73E-08
-0,3;2,50E-08;2,20E-08
-0,2;1,43E-08;2,15E-08
-0,1;2,60E-08;2,15E-08
-1,78E-14;3,32E-08;2,45E-08
0,1;1,73E-08;2,67E-08
0,2;2,53E-08;2,67E-08
0,3;3,89E-08;2,79E-08
0,4;2,73E-08;3,10E-08
0,5;2,65E-08;3,13E-08
0,6;4,26E-08;3,27E-08
0,7;3,00E-08;3,32E-08
0,8;2,86E-08;3,45E-08
0,9;4,31E-08;3,66E-08
1;4,06E-08;3,81E-08
1,1;3,29E-08;3,96E-08
1,2;4,37E-08;4,13E-08
1,3;4,71E-08;4,17E-08
1,4;3,94E-08;4,39E-08
1,5;4,67E-08;4,58E-08
1,6;5,02E-08;4,58E-08
1,7;4,44E-08;4,74E-08
1,8;4,81E-08;4,93E-08
1,9;5,46E-08;5,07E-08
2;5,06E-08;5,13E-08
2,1;5,00E-08;5,34E-08
2,2;5,72E-08;5,56E-08
2,3;5,94E-08;5,51E-08
2,4;5,37E-08;5,72E-08
2,5;5,92E-08;5,99E-08
2,6;6,43E-08;5,98E-08
2,7;5,95E-08;5,93E-08
2,8;5,95E-08;6,27E-08
2,9;6,90E-08;6,51E-08
3;6,69E-08;6,61E-08
3,1;6,31E-08;6,60E-08
3,2;7,02E-08;6,67E-08
3,3;7,54E-08;7,10E-08
3,4;6,87E-08;7,38E-08
3,5;7,03E-08;7,08E-08
3,6;7,90E-08;7,27E-08
3,7;7,61E-08;7,82E-08
3,8;7,25E-08;7,41E-08
3,9;7,85E-08;7,47E-08
4;8,50E-08;8,28E-08
4,1;7,94E-08;8,24E-08
4,2;8,05E-08;8,13E-08
4,3;8,70E-08;8,08E-08
4,4;8,85E-08;8,99E-08
4,5;8,25E-08;8,69E-08
4,6;8,70E-08;8,41E-08
4,7;9,28E-08;8,96E-08
4,8;9,14E-08;9,28E-08
4,9;8,96E-08;8,99E-08
5;9,54E-08;9,22E-08
