voltage_set_V;v_hrv_with_DAC_5V_mA;v_sense_mA;both lines mA;both lines w/o OPA189-IN (R20 removed) mA;;;;;
-5;-0,000742835;;;;;;;;Current Leakage of Harvester-Pins (mA)
-4,9;-0,000740564;;;;;;;;
-4,8;-0,000738415;;;;;;;;
-4,7;-0,000736489;;;;;;;;
-4,6;-0,000734645;;;;;;;;
-4,5;-0,000732876;;;;;;;;
-4,4;-0,000731202;;;;;;;;
-4,3;-0,0007296;;;;;;;;
-4,2;-0,000728023;;;;;;;;
-4,1;-0,000726427;;;;;;;;
-4;-0,000724839;;;;;;;;
-3,9;-0,000723365;;;;;;;;
-3,8;-0,000721926;;;;;;;;
-3,7;-0,000720534;;;;;;;;
-3,6;-0,00071917;;;;;;;;
-3,5;-0,000717835;;;;;;;;
-3,4;-0,000716555;;;;;;;;
-3,3;-0,000715254;;;;;;;;
-3,2;-0,000713976;;;;;;;;
-3,1;-0,000712698;;;;;;;;
-3;-0,000711454;;;;;;;;
-2,9;-0,000710265;;;;;;;;
-2,8;-0,000709084;;;;;;;;
-2,7;-0,000707914;;;;;;;;
-2,6;-0,000706698;;;;;;;;
-2,5;-0,000705696;;;;;;;;
-2,4;-0,000704649;;;;;;;;
-2,3;-0,000703566;;;;;;;;
-2,2;-0,000702523;;;;;;;;
-2,1;-0,000701571;;;;;;;;
-2;-0,000700657;;;;;;;;
-1,9;-0,000699836;;;;;;;;
-1,8;-0,000699029;;;;;;;;
-1,7;-0,000698245;;;;;;;;
-1,6;-0,000697494;;;;;;;;
-1,5;-0,000696726;;;;;;;;
-1,4;-0,000695949;;;;;;;;
-1,3;-0,00069526;;;;;;;;
-1,2;-0,000694654;;;;;;;;
-1,1;-0,000693946;;;;;;;;
-1;-0,000693319;;;;;;;;
-0,9;-0,000692777;;;;;;;;
-0,8;-0,000692091;;;;;;;;
-0,7;-0,000691589;;;;;;;;
-0,6;-0,000690875;;;;;;;;
-0,5;-0,000690277;;;;;;;;
-0,4;-0,000689737;;;;;;;;
-0,3;-0,000689256;-0,00100008;-0,00100007;-0,00100008;;;;;
-0,2;-0,000688626;-0,000280537;-0,000964276;-0,000283393;;;;;
-0,1;-0,000688126;-0,000138507;-0,000821998;-0,000145301;;;;;
0,00E+00;-0,000687755;-7,98E-06;-0,000691275;-1,46E-05;;;;;
0,1;-0,000687123;1,74E-07;-0,000682723;-6,33E-06;;;;;
0,2;-0,00068662;1,62E-07;-0,000682354;-6,23E-06;;;;;
0,3;-0,000686135;1,55E-07;-0,000681956;-6,11E-06;;;;;
0,4;-0,000685617;1,34E-07;-0,000681583;-6,01E-06;;;;;
0,5;-0,000685001;1,24E-07;-0,000681179;-5,89E-06;;;;;
0,6;-0,000684594;1,17E-07;-0,000680755;-5,77E-06;;;;;
0,7;-0,00068423;1,33E-07;-0,000680367;-5,64E-06;;;;;
0,8;-0,000683801;1,20E-07;-0,000679956;-5,52E-06;;;;;
0,9;-0,000683351;1,13E-07;-0,000679585;-5,39E-06;;;;;
1;-0,000682894;1,18E-07;-0,000679235;-5,25E-06;;;;;
1,1;-0,000682427;1,28E-07;-0,000678809;-5,11E-06;;;;;
1,2;-0,000682033;1,19E-07;-0,000678563;-4,97E-06;;;;;
1,3;-0,000681658;1,15E-07;-0,000678257;-4,82E-06;;;;;
1,4;-0,000681098;1,15E-07;-0,000677885;-4,66E-06;;;;;
1,5;-0,000680644;1,32E-07;-0,00067758;-4,51E-06;;;;;
1,6;-0,000680199;1,24E-07;-0,000677175;-4,34E-06;;;;;
1,7;-0,000679823;1,16E-07;-0,000676851;-4,17E-06;;;;;
1,8;-0,000679437;1,37E-07;-0,000676495;-4,01E-06;;;;;
1,9;-0,000679131;1,33E-07;-0,00067622;-3,84E-06;;;;;
2;-0,000678782;1,33E-07;-0,000675829;-3,65E-06;;;;;
2,1;-0,000678297;1,28E-07;-0,000675484;-3,45E-06;;;;;
2,2;-0,000677904;1,42E-07;-0,000675197;-3,26E-06;;;;;
2,3;-0,000677521;1,34E-07;-0,00067488;-3,06E-06;;;;;
2,4;-0,000677254;1,29E-07;-0,000674542;-2,83E-06;;;;;
2,5;-0,000676947;1,35E-07;-0,000674272;-2,62E-06;;;;;
2,6;-0,000676547;1,34E-07;-0,000673938;-2,38E-06;;;;;
2,7;-0,000676014;1,43E-07;-0,000673438;-2,01E-06;;;;;
