voltage_set_V;PMEG10010ELRX V1 [mA];PMEG10010ELRX V2 [mA];RB168MM-40TR v1 [mA];RB168MM-40TR v2 [mA];SMMSD701T1G V1 [mA];SMMSD701T1G V2 [mA];PMEG10010ELRX V3 [mA];RB168MM-40TR v3 [mA];SMMSD701T1G V3 [mA]
-5;-2,60E-06;-2,05E-06;-7,33E-06;-7,04E-06;-9,23E-07;-8,37E-07;-2,14E-06;-6,90E-06;-1,46E-06
-4,9;-2,54E-06;-2,10E-06;-7,26E-06;-7,00E-06;-1,51E-06;-1,42E-06;-2,08E-06;-6,78E-06;-1,39E-06
-4,8;-2,50E-06;-2,06E-06;-7,17E-06;-6,91E-06;-1,48E-06;-1,39E-06;-2,04E-06;-6,71E-06;-1,36E-06
-4,7;-2,46E-06;-2,03E-06;-7,10E-06;-6,83E-06;-1,45E-06;-1,36E-06;-2,00E-06;-6,64E-06;-1,34E-06
-4,6;-2,45E-06;-2,01E-06;-7,03E-06;-6,76E-06;-1,44E-06;-1,34E-06;-1,98E-06;-6,57E-06;-1,32E-06
-4,5;-2,42E-06;-1,99E-06;-6,96E-06;-6,70E-06;-1,43E-06;-1,33E-06;-1,97E-06;-6,50E-06;-1,31E-06
-4,4;-2,40E-06;-1,97E-06;-6,89E-06;-6,64E-06;-1,41E-06;-1,32E-06;-1,95E-06;-6,43E-06;-1,30E-06
-4,3;-2,39E-06;-1,96E-06;-6,83E-06;-6,58E-06;-1,40E-06;-1,31E-06;-1,93E-06;-6,38E-06;-1,28E-06
-4,2;-2,37E-06;-1,94E-06;-6,77E-06;-6,51E-06;-1,39E-06;-1,30E-06;-1,91E-06;-6,31E-06;-1,27E-06
-4,1;-2,35E-06;-1,93E-06;-6,70E-06;-6,45E-06;-1,38E-06;-1,29E-06;-1,90E-06;-6,32E-06;-1,27E-06
-4;-2,33E-06;-1,90E-06;-6,63E-06;-6,39E-06;-1,37E-06;-1,28E-06;-1,89E-06;-6,20E-06;-1,26E-06
-3,9;-2,31E-06;-1,89E-06;-6,56E-06;-6,33E-06;-1,36E-06;-1,27E-06;-1,87E-06;-6,13E-06;-1,25E-06
-3,8;-2,30E-06;-1,88E-06;-6,50E-06;-6,26E-06;-1,35E-06;-1,26E-06;-1,85E-06;-6,07E-06;-1,24E-06
-3,7;-2,28E-06;-1,86E-06;-6,43E-06;-6,19E-06;-1,34E-06;-1,25E-06;-1,84E-06;-6,01E-06;-1,23E-06
-3,6;-2,26E-06;-1,85E-06;-6,36E-06;-6,14E-06;-1,33E-06;-1,25E-06;-1,82E-06;-5,95E-06;-1,23E-06
-3,5;-2,24E-06;-1,83E-06;-6,29E-06;-6,07E-06;-1,32E-06;-1,23E-06;-1,81E-06;-5,88E-06;-1,21E-06
-3,4;-2,22E-06;-1,82E-06;-6,23E-06;-6,01E-06;-1,31E-06;-1,22E-06;-1,79E-06;-5,81E-06;-1,21E-06
-3,3;-2,20E-06;-1,80E-06;-6,17E-06;-5,94E-06;-1,30E-06;-1,22E-06;-1,78E-06;-5,76E-06;-1,19E-06
