;voltage_set_V;solar_dark_mA;solar_mid_mA;solar_bright_mA;solar_dark_mW;solar_mid_mW;solar_bright_mW;mid_remodeled
0;-0,3;-0,00381891;-0,117985;-0,89402;0;0;0;
1;-0,2;-0,0034239;-0,117639;-0,892477;0;0;0;
2;-0,1;-0,00302033;-0,117111;-0,891254;0;0;0;
3;5,55E-17;-0,00260106;-0,116664;-0,887172;-1,44388E-19;-6,47615E-18;-4,92479E-17;
4;0,1;-0,00215279;-0,116079;-0,883806;-0,000215279;-0,0116079;-0,0883806;
5;0,2;-0,00167222;-0,115441;-0,881507;-0,000334444;-0,0230882;-0,1763014;
6;0,3;-0,0011561;-0,114771;-0,878152;-0,00034683;-0,0344313;-0,2634456;
7;0,4;-0,000590446;-0,113867;-0,873897;-0,000236178;-0,0455468;-0,3495588;
8;0,5;2,59E-05;-0,113021;-0,872059;0;-0,0565105;-0,4360295;
9;0,6;0,000710762;-0,11202;-0,870311;0;-0,067212;-0,5221866;
10;0,7;0,00146972;-0,111053;-0,86708;0;-0,0777371;-0,606956;
11;0,8;0,00232715;-0,109959;-0,864527;0;-0,0879672;-0,6916216;
12;0,9;0,0032909;-0,108775;-0,863321;0;-0,0978975;-0,7769889;
13;1;0,00439451;-0,107603;-0,861045;0;-0,107603;-0,861045;
14;1,1;0,00565286;-0,10629;-0,856239;0;-0,116919;-0,9418629;
15;1,2;0,00710114;-0,104985;-0,853082;0;-0,125982;-1,0236984;
16;1,3;0,00877797;-0,103549;-0,850274;0;-0,1346137;-1,1053562;
17;1,4;0,0107112;-0,101956;-0,846996;0;-0,1427384;-1,1857944;
18;1,5;0,0129705;-0,100068;-0,845244;0;-0,150102;-1,267866;
19;1,6;0,0156093;-0,0977623;-0,841515;0;-0,15641968;-1,346424;
20;1,7;0,0187028;-0,094967;-0,838876;0;-0,1614439;-1,4260892;
21;1,8;0,0223349;-0,0915266;-0,83701;0;-0,16474788;-1,506618;
22;1,9;0,0266015;-0,0874212;-0,834457;0;-0,16610028;-1,5854683;
23;2;0,0316059;-0,0826058;-0,831425;0;-0,1652116;-1,66285;
24;2,1;0,037506;-0,0769237;-0,828272;0;-0,16153977;-1,7393712;
25;2,2;0,0444162;-0,0701274;-0,825808;0;-0,15428028;-1,8167776;
26;2,3;0,0525249;-0,0622305;-0,821749;0;-0,14313015;-1,8900227;
27;2,4;0,062018;-0,0529567;-0,818758;0;-0,12709608;-1,9650192;
28;2,5;0,0731198;-0,042069;-0,814502;0;-0,1051725;-2,036255;
29;2,6;0,0860626;-0,0293478;-0,808571;0;-0,07630428;-2,1022846;
30;2,7;0,101135;-0,0145286;-0,798839;0;-0,03922722;-2,1568653;
31;2,8;0,118624;0,00257962;-0,786143;0;0;-2,2012004;
32;2,9;0,138997;0,0225006;-0,768664;0;0;-2,2291256;
33;3;0,162612;0,0457535;-0,746517;0;0;-2,239551;
34;3,1;0,189985;0,0726133;-0,720968;0;0;-2,2350008;
35;3,2;0,221713;0,103767;-0,690878;0;0;-2,2108096;
36;3,3;0,258509;0,140022;-0,656764;0;0;-2,1673212;
37;3,4;0,301215;0,182036;-0,615748;0;0;-2,0935432;
38;3,5;0,35073;0,230735;-0,567922;0;0;-1,987727;
39;3,6;0,408273;0,287456;-0,509749;0;0;-1,8350964;
40;3,7;0,475164;0,353388;-0,44332;0;0;-1,640284;
41;3,8;0,553062;0,430141;-0,365937;0;0;-1,3905606;
42;3,9;0,643824;0,519725;-0,274852;0;0;-1,0719228;
43;4;0,750048;0,624586;-0,168321;0;0;-0,673284;
44;4,1;0,874585;0,747558;-0,0423904;0;0;-0,17380064;
45;4,2;1,02086;0,892186;0,106648;0;0;0;
46;4,3;1,19339;0,999993;0,280475;0;0;0;
47;4,4;1,3976;0,999994;0,486034;0;0;0;
48;4,5;1,63998;0,999995;0,730644;0;0;0;
49;4,6;1,92853;0,999996;1,02462;0;0;0;
50;4,7;2,27325;0,999997;1,37345;0;0;0;
51;4,8;2,68738;0,999999;1,79245;0;0;0;
52;4,9;3,1872;0,999999;2,29784;0;0;0;
53;5;3,79321;0,999997;2,90835;0;0;0;
