V_out_nom;V_inp_nom;I_inp_nom;V_inp;I_inp;V_out;I_out;eta
3,25;1,507328;0,008388608;1,49494;0,00838783;3,25065;-0,00345907;0,8967186032543012
3,25;1,507328;0,008388608;1,49451;0,00838782;3,25065;-0,00345788;0,8966690952155678
3,25;1,507328;0,008388608;1,49409;0,00838787;3,25066;-0,00345689;0,8966617782233602
3,25;1,507328;0,008388608;1,49361;0,00838786;3,25068;-0,00345565;0,896634783648625
3,25;1,507328;0,008388608;1,49319;0,00838786;3,25067;-0,00345452;0,8965909455352953
3,25;1,507328;0,008388608;1,49286;0,00838782;3,25068;-0,00345408;0,8966819500107477
3,25;1,507328;0,008388608;1,49251;0,00838785;3,2507;-0,00345315;0,8966530501249477
3,25;1,507328;0,004194304;1,50843;0,00419364;3,25068;-0,00176165;0,9052687739203233
3,25;1,507328;0,004194304;1,50826;0,00419361;3,25066;-0,00176118;0,9051301666260154
3,25;1,507328;0,004194304;1,50795;0,00419366;3,25067;-0,00176104;0,905236266884185
3,25;1,507328;0,004194304;1,50773;0,00419365;3,25066;-0,00176048;0,9050798264756577
3,25;1,507328;0,004194304;1,50738;0,00419356;3,25067;-0,00176022;0,9051784888509449
3,25;1,507328;0,004194304;1,50708;0,00419358;3,25069;-0,0017601;0,9052982051349292
3,25;1,507328;0,004194304;1,50691;0,00419367;3,25067;-0,00175977;0,9052055857762588
3,25;1,507328;0,004194304;1,50672;0,00419363;3,25067;-0,00175952;0,9051997543695935
3,25;1,507328;0,002097152;1,50592;0,00209627;3,25071;-0,000877698;0,9038039097414322
3,25;1,507328;0,002097152;1,50571;0,00209628;3,2507;-0,000877529;0,9037488201027806
3,25;1,507328;0,002097152;1,50559;0,00209624;3,25071;-0,000877354;0,9036606313175263
3,25;1,507328;0,002097152;1,50541;0,00209624;3,25069;-0,000877269;0,9036755618816777
3,25;1,507328;0,002097152;1,50511;0,00209614;3,25069;-0,000877106;0,9037308554643755
3,25;1,507328;0,002097152;1,50511;0,00209622;3,25069;-0,000877049;0,9036376375270965
3,25;1,507328;0,002097152;1,50475;0,00209616;3,25068;-0,000876995;0,9038212652910086
3,25;1,507328;0,002097152;1,50467;0,00209624;3,25067;-0,000876828;0,9036599337655581
3,25;1,507328;0,001048576;1,50832;0,00104765;3,25067;-0,00043773;0,9004704973571024
3,25;1,507328;0,001048576;1,50811;0,00104768;3,25068;-0,00043773;0,9005728674188743
3,25;1,507328;0,001048576;1,50795;0,00104774;3,25069;-0,000437682;0,9005208559332886
3,25;1,507328;0,001048576;1,50788;0,00104777;3,25069;-0,000437631;0,9004319422836485
3,25;1,507328;0,001048576;1,50769;0,00104771;3,25069;-0,000437591;0,9005146718244399
3,25;1,507328;0,001048576;1,50747;0,00104784;3,25069;-0,000437537;0,9004232258530915
3,25;1,507328;0,001048576;1,50735;0,00104776;3,25067;-0,000437471;0,9004222793904533
3,25;1,507328;0,001048576;1,50724;0,00104766;3,25069;-0,000437409;0,9004518529035113
3,25;1,507328;0,000524288;1,52009;0,000524288;3,25067;-0,000224744;0,9166884719586338
3,25;1,507328;0,000524288;1,52014;0,000524285;3,25066;-0,000224768;0,9167586343003457
3,25;1,507328;0,000524288;1,51985;0,000524285;3,25065;-0,000224725;0,9167553221726191
3,25;1,507328;0,000524288;1,51963;0,000524287;3,25065;-0,000224642;0,9165459026755686
3,25;1,507328;0,000524288;1,51952;0,000524287;3,25065;-0,000224726;0,9169549998645863
3,25;1,507328;0,000524288;1,51933;0,000524286;3,25065;-0,00022462;0,9166388496546696
3,25;1,507328;0,000524288;1,51934;0,000524289;3,25066;-0,000224682;0,9168834012421252
3,25;1,507328;0,000524288;1,51919;0,000524289;3,25066;-0,000224657;0,9168719012047124
