V_out_nom;V_inp_nom;I_inp_nom;V_inp;I_inp;V_out;I_out;eta
2,0;0,5;0,05;0,526478;0,0500006;2,00073;-0,00927723;0,705101054394837
2,0;0,5;0,05;0,526288;0,0500005;2,00074;-0,00927543;0,7052236890378488
2,0;0,5;0,05;0,526124;0,0500004;2,00074;-0,00927368;0,7053118310743198
2,0;0,5;0,05;0,526031;0,0500003;2,00075;-0,00926999;0,7051607685316162
2,0;0,5;0,05;0,52597;0,0500005;2,00076;-0,00926863;0,7051397881100756
2,0;0,5;0,05;0,525905;0,0500006;2,00074;-0,00926695;0,7050906554065589
2,0;0,5;0,05;0,52578;0,0500007;2,00077;-0,00926386;0,7050322830038559
2,0;0,5;0,04;0,524022;0,0399988;2,00075;-0,00786675;0,7509165769122175
2,0;0,5;0,04;0,523999;0,0399989;2,00075;-0,00786442;0,7507252414700881
2,0;0,5;0,04;0,523942;0,0399989;2,00076;-0,00786473;0,7508402614804267
2,0;0,5;0,04;0,523875;0,0399987;2,00075;-0,00786201;0,7506765805966001
2,0;0,5;0,04;0,523783;0,0399985;2,00074;-0,00786105;0,7507167565581715
2,0;0,5;0,04;0,523722;0,0399985;2,00074;-0,00785942;0,7506485152195502
2,0;0,5;0,04;0,523635;0,0399985;2,00074;-0,00785851;0,7506863046699859
2,0;0,5;0,04;0,523578;0,0399985;2,00074;-0,00785812;0,7507307701991297
2,0;0,5;0,03;0,511908;0,029999;2,00077;-0,00580049;0,7557238955963407
2,0;0,5;0,03;0,511918;0,0299989;2,00076;-0,005799;0,7555137526712069
2,0;0,5;0,03;0,511785;0,029999;2,00077;-0,00579799;0,7555797289012349
2,0;0,5;0,03;0,511686;0,029999;2,00077;-0,00579839;0,7557780540767436
2,0;0,5;0,03;0,511662;0,0299989;2,00077;-0,00579651;0,7555709673799986
2,0;0,5;0,03;0,511698;0,0299991;2,00076;-0,00579558;0,7553877819974246
2,0;0,5;0,03;0,511588;0,0299991;2,00074;-0,00579655;0,7556691047692917
2,0;0,5;0,03;0,511556;0,0299992;2,00073;-0,0057957;0,7555992622553517
2,0;0,5;0,02;0,500675;0,0199972;2,00075;-0,00403113;0,8055537669416627
2,0;0,5;0,02;0,500673;0,0199973;2,00073;-0,0040311;0,8055389090556088
2,0;0,5;0,02;0,500649;0,0199974;2,00072;-0,00403107;0,8055634748321768
2,0;0,5;0,02;0,500529;0,0199973;2,00073;-0,00403052;0,8056547237216691
2,0;0,5;0,02;0,500545;0,0199972;2,00074;-0,00402984;0,8055011050296903
2,0;0,5;0,02;0,500481;0,0199969;2,00074;-0,00402911;0,805470259744057
2,0;0,5;0,02;0,500485;0,019997;2,00073;-0,00402942;0,8055177403157723
2,0;0,5;0,02;0,500412;0,0199971;2,00074;-0,00402798;0,8053473359018224
2,0;0,5;0,01;0,498333;0,00999947;2,00072;-0,00205404;0,824704911568475
2,0;0,5;0,01;0,498335;0,00999947;2,00073;-0,00205376;0,8245933025701229
2,0;0,5;0,01;0,498255;0,00999949;2,00074;-0,00205379;0,8247402192408201
2,0;0,5;0,01;0,498242;0,00999954;2,00073;-0,00205365;0,8246972711967651
2,0;0,5;0,01;0,498207;0,00999938;2,00071;-0,00205346;0,8246838546682189
2,0;0,5;0,01;0,498083;0,00999939;2,00072;-0,0020528;0,8246273338062823
2,0;0,5;0,01;0,498042;0,00999939;2,00073;-0,00205255;0,824598905168969
2,0;0,5;0,01;0,498066;0,00999934;2,00073;-0,00205282;0,824671759894621
2,0;0,5;0,008;0,496319;0,00799946;2,00073;-0,00163531;0,8240755035164149
2,0;0,5;0,008;0,496261;0,00799944;2,00072;-0,0016353;0,824164717873244
2,0;0,5;0,008;0,496218;0,00799947;2,00074;-0,00163489;0,824034631964432
2,0;0,5;0,008;0,496156;0,00799944;2,00073;-0,00163475;0,8240660024425895
2,0;0,5;0,008;0,496054;0,00799943;2,00073;-0,00163439;0,8240549685329408
2,0;0,5;0,008;0,496031;0,00799959;2,00072;-0,00163422;0,823986861416174
2,0;0,5;0,008;0,496053;0,00799962;2,00072;-0,0016342;0,823937143880536
2,0;0,5;0,006;0,492574;0,00599958;2,00073;-0,00121571;0,8230498502904883
2,0;0,5;0,006;0,492505;0,00599956;2,00074;-0,00121554;0,8230569090137522
2,0;0,5;0,006;0,492506;0,00599955;2,00074;-0,00121553;0,8230498385951012
2,0;0,5;0,006;0,492446;0,00599948;2,00071;-0,0012154;0,8230593460626547
2,0;0,5;0,006;0,492398;0,00599942;2,00072;-0,00121489;0,8228065192537305
2,0;0,5;0,006;0,492367;0,00599937;2,00073;-0,00121532;0,823160542428947
2,0;0,5;0,006;0,492386;0,00599945;2,00074;-0,00121513;0,8229932318986916
2,0;0,5;0,005;0,490725;0,00499948;2,00072;-0,00100873;0,8226180442425698
2,0;0,5;0,005;0,490698;0,00499943;2,00072;-0,00100856;0,8225328914686928
