V_inp_nom;V_inp;I_inp;V_out;I_out;eta
2,0;1,99868;1,35474e-06;1,806965;-5,000535e-07;0,33384074977842193
2,0;1,9989949999999999;1,45222e-06;1,805155;-6,000484999999999e-07;0,3731066571894825
2,0;1,999665;1,030815e-06;1,80963;-7,00036e-07;0,6147661182902167
2,0;1,998625;1,2607399999999999e-06;1,8069449999999998;-8,000265e-07;0,5743234161767197
2,0;1,9987;1,5307200000000001e-06;1,8057750000000001;-8,99999e-07;0,5320965502123166
2,0;1,999235;1,85447e-06;1,807175;-9,99982e-07;0,4878385732679329
2,0;1,99851;2,509845e-06;1,80704;-2,00019e-06;0,7204091980815733
2,0;1,998615;3,58425e-06;1,80679;-3,00041e-06;0,7567162266403139
2,0;1,99868;4,48272e-06;1,8067449999999998;-4,00043e-06;0,8067855723943425
2,0;1,9986899999999999;5,185025e-06;1,8067350000000002;-5,00035e-06;0,8718031835235986
2,0;1,998825;6,5106550000000004e-06;1,80682;-6,00036e-06;0,8331049122476959
2,0;1,998935;7,903965e-06;1,806785;-7,0001749999999994e-06;0,8005839959644263
2,0;1,998935;8,24554e-06;1,806985;-7,99989e-06;0,877060720199784
2,0;1,999055;9,602935e-06;1,80693;-8,999795000000001e-06;0,8470809955704123
2,0;1,9987300000000001;1,0615950000000001e-05;1,806785;-9,99939e-06;0,8515284140540426
2,0;1,99897;1,9995149999999998e-05;1,8069350000000002;-2,000495e-05;0,9043035374320583
2,0;1,99923;3,0304900000000002e-05;1,807;-3,00057e-05;0,8948891443871343
2,0;1,99941;3,94743e-05;1,80709;-4,00067e-05;0,9160059018182191
2,0;1,999585;4,957335e-05;1,8068849999999999;-5,0008450000000004e-05;0,9115119751794298
2,0;1,99969;5,9326150000000005e-05;1,807145;-6,00066e-05;0,9141702710762603
2,0;1,99973;6,90863e-05;1,80704;-7,000685e-05;0,915667650001712
2,0;1,999725;7,92481e-05;1,80701;-8,000435e-05;0,912183738895485
2,0;1,99984;9,842175e-05;1,806785;-9,99999e-05;0,9179609330120313
2,0;1,99985;0,0001964075;1,8078349999999999;-0,0002000335;0,9206450223102707
2,0;1,99983;0,0002940255;1,807445;-0,000300046;0,9222111567767208
2,0;1,99983;0,0003916015;1,8073;-0,0004000405;0,9231998166770223
2,0;1,999815;0,0004891870000000001;1,80703;-0,000500044;0,9236904506365302
2,0;1,99982;0,000586776;1,80705;-0,0006000375;0,9240124446077014
2,0;1,99979;0,000684335;1,807035;-0,000700025;0,9243623323680906
2,0;1,99982;0,0007818155;1,80694;-0,000799992;0,9245305704641047
2,0;1,99982;0,0008793745;1,80667;-0,0008999685000000001;0,9245779639178986
2,0;1,999805;0,0009768505;1,8068149999999998;-0,00099994;0,9249406151071278
2,0;1,99979;0,00195027;1,805765;-0,0020006;0,9262973557019167
2,0;1,99985;0,00292418;1,805375;-0,003000695;0,9263832886837293
2,0;1,999845;0,0038926200000000003;1,804175;-0,004000965;0,9275317998867098
2,0;1,99984;0,00485818;1,8033000000000001;-0,005000885;0,928153756817703
2,0;1,99984;0,005823505;1,80275;-0,006000845;0,9291481336786673
2,0;1,99984;0,00678309;1,802695;-0,00700069;0,9303747037249843
2,0;1,99984;0,00774205;1,802635;-0,00800064;0,9313276382911027
2,0;1,99983;0,008700625;1,80149;-0,009000305;0,9318630389582185
2,0;1,999845;0,009655529999999999;1,8006199999999999;-0,009999985;0,9324555324624992
2,0;1,99982;0,01940795;1,797605;-0,0200004;0,9263345078679235
2,0;1,999785;0,029301800000000003;1,79565;-0,0300013;0,9193645558888819
2,0;1,99978;0,0393207;1,793495;-0,0400026;0,9124010884975762
2,0;1,999775;0,049436850000000004;1,791465;-0,0500028;0,9060918340558715
2,0;1,99977;0,0596294;1,79041;-0,060001849999999995;0,9008714345019903
2,0;1,99978;0,06989334999999999;1,789125;-0,0700005;0,8960287489026335
2,5;2,49967;7,000949999999999e-07;1,80817;-5,000655000000001e-07;0,5169634359158772
2,5;2,499095;1,21058e-06;1,805485;-6,00059e-07;0,3593346281690075
2,5;2,4992650000000003;1,115455e-06;1,80721;-7,000515e-07;0,4540993940067931
2,5;2,49958;1,413845e-06;1,8069600000000001;-8,00034e-07;0,40919482661614803
2,5;2,499095;1,199255e-06;1,806055;-9,00012e-07;0,5425623547199911
2,5;2,4994;1,433e-06;1,80623;-9,99984e-07;0,504342978683104
2,5;2,49913;2,23958e-06;1,806365;-2,000215e-06;0,6455567322723279
2,5;2,499165;2,941805e-06;1,8064399999999998;-3,0003949999999998e-06;0,738424800225101
2,5;2,4991849999999998;3,689025e-06;1,806235;-4,00041e-06;0,7836932505320955
2,5;2,49929;4,686865e-06;1,805975;-5,00033e-06;0,7707921000018029
2,5;2,499355;5,421069999999999e-06;1,806175;-6,00037e-06;0,8002934250779854
2,5;2,499505;6,320659999999999e-06;1,80603;-7,00016e-06;0,8002599582640217
2,5;2,4995450000000003;7,22732e-06;1,80619;-7,999905e-06;0,7998624566854065
2,5;2,499625;7,932345e-06;1,806125;-8,99976e-06;0,8198154975992342
2,5;2,4996850000000004;8,667135e-06;1,805945;-9,99936e-06;0,8335637592279792
2,5;2,49952;1,67607e-05;1,80591;-2,00064e-05;0,8625171427798717
2,5;2,4997249999999998;2,51957e-05;1,806085;-3,00068e-05;0,8605266750989948
2,5;2,49968;3,296115e-05;1,80613;-4,00072e-05;0,8770276795543519
2,5;2,4997800000000003;4,133695e-05;1,8063099999999999;-5,0008850000000005e-05;0,8740692714764063
2,5;2,49986;4,963615e-05;1,806445;-6,0006950000000007e-05;0,8735690011490729
2,5;2,49992;5,78855e-05;1,80645;-7,00062e-05;0,8737989215191819
2,5;2,4999450000000003;6,624135e-05;1,80644;-8,000324999999999e-05;0,8727824799646162
2,5;2,49995;8,26141e-05;1,8062;-9,99998e-05;0,8745301393233149
2,5;2,499895;0,0001610785;1,80363;-0,000200032;0,8959531470122727
2,5;2,49991;0,00024189049999999998;1,8037999999999998;-0,0003000475;0,8949923495660329
2,5;2,4999;0,0003219845;1,803525;-0,000400041;0,8963480081549777
2,5;2,4999;0,0004019475;1,80378;-0,000500045;0,8976002175030211
2,5;2,49988;0,00048221799999999997;1,803775;-0,000600037;0,8978252218584297
2,5;2,49988;0,0005634395;1,803655;-0,000700025;0,896336331612694
2,5;2,49988;0,0006451639999999999;1,80401;-0,000799992;0,8947935796059944
2,5;2,49988;0,0007272349999999999;1,80403;-0,0008999675;0,8930437816759389
2,5;2,49989;0,0008096;1,80437;-0,000999942;0,8915625040328472
2,5;2,49992;0,0016392899999999998;1,806635;-0,00200072;0,8818763471903113
2,5;2,49992;0,00246926;1,806275;-0,00300076;0,8780785485813078
2,5;2,49991;0,00330415;1,807095;-0,00400102;0,8753480741598723
2,5;2,49991;0,004143405;1,80696;-0,00500092;0,8723880522794898
2,5;2,4999;0,00498774;1,807205;-0,006000855;0,869762932837397
2,5;2,499905;0,005835679999999999;1,8077;-0,007000725;0,8675974857443158
2,5;2,4999;0,006687535;1,80804;-0,008000634999999999;0,8652776358251281
2,5;2,49991;0,007544604999999999;1,80857;-0,00900037;0,8631331275333564
2,5;2,4999;0,00840061;1,80864;-0,0100001;0,8611645072107155
2,5;2,499885;0,017051749999999997;1,8087900000000001;-0,020000450000000003;0,8485977818582227
2,5;2,499865;0,025582550000000003;1,804435;-0,0300014;0,8464436011996668
2,5;2,49986;0,0337634;1,80085;-0,0400024;0,8534870635893732
2,5;2,49985;0,04200685;1,797915;-0,0500031;0,856100901188591
2,5;2,49984;0,050009399999999996;1,7971249999999999;-0,060002349999999996;0,8625143586398789
2,5;2,49985;0,05920995;1,796785;-0,0700008;0,8497340324074222
2,5;2,49985;0,0672397;1,79471;-0,079999;0,854175305227966
2,75;2,748275;1,1254950000000001e-06;1,80633;-5,000615e-07;0,29255915838104807
2,75;2,749465;1,176465e-06;1,8090600000000001;-6,00062e-07;0,3358312390789996
2,75;2,7490249999999996;1,41438e-06;1,80592;-7,0005e-07;0,32512724315688835
2,75;2,7490300000000003;1,55683e-06;1,805865;-8,00035e-07;0,338427625967283
2,75;2,7491849999999998;1,19619e-06;1,808545;-9,000195e-07;0,4956125700437718
2,75;2,74856;1,423935e-06;1,807915;-9,99992e-07;0,46129631141359967
2,75;2,749175;2,20679e-06;1,80811;-2,0002050000000003e-06;0,5965092832333292
2,75;2,7488200000000003;2,905715e-06;1,8084099999999999;-3,000435e-06;0,6793463936197648
2,75;2,7488799999999998;3,63855e-06;1,808005;-4,00044e-06;0,7230980320837794
2,75;2,749;4,268175e-06;1,808165;-5,00037e-06;0,7706394421188063
2,75;2,74905;5,1347050000000005e-06;1,808065;-6,000395000000001e-06;0,7686217578935077
2,75;2,749135;5,4253250000000004e-06;1,8083399999999998;-7,00018e-06;0,8487449787483011
2,75;2,74914;6,977695e-06;1,8081550000000002;-7,99991e-06;0,7541445689906817
2,75;2,7491250000000003;7,431135e-06;1,808385;-8,99978e-06;0,79681789616845
2,75;2,749385;8,27381e-06;1,808195;-9,99937e-06;0,7949431336165906
2,75;2,749205;1,575345e-05;1,808135;-2,000555e-05;0,8352951944392893
2,75;2,74943;2,32919e-05;1,808175;-3,00056e-05;0,8472756166961547
2,75;2,74958;3,10048e-05;1,8082799999999999;-4,00066e-05;0,8484797228738601
2,75;2,74972;3,849945e-05;1,8082349999999998;-5,00085e-05;0,8542004082682251
2,75;2,74972;4,64047e-05;1,808345;-6,00066e-05;0,8504201508894416
2,75;2,749755;5,3894199999999996e-05;1,8082;-7,000539999999999e-05;0,8542595625210576
2,75;2,7497;6,15379e-05;1,80839;-8,00034e-05;0,8550984064126683
2,75;2,7497949999999998;7,658475e-05;1,80822;-9,999985e-05;0,8586401701892428
2,75;2,7499;0,00014870900000000002;1,804145;-0,000200031;0,8824810711369284
2,75;2,74989;0,0002232965;1,80458;-0,000300047;0,8817055420848909
2,75;2,74988;0,000298471;1,804755;-0,000400038;0,8797125198198941
2,75;2,74988;0,0003731565;1,805075;-0,000500044;0,8795479011920211
2,75;2,74987;0,0004472555;1,804815;-0,0006000375;0,8805437056206133
2,75;2,74986;0,0005219560000000001;1,80522;-0,000700028;0,8804067900335901
2,75;2,74985;0,0005969149999999999;1,8051949999999999;-0,0007999904999999999;0,879821217242571
