V_inp_nom;I_out_nom;V_inp;I_inp;V_out;I_out;eta
2,0;5e-07;1,99851;1,80951e-06;1,8024;-5,00065e-07;0,249235742799913
2,0;5e-07;1,99888;1,36396e-06;1,8097;-5,00051e-07;0,3319193181376093
2,0;5e-07;1,99798;8,82754e-07;1,80577;-5,00055e-07;0,5119757336563254
2,0;5e-07;1,99907;1,80113e-06;1,80167;-5,00054e-07;0,250218312556463
2,0;5e-07;1,99952;1,80953e-06;1,81152;-5,00049e-07;0,2503595465045867
2,0;5e-07;1,99836;9,3424e-07;1,80752;-5,00061e-07;0,48414328255763317
2,0;5e-07;1,99885;8,70608e-07;1,80889;-5,00054e-07;0,5197879478120573
2,0;5e-07;1,99791;1,34552e-06;1,80503;-5,0005e-07;0,33576218141923464
2,0;5e-07;1,9998;1,37332e-06;1,80804;-5,00051e-07;0,32920318290821887
2,0;5e-07;1,99769;7,08656e-07;1,80641;-5,00053e-07;0,6380706989735297
2,0;6e-07;1,99884;1,20336e-06;1,80911;-6,00042e-07;0,45130798861444943
2,0;6e-07;1,99921;2,01038e-06;1,80297;-6,00043e-07;0,26917474086672155
2,0;6e-07;1,99847;1,52236e-06;1,80501;-6,00048e-07;0,3560004994508942
2,0;6e-07;1,99935;8,58396e-07;1,81011;-6,00051e-07;0,6328730747960983
2,0;6e-07;1,99955;1,81299e-06;1,80387;-6,00051e-07;0,2985834437390579
2,0;6e-07;1,99817;1,43402e-06;1,80407;-6,00049e-07;0,3777917399677256
2,0;6e-07;1,99905;5,99486e-07;1,8092;-6,00048e-07;0,9058783273556058
2,0;6e-07;1,99962;1,47042e-06;1,8053;-6,00046e-07;0,3684215744112394
2,0;6e-07;1,998;1,7585e-06;1,80344;-6,00054e-07;0,30800245390684966
2,0;6e-07;1,99894;5,62361e-07;1,80874;-6,00059e-07;0,9655063709752147
2,0;7e-07;1,99576;1,02764e-06;1,80785;-7,00036e-07;0,6170686086530225
2,0;7e-07;1,99964;1,0348e-06;1,8095;-7,00044e-07;0,6121751403076288
2,0;7e-07;1,99959;1,08244e-06;1,80994;-7,00034e-07;0,5853808664788328
2,0;7e-07;1,99971;1,04487e-06;1,80976;-7,00036e-07;0,6063342224809415
2,0;7e-07;1,99966;9,58189e-07;1,81027;-7,00032e-07;0,6613843392313689
2,0;7e-07;1,9997;8,37992e-07;1,81046;-7,00038e-07;0,7563204270566981
2,0;7e-07;1,9998;1,04892e-06;1,8095;-7,00041e-07;0,6038834585037272
2,0;7e-07;1,99967;9,49844e-07;1,81068;-7,00033e-07;0,6673437587401239
2,0;7e-07;1,99963;9,65542e-07;1,80937;-7,00036e-07;0,6560349037864932
2,0;7e-07;1,99977;1,03399e-06;1,80903;-7,00053e-07;0,6124636279274108
2,0;8e-07;1,99898;1,08267e-06;1,80763;-8,00036e-07;0,668212381080383
2,0;8e-07;1,99838;1,30963e-06;1,80555;-8,00027e-07;0,5519344143898391
2,0;8e-07;1,99798;1,66847e-06;1,80427;-8,00029e-07;0,43300979364562026
2,0;8e-07;1,99914;1,04508e-06;1,80827;-8,00027e-07;0,692428884280347
2,0;8e-07;1,99895;1,18671e-06;1,80805;-8,00025e-07;0,6097719766739812
2,0;8e-07;1,99804;1,66842e-06;1,80268;-8,00026e-07;0,4326265578125136
2,0;8e-07;1,99844;1,36558e-06;1,80744;-8,00022e-07;0,5298556355848041
2,0;8e-07;1,9993;1,20342e-06;1,81024;-8,00029e-07;0,6019309800427125
2,0;8e-07;1,9987;1,46435e-06;1,80601;-8,00025e-07;0,49366371278900856
2,0;8e-07;1,99855;1,21185e-06;1,80645;-8,00024e-07;0,5967124179636002
2,0;9e-07;1,9982;1,20303e-06;1,80524;-8,99995e-07;0,67586449518073
2,0;9e-07;1,99859;1,77912e-06;1,80549;-8,99996e-07;0,4569900188171714
2,0;9e-07;1,99925;1,83653e-06;1,8051;-9,00006e-07;0,442467665776402
2,0;9e-07;1,99881;1,48418e-06;1,80789;-8,99998e-07;0,5484732591531034
2,0;9e-07;1,99845;1,80005e-06;1,80318;-9e-07;0,4511321056463686
2,0;9e-07;1,99935;1,43309e-06;1,8098;-8,99994e-07;0,568470464614849
2,0;9e-07;1,99817;1,8365e-06;1,8043;-8,99997e-07;0,44251341790970433
2,0;9e-07;1,99922;1,29634e-06;1,80929;-9,00008e-07;0,6283115496426577
2,0;9e-07;1,99831;1,57726e-06;1,80606;-9,00011e-07;0,5157198412715298
2,0;9e-07;1,99915;1,31161e-06;1,80723;-9,00007e-07;0,6203106164852873
2,0;1e-06;1,99975;1,69552e-06;1,80889;-9,99984e-07;0,5334903727644639
2,0;1e-06;1,99866;1,8936e-06;1,80366;-9,99983e-07;0,4765627850729697
2,0;1e-06;1,99936;2,05415e-06;1,80676;-9,99986e-07;0,43991749520107365
2,0;1e-06;1,9995;1,84932e-06;1,80884;-9,99981e-07;0,4891684366487768
2,0;1e-06;1,99932;1,12177e-06;1,80859;-9,99979e-07;0,8063895167620762
2,0;1e-06;1,99871;1,24457e-06;1,80759;-9,99979e-07;0,7266440072267433
2,0;1e-06;1,99882;1,39323e-06;1,80495;-9,99982e-07;0,6481281055152874
2,0;1e-06;1,99862;1,88289e-06;1,80447;-9,99981e-07;0,4794973778071011
2,0;1e-06;1,99915;1,94207e-06;1,80565;-9,99982e-07;0,4650669677238994
2,0;1e-06;1,99954;1,85962e-06;1,80905;-9,99987e-07;0,486508709887089
2,0;2e-06;1,99868;2,87202e-06;1,8074;-2,00018e-06;0,6297854629333596
2,0;2e-06;1,99852;2,51798e-06;1,80688;-2,0002e-06;0,7181943078135486
2,0;2e-06;1,99876;2,29234e-06;1,80858;-2,00021e-06;0,789539088425389
2,0;2e-06;1,99849;2,49323e-06;1,80502;-2,00021e-06;0,7245915900598879
2,0;2e-06;1,99842;2,29677e-06;1,8072;-2,0002e-06;0,7875449782289566
2,0;2e-06;1,99867;2,872e-06;1,8076;-2,00018e-06;0,629862690165283
2,0;2e-06;1,99837;2,50171e-06;1,80616;-2,00018e-06;0,722624088349598
2,0;2e-06;1,9985;2,80792e-06;1,80767;-2,00019e-06;0,6443198622541653
2,0;2e-06;1,99857;2,87199e-06;1,80642;-2,00019e-06;0,6294883502855869
2,0;2e-06;1,99826;2,37263e-06;1,8061;-2,00017e-06;0,761950378864316
2,0;3e-06;1,99854;3,60093e-06;1,80682;-3,0004e-06;0,7532974929324076
2,0;3e-06;1,99866;3,60317e-06;1,80646;-3,00041e-06;0,7526365067645969
2,0;3e-06;1,99856;3,68757e-06;1,80693;-3,00043e-06;0,7356434346589892
2,0;3e-06;1,99867;3,43161e-06;1,80636;-3,00041e-06;0,7902161356738006
2,0;3e-06;1,99851;3,48494e-06;1,80676;-3,0004e-06;0,7783554899151386
2,0;3e-06;1,99861;3,1143e-06;1,80673;-3,0004e-06;0,8709313243069665
2,0;3e-06;1,99854;3,41811e-06;1,80697;-3,00043e-06;0,7936619535262985
2,0;3e-06;1,99862;3,59022e-06;1,80641;-3,00041e-06;0,7553454927641124
2,0;3e-06;1,99863;3,67068e-06;1,80735;-3,00043e-06;0,7391742597250662
2,0;3e-06;1,99867;3,57828e-06;1,80697;-3,00043e-06;0,7580869605165154
2,0;4e-06;1,99869;4,25709e-06;1,80646;-4,00044e-06;0,8493326886042911
2,0;4e-06;1,99869;4,71174e-06;1,80643;-4,00043e-06;0,7673633543723595
2,0;4e-06;1,99871;4,88698e-06;1,80658;-4,00041e-06;0,7398971512599336
2,0;4e-06;1,99851;3,86638e-06;1,80662;-4,00044e-06;0,9353275217281997
2,0;4e-06;1,99874;4,88194e-06;1,80716;-4,00044e-06;0,7408932274583877
2,0;4e-06;1,99867;4,47512e-06;1,80687;-4,00043e-06;0,8081422334616173
2,0;4e-06;1,99858;4,1594e-06;1,80661;-4,00043e-06;0,8693984483443021
2,0;4e-06;1,99867;4,49032e-06;1,80692;-4,00043e-06;0,8054289113270677
2,0;4e-06;1,99847;4,07181e-06;1,80716;-4,00043e-06;0,888419623820851
2,0;4e-06;1,99887;4,88099e-06;1,80734;-4,00041e-06;0,7410574827856725
2,0;5e-06;1,99886;5,28587e-06;1,80665;-5,00034e-06;0,8550169130535966
2,0;5e-06;1,99871;5,14274e-06;1,80675;-5,00033e-06;0,8789261309881924
2,0;5e-06;1,99871;5,13561e-06;1,80675;-5,00035e-06;0,8801499043033401
2,0;5e-06;1,99876;5,20939e-06;1,80696;-5,00034e-06;0,8677618491488617
2,0;5e-06;1,99856;5,33242e-06;1,80655;-5,00035e-06;0,8476349400488055
2,0;5e-06;1,9986;5,16752e-06;1,80645;-5,00035e-06;0,8746177764472132
2,0;5e-06;1,99881;5,06789e-06;1,80671;-5,00037e-06;0,8918501627837768
