V_out_nom;V_inp_nom;I_inp_nom;V_inp;I_inp;V_out;I_out;eta
3,25;1,507328;0,008388608;1,50998;0,00838791;3,25068;-0,00351592;0,902377477121244
3,25;1,507328;0,008388608;1,5096;0,00838787;3,25069;-0,0035153;0,9024525394418939
3,25;1,507328;0,008388608;1,50929;0,00838794;3,25069;-0,00351451;0,9024275156886566
3,25;1,507328;0,008388608;1,50893;0,00838786;3,25069;-0,00351335;0,9023534962325394
3,25;1,507328;0,008388608;1,50856;0,00838786;3,25071;-0,00351229;0,9023080526768817
3,25;1,507328;0,008388608;1,50811;0,00838788;3,2507;-0,00351164;0,9024053267198069
3,25;1,507328;0,008388608;1,50782;0,00838798;3,25069;-0,00351088;0,902370014016254
3,25;1,507328;0,004194304;1,52072;0,00419368;3,25066;-0,00178466;0,9096671064709955
3,25;1,507328;0,004194304;1,52051;0,00419365;3,25067;-0,00178423;0,909582839427965
3,25;1,507328;0,004194304;1,52033;0,00419363;3,25066;-0,00178401;0,9095799024640845
3,25;1,507328;0,004194304;1,52015;0,00419371;3,25067;-0,00178385;0,9095914657208032
3,25;1,507328;0,004194304;1,51995;0,00419362;3,25066;-0,00178349;0,9095442848075709
3,25;1,507328;0,004194304;1,51972;0,00419364;3,25066;-0,00178329;0,9095755892319785
3,25;1,507328;0,004194304;1,51961;0,00419367;3,25066;-0,00178317;0,909573712862268
3,25;1,507328;0,004194304;1,51941;0,00419362;3,25065;-0,00178295;0,9095892525889657
3,25;1,507328;0,002097152;1,51788;0,00209624;3,25067;-0,000888878;0,9081061109070749
3,25;1,507328;0,002097152;1,51768;0,00209621;3,25068;-0,000888923;0,9082875536182051
3,25;1,507328;0,002097152;1,51756;0,00209623;3,25066;-0,000888711;0,9081284885443971
3,25;1,507328;0,002097152;1,51739;0,00209631;3,25065;-0,000888679;0,9081600747330547
3,25;1,507328;0,002097152;1,51727;0,00209625;3,25067;-0,000888649;0,9082328235174638
3,25;1,507328;0,002097152;1,51716;0,00209624;3,25066;-0,000888488;0,9081356524298583
3,25;1,507328;0,002097152;1,51696;0,00209626;3,25066;-0,000888371;0,9081271160262654
3,25;1,507328;0,002097152;1,51691;0,00209613;3,25065;-0,000888421;0,908261695213136
3,25;1,507328;0,001048576;1,51945;0,00104766;3,25067;-0,000443102;0,9048358877361403
3,25;1,507328;0,001048576;1,51925;0,00104761;3,25067;-0,000443066;0,9049246683295419
3,25;1,507328;0,001048576;1,51923;0,00104766;3,25068;-0,000442969;0,9046980684921108
3,25;1,507328;0,001048576;1,51909;0,00104767;3,25069;-0,000442937;0,9047102322420492
3,25;1,507328;0,001048576;1,51891;0,00104768;3,25067;-0,000442989;0,9049094648586175
3,25;1,507328;0,001048576;1,51878;0,00104765;3,25067;-0,000442901;0,9048330540884241
3,25;1,507328;0,001048576;1,51871;0,00104765;3,25066;-0,000442864;0,9047963826622502
3,25;1,507328;0,001048576;1,51868;0,0010476;3,25066;-0,000442755;0,9046347328712029
3,25;1,507328;0,000524288;1,51789;0,00052429;3,25067;-0,000220958;0,902548896064847
3,25;1,507328;0,000524288;1,51785;0,00052429;3,25066;-0,000221;0,9027414661470318
3,25;1,507328;0,000524288;1,5178;0,000524289;3,25067;-0,000220903;0,9023794628078106
3,25;1,507328;0,000524288;1,51759;0,00052429;3,25068;-0,000220888;0,9024441036927277
3,25;1,507328;0,000524288;1,51751;0,000524291;3,25067;-0,000220953;0,9027527530131655
3,25;1,507328;0,000524288;1,51741;0,00052429;3,25066;-0,000220903;0,9026068912953791
3,25;1,507328;0,000524288;1,51735;0,000524292;3,25069;-0,00022082;0,902308317612902
3,25;1,507328;0,000524288;1,51725;0,00052429;3,25067;-0,000220918;0,9027661481988646
3,25;1,507328;0,000262144;1,52356;0,000262139;3,25067;-0,000111767;0,9096938879301036
3,25;1,507328;0,000262144;1,52342;0,000262138;3,25067;-0,0001117;0,9092355794831846
3,25;1,507328;0,000262144;1,52342;0,000262139;3,25066;-0,00011162;0,9085781201189312
3,25;1,507328;0,000262144;1,52335;0,000262139;3,25066;-0,000111639;0,9087745361459548
3,25;1,507328;0,000262144;1,52316;0,00026214;3,25067;-0,000111719;0,90953853056104
3,25;1,507328;0,000262144;1,52315;0,000262138;3,25067;-0,000111706;0,9094456029484947
3,25;1,507328;0,000262144;1,52304;0,000262141;3,25068;-0,000111656;0,909096578904394
3,25;1,507328;0,000262144;1,52299;0,000262141;3,25068;-0,000111665;0,9091997045632125
3,25;1,507328;0,000131072;1,53028;0,000131053;3,25067;-5,61092e-05;0,9094714923404187
3,25;1,507328;0,000131072;1,53015;0,000131053;3,25066;-5,62318e-05;0,9115333426750927
3,25;1,507328;0,000131072;1,53023;0,000131052;3,25067;-5,63229e-05;0,9129721424414947
3,25;1,507328;0,000131072;1,53;0,000131053;3,25068;-5,6239e-05;0,9117450437280051
3,25;1,507328;0,000131072;1,52994;0,000131054;3,25066;-5,61994e-05;0,9111262224201011
3,25;1,507328;0,000131072;1,52984;0,000131053;3,25065;-5,6327e-05;0,9132587738580167
3,25;1,507328;0,000131072;1,52986;0,000131052;3,25065;-5,62002e-05;0,9111979405558058
3,25;1,507328;0,000131072;1,52966;0,000131053;3,25065;-5,62244e-05;0,9117025373503944
3,25;1,507328;6,5536e-05;1,53242;6,55285e-05;3,25065;-2,76845e-05;0,8961874488721535
3,25;1,507328;6,5536e-05;1,53196;6,5528e-05;3,25065;-2,8126e-05;0,9107597827421247
3,25;1,507328;6,5536e-05;1,53222;6,55284e-05;3,25065;-2,75513e-05;0,8919933488873499
3,25;1,507328;6,5536e-05;1,53166;6,55289e-05;3,25067;-2,76383e-05;0,8951358715920701
3,25;1,507328;6,5536e-05;1,53178;6,55289e-05;3,25067;-2,72887e-05;0,883743958018124
3,25;1,507328;6,5536e-05;1,53204;6,5529e-05;3,25066;-2,77782e-05;0,8994395963418708
3,25;1,507328;6,5536e-05;1,53139;6,55287e-05;3,25065;-2,83065e-05;0,9169360038949295
3,25;1,507328;6,5536e-05;1,53262;6,55287e-05;3,25066;-2,75416e-05;0,8914452452623065
3,25;1,507328;3,2768e-05;1,53607;3,27591e-05;3,25066;-1,3466e-05;0,8698957084071063
3,25;1,507328;3,2768e-05;1,53555;3,2759e-05;3,25066;-1,36361e-05;0,8811850619702927
3,25;1,507328;3,2768e-05;1,53592;3,27585e-05;3,25067;-1,37264e-05;0,8868229645074351
3,25;1,507328;3,2768e-05;1,53511;3,2759e-05;3,25067;-1,32249e-05;0,8548602890837842
