V_out_nom;V_inp_nom;V_inp;I_inp;V_out;I_out;eta
2,0;0,1;0,064943;9,9997e-06;2,00065;2,87696e-07;0,0
2,0;0,1;0,063391;1,999e-05;2,0004;-1,65313e-08;0,0260206002870233
2,0;0,1;0,0639452;2,99918e-05;2,00078;1,51245e-08;0,0
2,0;0,1;0,0639397;3,99931e-05;2,00076;6,47397e-09;0,0
2,0;0,1;0,0638698;4,99939e-05;2,00077;1,66453e-09;0,0
2,0;0,1;0,06375245;5,9994350000000006e-05;2,00072;-6,659199999999999e-08;0,034844933086533504
2,0;0,1;0,0637919;7,99938e-05;2,00075;-1,49744e-07;0,0586717214921295
2,0;0,1;0,0638039;9,9993e-05;2,00074;-2,85802e-07;0,0897745577776326
2,0;0,1;0,0637114;0,000199988;2,00072;-1,664e-06;0,2612678415221404
2,0;0,1;0,0636994;0,000300005;2,00074;-2,78575e-06;0,2916711428824624
2,0;0,1;0,0637734;0,000399999;2,00073;-3,91629e-06;0,3071601357441426
2,0;0,1;0,0638286;0,000500012;2,00072;-5,05752e-06;0,3169557243430627
2,0;0,1;0,0637809;0,000600005;2,00073;-6,18505e-06;0,3232558591480831
2,0;0,1;0,0640932;0,000799998;2,00072;-8,48186e-06;0,3311860621275648
2,0;0,1;0,0646802;0,000999967;2,0007;-1,09399e-05;0,3384119419038346
2,0;0,1;0,0686536;0,00199932;2,00073;-2,42692e-05;0,3540290986890587
2,0;0,1;0,0709106;0,00299939;2,00073;-3,85556e-05;0,363119115963144
2,0;0,1;0,07303645;0,003999425;2,00075;-5,3821850000000004e-05;0,36870537561194583
2,0;0,1;0,0751295;0,0049996599999999995;2,000745;-7,022105e-05;0,3740561529517903
2,0;0,1;0,0770511;0,00599967;2,00075;-8,75399e-05;0,3789995058497734
2,0;0,1;0,08079335;0,007999715000000001;2,00075;-0,000125195;0,38755806269270676
2,0;0,1;0,0843611;0,00999933;2,0007349999999997;-0,000166604;0,3952427988560714
2,0;0,1;0,0984135;0,0199974;2,00073;-0,000467292;0,4750003226615617
2,5;0,1;0,0642829;9,99969e-06;2,50079;4,06128e-08;0,0
2,5;0,1;0,0635096;1,99915e-05;2,50046;-2,43383e-08;0,0480331939228423
2,5;0,1;0,0631989;2,9992e-05;2,50089;6,67608e-09;0,0
2,5;0,1;0,0631674;3,99932e-05;2,50088;3,96661e-09;0,0
2,5;0,1;0,063171;4,99935e-05;2,50089;-1,29843e-10;0,0001025820649293
2,5;0,1;0,0629335;5,99932e-05;2,50082;1,92404e-09;0,0
2,5;0,1;0,0629464;7,99933e-05;2,50079;-4,85237e-08;0,0240421057843707
2,5;0,1;0,0630347;9,99914e-05;2,50083;-1,91626e-07;0,0759043005264209
2,5;0,1;0,0630328;0,000199987;2,50081;-1,32141e-06;0,2621709855040463
2,5;0,1;0,0630146;0,000300005;2,5008;-2,25295e-06;0,2984959516520253
