V_out_nom;V_inp_nom;I_inp_nom;V_inp;I_inp;V_out;I_out;eta
2,0;0,1;0,05;0,124241;0,0190213;2,00071;-0,000758852;0,6424452055106954
2,0;0,1;0,05;0,124223;0,0190376;2,00071;-0,000758581;0,641758888978562
2,0;0,1;0,05;0,124206;0,0190525;2,00068;-0,000758522;0,6412852724024853
2,0;0,1;0,05;0,124199;0,0190615;2,00069;-0,000758745;0,6412102720816848
2,0;0,1;0,05;0,1242;0,0190667;2,0007;-0,000758899;0,6411635480570383
2,0;0,1;0,05;0,124193;0,0190806;2,00069;-0,000758794;0,6406407270595614
2,0;0,1;0,05;0,124178;0,019083;2,0007;-0,000758998;0,6408129688848331
2,0;0,1;0,04;0,126509;-7,26104e-05;2,00071;-0,000764335;-166,47446880289604
2,0;0,1;0,04;0,126039;0,0197807;2,0007;-0,000764117;0,6131902332689682
2,0;0,1;0,04;0,126025;0,0197726;2,0007;-0,000764237;0,6136059260805876
2,0;0,1;0,04;0,126017;0,0197858;2,00072;-0,000764587;0,6135224681263124
2,0;0,1;0,04;0,125995;0,0197738;2,00069;-0,000764161;0,613650683724772
2,0;0,1;0,04;0,126014;0,0197825;2,00071;-0,00076401;0,6131732695031262
2,0;0,1;0,04;0,126024;0,0197984;2,00072;-0,000764512;0,6130378166722825
2,0;0,1;0,04;0,125994;0,0198007;2,00072;-0,000764087;0,6127717235964338
2,0;0,1;0,03;0,127895;0,0177136;2,00075;-0,000642473;0,5673973550768517
2,0;0,1;0,03;0,127896;0,0173775;2,00074;-0,000635537;0,5721201388388891
2,0;0,1;0,03;0,12789;0,0173438;2,00074;-0,000636973;0,5745539762578507
2,0;0,1;0,03;0,127911;0,0173871;2,00075;-0,000631308;0,5679355734559594
2,0;0,1;0,03;0,127876;0,0173065;2,00075;-0,000652935;0,5902887211756491
2,0;0,1;0,03;0,127883;0,0173673;2,00074;-0,000653019;0,5882627520254077
2,0;0,1;0,03;0,127889;0,0174067;2,00075;-0,000652547;0,586482404464295
2,0;0,1;0,03;0,127907;0,0175924;2,00073;-0,000633835;0,5635666658346247
2,0;0,1;0,02;0,0977572;0,0199974;2,00072;-0,000464279;0,4751634931119319
2,0;0,1;0,02;0,0980247;0,0199972;2,00073;-0,000465996;0,47562640939531586
2,0;0,1;0,02;0,0984135;0,0199974;2,00073;-0,000466385;0,47413809141101254
2,0;0,1;0,02;0,0983657;0,0199975;2,00075;-0,000467292;0,47529339516660907
2,0;0,1;0,02;0,0986201;0,0199974;2,00073;-0,000467431;0,4742059767005871
2,0;0,1;0,02;0,0985884;0,0199973;2,00073;-0,000467434;0,4743638689298691
2,0;0,1;0,02;0,0985421;0,0199971;2,00072;-0,000467839;0,4750003226615617
2,0;0,1;0,01;0,084363;0,00999939;2,00073;-0,000166611;0,39515422783878607
2,0;0,1;0,01;0,0843723;0,00999933;2,00074;-0,000166682;0,3952833925698582
2,0;0,1;0,01;0,0843728;0,00999926;2,00074;-0,000166652;0,3952126727189884
2,0;0,1;0,01;0,0843731;0,00999931;2,00075;-0,000166678;0,3952729249931543
2,0;0,1;0,01;0,0842563;0,00999939;2,00072;-0,000166545;0,3954959325826153
2,0;0,1;0,01;0,0843592;0,00999937;2,00073;-0,000166554;0,3950376238827419
2,0;0,1;0,01;0,0843582;0,00999933;2,00072;-0,000166507;0,39493043534100525
2,0;0,1;0,01;0,0843213;0,00999931;2,00074;-0,000166597;0,3953215643727929
2,0;0,1;0,008;0,0807912;0,00799979;2,00076;-0,000125149;0,3874179462487307
2,0;0,1;0,008;0,0807955;0,00799972;2,00075;-0,000125269;0,3877702411881635
2,0;0,1;0,008;0,0808027;0,00799973;2,00075;-0,000125212;0,3875587762921195
2,0;0,1;0,008;0,0808122;0,00799969;2,00075;-0,000125258;0,38765751800413756
2,0;0,1;0,008;0,0808055;0,00799969;2,00077;-0,000125214;0,38755734909329403
2,0;0,1;0,008;0,0807709;0,00799972;2,00076;-0,00012516;0,38755276720332643
2,0;0,1;0,008;0,0807829;0,00799971;2,00075;-0,000125178;0,38754947308990456
2,0;0,1;0,008;0,0807618;0,00799967;2,00075;-0,000125167;0,3876185984989041
2,0;0,1;0,006;0,0771053;0,00599969;2,00071;-8,75054e-05;0,3784477736636955
2,0;0,1;0,006;0,0770412;0,0059996;2,00075;-8,7518e-05;0,37883044552968204
2,0;0,1;0,006;0,0770593;0,00599967;2,00074;-8,76107e-05;0,3791363127509712
2,0;0,1;0,006;0,0770511;0,00599965;2,00076;-8,75686e-05;0,3789995058497734
2,0;0,1;0,006;0,0768302;0,00599972;2,00075;-8,74744e-05;0,37967399434097876
2,0;0,1;0,006;0,0770319;0,00599972;2,00077;-8,76649e-05;0,3795083326137604
2,0;0,1;0,006;0,0771111;0,00599966;2,00075;-8,75399e-05;0,37857796607007244
2,0;0,1;0,005;0,0750826;0,00499967;2,00073;-7,02213e-05;0,3742628378769352
2,0;0,1;0,005;0,0751586;0,00499974;2,00073;-7,03022e-05;0,37430988625074
2,0;0,1;0,005;0,0751699;0,00499962;2,00074;-7,02208e-05;0,3738311257946873
2,0;0,1;0,005;0,0751434;0,00499961;2,00075;-7,01854e-05;0,373777052762182
2,0;0,1;0,005;0,0750609;0,00499965;2,00075;-7,03049e-05;0,3748219798624901
2,0;0,1;0,005;0,0751368;0,00499965;2,00076;-7,01734e-05;0,37374485067565744
2,0;0,1;0,005;0,0751222;0,00499981;2,00075;-7,0182e-05;0,3738494680266454
2,0;0,1;0,005;0,0750918;0,00499976;2,00074;-7,02443e-05;0,37433468648693613
2,0;0,1;0,004;0,0730395;0,00399937;2,00074;-5,38614e-05;0,368908716270493
2,0;0,1;0,004;0,0730799;0,00399943;2,00075;-5,3902e-05;0,36897900969009345
2,0;0,1;0,004;0,0730339;0,0039994;2,00075;-5,38067e-05;0,36856139926399467
2,0;0,1;0,004;0,0730443;0,0039994;2,00075;-5,38247e-05;0,3686322013273522
2,0;0,1;0,004;0,073039;0,00399942;2,00074;-5,38427e-05;0,3687785498965395
2,0;0,1;0,004;0,0730001;0,00399943;2,00075;-5,37513e-05;0,36834963419322275
2,0;0,1;0,004;0,073;0,00399945;2,00075;-5,37733e-05;0,36849905894594764
2,0;0,1;0,004;0,07297;0,00399943;2,00073;-5,3819e-05;0,3689620188788373
2,0;0,1;0,003;0,0709106;0,00299951;2,00074;-3,86029e-05;0,36311911596314406
2,0;0,1;0,003;0,0708705;0,00299944;2,00074;-3,85556e-05;0,3628878647150936
2,0;0,1;0,003;0,0709169;0,00299946;2,00073;-3,85334e-05;0,3624373925332051
2,0;0,1;0,003;0,070906;0,00299939;2,00072;-3,861e-05;0,36322036427063464
2,0;0,1;0,003;0,0707155;0,00299936;2,00073;-3,85506e-05;0,3636439899249081
2,0;0,1;0,003;0,0709192;0,00299933;2,00073;-3,85346e-05;0,3624526339273432
2,0;0,1;0,003;0,0709502;0,00299932;2,00073;-3,86232e-05;0,36312847829392647
2,0;0,1;0,002;0,0686318;0,0019993;2,00073;-2,4293e-05;0,3542144541808863
2,0;0,1;0,002;0,0685984;0,00199936;2,00073;-2,42692e-05;0,3540290986890587
2,0;0,1;0,002;0,0686594;0,0019993;2,00073;-2,42491e-05;0,3534322201615794
2,0;0,1;0,002;0,0686536;0,00199936;2,00073;-2,42952e-05;0,3541234187167541
2,0;0,1;0,002;0,0686701;0,00199931;2,00073;-2,42159e-05;0,3528915674031616
2,0;0,1;0,002;0,0686503;0,00199932;2,00072;-2,42352e-05;0,35327114972460977
2,0;0,1;0,002;0,0686588;0,00199935;2,00072;-2,42906e-05;0,35402955586833584
2,0;0,1;0,001;0,0646253;0,000999967;2,0007;-1,09308e-05;0,3384119419038346
2,0;0,1;0,001;0,0646324;0,000999965;2,00069;-1,0859e-05;0,3361511119633421
2,0;0,1;0,001;0,0646363;0,000999965;2,00069;-1,08807e-05;0,33680253389251485
2,0;0,1;0,001;0,0646802;0,000999966;2,0007;-1,09576e-05;0,3389540496617912
2,0;0,1;0,001;0,0646998;0,000999968;2,0007;-1,09399e-05;0,33830333866669193
2,0;0,1;0,001;0,0647942;0,000999967;2,00071;-1,09742e-05;0,3388716314151049
2,0;0,1;0,001;0,064757;0,000999971;2,0007;-1,09636e-05;0,3387357451674544
2,0;0,1;0,0008;0,0641628;0,000799999;2,00069;-8,45884e-06;0,32969917448315444
2,0;0,1;0,0008;0,0641517;0,000799998;2,0007;-8,46414e-06;0,3299648963631923
2,0;0,1;0,0008;0,0641213;0,000799999;2,00072;-8,48186e-06;0,33081534824446374
2,0;0,1;0,0008;0,0640932;0,000799997;2,00073;-8,48758e-06;0,33118606212756485
2,0;0,1;0,0008;0,0639855;0,000799998;2,00072;-8,47745e-06;0,33134550340732305
2,0;0,1;0,0008;0,0640163;0,000799997;2,00072;-8,5788e-06;0,33514591401729177
2,0;0,1;0,0008;0,0639847;0,000799998;2,00071;-8,50727e-06;0,3325135288837953
2,0;0,1;0,0006;0,0637819;0,000600008;2,00073;-6,2961e-06;0,32915890448432755
2,0;0,1;0,0006;0,0638009;0,00060001;2,00073;-6,18505e-06;0,32325585914808314
2,0;0,1;0,0006;0,0638313;0,000600007;2,00073;-6,18391e-06;0,32304396934012936
2,0;0,1;0,0006;0,0637641;0,000600005;2,00073;-6,11062e-06;0,31955282237208166
2,0;0,1;0,0006;0,063741;0,000600003;2,00072;-6,16222e-06;0,3223674755213606
2,0;0,1;0,0006;0,0637791;0,000600003;2,00072;-6,23543e-06;0,3260024870520367
2,0;0,1;0,0006;0,0637809;0,000600005;2,00072;-6,19951e-06;0,3241142799202065
2,0;0,1;0,0005;0,0638286;0,000500014;2,00075;-5,15858e-06;0,32338920027327184
2,0;0,1;0,0005;0,0638318;0,00050001;2,00072;-5,00748e-06;0,31389887229561547
2,0;0,1;0,0005;0,0638472;0,000500013;2,00071;-5,05752e-06;0,3169557243430627
2,0;0,1;0,0005;0,0637924;0,000500012;2,00072;-5,00851e-06;0,3141560950189894
2,0;0,1;0,0005;0,0638253;0,000500013;2,00071;-5,0412e-06;0,3160413511055144
2,0;0,1;0,0005;0,0637691;0,00050001;2,00071;-5,10462e-06;0,32030121256218025
2,0;0,1;0,0005;0,0638289;0,00050001;2,00073;-5,07488e-06;0,31813995218993457
2,0;0,1;0,0004;0,0637871;0,0004;2,00073;-3,91025e-06;0,3066197743156532
2,0;0,1;0,0004;0,0637591;0,000399998;2,00073;-4,02565e-06;0,3158089980839982
2,0;0,1;0,0004;0,0637571;0,000399999;2,00075;-3,92518e-06;0,30793917533532716
2,0;0,1;0,0004;0,0637734;0,000399999;2,00073;-3,91629e-06;0,3071601357441426
2,0;0,1;0,0004;0,0637807;0,000399997;2,00072;-3,96706e-06;0,311106487188467
