V_inp_nom;I_out_nom;V_inp;I_inp;V_out;I_out;eta
2,0;5e-07;1,99977;2,39692e-06;1,79756;-5,00049e-07;0,18752638013745726
2,0;5e-07;1,99981;1,15392e-06;1,80731;-5,00048e-07;0,3916335684030859
2,0;5e-07;1,99979;3,24484e-07;1,81155;-5,0006e-07;1,396030036575273
2,0;5e-07;1,99841;6,12811e-07;1,8085;-5,0006e-07;0,7384642630822577
2,0;5e-07;1,99955;4,15546e-07;1,80615;-5,0005e-07;1,0869657816790694
2,0;5e-07;1,99979;5,60528e-07;1,80387;-5,00057e-07;0,8047167532283608
2,0;5e-07;1,9998;1,58575e-06;1,80154;-5,00049e-07;0,2840764213454295
2,0;5e-07;1,9998;6,34708e-07;1,81371;-5,0005e-07;0,7145304526955023
2,0;5e-07;1,99814;4,13444e-07;1,80875;-5,0005e-07;1,094836753414274
2,0;5e-07;1,99983;7,99661e-07;1,81037;-5,00046e-07;0,566080646276776
2,0;5e-07;1,99972;5,87279e-07;1,81658;-5,00036e-07;0,7734676230904066
2,0;5e-07;1,99884;6,79278e-07;1,81432;-5,00032e-07;0,6681686659063342
2,0;5e-07;1,99815;1,94549e-07;1,812;-5,00036e-07;2,3307858645108337
2,0;5e-07;1,99787;3,87193e-07;1,80969;-5,00035e-07;1,1697952881316356
2,0;5e-07;1,99934;5,99633e-07;1,80746;-5,00039e-07;0,7538768242895023
2,0;6e-07;1,99981;1,39759e-06;1,80346;-6,00034e-07;0,38718083645861556
2,0;6e-07;1,99981;2,09725e-06;1,80261;-6,00041e-07;0,25789549947881596
2,0;6e-07;1,99927;7,12302e-07;1,81446;-6,00051e-07;0,7645395373593815
2,0;6e-07;1,99977;2,29561e-07;1,79818;-6,00056e-07;2,3504271159992562
2,0;6e-07;1,99798;9,2747e-07;1,80786;-6,0005e-07;0,5854114716307474
2,0;6e-07;1,99789;7,10328e-07;1,80904;-6,00042e-07;0,7648905798611082
2,0;6e-07;1,99836;1,14311e-06;1,81052;-6,00046e-07;0,47558277818604444
2,0;6e-07;1,99828;9,6467e-07;1,81218;-6,00047e-07;0,5640940090997668
2,0;6e-07;1,99979;2,61781e-07;1,80294;-6,00049e-07;2,066547897832159
2,0;6e-07;1,99833;8,85779e-07;1,80602;-6,00055e-07;0,6122390496295051
2,0;6e-07;1,99803;8,55138e-07;1,80746;-6,00051e-07;0,6347732959068765
2,0;6e-07;1,9984;8,5162e-07;1,80886;-6,00038e-07;0,6377572976631228
2,0;7e-07;1,99978;1,71426e-06;1,80189;-7,00035e-07;0,36795026246944074
2,0;7e-07;1,99981;9,29815e-07;1,81415;-7,00028e-07;0,6829726630905497
2,0;7e-07;1,99979;6,75298e-07;1,81011;-7,00043e-07;0,9383175279354418
2,0;7e-07;1,99812;8,4731e-07;1,80504;-7,00042e-07;0,7463577184465094
2,0;7e-07;1,99979;5,04993e-07;1,81154;-7,00048e-07;1,255758124590983
2,0;7e-07;1,9983;1,00294e-06;1,80395;-7,00038e-07;0,6301014376687649
2,0;7e-07;1,99837;1,01472e-06;1,80647;-7,0004e-07;0,6236364462565215
2,0;7e-07;1,99981;2,26703e-06;1,80094;-7,00032e-07;0,27808088323575275
2,0;7e-07;1,99872;9,86193e-07;1,81233;-7,00033e-07;0,6436383593246742
2,0;7e-07;1,99802;1,57781e-06;1,80494;-7,0003e-07;0,4007973915814242
2,0;7e-07;1,99978;6,80976e-07;1,81355;-7,00031e-07;0,9322508318555606
2,0;8e-07;1,99926;1,38081e-06;1,81304;-8,0002e-07;0,5254180997744434
2,0;8e-07;1,99872;2,41838e-06;1,80095;-8,00014e-07;0,2980730708904454
2,0;8e-07;1,99809;1,1549e-06;1,80782;-8,00026e-07;0,6267579630329804
2,0;8e-07;1,99975;1,25738e-06;1,81448;-8,00026e-07;0,5773165841120557
2,0;8e-07;1,99872;2,41837e-06;1,80043;-8,00017e-07;0,29798935593270365
2,0;8e-07;1,99776;1,22306e-06;1,80612;-8,00021e-07;0,591366764131509
2,0;8e-07;1,99935;1,19129e-06;1,81342;-8,00022e-07;0,6091075853461271
2,0;8e-07;1,99916;2,41813e-06;1,80196;-8,00021e-07;0,29820803058963086
2,0;8e-07;1,99755;1,25601e-06;1,80516;-8,00014e-07;0,5756023159803632
2,0;8e-07;1,99914;7,70557e-07;1,81247;-8,0002e-07;0,941290535865512
2,0;9e-07;1,99682;1,25975e-06;1,80168;-8,99995e-07;0,644606186626973
2,0;9e-07;1,99461;1,25975e-06;1,80336;-8,99992e-07;0,6459199856055013
2,0;9e-07;1,99306;1,25976e-06;1,80386;-8,99993e-07;0,6465971295912789
2,0;9e-07;1,9913;1,25974e-06;1,80401;-8,99992e-07;0,6472319927069418
2,0;9e-07;1,98958;1,25976e-06;1,80368;-8,99993e-07;0,6476634667519535
2,0;9e-07;1,98797;1,25975e-06;1,8031;-8,99991e-07;0,6479832601512464
2,0;9e-07;1,98597;1,25976e-06;1,80173;-8,99995e-07;0,6481407216372649
2,0;9e-07;1,98404;1,25977e-06;1,80022;-8,99999e-07;0,6482252197440118
2,0;9e-07;1,98234;1,25977e-06;1,80117;-8,99986e-07;0,6491141139518735
2,0;9e-07;1,98103;1,25977e-06;1,80448;-8,9999e-07;0,6507399094358569
2,0;1e-06;1,99757;2,06913e-06;1,80241;-9,99958e-07;0,43605930967135736
2,0;1e-06;1,99871;1,51966e-06;1,80816;-9,99968e-07;0,595287471362266
2,0;1e-06;1,99939;1,09077e-06;1,81263;-9,9997e-07;0,8311232548249062
2,0;1e-06;1,99909;1,14959e-06;1,81088;-9,9996e-07;0,7879469451261186
2,0;1e-06;1,99788;1,28716e-06;1,80695;-9,99966e-07;0,7026344424748396
