origin;component;range;v_error_mean_mV;v_error_max_mV;v_error_std_mV;c_error_mean_mA;c_error_max_mA;c_error_std_mA
profile_emu_00_maiden_v22;EMU_A;full;8,268858513;196,83;18,36785407;0,053500818;5,01642572;0,219471432
profile_emu_00_maiden_v22;EMU_A;limited;6,148809524;16,56;4,887571088;0,014834377;0,129431185;0,011530425
profile_emu_00_maiden_v22;EMU_B;full;7,828146492;195,38;18,1238959;0,05563248;5,016573792;0,225472598
profile_emu_00_maiden_v22;EMU_B;limited;5,715678571;15,29;4,450961612;0,015078427;0,133731295;0,011597224
profile_emu_01_C6_removed;EMU_A;full;8,144263358;192,88;17,97209107;0,05992919;4,055488495;0,224910283
profile_emu_01_C6_removed;EMU_A;limited;6,151011905;16,78;5,06225202;0,015529074;0,13067769;0,012066116
profile_emu_01_C6_removed;EMU_B;full;8,380073824;195,24;18,21669119;0,059938416;2,704166667;0,215537939
profile_emu_01_C6_removed;EMU_B;limited;6,32327381;16,99;5,012205961;0,016113925;0,11959197;0,01238857
profile_emu_02_C6_470nF;EMU_A;full;8,172334444;191,93;17,80893439;0,037422155;5,014964075;0,178853793
profile_emu_02_C6_470nF;EMU_A;limited;6,212654762;16,67;4,907751723;0,012515858;0,112216011;0,009707595
profile_emu_02_C6_470nF;EMU_B;full;8,750593048;195,84;18,37042629;0,038838343;5,047680652;0,185622835
profile_emu_02_C6_470nF;EMU_B;limited;6,712964286;18,29;5,466965215;0,012883278;0,098124533;0,009868113
profile_emu_03_C1C2_2nF;EMU_A;full;8,110124652;192,89;17,91055381;0,016117251;5,019232018;0,116252276
profile_emu_03_C1C2_2nF;EMU_A;limited;6,110916667;16,49;4,869210794;0,013194303;0,107612114;0,010211869
profile_emu_03_C1C2_2nF;EMU_B;full;8,82836284;196,38;18,48125199;0,015801711;4,068474912;0,093434386
profile_emu_03_C1C2_2nF;EMU_B;limited;6,754785714;18,52;5,570684781;0,013851614;0,109505399;0,010718713
profile_emu_04_R10_LP_22pF;EMU_A;full;8,111545487;192,19;17,84969647;0,012155008;0,479498888;0,014148805
profile_emu_04_R10_LP_22pF;EMU_A;limited;6,130404762;16,51;4,874251237;0,012013516;0,092984635;0,009382813
profile_emu_04_R10_LP_22pF;EMU_B;full;8,213282444;195,16;18,17541694;0,012128126;0,476156573;0,013746652
profile_emu_04_R10_LP_22pF;EMU_B;limited;6,139988095;16,64;4,923504145;0,012268397;0,097951963;0,009519818
profile_emu_05_R8_ShortLoop;EMU_A;full;13,345397;197,78;20,58663107;0,012329319;5,043836471;0,11573714
profile_emu_05_R8_ShortLoop;EMU_A;limited;11,35954762;32,75;10,55256452;0,009713559;0,092171936;0,00777694
profile_emu_05_R8_ShortLoop;EMU_B;full;13,32127071;200,35;20,78750104;0,012478466;5,063018522;0,115788671
profile_emu_05_R8_ShortLoop;EMU_B;limited;11,20379762;32,38;10,41538676;0,009973289;0,087759809;0,007986841
profile_emu_06_ch1_200R_x0uF;EMU_A;full;0,0;0,0;0,0;10,17759644;19,99166122;6,888266538
profile_emu_06_ch1_200R_x0uF;EMU_A;limited;0,0;0,0;0,0;8,642815343;14,95602917;4,308887938
profile_emu_06_ch1_200R_x0uF;EMU_B;full;16,43751818;18,38;1,152104618;0,008997234;0,054864638;0,006913276
profile_emu_06_ch1_200R_x0uF;EMU_B;limited;16,54616667;17,67;0,548249311;0,009486571;0,054864638;0,007181993
profile_emu_06_ch1_200R_x1uF;EMU_A;full;0,0;0,0;0,0;10,18032935;19,99188411;6,889140917
profile_emu_06_ch1_200R_x1uF;EMU_A;limited;0,0;0,0;0,0;8,646517529;14,9629389;4,309452567
profile_emu_06_ch1_200R_x1uF;EMU_B;full;16,49096364;18,45;1,160408874;0,008977;0,064383908;0,006903405
profile_emu_06_ch1_200R_x1uF;EMU_B;limited;16,6015;17,73;0,550828245;0,009461041;0,064383908;0,007171274
profile_emu_11_baseline_fullmod;EMU_A;full;13,89670189;206,11;21,61692127;0,009584484;0,269912672;0,00968141
profile_emu_11_baseline_fullmod;EMU_A;limited;11,67083333;33,72;10,8803417;0,009754285;0,09042045;0,007713706
profile_emu_11_baseline_fullmod;EMU_B;full;0,0;0,0;0,0;9,021549202;19,99822278;6,180236538
profile_emu_11_baseline_fullmod;EMU_B;limited;0,0;0,0;0,0;7,8867237;14,95687936;4,221164869
sheep0_cape_v230c1_profile_00_lab_pwr;EMU_A;full;23,18295465;753,28;94,61573918;0,035828834;1,633903546;0,145587421
sheep0_cape_v230c1_profile_00_lab_pwr;EMU_A;limited;0,403333333;1,29;0,335471981;0,009705259;0,083259675;0,007579416
sheep0_cape_v230c1_profile_00_lab_pwr;EMU_B;full;23,18295465;753,28;94,61573918;0,035828834;1,633903546;0,145587421
sheep0_cape_v230c1_profile_00_lab_pwr;EMU_B;limited;0,403333333;1,29;0,335471981;0,009705259;0,083259675;0,007579416
sheep0_cape_v230c1_profile_01_10V4V_raise;EMU_A;full;22,82158373;746,42;93,70177611;0,04193512;1,826731294;0,169066658
sheep0_cape_v230c1_profile_01_10V4V_raise;EMU_A;limited;0,438380952;1,25;0,310154316;0,009611165;0,108562264;0,007517087
sheep0_cape_v230c1_profile_02_bridge_L3_inpCoil;EMU_A;full;23,26442508;754,23;94,66429741;0,041597756;1,775005876;0,167645648
sheep0_cape_v230c1_profile_02_bridge_L3_inpCoil;EMU_A;limited;0,453428571;1,3;0,327282455;0,009699362;0,100362947;0,007589799
sheep0_cape_v230c1_profile_03_full_all;EMU_A;full;14,42441295;732,99;69,24121563;0,008113854;0,072818391;0,008426468
sheep0_cape_v230c1_profile_03_full_all;EMU_A;limited;0,533960784;1,6;0,376613918;0,007511821;0,071060712;0,007343313
sheep0_cape_v230c1_profile_03_full_all;EMU_B;full;0,0;0,0;0,0;0,053962739;0,993889229;0,141875847
sheep0_cape_v230c1_profile_03_full_all;EMU_B;limited;0,0;0,0;0,0;0,03278624;0,221508243;0,024918828
sheep0_cape_v230c1_profile_03_full_all;HRV;full;244,0584803;5127,077;872,0809944;0,113419358;1,002;0,309334126
sheep0_cape_v230c1_profile_03_full_all;HRV;limited;0,229921569;0,8;0,209468036;0,004807201;0,050457555;0,004309917
sheep0_cape_v230c1_profile_03_short_all;EMU_A;full;23,11927005;733,42;93,2990128;0,009869538;0,078827753;0,009643175
sheep0_cape_v230c1_profile_03_short_all;EMU_A;limited;0,608321429;1,86;0,440756469;0,008666144;0,068708263;0,00827943
sheep0_cape_v230c1_profile_03_short_all;EMU_B;full;0,0;0,0;0,0;0,053887517;0,986741589;0,140588252
sheep0_cape_v230c1_profile_03_short_all;EMU_B;limited;0,0;0,0;0,0;0,032937627;0,221148251;0,025069679
sheep0_cape_v230c1_profile_03_short_all;HRV;full;273,6350216;5182,751;940,3116059;0,116281114;1,001;0,312657958
sheep0_cape_v230c1_profile_03_short_all;HRV;limited;0,271785714;0,88;0,219789743;0,004928396;0,051527818;0,004365364
sheep0_cape_v230c1_profile_04_short_emu_C6_ShuntBuff_to_470nF;EMU_A;full;23,76355401;730,1;92,4726509;0,006152267;0,068482754;0,005852747
sheep0_cape_v230c1_profile_04_short_emu_C6_ShuntBuff_to_470nF;EMU_A;limited;2,252857143;6,3;1,62614114;0,005772211;0,059413544;0,005285469
sheep0_cape_v230c1_profile_04_short_emu_C6_ShuntBuff_to_470nF;EMU_B;full;0,0;0,0;0,0;0,072778676;1,240656245;0,152858938
sheep0_cape_v230c1_profile_04_short_emu_C6_ShuntBuff_to_470nF;EMU_B;limited;0,0;0,0;0,0;0,051972203;0,663583565;0,073238401
sheep0_cape_v230c1_profile_05_full_emu_repaired;EMU_A;full;14,64649231;730,76;68,58051632;0,005472736;0,06654638;0,005374422
sheep0_cape_v230c1_profile_05_full_emu_repaired;EMU_A;limited;1,211129412;3,68;1,055926795;0,005300769;0,06654638;0,004924959
sheep0_cape_v230c1_profile_05_full_emu_repaired;EMU_B;full;0,0;0,0;0,0;0,068191346;1,725744;0,151954971
sheep0_cape_v230c1_profile_05_full_emu_repaired;EMU_B;limited;0,0;0,0;0,0;0,081269396;0,597944622;0,117622327
sheep0_cape_v230c1_profile_05_full_emu_repaired;HRV;full;251,3933217;5224,487;893,2175061;0,12198204;1,002;0,319690291
sheep0_cape_v230c1_profile_05_full_emu_repaired;HRV;limited;0,178666667;0,67;0,182009987;0,004831692;0,048651436;0,004377814
sheep0_cape_v230c1_profile_05_short_emu_repaired;EMU_A;full;26,11276789;732,25;96,56736933;0,005794783;0,074348107;0,00549227
sheep0_cape_v230c1_profile_05_short_emu_repaired;EMU_A;limited;1,398367347;3,49;1,208070452;0,005477754;0,074348107;0,005043738
sheep0_cape_v230c1_profile_05_short_emu_repaired;EMU_B;full;0,0;0,0;0,0;0,067046942;1,710321862;0,149847854
sheep0_cape_v230c1_profile_05_short_emu_repaired;EMU_B;limited;0,0;0,0;0,0;0,079560455;0,595093453;0,114695715
sheep0_cape_v230c1_profile_05_short_emu_repaired;HRV;full;296,9327715;5249,328;1001,030798;0,116522544;1,001;0,312576694
sheep0_cape_v230c1_profile_05_short_emu_repaired;HRV;limited;0,216020408;0,72;0,194656902;0,005075998;0,044436008;0,004501498
sheep0_cape_v230c1_profile_06_short_C6_lowered_100nF;EMU_A;full;26,14537472;720,84;95,56420155;0,028215474;1,544525235;0,121074825
sheep0_cape_v230c1_profile_06_short_C6_lowered_100nF;EMU_A;limited;1,924795918;2,82;0,339967692;0,009258013;0,086440891;0,007215339
sheep0_cape_v230c1_profile_06_short_C6_lowered_100nF;EMU_B;full;0,0;0,0;0,0;0,05079879;2,129267634;0,222033225
sheep0_cape_v230c1_profile_06_short_C6_lowered_100nF;EMU_B;limited;0,0;0,0;0,0;0,012428161;0,076455423;0,009325457
sheep0_cape_v230c1_profile_07_short_C6_increased_1uF;EMU_A;full;26,17007303;727,32;96,19901505;0,00481523;0,062116794;0,004567033
sheep0_cape_v230c1_profile_07_short_C6_increased_1uF;EMU_A;limited;1,695204082;5,98;1,6175393;0,00484309;0,062116794;0,004371317
sheep0_cape_v230c1_profile_07_short_C6_increased_1uF;EMU_B;full;0,0;0,0;0,0;0,025530194;1,038039529;0,038851077
sheep0_cape_v230c1_profile_07_short_C6_increased_1uF;EMU_B;limited;0,0;0,0;0,0;0,024350055;0,25291147;0,024993156
sheep0_cape_v230c1_profile_08_short_DAC_R5_lowpassed;EMU_A;full;25,91006796;719,48;95,17963667;0,024598442;0,856959529;0,062120922
sheep0_cape_v230c1_profile_08_short_DAC_R5_lowpassed;EMU_A;limited;1,789285714;2,99;0,562591064;0,019007403;0,208895487;0,018824376
sheep0_cape_v230c1_profile_08_short_DAC_R5_lowpassed;EMU_B;full;0,0;0,0;0,0;0,025577138;0,99126226;0,038228381
sheep0_cape_v230c1_profile_08_short_DAC_R5_lowpassed;EMU_B;limited;0,0;0,0;0,0;0,024922823;0,237166778;0,026125189
sheep0_cape_v230c1_profile_09_short_C6_removed;EMU_A;full;25,00154951;699,2;93,1062859;0,040110346;2,093403477;0,16740661
sheep0_cape_v230c1_profile_09_short_C6_removed;EMU_A;limited;1,665204082;2,57;0,395562729;0,012436895;0,10189743;0,009874161
sheep0_cape_v230c1_profile_09_short_C6_removed;EMU_B;full;0,0;0,0;0,0;0,078588896;2,505332885;0,311633002
sheep0_cape_v230c1_profile_09_short_C6_removed;EMU_B;limited;0,0;0,0;0,0;0,011805552;0,075741866;0,00891861
sheep0_cape_v230c1_profile_10_short_improved_profiling;EMU_A;full;26,78316839;738,36;97,27508819;0,043559938;2,503235785;0,185122272
sheep0_cape_v230c1_profile_10_short_improved_profiling;EMU_A;limited;1,809897959;2,63;0,314154193;0,013277395;0,111796805;0,01063531
sheep0_cape_v230c1_profile_10_short_improved_profiling;EMU_B;full;0,0;0,0;0,0;0,079047311;2,639816502;0,31188832
