system time [s] = value * gain + (offset); current [A] = value * gain + offset; voltage [V] = value * gain + offset
2024-10-24 11:46:24.008100; 0; 262143
2024-10-24 11:46:24.008110; 0; 262143
2024-10-24 11:46:24.008120; 0; 262143
2024-10-24 11:46:24.008130; 0; 262143
2024-10-24 11:46:24.008140; 0; 262143
2024-10-24 11:46:24.008150; 0; 169556
2024-10-24 11:46:24.008160; 0; 170556
2024-10-24 11:46:24.008170; 0; 170920
2024-10-24 11:46:24.008180; 0; 171068
2024-10-24 11:46:24.008190; 0; 171168
2024-10-24 11:46:24.008200; 0; 171259
2024-10-24 11:46:24.008210; 0; 171271
2024-10-24 11:46:24.008220; 0; 171303
2024-10-24 11:46:24.008230; 0; 171355
2024-10-24 11:46:24.008240; 0; 171349
2024-10-24 11:46:24.008250; 0; 171386
2024-10-24 11:46:24.008260; 0; 171402
2024-10-24 11:46:24.008270; 0; 171377
2024-10-24 11:46:24.008280; 0; 171404
2024-10-24 11:46:24.008290; 0; 171416
2024-10-24 11:46:24.008300; 0; 171426
2024-10-24 11:46:24.008310; 0; 171416
2024-10-24 11:46:24.008320; 0; 171419
2024-10-24 11:46:24.008330; 0; 171390
2024-10-24 11:46:24.008340; 0; 171392
2024-10-24 11:46:24.008350; 0; 171422
2024-10-24 11:46:24.008360; 0; 171398
2024-10-24 11:46:24.008370; 0; 171412
2024-10-24 11:46:24.008380; 0; 171414
2024-10-24 11:46:24.008390; 0; 171407
2024-10-24 11:46:24.008400; 0; 171448
2024-10-24 11:46:24.008410; 0; 171415
2024-10-24 11:46:24.008420; 0; 171386
2024-10-24 11:46:24.008430; 0; 171396
2024-10-24 11:46:24.008440; 0; 171409
2024-10-24 11:46:24.008450; 0; 171385
2024-10-24 11:46:24.008460; 0; 171393
2024-10-24 11:46:24.008470; 0; 171425
2024-10-24 11:46:24.008480; 0; 171404
2024-10-24 11:46:24.008490; 0; 171427
2024-10-24 11:46:24.008500; 0; 171433
2024-10-24 11:46:24.008510; 0; 171417
2024-10-24 11:46:24.008520; 0; 171404
2024-10-24 11:46:24.008530; 0; 171400
2024-10-24 11:46:24.008540; 0; 171392
2024-10-24 11:46:24.008550; 0; 171384
2024-10-24 11:46:24.008560; 0; 171404
2024-10-24 11:46:24.008570; 0; 171375
2024-10-24 11:46:24.008580; 0; 171402
2024-10-24 11:46:24.008590; 0; 171435
