system time [s] = value * gain + (offset); pru0_vsrc_tsample_mean [ns]; pru0_vsrc_tsample_max [ns],pru1_gpio_tsample_max [ns],with 10000 ns per sample-step
2024-11-08 21:03:11.065215; 460.0; 645.0; 795.0
2024-11-08 21:03:11.065215; 460.0; 500.0; 795.0
2024-11-08 21:03:11.065215; 462.0; 645.0; 795.0
2024-11-08 21:03:11.065215; 462.0; 645.0; 795.0
2024-11-08 21:03:11.065215; 488.0; 645.0; 795.0
2024-11-08 21:03:11.065215; 461.0; 665.0; 795.0
2024-11-08 21:03:11.065215; 488.0; 645.0; 795.0
2024-11-08 21:03:11.065215; 489.0; 665.0; 795.0
2024-11-08 21:03:11.065215; 489.0; 665.0; 795.0
2024-11-08 21:03:11.065215; 461.0; 680.0; 795.0
2024-11-08 21:03:11.065215; 488.0; 645.0; 795.0
2024-11-08 21:03:11.065215; 461.0; 665.0; 795.0
2024-11-08 21:03:11.065215; 461.0; 645.0; 795.0
2024-11-08 21:03:11.065215; 461.0; 645.0; 795.0
2024-11-08 21:03:11.065215; 461.0; 645.0; 795.0
2024-11-08 21:03:11.065215; 488.0; 645.0; 795.0
2024-11-08 21:03:11.065215; 461.0; 680.0; 795.0
2024-11-08 21:03:11.065215; 488.0; 645.0; 795.0
2024-11-08 21:03:11.065215; 461.0; 665.0; 795.0
2024-11-08 21:03:11.065215; 488.0; 645.0; 795.0
2024-11-08 21:03:11.155531; 488.0; 665.0; 795.0
2024-11-08 21:03:11.155531; 461.0; 665.0; 795.0
2024-11-08 21:03:11.155531; 488.0; 645.0; 795.0
2024-11-08 21:03:11.155531; 461.0; 680.0; 795.0
2024-11-08 21:03:11.155531; 488.0; 665.0; 795.0
2024-11-08 21:03:11.155531; 488.0; 665.0; 795.0
2024-11-08 21:03:11.155531; 488.0; 645.0; 795.0
2024-11-08 21:03:11.155531; 488.0; 665.0; 795.0
2024-11-08 21:03:11.155531; 461.0; 645.0; 795.0
2024-11-08 21:03:11.155531; 488.0; 665.0; 795.0
2024-11-08 21:03:11.155531; 488.0; 665.0; 795.0
2024-11-08 21:03:11.155531; 461.0; 645.0; 795.0
2024-11-08 21:03:11.155531; 489.0; 680.0; 795.0
2024-11-08 21:03:11.155531; 488.0; 665.0; 795.0
2024-11-08 21:03:11.155531; 461.0; 645.0; 795.0
2024-11-08 21:03:11.155531; 488.0; 680.0; 795.0
2024-11-08 21:03:11.155531; 488.0; 645.0; 795.0
2024-11-08 21:03:11.155531; 461.0; 645.0; 795.0
2024-11-08 21:03:11.155531; 488.0; 665.0; 795.0
2024-11-08 21:03:11.155531; 488.0; 645.0; 795.0
2024-11-08 21:03:11.282599; 488.0; 680.0; 795.0
2024-11-08 21:03:11.282599; 461.0; 645.0; 795.0
2024-11-08 21:03:11.282599; 488.0; 665.0; 795.0
2024-11-08 21:03:11.282599; 462.0; 645.0; 795.0
2024-11-08 21:03:11.282599; 487.0; 680.0; 795.0
2024-11-08 21:03:11.282599; 462.0; 645.0; 795.0
2024-11-08 21:03:11.282599; 487.0; 680.0; 795.0
2024-11-08 21:03:11.282599; 487.0; 645.0; 795.0
2024-11-08 21:03:11.282599; 487.0; 645.0; 795.0
2024-11-08 21:03:11.282599; 461.0; 645.0; 797.0
2024-11-08 21:03:11.282599; 461.0; 680.0; 797.0
2024-11-08 21:03:11.282599; 461.0; 662.0; 797.0
2024-11-08 21:03:11.282599; 461.0; 662.0; 797.0
2024-11-08 21:03:11.282599; 461.0; 647.0; 797.0
2024-11-08 21:03:11.282599; 461.0; 647.0; 797.0
2024-11-08 21:03:11.282599; 461.0; 662.0; 797.0
2024-11-08 21:03:11.282599; 461.0; 662.0; 797.0
2024-11-08 21:03:11.282599; 461.0; 662.0; 797.0
2024-11-08 21:03:11.282599; 461.0; 647.0; 797.0
2024-11-08 21:03:11.282599; 461.0; 647.0; 797.0
2024-11-08 21:03:11.339688; 461.0; 662.0; 797.0
2024-11-08 21:03:11.339688; 461.0; 662.0; 797.0
2024-11-08 21:03:11.339688; 461.0; 662.0; 797.0
2024-11-08 21:03:11.339688; 461.0; 662.0; 797.0
2024-11-08 21:03:11.339688; 461.0; 662.0; 797.0
2024-11-08 21:03:11.339688; 461.0; 647.0; 797.0
2024-11-08 21:03:11.339688; 461.0; 647.0; 797.0
2024-11-08 21:03:11.339688; 461.0; 647.0; 797.0
2024-11-08 21:03:11.339688; 461.0; 662.0; 797.0
2024-11-08 21:03:11.339688; 461.0; 647.0; 797.0
2024-11-08 21:03:11.339688; 461.0; 662.0; 797.0
2024-11-08 21:03:11.339688; 461.0; 647.0; 797.0
2024-11-08 21:03:11.339688; 461.0; 647.0; 797.0
2024-11-08 21:03:11.339688; 461.0; 647.0; 797.0
2024-11-08 21:03:11.339688; 461.0; 682.0; 797.0
2024-11-08 21:03:11.339688; 461.0; 662.0; 797.0
2024-11-08 21:03:11.339688; 461.0; 662.0; 797.0
2024-11-08 21:03:11.339688; 461.0; 662.0; 797.0
2024-11-08 21:03:11.339688; 461.0; 662.0; 797.0
2024-11-08 21:03:11.339688; 461.0; 647.0; 795.0
2024-11-08 21:03:12.902587; 484.0; 662.0; 795.0
2024-11-08 21:03:12.902587; 461.0; 680.0; 795.0
2024-11-08 21:03:12.902587; 3963.0; 5249.0; 775.0
2024-11-08 21:03:12.902587; 5173.0; 5440.0; 690.0
2024-11-08 21:03:12.902587; 5173.0; 5385.0; 680.0
2024-11-08 21:03:12.902587; 5198.0; 5420.0; 682.0
2024-11-08 21:03:12.902587; 5198.0; 5407.0; 692.0
2024-11-08 21:03:12.902587; 5198.0; 5412.0; 682.0
2024-11-08 21:03:12.902587; 5173.0; 5387.0; 680.0
2024-11-08 21:03:12.902587; 5173.0; 5390.0; 675.0
2024-11-08 21:03:12.902587; 5173.0; 5390.0; 675.0
2024-11-08 21:03:12.902587; 5173.0; 5385.0; 695.0
2024-11-08 21:03:12.902587; 5198.0; 5405.0; 692.0
2024-11-08 21:03:12.902587; 5199.0; 5407.0; 692.0
2024-11-08 21:03:12.902587; 5173.0; 5387.0; 680.0
2024-11-08 21:03:12.902587; 5173.0; 5400.0; 690.0
2024-11-08 21:03:12.902587; 5173.0; 5396.0; 680.0
2024-11-08 21:03:12.902587; 5198.0; 5415.0; 672.0
2024-11-08 21:03:12.902587; 5198.0; 5417.0; 682.0
2024-11-08 21:03:12.902587; 5198.0; 5422.0; 687.0
