system time [s] = value * gain + (offset); cpu_util [%]; io_read [n]; io_write [n]; io_read [byte]; io_write [byte]; nw_sent [byte]; nw_recv [byte]; ram_available [%]; ram_used [%]
2024-11-08 21:03:03.656410; 41.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 73.0; 28.0
2024-11-08 21:03:04.152240; 101.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 73.0; 28.0
2024-11-08 21:03:04.929285; 101.0; 1.0; 1.0; 1.0; 1.0; 237.0; 269.0; 73.0; 28.0
2024-11-08 21:03:05.720576; 96.0; 1.0; 127.0; 1.0; 978945.0; 1.0; 1.0; 73.0; 28.0
2024-11-08 21:03:06.829032; 100.0; 1.0; 1.0; 1.0; 1.0; 1.0; 193.0; 73.0; 28.0
2024-11-08 21:03:07.778377; 13.0; 1.0; 1.0; 1.0; 1.0; 1.0; 65.0; 73.0; 28.0
2024-11-08 21:03:08.727513; 9.0; 1.0; 2.0; 1.0; 40961.0; 1.0; 193.0; 73.0; 28.0
2024-11-08 21:03:09.676351; 9.0; 1.0; 4.0; 1.0; 16385.0; 1.0; 65.0; 73.0; 28.0
2024-11-08 21:03:10.925180; 12.0; 1.0; 3.0; 1.0; 28673.0; 1.0; 193.0; 73.0; 28.0
2024-11-08 21:03:11.878853; 61.0; 1.0; 1.0; 1.0; 1.0; 475.0; 275.0; 73.0; 28.0
2024-11-08 21:03:12.843887; 35.0; 1.0; 1.0; 1.0; 1.0; 1.0; 279.0; 73.0; 29.0
