Time [s],Pru00
0.000000000,0
0.020155758,1
0.020186248,0
0.120158096,1
0.120168516,0
0.220148218,1
0.220158628,0
0.320154112,1
0.320164522,0
0.420144876,1
0.420155290,0
0.520145340,1
0.520165778,0
0.620144106,1
0.620174574,0
0.720146398,1
0.720156842,0
0.820137080,1
0.820147524,0
0.920143030,1
0.920153438,0
1.020132540,1
1.020142948,0
1.120138718,1
1.120149128,0
1.220129572,1
1.220139980,0
1.320134914,1
1.320145368,0
1.420125728,1
1.420136136,0
1.520126872,1
1.520137280,0
1.620125162,1
1.620155668,0
1.720127354,1
1.720137764,0
1.820117664,1
1.820128108,0
1.920123798,1
1.920134256,0
2.020113808,1
2.020124258,0
2.120120070,1
2.120130494,0
2.220109902,1
2.220120322,0
2.320116036,1
2.320126474,0
2.420106270,1
2.420116730,0
2.520112658,1
2.520123066,0
2.620102312,1
2.620112730,0
2.720108454,1
2.720118878,0
2.820098418,1
2.820108876,0
2.920105038,1
2.920115452,0
3.020094440,1
3.020104856,0
3.120100872,1
3.120111280,0
3.220090970,1
3.220101380,0
3.320097262,1
3.320107696,0
3.420087124,1
3.420097534,0
3.520094070,1
3.520104528,0
3.620082644,1
3.620093082,0
3.720089186,1
3.720099594,0
3.820079930,1
3.820090354,0
3.920085520,1
3.920095928,0
4.020075818,1
4.020086268,0
4.120081934,1
4.120092342,0
4.220071810,1
4.220082258,0
4.320078144,1
4.320088574,0
4.420068314,1
4.420078742,0
4.520074142,1
4.520084552,0
4.620064448,1
4.620074886,0
4.720070256,1
4.720080694,0
4.820060868,1
4.820071288,0
4.920066552,1
4.920077006,0
5.020057038,1
5.020067448,0
5.120062842,1
5.120073252,0
5.220052904,1
5.220063334,0
5.320059482,1
5.320069906,0
5.420048482,1
5.420058892,0
5.520055090,1
5.520065548,0
5.620045896,1
5.620056310,0
5.720046260,1
5.720066704,0
5.820045066,1
5.820075570,0
5.920047554,1
5.920058002,0
6.020038982,1
6.020049390,0
6.120043532,1
6.120053942,0
6.220034034,1
6.220044444,0
6.320040072,1
6.320050506,0
6.420029840,1
6.420040248,0
6.520035966,1
6.520046390,0
6.620026786,1
6.620037240,0
6.720031924,1
6.720042364,0
6.820022728,1
6.820033138,0
6.920028346,1
6.920038774,0
7.020018632,1
7.020029042,0
7.120024754,1
7.120035188,0
7.220014894,1
7.220025354,0
7.320020702,1
7.320031154,0
7.420011224,1
