Time [s],Pru00
0.000000000,0
0.061743914,1
0.061754352,0
0.161746022,1
0.161766480,0
0.261745424,1
0.261755834,0
0.361746916,1
0.361767362,0
0.461746212,1
0.461756624,0
0.561747468,1
0.561767908,0
0.661747006,1
0.661757422,0
0.761748060,1
0.761768526,0
0.861747904,1
0.861758314,0
0.961748866,1
0.961769330,0
1.061747796,1
1.061758250,0
1.161750442,1
1.161770886,0
1.261747472,1
1.261757880,0
1.361750038,1
1.361770512,0
1.461749268,1
1.461759686,0
1.561750728,1
1.561771216,0
1.661749996,1
1.661760404,0
1.761751224,1
1.761771676,0
1.861751260,1
1.861761704,0
1.961752510,1
1.961772974,0
2.061750016,1
2.061760450,0
2.161752424,1
2.161772910,0
2.261751072,1
2.261761490,0
2.361753132,1
2.361773612,0
2.461752334,1
2.461762784,0
2.561753720,1
2.561774158,0
2.661752618,1
2.661763076,0
2.761754218,1
2.761774684,0
2.861753120,1
2.861763528,0
2.961754410,1
2.961774888,0
3.061754204,1
3.061764654,0
3.161754960,1
3.161775414,0
3.261754710,1
3.261765118,0
3.361756100,1
3.361776560,0
3.461754228,1
3.461764638,0
3.561755934,1
3.561776416,0
3.661755160,1
3.661765588,0
3.761756586,1
3.761777032,0
3.861756050,1
3.861766460,0
3.961757070,1
3.961777506,0
4.061756592,1
4.061767020,0
4.161757674,1
4.161778120,0
4.261756704,1
4.261767118,0
4.361757908,1
4.361778390,0
4.461757884,1
4.461768328,0
4.561758702,1
4.561779170,0
4.661757348,1
4.661767756,0
4.761758972,1
4.761779454,0
4.861758056,1
4.861768466,0
4.961759728,1
4.961780166,0
5.061758314,1
5.061768742,0
5.161759932,1
5.161780370,0
5.261759182,1
5.261769626,0
5.361760364,1
5.361780806,0
5.461759726,1
5.461770148,0
5.561760666,1
5.561781104,0
5.661759640,1
5.661770050,0
5.761760898,1
5.761781336,0
5.861760494,1
5.861770932,0
5.961762260,1
5.961782710,0
6.061759592,1
6.061770012,0
6.161761960,1
6.161782396,0
6.261761010,1
6.261771418,0
6.361762332,1
6.361782772,0
6.461761584,1
6.461772024,0
6.561762610,1
6.561783046,0
6.661761414,1
6.661771822,0
6.761762816,1
6.761783260,0
6.861762418,1
6.861772852,0
6.961763584,1
6.961784036,0
7.061761836,1
7.061772270,0
7.161763702,1
7.161784142,0
7.261763124,1
7.261773564,0
7.361763870,1
7.361784322,0
7.461762924,1
7.461773332,0
7.561764248,1
7.561784688,0
7.661763466,1
7.661773874,0
7.761764506,1
7.761784972,0
7.861763770,1
7.861774228,0
7.961765034,1
7.961835638,0
8.061764550,1
8.061775000,0
8.161765326,1
8.161785762,0
8.261763326,1
8.261773740,0
8.361765362,1
8.361785802,0
8.461765394,1
8.461775818,0
8.561765714,1
8.561786150,0
