Time [s],Pru00
0.000000000,0
0.006910384,1
0.006930838,0
0.106910248,1
0.106930696,0
0.206910314,1
0.206930752,0
0.306909968,1
0.306920412,0
0.406910308,1
0.406930748,0
0.506909716,1
0.506920150,0
0.606910158,1
0.606930634,0
0.706909522,1
0.706919956,0
0.806909364,1
0.806919814,0
0.906909050,1
0.906939560,0
1.006908932,1
1.006929386,0
1.106909248,1
1.106939712,0
1.206908656,1
1.206919090,0
1.306908538,1
1.306928976,0
1.406908568,1
1.406939038,0
1.506908180,1
1.506918588,0
1.606908184,1
1.606918618,0
1.706907898,1
1.706918306,0
1.806907654,1
1.806938136,0
1.906907788,1
1.906918198,0
2.006907456,1
2.006927914,0
2.106907374,1
2.106917828,0
2.206907346,1
2.206917770,0
2.306906942,1
2.306937430,0
2.406907020,1
2.406927510,0
2.506906808,1
2.506917250,0
2.606906624,1
2.606917032,0
2.706906482,1
2.706926920,0
2.806906336,1
2.806936806,0
2.906906060,1
2.906926546,0
3.006906142,1
3.006926578,0
3.106905774,1
3.106916182,0
3.206905676,1
3.206916124,0
3.306905500,1
3.306915908,0
3.406905274,1
3.406915682,0
3.506905228,1
3.506915638,0
3.606905156,1
3.606915580,0
3.706904946,1
3.706935414,0
3.806904800,1
3.806925240,0
3.906904538,1
3.906914978,0
4.006904294,1
4.006934806,0
4.106904196,1
4.106924632,0
4.206903990,1
4.206924428,0
4.306904204,1
4.306914612,0
4.406903702,1
4.406914126,0
4.506904192,1
4.506924628,0
4.606903542,1
4.606923980,0
4.706903452,1
4.706913890,0
4.806903180,1
4.806963734,0
4.906903246,1
4.906933756,0
5.006902916,1
5.006933382,0
5.106902786,1
5.106933252,0
5.206902450,1
5.206932936,0
5.306902626,1
5.306923100,0
5.406902244,1
5.406912668,0
5.506902278,1
5.506952810,0
5.606902268,1
5.606932774,0
5.706901860,1
5.706912314,0
5.806901632,1
5.806912082,0
5.906901564,1
5.906912018,0
6.006901202,1
6.006921644,0
6.106901148,1
6.106911556,0
6.206900874,1
6.206911324,0
6.306900916,1
6.306921376,0
6.406900542,1
6.406920982,0
6.506900390,1
6.506930862,0
6.606900416,1
6.606930884,0
6.706899976,1
6.706910426,0
6.806899812,1
6.806910222,0
6.906899838,1
6.906930306,0
7.006899702,1
7.006930168,0
7.106899580,1
7.106909988,0
7.206899250,1
7.206909670,0
7.306899000,1
7.306909436,0
7.406898896,1
7.406909304,0
7.506898914,1
7.506919356,0
7.606898792,1
7.606909200,0
7.706898338,1
7.706908796,0
7.806898286,1
7.806918762,0
7.906898146,1
7.906928640,0
8.006898054,1
8.006918490,0
8.106897722,1
8.106908144,0
8.206897692,1
8.206908100,0
8.306897426,1
8.306927926,0
8.406897170,1
8.406917658,0
8.506897072,1
8.506907480,0
8.606896818,1
8.606907246,0
8.706896764,1
8.706907182,0
8.806896656,1
8.806907116,0
8.906896390,1
8.906906798,0
9.006896382,1
9.006916848,0
9.106896174,1
9.106916616,0
9.206895888,1
9.206906298,0
9.306895836,1
9.306916276,0
9.406895596,1
9.406916038,0
9.506895422,1
9.506905860,0
9.606895254,1
9.606905712,0
9.706894874,1
9.706925366,0
9.806894846,1
9.806915286,0
9.906894814,1
9.906905274,0
10.006894656,1
10.006915092,0
10.106894476,1
10.106914944,0
10.206894556,1
10.206914994,0
10.306894082,1
10.306904492,0
10.406893982,1
10.406904426,0
10.506893568,1
10.506904020,0
10.606893754,1
10.606914240,0
10.706893652,1
10.706914090,0
10.806893274,1
10.806913714,0
10.906893164,1
10.906903616,0
11.006892744,1
11.006913180,0
11.106892824,1
11.106913286,0
11.206892642,1
11.206913082,0
11.306892230,1
11.306902644,0
11.406892072,1
11.406902492,0
11.506892190,1
11.506902598,0
11.606891754,1
11.606912220,0
11.706891912,1
11.706902322,0
11.806891398,1
11.806901828,0
11.906891266,1
11.906901676,0
12.006891262,1
12.006911724,0
12.106890842,1
12.106911320,0
12.206890866,1
12.206911340,0
12.306890716,1
12.306911186,0
12.406890500,1
12.406910948,0
12.506890480,1
12.506931024,0
12.606890284,1
12.606930788,0
12.706889882,1
12.706900296,0
12.806889888,1
12.806900312,0
12.906889676,1
12.906920144,0
13.006889596,1
13.006910048,0
13.106889276,1
13.106909728,0
13.206888868,1
13.206899292,0
13.306888968,1
13.306899392,0
13.406888992,1
13.406909438,0
13.506888636,1
13.506919146,0
13.606888630,1
13.606919096,0
13.706888236,1
13.706898646,0
13.806887792,1
13.806898236,0
13.906887894,1
13.906918398,0
14.006887648,1
