Time [s],Pru00
0.000000000,0
0.015537274,1
0.015547682,0
0.115537120,1
0.115557574,0
0.215536800,1
0.215547234,0
0.315536724,1
0.315547182,0
0.415536734,1
0.415557172,0
0.515536412,1
0.515546836,0
0.615536558,1
0.615546966,0
0.715536324,1
0.715546744,0
0.815536268,1
0.815546692,0
0.915536162,1
0.915546572,0
1.015535924,1
1.015546348,0
1.115535904,1
1.115546314,0
1.215535946,1
1.215546354,0
1.315535820,1
1.315546228,0
1.415535568,1
1.415546006,0
1.515535358,1
1.515545782,0
1.615535438,1
1.615545896,0
1.715535224,1
1.715545672,0
1.815535302,1
1.815545710,0
1.915535418,1
1.915555858,0
2.015535078,1
2.015545516,0
2.115535172,1
2.115545630,0
2.215534828,1
2.215545236,0
2.315534660,1
2.315545098,0
2.415534680,1
2.415555158,0
2.515534298,1
2.515544732,0
2.615534416,1
2.615554876,0
2.715534518,1
2.715544962,0
2.815534238,1
2.815544652,0
2.915533872,1
2.915544282,0
3.015533914,1
3.015544324,0
3.115533814,1
3.115554296,0
3.215533804,1
3.215544212,0
3.315533554,1
3.315543988,0
3.415533462,1
3.415543870,0
3.515533472,1
3.515543896,0
3.615533336,1
3.615543756,0
3.715533106,1
3.715543530,0
3.815532942,1
3.815543390,0
3.915532968,1
3.915543416,0
4.015532760,1
4.015543188,0
4.115532854,1
4.115543302,0
4.215532548,1
4.215542992,0
4.315532542,1
4.315542950,0
4.415532238,1
4.415542646,0
4.515532294,1
4.515542702,0
4.615532098,1
4.615542506,0
4.715532108,1
4.715542536,0
4.815531984,1
4.815542392,0
4.915532198,1
4.915552638,0
5.015531630,1
5.015542040,0
5.115531776,1
5.115542184,0
5.215531634,1
5.215542042,0
5.315531410,1
5.315541818,0
5.415531164,1
5.415541588,0
5.515531070,1
5.515541530,0
5.615531180,1
5.615551616,0
5.715530958,1
5.715541366,0
5.815530812,1
5.815541220,0
5.915530872,1
5.915541330,0
6.015530618,1
6.015551056,0
6.115531052,1
6.115541482,0
6.215530484,1
6.215540912,0
6.315530138,1
6.315540596,0
6.415529998,1
6.415540450,0
6.515530120,1
6.515540562,0
6.615530002,1
6.615540420,0
6.715529842,1
6.715540276,0
6.815530094,1
6.815540554,0
6.915529586,1
6.915539994,0
7.015529548,1
7.015539956,0
7.115529564,1
7.115539984,0
7.215529542,1
7.215539952,0
7.315529146,1
7.315539556,0
7.415528952,1
7.415539410,0
7.515528834,1
7.515539266,0
7.615528704,1
7.615539124,0
7.715528722,1
7.715539146,0
7.815528770,1
7.815539180,0
7.915528496,1
7.915538950,0
8.015528332,1
8.015538742,0
8.115528342,1
8.115548796,0
8.215528354,1
8.215538788,0
8.315527888,1
8.315538302,0
8.415528078,1
8.415538496,0
8.515527918,1
8.515538352,0
8.615527792,1
8.615538206,0
8.715527594,1
8.715548034,0
8.815527552,1
8.815537960,0
8.915527392,1
8.915537816,0
9.015527312,1
9.015537756,0
9.115527084,1
9.115537524,0
9.215527086,1
9.215547574,0
9.315526874,1
9.315537312,0
9.415526734,1
9.415537168,0
9.515526678,1
9.515537108,0
9.615526460,1
9.615536874,0
9.715526636,1
9.715537064,0
9.815526280,1
9.815536688,0
9.915526214,1
9.915576744,0
10.015526296,1
10.015536736,0
10.115526348,1
10.115536756,0
10.215525890,1
10.215536298,0
10.315525868,1
10.315546350,0
10.415525902,1
10.415536346,0
10.515525668,1
10.515536112,0
10.615525344,1
10.615535794,0
10.715525316,1
10.715535730,0
10.815525096,1
10.815535502,0
10.915525024,1
10.915535442,0
11.015525064,1
11.015535472,0
11.115524778,1
11.115545268,0
11.215524940,1
11.215535348,0
11.315524594,1
11.315545062,0
11.415524596,1
11.415535056,0
11.515524476,1
11.515534906,0
11.615524232,1
11.615534670,0
11.715524314,1
11.715544750,0
11.815524152,1
11.815534576,0
11.915524102,1
11.915534512,0
12.015523906,1
12.015534362,0
12.115523752,1
12.115544240,0
12.215523784,1
12.215544262,0
12.315523468,1
12.315533916,0
12.415523182,1
12.415543626,0
12.515523360,1
12.515533784,0
12.615523020,1
12.615533464,0
12.715523148,1
12.715533572,0
12.815523024,1
12.815533434,0
12.915522692,1
12.915533112,0
13.015522542,1
13.015532960,0
13.115522436,1
13.115532896,0
13.215522544,1
13.215533004,0
13.315522230,1
13.315532684,0
13.415522238,1
13.415532646,0
13.515521996,1
13.515532410,0
13.615522018,1
13.615542460,0
13.715521854,1
13.715532282,0
13.815521614,1
13.815532048,0
13.915521720,1
13.915542180,0
14.015521460,1
14.015541944,0
14.115521646,1
14.115542134,0
14.215521552,1
14.215531960,0
14.315521154,1
14.315531564,0
14.415521008,1
14.415531416,0
14.515521048,1
14.515531454,0
14.615520838,1
14.615531246,0
14.715520748,1
14.715531182,0
14.815520720,1
14.815541160,0
14.915520782,1
14.915541260,0
15.015520332,1
15.015530740,0
15.115520408,1
15.115550902,0
15.215520212,1
15.215530620,0
15.315519834,1
15.315530242,0
15.415520000,1
15.415540460,0
15.515519806,1
15.515530214,0
15.615519566,1
15.615529980,0
15.715519524,1
15.715529932,0
15.815519328,1
15.815539810,0
15.915519372,1
15.915529796,0
16.015519136,1
16.015529560,0
16.115518872,1
16.115539354,0
16.215519122,1
16.215529532,0
16.315518644,1
16.315529054,0
16.415518556,1
16.415528984,0
16.515518522,1
16.515528930,0
16.615518530,1
16.615528948,0
16.715518456,1
16.715528880,0
16.815518366,1
16.815528810,0
16.915518070,1
16.915558578,0
17.015517834,1
17.015538280,0
17.115518022,1
17.115538470,0
17.215517588,1
17.215538062,0
17.315517934,1
17.315528388,0
17.415517402,1
