Time [s],Pru00
0.000000000,0
0.038391974,1
0.038402384,0
0.138391866,1
0.138402324,0
0.238391660,1
0.238402098,0
0.338391492,1
0.338401902,0
0.438391564,1
0.438402012,0
0.538391602,1
0.538402036,0
0.638391400,1
0.638401808,0
0.738391354,1
0.738401762,0
0.838391320,1
0.838401730,0
0.938391450,1
0.938401858,0
1.038391090,1
1.038401544,0
1.138391184,1
1.138401592,0
1.238391086,1
1.238401536,0
1.338390906,1
1.338401316,0
1.438390736,1
1.438401170,0
1.538391008,1
1.538401450,0
1.638391010,1
1.638401418,0
1.738390940,1
1.738441474,0
1.838390904,1
1.838441432,0
1.938390494,1
1.938400912,0
2.038390736,1
2.038401194,0
2.138390532,1
2.138400966,0
2.238390292,1
2.238410766,0
2.338390524,1
2.338400934,0
2.438390274,1
2.438400702,0
2.538390182,1
2.538400590,0
2.638390286,1
2.638400700,0
2.738390110,1
2.738400554,0
2.838390422,1
2.838400832,0
2.938390134,1
2.938400542,0
3.038390124,1
3.038400568,0
3.138390166,1
3.138400590,0
3.238389734,1
3.238400188,0
3.338389748,1
3.338400156,0
3.438389572,1
3.438400012,0
3.538389952,1
3.538400376,0
3.638389578,1
3.638399988,0
3.738389546,1
3.738399954,0
3.838389384,1
3.838399808,0
3.938389336,1
3.938399748,0
4.038389172,1
4.038399602,0
4.138389018,1
4.138399454,0
4.238389006,1
4.238399414,0
4.338389036,1
4.338399444,0
4.438389024,1
4.438399468,0
4.538388970,1
4.538399404,0
4.638388796,1
4.638399254,0
4.738388714,1
4.738399122,0
4.838388884,1
4.838399316,0
4.938388590,1
4.938398998,0
5.038388938,1
5.038399358,0
5.138388390,1
5.138418860,0
5.238388620,1
5.238399078,0
5.338388592,1
5.338399016,0
5.438388398,1
5.438418866,0
5.538388256,1
5.538398666,0
5.638388274,1
5.638398688,0
5.738388052,1
5.738398460,0
5.838388148,1
5.838398568,0
5.938388172,1
5.938398586,0
6.038387948,1
6.038398356,0
6.138387914,1
6.138398324,0
6.238387642,1
6.238398090,0
6.338387726,1
6.338398136,0
6.438387680,1
6.438398088,0
6.538387576,1
6.538398024,0
6.638387514,1
6.638397962,0
6.738387568,1
6.738397982,0
6.838387252,1
6.838397662,0
6.938387184,1
6.938397594,0
7.038387402,1
7.038397810,0
7.138387018,1
7.138447572,0
7.238387166,1
7.238397616,0
7.338386898,1
7.338397308,0
7.438386898,1
7.438397326,0
7.538386994,1
7.538397432,0
7.638387118,1
7.638407568,0
7.738386740,1
7.738407180,0
7.838386572,1
7.838396996,0
7.938386608,1
7.938397016,0
8.038386538,1
8.038406980,0
8.138386376,1
8.138396800,0
8.238386242,1
8.238396650,0
8.338386260,1
8.338396668,0
8.438386194,1
8.438396602,0
8.538386368,1
8.538396792,0
8.638386070,1
8.638396480,0
8.738385932,1
8.738396340,0
8.838386110,1
8.838396528,0
8.938385970,1
8.938396378,0
9.038386002,1
9.038396410,0
9.138385592,1
9.138396002,0
9.238385584,1
9.238396016,0
9.338385948,1
9.338396376,0
9.438385440,1
9.438395884,0
9.538385426,1
9.538395836,0
