Time [s],Pru00,Pru01
0.000000000,0,0
0.005815164,1,0
0.005815318,1,1
0.005835756,1,0
0.009061426,0,0
0.105815222,1,0
0.105815422,1,1
0.105845942,1,0
0.109010540,0,0
0.205815144,1,0
0.205815344,1,1
0.205825782,1,0
0.208959488,0,0
0.305814928,1,0
0.305815088,1,1
0.305825516,1,0
0.308908684,0,0
0.405814900,1,0
0.405815060,1,1
0.405845562,1,0
0.408865598,0,0
0.505814802,1,0
0.505815012,1,1
0.505855508,1,0
0.508808210,0,0
0.605814832,1,0
0.605815242,1,1
0.605835690,1,0
0.608755610,0,0
0.705814624,1,0
0.705814824,1,1
0.705845292,1,0
0.708704852,0,0
0.805814668,1,0
0.805814870,1,1
0.805845364,1,0
0.808653590,0,0
0.905814590,1,0
0.905814784,1,1
0.905825210,1,0
0.908602606,0,0
1.005814390,1,0
1.005814550,1,1
1.005824960,1,0
1.008551678,0,0
1.105814280,1,0
1.105814436,1,1
1.105844920,1,0
1.108500914,0,0
1.205814004,1,0
1.205814416,1,1
1.205844906,1,0
1.208449802,0,0
1.305814068,1,0
1.305814264,1,1
1.305834700,1,0
1.308402794,0,0
1.405813888,1,0
1.405814048,1,1
1.405844548,1,0
1.408348188,0,0
1.505813728,1,0
1.505813928,1,1
1.505844448,1,0
1.508297256,0,0
1.605813910,1,0
1.605814070,1,1
1.605834508,1,0
1.608246330,0,0
1.705813552,1,0
1.705813754,1,1
1.705844268,1,0
1.708195422,0,0
1.805813446,1,0
1.805813650,1,1
1.805834088,1,0
1.808144710,0,0
1.905813544,1,0
1.905813744,1,1
1.905844214,1,0
1.908093694,0,0
2.005813334,1,0
2.005813494,1,1
2.005823902,1,0
2.008042956,0,0
2.105813406,1,0
2.105813568,1,1
2.105823974,1,0
2.107991882,0,0
2.205813140,1,0
2.205813748,1,1
2.205824158,1,0
2.207940768,0,0
2.305813188,1,0
2.305813348,1,1
2.305823802,1,0
2.307888988,0,0
2.405812858,1,0
2.405813012,1,1
2.405823446,1,0
2.407838964,0,0
2.505812968,1,0
2.505813128,1,1
2.505823538,1,0
2.507787862,0,0
2.605812722,1,0
2.605812878,1,1
2.605823286,1,0
2.607737192,0,0
2.705812862,1,0
2.705813022,1,1
2.705833472,1,0
2.707686306,0,0
2.805812502,1,0
2.805812906,1,1
2.805833372,1,0
2.807635132,0,0
2.905812440,1,0
2.905812600,1,1
2.905843070,1,0
2.907584464,0,0
3.005812272,1,0
3.005812472,1,1
3.005842968,1,0
3.007533496,0,0
3.105812424,1,0
3.105812584,1,1
3.105822994,1,0
3.107482532,0,0
3.205812302,1,0
3.205812458,1,1
3.205822892,1,0
3.207431616,0,0
3.305812220,1,0
3.305812374,1,1
3.305832820,1,0
3.307380706,0,0
3.405812100,1,0
3.405812280,1,1
3.405842748,1,0
3.407329670,0,0
3.505811862,1,0
3.505812022,1,1
3.505822430,1,0
3.507278844,0,0
3.605811842,1,0
3.605811996,1,1
3.605822416,1,0
3.607227804,0,0
3.705811670,1,0
3.705811810,1,1
3.705832258,1,0
3.707177178,0,0
3.805811538,1,0
3.805811732,1,1
3.805842202,1,0
3.807126512,0,0
3.905811398,1,0
3.905811598,1,1
3.905842100,1,0
3.907076246,0,0
4.005811580,1,0
4.005811780,1,1
4.005862312,1,0
4.007024674,0,0
4.105811488,1,0
4.105811898,1,1
4.105862468,1,0
4.106973352,0,0
4.205811294,1,0
4.205811890,1,1
4.205832364,1,0
4.206922062,0,0
4.305811354,1,0
4.305811970,1,1
4.305852492,1,0
4.306870924,0,0
4.405811136,1,0
4.405811336,1,1
4.405841852,1,0
4.406819210,0,0
4.505810896,1,0
4.505811056,1,1
4.505831494,1,0
4.506769000,0,0
4.605810744,1,0
4.605810938,1,1
4.605821362,1,0
4.606717662,0,0
4.705810670,1,0
4.705810830,1,1
4.705831290,1,0
4.706674074,0,0
4.805810690,1,0
4.805811106,1,1
4.805871662,1,0
4.806618378,0,0
4.905810402,1,0
4.905810818,1,1
4.905891450,1,0
4.906583410,0,0
5.005810380,1,0
5.005811154,1,1
5.005871714,1,0
5.006536380,0,0
