Time [s],Pru00,Pru01
0.000000000,1,0
0.047420344,0,0
0.047465086,1,0
0.047465276,1,1
0.047475684,1,0
0.147416866,0,0
0.147465272,1,0
0.147465652,1,1
0.147476060,1,0
0.247418662,0,0
0.247465048,1,0
0.247465238,1,1
0.247475648,1,0
0.347417710,0,0
0.347464746,1,0
0.347464938,1,1
0.347475346,1,0
0.447417850,0,0
0.447465008,1,0
0.447465212,1,1
0.447475620,1,0
0.547417726,0,0
0.547464766,1,0
0.547464956,1,1
0.547475378,1,0
0.647417332,0,0
0.647464392,1,0
0.647464582,1,1
0.647474990,1,0
0.747418332,0,0
0.747464388,1,0
0.747464578,1,1
0.747475002,1,0
0.847416830,0,0
0.847464216,1,0
0.847464356,1,1
0.847474764,1,0
0.947417088,0,0
0.947464116,1,0
0.947464236,1,1
0.947474694,1,0
1.047420856,0,0
1.047463934,1,0
1.047464122,1,1
1.047474538,1,0
1.147418692,0,0
1.147463838,1,0
1.147464028,1,1
1.147474462,1,0
1.247416308,0,0
1.247464004,1,0
1.247464194,1,1
1.247474644,1,0
1.347417108,0,0
1.347463834,1,0
1.347464024,1,1
1.347474432,1,0
1.447416134,0,0
1.447463502,1,0
1.447463678,1,1
1.454344204,1,0
1.547418300,0,0
1.547463808,1,0
1.547464218,1,1
1.547484656,1,0
1.647417708,0,0
1.647463334,1,0
1.647463524,1,1
1.647473956,1,0
1.747421662,0,0
1.747463320,1,0
1.747463510,1,1
1.747483998,1,0
1.847418548,0,0
1.847463198,1,0
1.847463404,1,1
1.847473810,1,0
1.947416626,0,0
1.947463054,1,0
1.947463250,1,1
1.947483688,1,0
2.047415342,0,0
2.047463050,1,0
2.047463244,1,1
2.047473668,1,0
2.147415156,0,0
2.147462904,1,0
2.147463094,1,1
2.147473508,1,0
2.247415152,0,0
2.247462530,1,0
2.247462720,1,1
2.247473178,1,0
2.347415810,0,0
2.347462528,1,0
2.347462718,1,1
2.347473126,1,0
2.447420874,0,0
2.447462584,1,0
2.447463008,1,1
2.447483446,1,0
2.547418392,0,0
2.547462466,1,0
2.547462872,1,1
2.547473280,1,0
2.647414814,0,0
2.647462182,1,0
2.647462372,1,1
2.647472780,1,0
2.747416102,0,0
2.747462298,1,0
2.747462708,1,1
2.747473132,1,0
2.847416016,0,0
2.847462094,1,0
2.847462286,1,1
2.847472718,1,0
2.947418242,0,0
2.947461690,1,0
2.947462100,1,1
2.947472558,1,0
3.047414814,0,0
3.047461782,1,0
3.047461982,1,1
3.047472396,1,0
3.147415232,0,0
3.147461606,1,0
3.147461742,1,1
3.147472150,1,0
3.247413826,0,0
3.247461532,1,0
3.247462064,1,1
3.247472502,1,0
3.347414570,0,0
3.347461498,1,0
3.347461704,1,1
3.347472112,1,0
3.447417416,0,0
3.447461312,1,0
3.447461736,1,1
3.447472146,1,0
3.547415900,0,0
3.547460994,1,0
3.547461184,1,1
3.547471642,1,0
3.647411882,0,0
3.647460938,1,0
3.647461128,1,1
3.647541774,1,0
3.747416274,0,0
3.747460964,1,0
3.747461156,1,1
3.747471578,1,0
3.847411642,0,0
3.847460910,1,0
3.847461118,1,1
3.847471528,1,0
3.947415774,0,0
3.947460562,1,0
3.947460752,1,1
3.947471196,1,0
4.047413738,0,0
