Time [s],Pru00,Pru01
0.000000000,1,0
0.065459948,0,0
0.065493084,1,0
0.065493294,1,1
0.065503742,1,0
0.165459742,0,0
0.165493110,1,0
0.165493340,1,1
0.165503748,1,0
0.265459818,0,0
0.265492958,1,0
0.265493184,1,1
0.265503592,1,0
0.365459706,0,0
0.365492896,1,0
0.365493122,1,1
0.365503574,1,0
0.465459904,0,0
0.465493950,1,0
0.465494580,1,1
0.465504998,1,0
0.565463740,0,0
0.565493416,1,0
0.565493642,1,1
0.565504050,1,0
0.665461658,0,0
0.665492704,1,0
0.665492910,1,1
0.665503352,1,0
0.765462202,0,0
0.765492592,1,0
0.765492808,1,1
0.765503252,1,0
0.865459632,0,0
0.865492608,1,0
0.865492818,1,1
0.865503232,1,0
0.965459506,0,0
0.965492552,1,0
0.965492778,1,1
0.965503212,1,0
1.065459182,0,0
1.065492440,1,0
1.065492656,1,1
1.065503108,1,0
1.165459878,0,0
1.165492578,1,0
1.165492804,1,1
1.165503262,1,0
1.265458826,0,0
1.265492256,1,0
1.265492470,1,1
1.265502904,1,0
1.365460472,0,0
1.365492170,1,0
1.365492400,1,1
1.365502808,1,0
1.465458768,0,0
1.465492134,1,0
1.465492366,1,1
1.465502788,1,0
1.565458842,0,0
1.565491992,1,0
1.565492192,1,1
1.565502600,1,0
1.665458520,0,0
1.665491980,1,0
1.665492200,1,1
1.665502608,1,0
1.765458598,0,0
1.765491754,1,0
1.765491904,1,1
1.765502334,1,0
1.865458562,0,0
1.865491768,1,0
1.865491998,1,1
1.865502406,1,0
1.965457916,0,0
1.965491664,1,0
1.965491870,1,1
1.965502302,1,0
2.065458732,0,0
2.065492342,1,0
2.065492982,1,1
2.065503390,1,0
2.165459538,0,0
2.165491776,1,0
2.165492006,1,1
2.165502436,1,0
2.265458114,0,0
2.265491420,1,0
2.265491574,1,1
2.265501990,1,0
2.365458546,0,0
2.365491594,1,0
2.365492236,1,1
2.365502648,1,0
2.465462272,0,0
2.465491392,1,0
2.465491618,1,1
2.465502034,1,0
2.565458118,0,0
2.565491478,1,0
2.565491702,1,1
2.565502112,1,0
2.665458954,0,0
2.665491160,1,0
2.665491386,1,1
2.665501834,1,0
2.765457828,0,0
2.765491124,1,0
2.765491304,1,1
2.765551878,1,0
2.865458180,0,0
2.865491520,1,0
2.865492352,1,1
2.865502760,1,0
2.965458268,0,0
2.965490966,1,0
2.965491182,1,1
2.965501636,1,0
3.065458302,0,0
3.065490780,1,0
3.065490950,1,1
3.065501360,1,0
3.165460976,0,0
3.165491292,1,0
3.165491942,1,1
3.165502356,1,0
3.265458678,0,0
3.265490676,1,0
3.265490832,1,1
3.265501240,1,0
3.365460516,0,0
3.365490654,1,0
3.365490870,1,1
3.365501308,1,0
3.465457158,0,0
3.465490598,1,0
3.465490798,1,1
3.465501208,1,0
3.565457054,0,0
3.565490442,1,0
3.565490596,1,1
3.565501014,1,0
3.665456978,0,0
3.665490384,1,0
3.665490610,1,1
3.665501018,1,0
3.765456990,0,0
3.765490340,1,0
3.765490554,1,1
3.765500998,1,0
3.865458016,0,0
3.865490234,1,0
3.865490384,1,1
3.865500808,1,0
3.965456810,0,0
3.965490568,1,0
3.965490792,1,1
3.965501210,1,0
4.065457122,0,0
4.065490030,1,0
4.065490250,1,1
4.065500678,1,0
4.165456666,0,0
4.165489984,1,0
4.165490138,1,1
4.165500572,1,0
4.265456678,0,0
4.265489948,1,0
4.265490110,1,1
4.265500552,1,0
4.365456374,0,0
4.365489792,1,0
4.365490022,1,1
4.365500446,1,0
4.465456198,0,0
4.465490494,1,0
4.465491308,1,1
4.465511746,1,0
4.565460700,0,0
4.565490148,1,0
4.565490572,1,1
4.565501016,1,0
4.665456202,0,0
4.665489682,1,0
4.665490108,1,1
4.665500516,1,0
4.765457788,0,0
4.765489538,1,0
4.765489742,1,1
4.765500156,1,0
4.865456252,0,0
4.865489528,1,0
4.865489744,1,1
4.865500152,1,0
4.965456074,0,0
4.965489410,1,0
4.965489636,1,1
4.965500044,1,0
5.065455954,0,0
5.065489554,1,0
5.065489780,1,1
5.065500194,1,0
5.165456048,0,0
5.165489160,1,0
5.165489384,1,1
5.165499832,1,0
5.265457712,0,0
5.265489112,1,0
5.265489336,1,1
5.265499746,1,0
5.365456296,0,0
5.365489054,1,0
5.365489278,1,1
5.365499722,1,0
5.465457858,0,0
5.465488994,1,0
5.465489210,1,1
5.465499618,1,0
5.565455648,0,0
5.565488898,1,0
5.565489124,1,1
5.565499532,1,0
5.665455742,0,0
5.665489052,1,0
5.665489278,1,1
5.665499686,1,0
5.765455486,0,0
5.765488722,1,0
5.765488878,1,1
5.765499322,1,0
5.865455326,0,0
5.865488684,1,0
5.865488898,1,1
5.865499308,1,0
5.965455266,0,0
5.965488536,1,0
5.965488740,1,1
5.965499200,1,0
6.065455390,0,0
6.065488450,1,0
6.065488894,1,1
6.065499348,1,0
6.165455922,0,0
6.165488420,1,0
6.165488646,1,1
6.165499070,1,0
6.265458202,0,0
6.265488490,1,0
6.265488700,1,1
6.265499128,1,0
6.365455222,0,0
6.365488260,1,0
6.365488692,1,1
6.365499104,1,0
6.465454874,0,0
6.465488224,1,0
6.465488454,1,1
6.465498912,1,0
6.565455688,0,0
6.565488126,1,0
6.565488340,1,1
6.565498750,1,0
6.665454738,0,0
6.665488004,1,0
6.665488164,1,1
6.665498574,1,0
6.765454548,0,0
6.765487884,1,0
6.765488044,1,1
6.765498462,1,0
6.865454496,0,0
6.865487826,1,0
6.865487986,1,1
6.865498440,1,0
6.965454458,0,0
6.965487788,1,0
6.965488000,1,1
6.965498418,1,0
7.065454350,0,0
7.065487668,1,0
7.065487888,1,1
7.065498308,1,0
7.165454150,0,0
7.165487826,1,0
7.165488052,1,1
7.165498460,1,0
7.265451310,0,0
7.265487788,1,0
7.265488012,1,1
7.265498436,1,0
7.365454040,0,0
7.365487420,1,0
7.365487644,1,1
7.365498074,1,0
7.465453540,0,0
7.465487360,1,0
7.465487776,1,1
7.465498220,1,0
7.565454132,0,0
7.565487290,1,0
7.565487514,1,1
7.565497938,1,0
7.665455790,0,0
7.665487148,1,0
7.665487308,1,1
7.665497742,1,0
7.765453920,0,0
7.765487560,1,0
7.765487786,1,1
7.765498228,1,0
7.865454032,0,0
7.865487072,1,0
7.865487296,1,1
7.865497706,1,0
7.965453434,0,0
7.965486910,1,0
7.965487066,1,1
7.965497510,1,0
8.065453622,0,0
8.065486888,1,0
8.065487334,1,1
8.065497742,1,0
8.165453450,0,0
8.165486808,1,0
8.165487010,1,1
8.165497462,1,0
8.265453922,0,0
8.265486720,1,0
8.265486946,1,1
8.265497354,1,0
8.365453332,0,0
8.365486640,1,0
8.365487056,1,1
8.365497500,1,0
8.465453252,0,0
8.465486538,1,0
8.465486698,1,1
8.465497132,1,0
8.565453230,0,0
8.565486538,1,0
8.565486984,1,1
8.565497392,1,0
8.665456270,0,0
8.665486388,1,0
8.665486598,1,1
8.665497026,1,0
8.765453630,0,0
8.765486270,1,0
8.765486424,1,1
8.765496834,1,0
8.865452810,0,0
8.865486158,1,0
8.865486312,1,1
8.865496722,1,0
8.965452828,0,0
8.965486124,1,0
8.965486340,1,1
8.965496778,1,0
9.065452886,0,0
9.065486756,1,0
9.065486982,1,1
9.065497436,1,0
9.165452586,0,0
9.165485966,1,0
9.165486382,1,1
9.165496816,1,0
9.265452678,0,0
9.265486076,1,0
9.265486500,1,1
9.265496958,1,0
9.365455534,0,0
9.365485862,1,0
9.365486092,1,1
9.365496506,1,0
9.465452414,0,0
9.465485680,1,0
9.465485902,1,1
9.465496310,1,0
9.565452292,0,0
9.565485942,1,0
9.565486172,1,1
9.565496626,1,0
9.665452312,0,0
9.665485772,1,0
9.665485996,1,1
9.665496430,1,0
9.765452252,0,0
9.765485568,1,0
9.765485784,1,1
9.765496232,1,0
9.865452070,0,0
9.865485366,1,0
9.865485526,1,1
9.865495950,1,0
9.965452296,0,0
9.965486228,1,0
9.965486878,1,1
9.965497288,1,0
10.065451446,0,0
10.065485278,1,0
10.065485502,1,1
10.065495910,1,0
10.165451858,0,0
10.165485126,1,0
10.165485284,1,1
10.165495714,1,0
10.265451696,0,0
10.265485072,1,0
10.265485282,1,1
10.265495690,1,0
10.365452142,0,0
10.365485712,1,0
10.365486138,1,1
10.365496546,1,0
10.465455162,0,0
10.465485082,1,0
10.465485312,1,1
10.465495756,1,0
10.565452192,0,0
10.565484900,1,0
10.565485130,1,1
10.565495560,1,0
10.665452600,0,0
10.665484748,1,0
10.665484968,1,1
10.665495376,1,0
10.765451448,0,0
