Time [s],Pru00,Pru01
0.000000000,1,0
0.084272376,0,0
0.084303286,1,0
0.084303470,1,1
0.084313884,1,0
0.184272540,0,0
0.184303050,1,0
0.184303236,1,1
0.184313684,1,0
0.284272248,0,0
0.284303186,1,0
0.284303372,1,1
0.284313824,1,0
0.384272268,0,0
0.384302824,1,0
0.384303000,1,1
0.384313458,1,0
0.484272002,0,0
0.484302882,1,0
0.484303002,1,1
0.484313432,1,0
0.584272068,0,0
0.584302638,1,0
0.584302758,1,1
0.584313168,1,0
0.684271874,0,0
0.684302812,1,0
0.684302998,1,1
0.684313406,1,0
0.784271954,0,0
0.784302570,1,0
0.784302760,1,1
0.784313208,1,0
0.884271680,0,0
0.884302578,1,0
0.884302700,1,1
0.884313108,1,0
0.984273534,0,0
0.984302386,1,0
0.984302576,1,1
0.984312994,1,0
1.084271550,0,0
1.084302460,1,0
1.084302670,1,1
1.084313078,1,0
1.184271488,0,0
1.184302056,1,0
1.184302176,1,1
1.184312624,1,0
1.284271416,0,0
1.284301992,1,0
1.284302184,1,1
1.284312596,1,0
1.384271242,0,0
1.384302182,1,0
1.384302366,1,1
1.384312824,1,0
1.484271356,0,0
1.484301846,1,0
1.484302032,1,1
1.484312456,1,0
1.584270962,0,0
1.584301900,1,0
1.584302020,1,1
1.584312430,1,0
1.684270962,0,0
1.684301918,1,0
1.684302108,1,1
1.684312516,1,0
1.784270828,0,0
1.784301746,1,0
1.784301936,1,1
1.784312346,1,0
1.884270772,0,0
1.884301672,1,0
1.884301792,1,1
1.884312232,1,0
1.984271018,0,0
1.984301636,1,0
1.984301830,1,1
1.984312284,1,0
2.084273234,0,0
2.084301512,1,0
2.084301688,1,1
2.084312096,1,0
2.184273830,0,0
2.184301110,1,0
2.184301230,1,1
2.184311642,1,0
2.284270388,0,0
2.284301366,1,0
2.284301552,1,1
2.284311960,1,0
2.384270272,0,0
2.384301220,1,0
2.384301406,1,1
2.384311846,1,0
2.484270308,0,0
2.484300896,1,0
2.484301030,1,1
2.484311474,1,0
2.584270046,0,0
2.584300952,1,0
2.584301162,1,1
2.584311616,1,0
2.684269970,0,0
2.684300910,1,0
2.684301100,1,1
2.684311508,1,0
2.784269934,0,0
2.784300874,1,0
2.784301060,1,1
2.784311478,1,0
2.884269770,0,0
2.884300690,1,0
2.884300824,1,1
2.884311278,1,0
2.984269818,0,0
2.984300464,1,0
2.984300650,1,1
2.984311078,1,0
3.084269794,0,0
3.084300590,1,0
3.084300996,1,1
3.084321434,1,0
3.184271326,0,0
3.184300488,1,0
3.184300688,1,1
3.184311122,1,0
3.284269590,0,0
3.284300202,1,0
3.284300386,1,1
3.284310834,1,0
3.384269426,0,0
3.384300344,1,0
3.384300530,1,1
3.384310974,1,0
3.484269304,0,0
3.484300440,1,0
3.484300646,1,1
3.484311054,1,0
3.584269708,0,0
3.584300058,1,0
3.584300448,1,1
3.584320886,1,0
3.684271484,0,0
3.684300072,1,0
3.684300276,1,1
3.684310686,1,0
3.784268916,0,0
3.784299844,1,0
3.784300030,1,1
3.784310484,1,0
3.884269034,0,0
3.884299590,1,0
3.884299774,1,1
3.891180294,1,0
3.984269038,0,0
3.984299736,1,0
3.984299936,1,1
3.984320374,1,0
4.084268104,0,0
4.084299592,1,0
4.084299782,1,1
4.084310230,1,0
4.184268624,0,0
4.184299524,1,0
4.184299660,1,1
4.184310114,1,0
4.284269992,0,0
4.284299438,1,0
4.284299624,1,1
4.284310082,1,0
4.384268318,0,0
4.384299234,1,0
4.384299370,1,1
4.384309798,1,0
4.484268302,0,0
4.484299210,1,0
4.484299330,1,1
4.484309770,1,0
4.584268484,0,0
4.584299094,1,0
4.584299294,1,1
4.584309738,1,0
4.684268068,0,0
4.684299008,1,0
4.684299202,1,1
4.684309622,1,0
4.784267966,0,0
4.784299232,1,0
4.784299642,1,1
4.784310102,1,0
