Time [s],Sheep1,Sheep2
0.000000000,1,1
0.067232686,1,0
0.067233848,0,0
0.067262728,1,0
0.067263446,1,1
0.167222486,0,1
0.167225488,0,0
0.167256364,1,0
0.167256776,1,1
0.267218858,1,0
0.267219090,0,0
0.267249800,1,0
0.267250088,1,1
0.367212418,1,0
0.367212666,0,0
0.367243286,1,0
0.367243736,1,1
0.467205708,1,0
0.467206122,0,0
0.467236834,1,0
0.467237038,1,1
0.567199132,1,0
0.567202442,0,0
0.567230458,1,0
0.567230568,1,1
0.667192544,1,0
0.667196828,0,0
0.667223496,1,0
0.667223780,1,1
0.767186036,1,0
0.767187784,0,0
0.767217142,1,0
0.767217204,1,1
0.867179704,1,0
0.867179828,0,0
0.867210398,1,0
0.867211024,1,1
0.967172934,1,0
0.967173174,0,0
0.967204284,1,0
0.967204404,1,1
1.067166484,1,0
1.067167050,0,0
1.067197342,1,0
1.067197712,1,1
1.167160166,1,0
1.167160386,0,0
1.167190948,1,0
1.167191474,1,1
1.267153572,0,1
1.267154230,0,0
1.267184404,1,0
1.267184986,1,1
1.367146900,1,0
1.367146980,0,0
1.367177800,1,0
1.367178108,1,1
1.467140444,0,1
1.467140628,0,0
1.467171386,1,0
1.467171738,1,1
1.567134020,0,1
1.567134048,0,0
1.567164622,1,0
1.567165396,1,1
1.667127408,1,0
1.667127606,0,0
1.667158188,1,0
1.667158576,1,1
1.767120840,1,0
1.767122794,0,0
1.767151832,1,0
1.767152068,1,1
1.867114512,1,0
1.867115378,0,0
1.867145318,1,0
1.867145810,1,1
1.967107812,1,0
1.967107914,0,0
1.967138714,1,0
1.967139030,1,1
2.067101140,1,0
2.067101228,0,0
2.067132170,1,0
2.067132350,1,1
2.167094944,0,1
2.167094958,0,0
2.167125534,1,0
2.167126268,1,1
2.267088078,1,0
2.267088430,0,0
2.267118920,1,0
2.267119496,1,1
2.367081590,1,0
2.367082564,0,0
2.367112406,1,0
2.367113698,1,1
2.467075290,0,1
2.467075502,0,0
2.467105880,1,0
2.467106488,1,1
2.567068480,1,0
2.567068554,0,0
2.567099494,1,0
2.567100140,1,1
2.667061978,1,0
2.667061980,0,0
2.667092890,1,0
2.667093168,1,1
2.767055346,1,0
2.767056284,0,0
2.767086566,0,1
2.767086614,1,1
2.867049268,0,1
2.867049396,0,0
2.867079840,1,0
2.867080164,1,1
2.967042326,1,0
2.967042642,0,0
2.967073254,1,0
2.967073764,1,1
3.067035808,1,0
3.067036728,0,0
3.067066558,1,0
3.067067034,1,1
3.167030244,1,0
3.167030352,0,0
3.167060282,1,0
3.167061254,1,1
3.267022724,1,0
3.267024248,0,0
3.267053952,0,1
3.267053956,1,1
3.367016210,1,0
3.367016310,0,0
3.367047240,1,0
3.367047440,1,1
3.467009710,1,0
3.467009754,0,0
3.467040706,1,0
3.467040838,1,1
3.567003120,1,0
3.567003278,0,0
3.567034180,1,0
3.567034768,1,1
3.666996510,1,0
3.666996742,0,0
3.667027354,1,0
3.667028018,1,1
3.766990198,1,0
3.766990556,0,0
3.767021206,1,0
3.767021356,1,1
3.866983824,1,0
3.866984060,0,0
3.867014530,1,0
3.867014964,1,1
3.966976932,1,0
3.966977014,0,0
3.967007894,1,0
3.967008182,1,1
4.066970792,1,0
4.066970808,0,0
4.067001518,1,0
4.067002108,1,1
4.166964120,1,0
4.166964390,0,0
4.166994982,1,0
4.166995458,1,1
4.266957200,1,0
4.266957226,0,0
4.266988474,1,0
4.266988878,1,1
4.366950808,1,0
4.366951098,0,0
4.366981708,1,0
4.366982256,1,1
4.466944244,1,0
4.466944442,0,0
4.466975252,1,0
4.466975694,1,1
4.566937904,0,1
4.566938040,0,0
4.566968804,1,0
4.566969150,1,1
4.666931218,1,0
4.666931458,0,0
4.666962038,1,0
4.666962376,1,1
4.766924658,1,0
4.766924862,0,0
4.766955842,1,0
4.766956114,1,1
4.866918426,1,0
4.866918674,0,0
4.866948936,1,0
4.866949734,1,1
4.966911806,0,1
4.966912142,0,0
4.966942618,1,0
4.966942972,1,1
5.066905020,1,0
5.066906140,0,0
5.066936090,1,0
5.066936250,1,1
5.166898766,1,0
5.166898922,0,0
5.166929494,1,0
5.166930084,1,1
5.266892034,1,0
5.266892286,0,0
5.266923232,0,1
5.266923314,1,1
5.366885482,1,0
5.366886128,0,0
5.366916378,1,0
5.366916940,1,1
5.466878880,1,0
5.466879090,0,0
5.466910030,1,0
5.466910088,1,1
5.566872448,1,0
5.566873134,0,0
5.566903484,1,0
5.566903576,1,1
5.666865782,1,0
5.666866034,0,0
5.666896866,1,0
5.666897242,1,1
5.766859288,1,0
5.766859458,0,0
5.766890458,1,0
5.766890748,1,1
5.866853036,1,0
5.866853230,0,0
5.866883830,1,0
5.866883944,1,1
5.966846424,1,0
5.966846632,0,0
5.966877242,1,0
5.966877752,1,1
6.066839762,1,0
6.066842418,0,0
6.066870704,1,0
6.066871090,1,1
6.166833378,1,0
6.166833676,0,0
6.166864256,1,0
6.166864688,1,1
6.266826634,1,0
6.266830230,0,0
6.266857420,1,0
6.266858142,1,1
6.366819930,0,1
6.366819990,0,0
6.366851280,1,0
6.366851648,1,1
6.466812524,0,1
6.466813968,0,0
6.466844502,1,0
6.466844974,1,1
6.566807264,0,1
6.566807344,0,0
6.566838294,1,0
6.566838682,1,1
6.666800156,0,1
6.666801260,0,0
6.666831646,1,0
6.666831930,1,1
6.766794188,1,0
6.766794456,0,0
6.766825116,1,0
6.766825476,1,1
6.866786780,0,1
6.866787042,0,0
6.866818480,1,0
6.866819020,1,1
6.966780940,0,1
6.966782610,0,0
6.966812030,1,0
6.966812306,1,1
7.066773582,0,1
7.066774604,0,0
7.066805272,1,0
7.066805972,1,1
7.166767284,0,1
7.166767482,0,0
7.166798952,1,0
7.166799440,1,1
7.266761134,0,1
7.266761798,0,0
7.266792494,1,0
7.266792796,1,1
7.366754314,1,0
7.366754416,0,0
7.366785796,1,0
7.366786232,1,1
7.466747838,1,0
7.466747896,0,0
7.466779276,1,0
7.466779648,1,1
7.566738750,0,1
7.566741364,0,0
7.566772818,1,0
7.566773362,1,1
7.666734010,0,1
7.666735810,0,0
7.666766358,1,0
7.666766808,1,1
7.766728206,1,0
7.766728690,0,0
7.766759710,1,0
7.766760124,1,1
7.866721730,0,1
7.866722764,0,0
7.866753120,1,0
7.866753452,1,1
7.966712082,0,1
7.966715708,0,0
7.966746702,1,0
7.966747038,1,1
8.066707884,0,1
8.066708334,0,0
8.066739952,1,0
8.066740612,1,1
8.166702852,0,1
8.166703598,0,0
8.166733592,1,0
8.166733906,1,1
8.266695422,1,0
8.266695734,0,0
8.266727162,1,0
8.266727390,1,1
8.366688924,0,1
8.366689660,0,0
8.366720604,1,0
8.366720958,1,1
8.466680828,0,1
8.466683276,0,0
8.466713764,1,0
8.466714174,1,1
8.566676364,0,1
8.566676410,0,0
8.566707194,1,0
8.566707510,1,1
8.666669834,0,1
8.666670084,0,0
8.666700756,1,0
8.666700974,1,1
8.766663168,1,0
8.766663346,0,0
8.766694346,1,0
8.766694366,1,1
8.866656844,1,0
8.866660928,0,0
8.866687576,1,0
8.866688182,1,1
8.966650372,1,0
8.966650496,0,0
8.966681186,1,0
8.966681278,1,1
9.066643886,0,1
9.066643896,0,0
9.066674666,1,0
9.066675214,1,1
9.166636896,0,1
9.166638088,0,0
9.166667866,1,0
9.166668740,1,1
9.266630624,1,0
9.266632468,0,0
9.266661596,1,0
9.266661864,1,1
9.366624018,1,0
9.366625638,0,0
9.366655046,1,0
9.366655236,1,1
9.466617814,1,0
9.466620690,0,0
9.466648216,1,0
9.466648790,1,1
9.566611066,0,1
9.566611770,0,0
9.566641676,1,0
9.566642426,1,1
9.666604326,0,1
9.666604336,0,0
9.666635236,1,0
9.666635564,1,1
9.766597906,0,1
9.766598656,0,0
9.766628936,1,0
9.766629228,1,1
9.866591366,0,1
9.866592552,0,0
9.866621976,1,0
9.866622880,1,1
9.966584796,1,0
9.966584924,0,0
9.966615636,1,0
9.966615974,1,1
10.066577716,0,1
10.066578120,0,0
10.066608946,1,0
10.066609678,1,1
10.166571654,0,1
10.166572038,0,0
10.166602574,1,0
10.166603024,1,1
10.266566844,0,1
10.266569130,0,0
10.266596184,1,0
10.266596390,1,1
10.366558506,1,0
10.366558844,0,0
10.366589454,1,0
10.366589734,1,1
10.466552008,1,0
10.466552094,0,0
10.466583044,1,0
10.466583158,1,1
10.566545372,1,0
10.566545552,0,0
10.566576492,1,0
10.566576910,1,1
10.666538942,0,1
10.666538968,0,0
10.666570052,1,0
10.666570084,1,1
10.766532260,0,1
10.766532834,0,0
10.766563592,1,0
10.766563720,1,1
10.866525960,0,1
10.866526098,0,0
10.866556860,1,0
10.866557406,1,1
10.966519570,0,1
10.966520000,0,0
10.966550280,1,0
10.966550570,1,1
11.066513838,0,1
11.066516916,0,0
11.066543858,1,0
11.066544072,1,1
11.166506156,1,0
11.166506508,0,0
11.166537118,1,0
11.166537576,1,1
11.266499852,1,0
11.266499976,0,0
11.266530638,1,0
11.266531090,1,1
11.366493326,0,1
11.366493668,0,0
11.366523906,1,0
11.366524564,1,1
11.466486654,0,1
11.466486822,0,0
11.466517506,1,0
11.466517940,1,1
11.566480334,0,1
11.566480664,0,0
11.566510924,1,0
11.566511644,1,1
11.666473426,1,0
11.666473552,0,0
11.666504494,1,0
11.666504666,1,1
11.766467100,0,1
11.766467220,0,0
11.766498092,1,0
11.766498448,1,1
11.866463494,0,1
11.866463844,0,0
11.866491360,1,0
11.866491892,1,1
11.966453940,1,0
11.966458042,0,0
11.966484680,1,0
11.966485148,1,1
12.066447456,1,0
12.066449860,0,0
12.066478158,1,0
12.066478684,1,1
12.166442188,0,1
12.166443476,0,0
12.166471996,1,0
12.166472476,1,1
12.266434386,0,1
12.266434388,0,0
12.266465406,1,0
12.266465628,1,1
12.366427794,0,1
12.366427964,0,0
12.366458734,1,0
12.366459390,1,1
12.466421312,0,1
12.466421548,0,0
12.466452122,1,0
12.466452444,1,1
12.566414902,1,0
12.566416802,0,0
12.566445422,1,0
12.566446640,1,1
12.666408110,0,1
12.666408146,0,0
12.666439010,1,0
12.666439604,1,1
12.766398550,0,1
12.766399600,0,0
12.766432508,1,0
12.766433218,1,1
12.866393848,0,1
12.866395440,0,0
12.866426156,1,0
12.866426560,1,1
12.966391268,0,1
12.966391716,0,0
12.966419644,1,0
12.966420102,1,1
13.066380236,0,1
13.066381318,0,0
13.066412884,1,0
13.066413626,1,1
13.166374332,0,1
13.166375874,0,0
13.166406362,1,0
13.166406900,1,1
13.266368150,0,1
13.266368448,0,0
13.266399890,1,0
13.266400406,1,1
13.366362648,0,1
13.366363666,0,0
13.366393498,1,0
13.366394406,1,1
13.466355056,0,1
13.466355910,0,0
13.466386766,1,0
13.466387250,1,1
13.566349094,0,1
13.566349324,0,0
13.566380484,1,0
13.566381002,1,1
13.666342182,0,1
13.666342608,0,0
13.666373952,1,0
13.666374216,1,1
13.766336170,0,1
13.766336422,0,0
13.766367180,1,0
13.766367750,1,1
13.866328656,1,0
13.866330818,0,0
13.866360438,1,0
13.866361284,1,1
13.966323216,1,0
13.966326438,0,0
13.966354314,1,0
13.966354396,1,1
14.066316602,0,1
14.066316778,0,0
14.066347742,1,0
14.066348098,1,1
14.166310350,0,1
14.166310392,0,0
14.166341060,1,0
14.166341478,1,1
14.266305866,1,0
14.266306732,0,0
14.266334438,1,0
14.266334762,1,1
14.366297280,1,0
14.366297416,0,0
14.366327716,1,0
14.366328176,1,1
14.466290444,0,1
14.466290462,0,0
14.466321384,1,0
14.466321620,1,1
14.566284040,0,1
14.566287064,0,0
14.566314862,1,0
14.566315422,1,1
14.666277334,1,0
14.666278320,0,0
14.666308468,1,0
14.666308844,1,1
14.766270616,0,1
14.766272400,0,0
14.766301976,1,0
14.766302284,1,1
14.866264174,0,1
14.866265842,0,0
14.866295094,1,0
14.866295948,1,1
14.966255014,0,1
14.966260542,0,0
14.966288630,1,0
14.966289012,1,1
15.066251228,1,0
15.066253030,0,0
15.066281978,1,0
15.066282446,1,1
15.166244966,0,1
15.166245218,0,0
15.166275446,1,0
15.166276168,1,1
15.266238380,1,0
15.266241876,0,0
15.266269282,1,0
15.266269918,1,1
15.366231502,1,0
15.366231600,0,0
15.366262520,1,0
15.366262920,1,1
15.466224966,1,0
15.466227580,0,0
15.466256068,1,0
15.466256184,1,1
15.566218384,0,1
15.566218440,0,0
15.566249286,1,0
15.566249596,1,1
15.666211892,0,0
15.666242802,1,0
15.666243540,1,1
15.766205358,0,1
15.766205372,0,0
15.766236330,1,0
15.766236582,1,1
15.866198824,1,0
15.866198996,0,0
15.866229606,1,0
15.866230252,1,1
15.966192196,1,0
15.966195756,0,0
15.966223054,1,0
15.966223384,1,1
16.066185650,0,1
16.066185710,0,0
16.066216570,1,0
16.066216926,1,1
16.166179334,1,0
16.166179516,0,0
16.166209998,1,0
16.166210630,1,1
16.266173044,0,1
16.266173054,0,0
16.266203634,1,0
16.266203844,1,1
16.366165966,1,0
16.366167982,0,0
16.366197012,1,0
16.366197624,1,1
16.466159408,0,1
16.466159446,0,0
16.466190318,1,0
16.466190586,1,1
16.566152828,1,0
16.566153034,0,0
16.566183974,1,0
16.566184306,1,1
16.666146170,1,0
16.666146522,0,0
16.666177452,1,0
16.666177718,1,1
16.766139724,1,0
16.766139948,0,0
16.766170948,1,0
16.766171172,1,1
16.866133644,0,1
16.866134664,0,0
16.866164326,1,0
16.866164644,1,1
16.966126940,0,1
16.966128234,0,0
16.966157542,1,0
16.966157826,1,1
17.066120286,1,0
17.066122970,0,0
17.066151618,1,0
17.066151706,1,1
17.166113628,1,0
17.166118176,0,0
17.166144484,1,0
17.166144926,1,1
17.266107312,1,0
17.266108032,0,0
17.266138400,1,0
17.266138410,1,1
17.366100586,1,0
17.366100828,0,0
17.366131428,1,0
17.366131712,1,1
17.466094316,1,0
17.466095144,0,0
17.466124934,1,0
17.466125416,1,1
17.566087376,1,0
17.566089272,0,0
17.566118540,1,0
17.566118876,1,1
17.666080936,1,0
17.666081306,0,0
