Time [s],Sheep1,Sheep2
0.000000000,1,1
0.004037170,1,0
0.004039544,0,0
0.004067284,1,0
0.004067390,1,1
0.104032204,1,0
0.104032476,0,0
0.104060542,0,1
0.104060866,1,1
0.204023182,0,1
0.204023464,0,0
0.204054122,0,1
0.204054298,1,1
0.304015636,1,0
0.304016964,0,0
0.304047214,0,1
0.304047540,1,1
0.404010186,0,1
0.404010542,0,0
0.404040772,1,0
0.404040868,1,1
0.504002944,1,0
0.504003768,0,0
0.504034112,0,1
0.504034324,1,1
0.603996356,1,0
0.603996958,0,0
0.604027586,0,1
0.604027886,1,1
0.703990760,0,1
0.703993170,0,0
0.704021176,0,1
0.704021458,1,1
0.803982710,1,0
0.803983892,0,0
0.804014548,0,1
0.804015030,1,1
0.903976682,1,0
0.903977274,0,0
0.904007828,0,1
0.904008192,1,1
1.003970424,1,0
1.003970856,0,0
1.004001722,0,1
1.004001844,1,1
1.103965176,0,1
1.103966754,0,0
1.103994986,0,1
1.103995094,1,1
1.203957288,1,0
1.203957768,0,0
1.203988366,1,0
1.203988398,1,1
1.303950210,1,0
1.303951288,0,0
1.303981778,0,1
1.303982056,1,1
1.403943970,1,0
1.403944750,0,0
1.403975388,0,1
1.403975528,1,1
1.503939390,0,1
1.503940682,0,0
1.503968578,0,1
1.503968628,1,1
1.603931312,0,1
1.603931566,0,0
1.603962210,1,0
1.603962572,1,1
1.703922304,1,0
1.703925144,0,0
1.703955576,0,1
1.703956232,1,1
1.803917398,1,0
1.803917974,0,0
1.803949036,0,1
1.803949392,1,1
1.903912146,1,0
1.903915502,0,0
1.903942268,0,1
1.903942892,1,1
2.003906462,0,1
2.003907480,0,0
2.003936136,0,1
2.003936172,1,1
2.103898674,0,1
2.103900100,0,0
2.103929346,0,1
2.103929552,1,1
2.203893772,0,1
2.203894318,0,0
2.203922978,0,1
2.203923132,1,1
2.303884342,1,0
2.303885506,0,0
2.303916230,0,1
2.303916432,1,1
2.403878172,1,0
2.403878306,0,0
2.403909894,1,0
2.403910082,1,1
2.503874082,0,1
2.503874112,0,0
2.503902970,0,1
2.503903272,1,1
2.603866454,0,1
2.603866662,0,0
2.603896692,1,0
2.603896748,1,1
2.703858852,1,0
2.703861272,0,0
2.703890170,0,1
2.703890342,1,1
2.803851934,1,0
2.803852784,0,0
2.803883362,1,0
2.803883472,1,1
2.903845464,1,0
2.903847342,0,0
2.903876912,1,0
2.903876942,1,1
3.003839784,0,1
3.003842284,0,0
3.003870302,0,1
3.003870432,1,1
3.103831942,1,0
3.103834560,0,0
3.103863850,1,0
3.103863860,1,1
3.203823584,1,0
3.203824310,0,0
3.203857238,0,1
3.203857610,1,1
3.303819372,1,0
3.303820170,0,0
3.303850588,0,1
3.303850988,1,1
3.403812292,1,0
3.403813270,0,0
3.403844370,0,1
3.403844388,1,1
3.503807370,1,0
3.503808206,0,0
3.503837486,1,0
3.503837560,1,1
3.603799670,1,0
3.603800228,0,0
3.603830810,0,1
3.603831156,1,1
3.703793866,1,0
3.703793916,0,0
3.703824384,1,0
3.703824546,1,1
3.803786316,1,0
3.803786666,0,0
3.803817764,0,1
3.803818112,1,1
3.903780694,0,1
3.903781518,0,0
3.903811280,1,0
3.903811404,1,1
4.003773658,1,0
4.003778040,0,0
4.003804964,0,1
4.003805100,1,1
4.103766756,1,0
4.103769428,0,0
4.103798264,0,1
4.103798348,1,1
4.203760880,0,1
4.203763424,0,0
4.203791682,0,1
4.203791786,1,1
4.303754516,0,1
4.303754820,0,0
4.303785094,1,0
4.303785238,1,1
4.403747078,1,0
4.403747676,0,0
4.403778416,0,1
4.403778592,1,1
4.503740860,1,0
4.503741364,0,0
4.503771766,0,1
4.503771970,1,1
4.603734158,1,0
4.603735730,0,0
4.603765326,0,1
4.603765328,1,1
4.703729846,0,1
4.703730314,0,0
4.703758886,1,0
4.703759004,1,1
4.803721466,0,1
4.803724924,0,0
4.803752092,0,1
4.803752384,1,1
4.903715184,0,1
4.903715630,0,0
4.903745758,0,1
4.903745782,1,1
