Time [s],Sheep1,Sheep2
0.000000000,1,1
0.072551652,1,0
0.072552366,0,0
0.072582952,0,1
0.072583154,1,1
0.172545852,0,1
0.172547806,0,0
0.172576412,0,1
0.172576430,1,1
0.272538036,1,0
0.272541394,0,0
0.272569904,0,1
0.272569916,1,1
0.372533022,0,1
0.372534926,0,0
0.372563368,0,1
0.372563412,1,1
0.472527516,0,1
0.472528860,0,0
0.472556688,0,1
0.472556806,1,1
0.572519446,0,1
0.572520258,0,0
0.572550358,0,1
0.572550382,1,1
0.672510438,0,1
0.672514012,0,0
0.672543538,0,1
0.672543638,1,1
0.772504400,1,0
0.772505084,0,0
0.772537338,0,1
0.772537374,1,1
0.872499724,1,0
0.872500502,0,0
0.872530438,1,0
0.872530540,1,1
0.972492614,1,0
0.972493048,0,0
0.972523832,0,1
0.972524024,1,1
1.072486712,0,1
1.072488102,0,0
1.072517434,0,1
1.072517650,1,1
1.172483144,0,1
1.172483624,0,0
1.172511082,0,1
1.172511196,1,1
1.272472552,1,0
1.272475050,0,0
1.272504362,0,1
1.272504460,1,1
1.372466414,1,0
1.372467068,0,0
1.372497902,0,1
1.372497976,1,1
1.472459996,1,0
1.472462340,0,0
1.472491290,1,0
1.472491422,1,1
1.572453926,1,0
1.572456144,0,0
1.572484874,1,0
1.572485014,1,1
1.672447114,1,0
1.672447982,0,0
1.672478204,0,1
1.672478450,1,1
1.772443496,1,0
1.772445056,0,0
1.772471822,0,1
1.772471844,1,1
1.872434510,0,1
1.872437464,0,0
1.872464972,0,1
1.872465098,1,1
1.972427786,0,1
1.972429454,0,0
1.972458680,0,1
1.972458732,1,1
2.072421210,0,1
2.072423582,0,0
2.072452136,1,0
2.072452172,1,1
2.172413664,1,0
2.172414734,0,0
2.172445350,1,0
2.172445582,1,1
2.272408656,0,1
2.272411022,0,0
2.272438960,0,1
2.272439114,1,1
2.372401198,1,0
2.372401590,0,0
2.372432398,0,1
2.372432518,1,1
2.472394578,1,0
2.472395004,0,0
2.472425726,0,1
2.472425942,1,1
2.572388368,0,1
2.572391826,0,0
2.572419306,1,0
2.572419414,1,1
2.672381588,1,0
2.672382332,0,0
2.672412744,0,1
2.672412908,1,1
2.772377282,0,1
2.772378054,0,0
2.772406342,1,0
2.772406396,1,1
2.872369572,1,0
2.872369846,0,0
2.872399724,0,1
2.872399786,1,1
2.972361880,1,0
2.972362270,0,0
2.972393120,0,1
2.972393208,1,1
3.072355120,1,0
3.072355794,0,0
3.072386672,1,0
3.072386788,1,1
3.172348958,1,0
3.172351732,0,0
3.172379994,1,0
3.172380376,1,1
3.272342870,0,1
3.272345966,0,0
3.272373466,1,0
3.272373566,1,1
3.372335746,1,0
3.372336352,0,0
3.372367064,0,1
3.372367150,1,1
3.472329024,0,1
3.472331322,0,0
3.472360540,0,1
3.472360742,1,1
3.572323298,1,0
3.572324096,0,0
3.572353904,1,0
3.572353928,1,1
3.672317408,1,0
3.672318098,0,0
3.672347214,0,1
3.672347366,1,1
3.772309766,1,0
3.772310192,0,0
3.772341050,1,0
3.772341082,1,1
3.872302494,1,0
3.872303394,0,0
3.872334232,1,0
3.872334310,1,1
3.972296920,1,0
3.972297026,0,0
3.972327602,1,0
3.972327730,1,1
4.072291044,1,0
4.072291416,0,0
4.072321064,1,0
4.072321276,1,1
4.172283810,0,1
4.172285584,0,0
4.172314690,0,1
4.172314726,1,1
4.272277900,0,1
4.272280708,0,0
4.272307986,0,1
4.272308068,1,1
4.372270582,0,1
4.372271758,0,0
4.372301480,1,0
4.372301564,1,1
4.472263714,1,0
4.472264234,0,0
4.472294812,1,0
4.472294922,1,1
4.572257614,0,1
4.572258688,0,0
4.572288500,0,1
4.572288522,1,1
4.672248508,1,0
4.672249004,0,0
4.672281784,1,0
4.672282244,1,1
4.772244600,1,0
4.772245456,0,0
4.772275456,1,0
4.772275568,1,1
4.872238988,0,1
4.872241208,0,0
4.872268606,1,0
4.872268994,1,1
4.972231206,1,0
4.972234486,0,0
4.972262116,1,0
4.972262132,1,1
5.072224790,0,1
5.072226548,0,0
5.072255708,1,0
5.072255790,1,1
5.172218042,0,1
5.172221476,0,0
5.172248908,1,0
5.172249066,1,1
5.272211932,0,1
5.272211970,0,0
5.272242530,1,0
5.272242550,1,1
5.372207068,1,0
5.372208710,0,0
5.372235870,1,0
5.372236614,1,1
5.472197692,1,0
5.472198594,0,0
5.472229490,1,0
5.472229770,1,1
5.572191538,1,0
5.572192294,0,0
5.572222910,1,0
5.572223186,1,1
5.672185564,0,1
5.672186364,0,0
5.672216202,0,1
5.672216462,1,1
5.772178770,1,0
5.772178794,0,0
5.772210078,0,1
5.772210142,1,1
5.872171954,1,0
5.872174560,0,0
5.872203104,0,1
5.872203110,1,1
5.972167182,0,1
5.972168470,0,0
5.972196672,1,0
5.972196806,1,1
6.072159834,1,0
6.072159924,0,0
6.072190080,0,1
6.072190212,1,1
6.172152640,1,0
6.172152794,0,0
6.172183526,0,1
