Time [s],Sheep1,Sheep2
0.000000000,1,1
0.024968428,1,0
0.024989322,0,0
0.025000766,0,1
0.025000850,1,1
0.124975258,1,0
0.124980590,0,0
0.124993860,0,1
0.124994206,1,1
0.224969196,1,0
0.224975596,0,0
0.224987614,1,0
0.224987742,1,1
0.324967110,1,0
0.324968304,0,0
0.324981160,1,0
0.324981256,1,1
0.424945542,0,1
0.424953824,0,0
0.424974422,0,1
0.424975006,1,1
0.524942532,1,0
0.524954176,0,0
0.524967944,1,0
0.524968068,1,1
0.624951124,1,0
0.624951950,0,0
0.624961244,0,1
0.624961440,1,1
0.724930240,0,1
0.724934538,0,0
0.724954998,0,1
0.724955106,1,1
0.824934876,0,1
0.824938590,0,0
0.824948312,0,1
0.824948622,1,1
0.924928212,0,1
0.924929298,0,0
0.924941754,0,1
0.924941958,1,1
1.024909062,1,0
1.024911988,0,0
1.024935410,0,1
1.024935764,1,1
1.124898138,1,0
1.124904534,0,0
1.124928706,0,1
1.124928780,1,1
1.224898652,0,1
1.224906742,0,0
1.224922328,1,0
1.224922460,1,1
1.324891692,1,0
1.324902596,0,0
1.324916114,0,1
1.324916152,1,1
1.424876898,1,0
1.424898958,0,0
1.424909326,0,1
1.424909418,1,1
1.524876924,0,1
1.524881820,0,0
1.524902794,1,0
1.524902888,1,1
1.624863354,1,0
1.624886190,0,0
1.624896224,0,1
1.624896328,1,1
1.724872178,0,1
1.724876746,0,0
1.724889594,1,0
1.724889958,1,1
1.824854882,1,0
1.824857030,0,0
1.824883152,0,1
1.824883300,1,1
1.924850656,1,0
1.924863168,0,0
1.924876616,0,1
1.924876984,1,1
2.024836620,1,0
2.024859410,0,0
2.024870276,0,1
2.024870308,1,1
2.124831806,0,1
2.124841790,0,0
2.124863854,1,0
2.124863888,1,1
2.224827206,1,0
2.224836820,0,0
2.224857070,1,0
2.224857190,1,1
2.324827664,1,0
2.324836986,0,0
2.324850746,0,1
2.324850794,1,1
2.424830166,1,0
2.424833148,0,0
2.424843978,1,0
2.424844120,1,1
2.524819176,0,1
2.524824620,0,0
2.524837380,0,1
2.524837552,1,1
2.624807450,0,1
2.624807584,0,0
2.624830982,0,1
2.624831206,1,1
2.724804092,0,1
2.724805596,0,0
2.724824450,1,0
2.724824722,1,1
2.824800188,0,1
2.824800266,0,0
2.824817924,1,0
2.824818144,1,1
2.924787708,1,0
2.924791530,0,0
2.924811548,1,0
2.924811748,1,1
3.024786106,0,1
3.024787218,0,0
3.024805030,0,1
3.024805052,1,1
3.124766528,0,1
3.124770774,0,0
3.124798282,0,1
3.124798636,1,1
3.224765262,1,0
3.224770072,0,0
3.224791730,1,0
3.224791882,1,1
3.324765324,0,1
3.324771984,0,0
3.324785422,1,0
3.324785480,1,1
3.424756768,0,1
3.424769596,0,0
3.424778736,1,0
3.424778822,1,1
3.524751878,1,0
3.524758874,0,0
3.524772254,0,1
3.524772748,1,1
3.624752344,1,0
3.624756614,0,0
3.624765872,1,0
3.624765896,1,1
3.724740380,0,1
3.724745014,0,0
3.724759116,1,0
3.724759198,1,1
3.824732830,0,1
3.824734208,0,0
3.824752796,0,1
3.824752848,1,1
3.924730986,1,0
3.924733974,0,0
3.924746056,0,1
3.924746072,1,1
4.024708598,1,0
4.024714836,0,0
4.024739616,0,1
4.024739914,1,1
4.124699600,0,1
4.124713708,0,0
4.124733088,0,1
4.124733366,1,1
4.224699520,1,0
4.224709740,0,0
4.224726498,0,1
4.224726648,1,1
4.324698690,1,0
4.324707874,0,0
4.324720108,0,1
4.324720390,1,1
4.424691578,1,0
4.424695148,0,0
4.424713604,1,0
4.424713686,1,1
4.524691504,1,0
4.524693548,0,0
4.524707014,0,1
4.524707176,1,1
4.624683006,1,0
4.624689100,0,0
4.624700474,0,1
4.624700548,1,1
4.724671172,0,1
4.724672104,0,0
4.724693838,1,0
4.724693894,1,1
4.824673864,0,1
4.824676114,0,0
4.824687292,1,0
4.824687436,1,1
4.924658266,0,1
4.924664286,0,0
4.924680694,0,1
4.924680942,1,1
5.024655182,1,0
5.024659456,0,0
5.024674462,0,1
5.024674624,1,1
5.124641816,0,1
5.124658800,0,0
5.124667610,0,1
5.124667996,1,1
5.224629450,1,0
5.224644898,0,0
5.224661296,1,0
5.224661358,1,1
5.324643026,1,0
5.324643300,0,0
5.324654648,1,0
5.324654898,1,1
5.424634634,0,1
5.424636858,0,0
5.424648100,1,0
5.424648558,1,1
5.524613426,1,0
5.524616052,0,0
5.524641690,1,0
5.524641916,1,1
5.624618534,1,0
5.624624282,0,0
5.624635072,1,0
5.624635462,1,1
5.724615296,0,1
5.724615684,0,0
5.724628762,1,0
5.724628900,1,1
5.824590900,1,0
5.824601024,0,0
5.824622264,1,0
5.824622328,1,1
5.924593326,1,0
5.924596146,0,0
5.924615534,1,0
5.924615848,1,1
6.024586174,1,0
6.024589166,0,0
6.024609266,0,1
6.024609314,1,1
6.124588878,0,1
6.124589212,0,0
6.124602734,0,1
6.124602774,1,1
6.224568728,0,1
6.224580878,0,0
6.224596014,1,0
6.224596140,1,1
6.324571600,1,0
6.324578106,0,0
6.324589724,1,0
6.324589744,1,1
6.424563398,0,1
6.424572604,0,0
6.424582752,0,1
6.424582966,1,1
6.524544484,1,0
6.524562448,0,0
6.524576382,0,1
6.524576696,1,1
6.624542548,0,1
6.624550848,0,0
6.624569780,0,1
6.624569926,1,1
6.724531816,0,1
6.724535898,0,0
6.724563406,1,0
6.724563566,1,1
6.824529128,0,1
6.824533094,0,0
6.824556754,1,0
6.824556932,1,1
6.924523530,1,0
6.924536518,0,0
6.924550148,0,1
6.924550326,1,1
7.024518676,0,1
7.024522916,0,0
7.024544034,0,1
7.024544074,1,1
7.124507148,0,1
7.124524022,0,0
7.124537112,0,1
7.124537604,1,1
7.224500070,1,0
7.224518446,0,0
7.224530730,0,1
7.224531084,1,1
7.324507196,1,0
7.324510976,0,0
7.324524346,0,1
7.324524512,1,1
7.424488232,1,0
7.424490904,0,0
7.424517520,0,1
7.424517532,1,1
7.524488688,1,0
7.524500692,0,0
7.524510994,0,1
7.524511380,1,1
7.624479754,0,1
7.624482062,0,0
7.624504530,0,1
7.624504740,1,1
7.724481376,1,0
7.724481940,0,0
7.724498000,1,0
7.724498208,1,1
7.824467254,1,0
7.824471068,0,0
7.824491418,1,0
7.824491616,1,1
7.924472910,0,1
7.924484996,1,1
7.924502636,1,0
7.924503586,1,1
