Time [s],Sheep1,Sheep2
0.000000000,1,1
0.036351438,1,0
0.036354356,0,0
0.036366582,1,0
0.036366676,1,1
0.136328420,0,1
0.136330906,0,0
0.136359946,0,1
0.136360068,1,1
0.236325676,0,1
0.236334582,0,0
0.236353392,1,0
0.236353426,1,1
0.336314104,1,0
0.336331818,0,0
0.336346762,0,1
0.336346968,1,1
0.436310300,1,0
0.436317666,0,0
0.436340338,0,1
0.436340442,1,1
0.536312668,0,1
0.536321168,0,0
0.536333734,0,1
0.536333768,1,1
0.636300806,1,0
0.636310204,0,0
0.636327214,0,1
0.636327352,1,1
0.736307014,1,0
0.736307320,0,0
0.736320552,0,1
0.736320556,1,1
0.836298622,0,1
0.836308912,0,0
0.836313920,0,1
0.836314152,1,1
0.936284428,1,0
0.936289888,0,0
0.936307528,0,1
0.936307716,1,1
1.036272184,0,1
1.036276474,0,0
1.036300946,0,1
1.036301260,1,1
1.136267106,0,1
1.136279012,0,0
1.136294200,0,1
1.136294504,1,1
1.236260828,1,0
1.236270982,0,0
1.236287638,0,1
1.236287850,1,1
1.336251938,1,0
1.336256106,0,0
1.336280986,0,1
1.336281512,1,1
1.436250142,0,1
1.436257254,0,0
1.436274724,0,1
1.436275186,1,1
1.536251592,0,1
1.536251804,0,0
1.536268002,0,1
1.536268092,1,1
1.636237748,1,0
1.636243918,0,0
1.636261498,0,1
1.636261784,1,1
1.736232076,1,0
1.736233490,0,0
1.736254852,0,1
1.736255300,1,1
1.836229554,1,0
1.836231344,0,0
1.836248368,0,1
1.836248482,1,1
1.936212822,0,1
1.936225556,0,0
1.936241846,0,1
1.936241856,1,1
2.036211104,1,0
2.036218482,0,0
2.036235226,0,1
2.036235320,1,1
2.136213514,0,1
2.136216720,0,0
2.136228612,0,1
2.136229052,1,1
2.236200828,0,1
2.236201776,0,0
2.236222276,1,1
2.336195742,0,1
2.336200380,0,0
2.336215560,0,1
2.336215850,1,1
2.436187566,1,0
2.436193062,0,0
2.436208986,0,1
2.436209242,1,1
2.536185676,0,1
2.536187366,0,0
2.536202524,1,0
2.536202632,1,1
2.636180592,1,0
2.636183282,0,0
2.636196090,0,1
2.636196238,1,1
2.736172746,1,0
2.736177552,0,0
2.736189450,1,0
2.736189596,1,1
2.836150154,1,0
2.836159438,0,0
2.836182790,0,1
2.836182872,1,1
2.936145976,1,0
2.936156868,0,0
2.936176364,0,1
2.936176366,1,1
3.036150952,0,1
3.036151592,0,0
3.036169778,1,0
3.036169810,1,1
3.136144934,0,1
3.136146946,0,0
3.136163114,0,1
3.136163450,1,1
3.236137726,0,1
3.236140162,0,0
3.236156622,0,1
3.236156872,1,1
3.336124636,0,1
3.336130006,0,0
3.336150074,1,0
3.336150146,1,1
3.436112378,0,1
3.436112860,0,0
3.436143600,0,1
3.436143726,1,1
3.536120998,0,1
3.536121044,0,0
3.536136932,0,1
3.536137238,1,1
3.636110422,0,1
3.636113050,0,0
3.636130518,0,1
3.636130560,1,1
3.736107992,0,1
3.736110044,0,0
3.736123810,1,0
3.736123904,1,1
3.836086910,1,0
3.836099816,0,0
3.836117300,0,1
3.836117332,1,1
3.936087222,1,0
3.936090796,0,0
3.936110714,0,1
3.936110924,1,1
4.036089418,0,1
4.036092118,0,0
4.036104266,1,0
4.036104316,1,1
4.136082510,1,0
4.136084190,0,0
4.136097718,0,1
4.136097766,1,1
4.236073302,0,1
4.236075794,0,0
4.236091108,1,0
4.236091292,1,1
