Time [s],Sheep1,Sheep2
0.000000000,1,0
0.102862638,0,0
0.102891974,1,0
0.102893086,1,1
0.102923580,1,0
0.213977800,0,0
0.213995782,1,0
0.213996822,1,1
0.214007236,1,0
0.325068096,0,0
0.325099844,1,0
0.325100690,1,1
0.325121144,1,0
0.436179932,0,0
0.436203350,1,0
0.436203600,1,1
0.436214058,1,0
0.547279808,0,0
0.547307308,1,0
0.547307554,1,1
0.547327990,1,0
0.658388484,0,0
0.658411282,1,0
0.658411532,1,1
0.658421940,1,0
0.769488206,0,0
0.769515086,1,0
0.769515538,1,1
0.769536018,1,0
0.880593942,0,0
0.880618754,1,0
0.880619604,1,1
0.880640072,1,0
0.991694730,0,0
0.991722786,1,0
0.991723602,1,1
0.991754070,1,0
1.102803582,0,0
1.102826410,1,0
1.102826866,1,1
1.102837294,1,0
1.213893820,0,0
1.213930168,1,0
1.213930414,1,1
1.213950866,1,0
1.325008062,0,0
1.325034122,1,0
1.325034980,1,1
1.325065454,1,0
1.436107820,0,0
1.436137834,1,0
1.436138076,1,1
1.436158538,1,0
1.547212270,0,0
1.547241662,1,0
1.547242516,1,1
1.547272984,1,0
1.658321166,0,0
1.658345694,1,0
1.658345938,1,1
1.658356378,1,0
1.769421438,0,0
1.769449458,1,0
1.769449908,1,1
1.769470370,1,0
1.880526316,0,0
1.880553184,1,0
1.880553434,1,1
1.880563884,1,0
1.991632918,0,0
1.991657036,1,0
1.991657506,1,1
1.991667930,1,0
2.102722960,0,0
2.102760938,1,0
2.102761400,1,1
2.102781836,1,0
2.213840702,0,0
2.213864586,1,0
2.213864826,1,1
2.213875264,1,0
2.324947726,0,0
2.324968666,1,0
2.324969316,1,1
2.324979734,1,0
2.436048492,0,0
2.436072330,1,0
2.436073000,1,1
2.436083444,1,0
2.547152572,0,0
2.547176034,1,0
2.547176276,1,1
2.547196758,1,0
2.658257678,0,0
2.658280176,1,0
2.658281010,1,1
2.658301484,1,0
2.769351830,0,0
2.769383788,1,0
2.769384034,1,1
2.769404510,1,0
2.880458742,0,0
2.880487764,1,0
2.880488014,1,1
2.880508476,1,0
2.991563616,0,0
2.991591334,1,0
2.991591578,1,1
2.991612018,1,0
3.102661448,0,0
3.102695316,1,0
3.102696168,1,1
3.102716604,1,0
3.213773630,0,0
3.213799050,1,0
3.213799290,1,1
3.213819728,1,0
3.324878130,0,0
3.324903030,1,0
3.324903260,1,1
3.324913670,1,0
3.435969464,0,0
3.436006642,1,0
3.436006888,1,1
3.436027324,1,0
3.547085756,0,0
3.547110506,1,0
3.547111366,1,1
3.547141834,1,0
3.658192248,0,0
3.658214556,1,0
3.658214800,1,1
3.658225224,1,0
3.769291488,0,0
3.769318276,1,0
3.769318512,1,1
3.769338960,1,0
3.880383030,0,0
3.880421922,1,0
3.880422156,1,1
3.880442594,1,0
3.991501602,0,0
3.991525900,1,0
3.991526144,1,1
3.991546584,1,0
4.102594464,0,0
4.102629690,1,0
4.102630548,1,1
4.102661012,1,0
4.213710092,0,0
4.213733584,1,0
4.213734064,1,1
4.213744494,1,0
4.324813606,0,0
4.324837432,1,0
4.324838282,1,1
4.324858736,1,0
4.435904636,0,0
4.435941104,1,0
4.435942006,1,1
4.435972470,1,0
4.547020464,0,0
4.547045056,1,0
4.547045306,1,1
4.547055716,1,0
4.658125278,0,0
4.658148716,1,0
4.658149574,1,1
4.658180074,1,0
4.769216158,0,0
4.769252644,1,0
4.769253092,1,1
4.769273578,1,0
4.880333146,0,0
4.880356568,1,0
4.880357208,1,1
4.880367616,1,0
4.991419016,0,0
4.991460416,1,0
4.991460656,1,1
4.991481094,1,0
5.102540886,0,0
5.102564084,1,0
5.102564330,1,1
5.102574770,1,0
5.213628116,0,0
5.213668038,1,0
5.213668258,1,1
5.213688696,1,0
5.324749198,0,0
5.324771724,1,0
5.324771950,1,1
5.324792400,1,0
5.435846058,0,0
5.435875484,1,0
5.435875930,1,1
5.435896366,1,0
5.546955654,0,0
5.546979456,1,0
5.546979906,1,1
5.546990314,1,0
5.658047524,0,0
5.658083144,1,0
5.658083588,1,1
5.658094016,1,0
5.769168374,0,0
5.769186992,1,0
5.769187834,1,1
5.769208270,1,0
5.880250332,0,0
5.880290834,1,0
5.880291078,1,1
5.880311550,1,0
5.991371542,0,0
5.991394750,1,0
5.991394990,1,1
5.991405398,1,0
6.102463262,0,0
6.102498438,1,0
6.102499290,1,1
6.102529756,1,0
6.213573328,0,0
6.213602370,1,0
6.213602610,1,1
6.213623092,1,0
6.324667750,0,0
6.324706086,1,0
6.324706330,1,1
6.324726796,1,0
6.435784246,0,0
6.435809764,1,0
6.435810214,1,1
6.435820638,1,0
6.546875876,0,0
6.546913754,1,0
6.546913994,1,1
6.546934458,1,0
6.657983424,0,0
6.658017432,1,0
6.658017680,1,1
6.658038160,1,0
6.769094590,0,0
6.769121448,1,0
6.769122364,1,1
6.769132774,1,0
6.880194280,0,0
6.880225318,1,0
6.880226064,1,1
6.880256536,1,0
6.991298354,0,0
6.991329054,1,0
6.991329298,1,1
6.991349784,1,0
7.102403046,0,0
7.102432680,1,0
7.102433672,1,1
7.102464138,1,0
7.213516232,0,0
7.213536552,1,0
7.213536802,1,1
7.213547210,1,0
7.324615166,0,0
7.324640376,1,0
7.324640622,1,1
7.324651080,1,0
7.435721704,0,0
7.435744264,1,0
7.435744508,1,1
7.435764982,1,0
7.546824822,0,0
7.546848034,1,0
7.546848278,1,1
7.546858686,1,0
7.657928792,0,0
7.657951898,1,0
7.657952352,1,1
7.657962812,1,0
7.769031528,0,0
7.769055714,1,0
7.769056556,1,1
7.769076992,1,0
7.880135092,0,0
7.880159534,1,0
7.880160394,1,1
7.880170838,1,0
7.991240922,0,0
7.991263458,1,0
7.991264342,1,1
7.991274792,1,0
8.102330758,0,0
8.102367344,1,0
8.102367576,1,1
8.102388012,1,0
8.213443484,0,0
8.213471184,1,0
8.213471428,1,1
8.213542032,1,0
8.324552140,0,0
8.324574918,1,0
8.324575576,1,1
8.324585986,1,0
8.435659706,0,0
8.435678722,1,0
8.435678968,1,1
8.435689378,1,0
8.546755254,0,0
8.546782402,1,0
8.546782648,1,1
8.546803110,1,0
8.657863498,0,0
8.657886126,1,0
8.657886580,1,1
8.657897034,1,0
8.768966784,0,0
8.768990240,1,0
8.768991134,1,1
8.769011614,1,0
8.880073878,0,0
8.880093920,1,0
8.880094170,1,1
8.880104608,1,0
8.991166974,0,0
8.991197792,1,0
8.991198032,1,1
8.991218508,1,0
9.102274388,0,0
9.102301548,1,0
9.102302398,1,1
9.102332914,1,0
9.213376704,0,0
9.213405316,1,0
9.213406154,1,1
9.213436622,1,0
9.324476262,0,0
9.324509098,1,0
9.324509752,1,1
9.324530208,1,0
9.435579814,0,0
9.435613082,1,0
9.435613328,1,1
9.435633766,1,0
9.546690042,0,0
9.546716830,1,0
9.546717670,1,1
9.546728118,1,0
9.657789594,0,0
9.657820634,1,0
9.657820882,1,1
9.657841338,1,0
9.768901070,0,0
9.768924608,1,0
9.768924852,1,1
9.768935260,1,0
9.879986756,0,0
