Time [s],Sheep1,Sheep2
0.000000000,1,0
0.041097906,0,0
0.041310712,1,0
0.041311336,1,1
0.041341834,1,0
0.152213712,0,0
0.152414398,1,0
0.152414644,1,1
0.152425064,1,0
0.263306624,0,0
0.263518048,1,0
0.263518478,1,1
0.263538916,1,0
0.374417890,0,0
0.374621790,1,0
0.374622036,1,1
0.374642472,1,0
0.485520732,0,0
0.485725768,1,0
0.485726002,1,1
0.485736412,1,0
0.596623902,0,0
0.596829606,1,0
0.596829842,1,1
0.596840294,1,0
0.707731500,0,0
0.707933668,1,0
0.707934288,1,1
0.707944696,1,0
0.818835906,0,0
0.819037594,1,0
0.819038024,1,1
0.819048432,1,0
0.929940508,0,0
0.930141012,1,0
0.930141258,1,1
0.930151666,1,0
1.041043906,0,0
1.041244984,1,0
1.041245224,1,1
1.041255638,1,0
1.152141554,0,0
1.152348910,1,0
1.152349156,1,1
1.152369636,1,0
1.263252514,0,0
1.263452438,1,0
1.263452684,1,1
1.263473122,1,0
1.374349282,0,0
1.374556500,1,0
1.374556740,1,1
1.374577178,1,0
1.485459338,0,0
1.485660256,1,0
1.485660490,1,1
1.485670944,1,0
1.596552168,0,0
1.596764072,1,0
1.596764314,1,1
1.596784770,1,0
1.707666744,0,0
1.707868284,1,0
1.707868902,1,1
1.707889342,1,0
1.818768512,0,0
1.818971848,1,0
1.818972548,1,1
1.819003018,1,0
1.929875730,0,0
1.930075494,1,0
1.930076116,1,1
1.930086524,1,0
2.040970488,0,0
2.041179366,1,0
2.041179596,1,1
2.041200032,1,0
2.152086422,0,0
2.152283100,1,0
2.152283340,1,1
2.152293800,1,0
2.263179730,0,0
2.263386946,1,0
2.263387372,1,1
2.263407810,1,0
2.374284826,0,0
2.374490816,1,0
2.374491066,1,1
2.374501494,1,0
2.485394404,0,0
2.485594690,1,0
2.485595300,1,1
2.485625774,1,0
2.596497282,0,0
2.596698446,1,0
2.596698682,1,1
2.596709090,1,0
2.707590608,0,0
2.707802386,1,0
2.707802630,1,1
2.707823088,1,0
2.818705002,0,0
2.818906428,1,0
2.818906668,1,1
2.818927138,1,0
2.929804000,0,0
2.930010274,1,0
2.930010896,1,1
2.930041386,1,0
3.040906096,0,0
3.041113964,1,0
3.041114204,1,1
3.041134646,1,0
3.152012180,0,0
3.152217518,1,0
3.152217762,1,1
3.159198564,1,0
3.263125958,0,0
3.263321782,1,0
3.263322404,1,1
3.263332816,1,0
3.374223592,0,0
3.374425650,1,0
3.374426260,1,1
3.374446728,1,0
3.485317176,0,0
3.485529284,1,0
3.485529892,1,1
3.485560382,1,0
3.596432942,0,0
3.596632858,1,0
3.596633092,1,1
3.596643522,1,0
3.707524398,0,0
3.707736786,1,0
3.707737030,1,1
3.707757518,1,0
3.818637710,0,0
3.818840758,1,0
3.818841012,1,1
3.818861482,1,0
3.929737908,0,0
3.929944612,1,0
3.929944852,1,1
3.929965290,1,0
4.040842868,0,0
4.041048608,1,0
4.041049218,1,1
4.041079710,1,0
4.151947986,0,0
4.152152260,1,0
