Time [s],Sheep1,Sheep2
0.000000000,1,0
0.021910408,0,0
0.021917126,1,0
0.021917336,1,1
0.021957836,1,0
0.133013988,0,0
0.133021010,1,0
0.133021256,1,1
0.133061796,1,0
0.244125214,0,0
0.244125322,1,0
0.244125554,1,1
0.244176130,1,0
0.355226906,0,0
0.355228664,1,0
0.355228914,1,1
0.355239324,1,0
0.466319488,0,0
0.466332320,1,0
0.466332750,1,1
0.466363260,1,0
0.577435414,0,0
0.577436122,1,0
0.577436788,1,1
0.577447196,1,0
0.688533326,0,0
0.688540072,1,0
0.688540294,1,1
0.688550732,1,0
0.799642616,0,0
0.799643748,1,0
0.799643978,1,1
0.799694504,1,0
0.910746352,0,0
0.910747492,1,0
0.910747732,1,1
0.910758180,1,0
1.021845332,0,0
1.021851580,1,0
1.021852442,1,1
1.021902970,1,0
1.132950086,0,0
1.132955144,1,0
1.132955366,1,1
1.133005912,1,0
1.244057136,0,0
1.244059238,1,0
1.244059462,1,1
1.244109988,1,0
1.355161828,0,0
1.355162946,1,0
1.355163192,1,1
1.355173602,1,0
1.466266640,0,0
1.466267292,1,0
1.466267738,1,1
1.466278162,1,0
1.577366132,0,0
1.577370524,1,0
1.577370974,1,1
1.577381382,1,0
1.688471976,0,0
1.688474342,1,0
1.688475194,1,1
1.688515692,1,0
1.799578396,0,0
1.799579046,1,0
1.799579728,1,1
1.799630276,1,0
1.910677906,0,0
1.910681928,1,0
1.910682174,1,1
1.910692592,1,0
2.021779958,0,0
2.021785966,1,0
2.021786192,1,1
2.021796636,1,0
2.132881070,0,0
2.132889558,1,0
2.132890024,1,1
2.132910462,1,0
2.243997590,0,0
2.243997920,1,0
2.243998352,1,1
2.244008760,1,0
2.355092880,0,0
2.355097258,1,0
2.355097504,1,1
2.355107958,1,0
2.466200700,0,0
2.466201120,1,0
2.466201608,1,1
2.466212016,1,0
2.577299052,0,0
2.577305012,1,0
2.577305462,1,1
2.577315892,1,0
2.688403430,0,0
2.688408670,1,0
2.688409516,1,1
2.688460054,1,0
2.799516530,0,0
2.799516860,1,0
2.799517702,1,1
2.799538172,1,0
2.910612960,0,0
2.910616392,1,0
2.910616828,1,1
2.910667376,1,0
3.021713872,0,0
3.021720140,1,0
3.021720594,1,1
3.021731048,1,0
3.132824030,0,0
3.132824450,1,0
3.132824688,1,1
3.132835096,1,0
3.243914760,0,0
3.243927852,1,0
3.243928086,1,1
3.243958604,1,0
3.355020250,0,0
3.355031768,1,0
3.355032008,1,1
3.355062476,1,0
3.466123436,0,0
3.466135578,1,0
3.466135824,1,1
3.466156260,1,0
3.577238468,0,0
3.577239248,1,0
3.577239708,1,1
3.577250116,1,0
3.688325886,0,0
3.688343204,1,0
3.688344334,1,1
3.688364782,1,0
3.799443564,0,0
3.799446964,1,0
3.799447430,1,1
3.799457864,1,0
3.910553190,0,0
3.910553550,1,0
3.910554412,1,1
3.910564820,1,0
4.021656620,0,0
4.021656730,1,0
4.021657152,1,1
4.021667590,1,0
4.132757808,0,0
4.132758598,1,0
4.132759260,1,1
4.132769678,1,0
4.243861488,0,0
4.243862238,1,0
4.243862718,1,1
4.243873126,1,0
4.354965712,0,0
4.354966132,1,0
4.354966552,1,1
4.354976996,1,0
4.466055464,0,0
4.466069862,1,0
4.466071104,1,1
4.466101610,1,0
4.577171528,0,0
4.577173570,1,0
4.577174240,1,1
4.577184658,1,0
4.688281726,0,0
4.688282036,1,0
4.688282470,1,1
4.688292880,1,0
4.799376164,0,0
4.799381454,1,0
4.799381700,1,1
4.799392108,1,0
4.910473672,0,0
4.910485212,1,0
4.910485642,1,1
4.910506096,1,0
5.021588226,0,0
5.021588906,1,0
5.021589756,1,1
5.021600190,1,0
5.132677806,0,0
5.132692874,1,0
5.132693586,1,1
5.132714022,1,0
5.243795992,0,0
5.243796772,1,0
5.243797430,1,1
5.243807866,1,0
5.354903048,0,0
5.354903158,1,0
5.354903588,1,1
5.354914032,1,0
5.465992944,0,0
5.466004144,1,0
5.466004620,1,1
5.466045114,1,0
5.577101972,0,0
5.577108230,1,0
5.577108680,1,1
5.577159206,1,0
5.688205984,0,0
5.688211954,1,0
5.688212414,1,1
5.688222872,1,0
5.799314970,0,0
5.799315622,1,0
5.799316102,1,1
5.799326510,1,0
5.910419468,0,0
5.910420146,1,0
5.910420996,1,1
