Time [s],Sheep1,Sheep2
0.000000000,1,0
0.006147098,0,0
0.006147558,1,0
0.006147784,1,1
0.006178272,1,0
0.117256364,0,0
0.117257306,1,0
0.117258164,1,1
0.117278614,1,0
0.228362756,0,0
0.228363698,1,0
0.228364366,1,1
0.228374788,1,0
0.339468462,0,0
0.339469110,1,0
0.339469562,1,1
0.339479970,1,0
0.450572386,0,0
0.450573288,1,0
0.450574148,1,1
0.450584562,1,0
0.561659384,0,0
0.561660054,1,0
0.561660304,1,1
0.561710828,1,0
0.672776876,0,0
0.672777808,1,0
0.672778274,1,1
0.672788732,1,0
0.783883158,0,0
0.783884070,1,0
0.783884722,1,1
0.783895130,1,0
0.894989624,0,0
0.894990084,1,0
0.894990308,1,1
0.895000738,1,0
1.006092268,0,0
1.006092728,1,0
1.006092938,1,1
1.006143492,1,0
1.117194672,0,0
1.117195134,1,0
1.117195380,1,1
1.117205838,1,0
1.228294450,0,0
1.228295380,1,0
1.228296244,1,1
1.228316718,1,0
1.339403082,0,0
1.339404002,1,0
1.339404872,1,1
1.339425310,1,0
1.450509998,0,0
1.450510906,1,0
1.450511742,1,1
1.450522164,1,0
1.561607672,0,0
1.561608572,1,0
1.561609598,1,1
1.561660160,1,0
1.672703956,0,0
1.672704866,1,0
1.672705090,1,1
1.672755656,1,0
1.783818000,0,0
1.783818910,1,0
1.783819598,1,1
1.783830006,1,0
1.894922096,0,0
1.894922746,1,0
1.894923382,1,1
1.894933830,1,0
2.006015600,0,0
2.006016238,1,0
2.006016448,1,1
2.006046918,1,0
2.117119612,0,0
2.117120284,1,0
2.117120700,1,1
2.117171224,1,0
2.228229108,0,0
2.228229568,1,0
2.228229814,1,1
2.228240222,1,0
2.339337112,0,0
2.339338030,1,0
2.339338900,1,1
2.339389434,1,0
2.450441394,0,0
2.450442064,1,0
2.450442522,1,1
2.450493088,1,0
2.561545140,0,0
2.561545600,1,0
2.561545826,1,1
2.561556284,1,0
2.672647764,0,0
2.672648404,1,0
2.672649268,1,1
2.672699800,1,0
2.783748696,0,0
2.783749148,1,0
2.783749394,1,1
2.783759852,1,0
2.894856180,0,0
2.894856642,1,0
2.894856872,1,1
2.894867330,1,0
3.005961912,0,0
3.005962342,1,0
3.005962592,1,1
3.006013142,1,0
3.117061098,0,0
3.117061760,1,0
3.117062788,1,1
3.117083228,1,0
3.228168652,0,0
3.228169312,1,0
3.228169962,1,1
3.228180420,1,0
3.339271786,0,0
3.339272444,1,0
3.339272898,1,1
3.339323426,1,0
3.450377148,0,0
3.450377868,1,0
3.450378730,1,1
3.450389174,1,0
3.561477140,0,0
3.561477600,1,0
3.561478046,1,1
3.561528610,1,0
3.672566116,0,0
3.672566546,1,0
3.672566778,1,1
3.672617300,1,0
3.783683328,0,0
3.783683988,1,0
3.783685040,1,1
3.783735572,1,0
3.894786172,0,0
3.894786612,1,0
3.894787268,1,1
3.894797676,1,0
4.005895454,0,0
4.005895902,1,0
4.005896148,1,1
4.005906596,1,0
4.116993644,0,0
4.116994096,1,0
4.116994546,1,1
4.117004980,1,0
4.228098092,0,0
4.228098542,1,0
4.228098762,1,1
4.228109170,1,0
4.339208940,0,0
4.339209602,1,0
4.339209818,1,1
4.339220226,1,0
4.450307476,0,0
4.450307936,1,0
4.450308146,1,1
4.450318556,1,0
4.561412226,0,0
