Time [s],Sheep1,Sheep2
0.000000000,1,0
0.079346870,0,0
0.079370362,1,0
0.079370614,1,1
0.079391074,1,0
0.190450968,0,0
0.190474196,1,0
0.190474994,1,1
0.190485454,1,0
0.301540880,0,0
0.301578028,1,0
0.301578278,1,1
0.301598716,1,0
0.412659464,0,0
0.412682156,1,0
0.412682826,1,1
0.412693270,1,0
0.523760678,0,0
0.523785738,1,0
0.523785988,1,1
0.523806432,1,0
0.634868332,0,0
0.634889550,1,0
0.634889800,1,1
0.634900214,1,0
0.745955498,0,0
0.745993688,1,0
0.745994118,1,1
0.746024598,1,0
0.857074232,0,0
0.857097440,1,0
0.857097684,1,1
0.857108098,1,0
0.968179292,0,0
0.968201122,1,0
0.968201572,1,1
0.968222024,1,0
1.079268150,0,0
1.079305248,1,0
1.079305678,1,1
1.079336144,1,0
1.190376782,0,0
1.190408860,1,0
1.190409084,1,1
1.190429524,1,0
1.301484014,0,0
1.301512650,1,0
1.301512902,1,1
1.301523310,1,0
1.412592456,0,0
1.412616766,1,0
1.412617222,1,1
1.412627636,1,0
1.523697020,0,0
1.523720638,1,0
1.523721242,1,1
1.523741732,1,0
1.634793000,0,0
1.634824428,1,0
1.634824670,1,1
1.634835088,1,0
1.745902126,0,0
1.745928234,1,0
1.745928484,1,1
1.745948932,1,0
1.857003308,0,0
1.857032144,1,0
1.857032820,1,1
1.857063288,1,0
1.968115328,0,0
1.968135996,1,0
1.968136596,1,1
1.968157068,1,0
2.079216238,0,0
2.079239750,1,0
2.079240186,1,1
2.079250600,1,0
2.190318800,0,0
2.190343630,1,0
2.190343880,1,1
2.190364354,1,0
2.301416172,0,0
2.301447430,1,0
2.301447676,1,1
2.301468162,1,0
2.412527452,0,0
2.412551324,1,0
2.412551574,1,1
2.412562034,1,0
2.523635742,0,0
2.523654984,1,0
2.523655234,1,1
2.523665672,1,0
2.634731934,0,0
2.634758812,1,0
2.634759414,1,1
2.634769822,1,0
2.745833176,0,0
2.745862776,1,0
2.745863216,1,1
2.745873636,1,0
