Time [s],Pru11
0.000000000,0
0.013837618,1
0.013843476,0
0.113830394,1
0.113836290,0
0.213823158,1
0.213828996,0
0.313814844,1
0.313821202,0
0.413811046,1
0.413816874,0
0.513803612,1
0.513809918,0
0.613795228,1
0.613801356,0
0.713787820,1
0.713794100,0
0.813760798,1
0.813767266,0
0.913775810,1
0.913782068,0
1.013778874,1
1.013784732,0
1.113762248,1
1.113768496,0
1.213755592,1
1.213761422,0
1.313749386,1
1.313755264,0
1.413744048,1
1.413749906,0
1.513734834,1
1.513741174,0
1.613731484,1
1.613737814,0
1.713719748,1
1.713726580,0
1.813752262,1
1.813758320,0
1.913693458,1
1.913699944,0
2.013703728,1
2.013709876,0
2.113697452,1
2.113703330,0
2.213688938,1
2.213694796,0
2.313683828,1
2.313690106,0
2.413676342,1
2.413682540,0
2.513669286,1
2.513675212,0
2.613663028,1
2.613669284,0
2.713657058,1
2.713662926,0
2.813649962,1
2.813656488,0
2.913642326,1
2.913648642,0
3.013639206,1
3.013645256,0
3.113631256,1
3.113637166,0
3.213623030,1
3.213629366,0
3.313615444,1
3.313621850,0
3.413609884,1
3.413615740,0
3.513602008,1
3.513607864,0
3.613597176,1
3.613603074,0
3.713588650,1
3.713594928,0
3.813583230,1
3.813589446,0
3.913574432,1
3.913580652,0
4.013569342,1
4.013575630,0
4.113563722,1
4.113569570,0
4.213555466,1
4.213561294,0
4.313549116,1
4.313555024,0
4.413541128,1
4.413547466,0
4.513534468,1
4.513540638,0
4.613528430,1
4.613534688,0
4.713521830,1
4.713528148,0
4.813514450,1
4.813520330,0
4.913505668,1
4.913512558,0
5.013503310,1
5.013509146,0
5.113502098,1
5.113508046,0
5.213487992,1
5.213493860,0
5.313482650,1
5.313488528,0
5.413476280,1
5.413482368,0
5.513470708,1
5.513477018,0
5.613461422,1
5.613467380,0
5.713275360,1
5.713281618,0
5.813427372,1
5.813433898,0
5.913477866,1
5.913483586,0
6.013434680,1
6.013440508,0
6.113429686,1
6.113435864,0
6.213422696,1
6.213428864,0
6.313414798,1
6.313420636,0
6.413410174,1
6.413416062,0
6.513402454,1
6.513408752,0
6.613396432,1
6.613402280,0
6.713389292,1
6.713395648,0
6.813382700,1
6.813388648,0
6.913375510,1
6.913381886,0
7.013369198,1
7.013375026,0
7.113363066,1
7.113369322,0
7.213355626,1
7.213361482,0
7.313348924,1
7.313355320,0
7.413343190,1
7.413349348,0
7.513305510,1
7.513312552,0
7.613327530,1
7.613333898,0
7.713322326,1
7.713328264,0
7.813314386,1
7.813320264,0
7.913307012,1
