Time [s],Pru11
0.000000000,0
0.038529228,1
0.038535076,0
0.138523676,1
0.138529586,0
0.238516686,1
0.238522784,0
0.338510134,1
0.338516084,0
0.438503042,1
0.438509412,0
0.538473596,1
0.538480772,0
0.638487494,1
0.638494938,0
0.738483358,1
0.738489268,0
0.838454300,1
0.838461278,0
0.938469646,1
0.938475494,0
1.038463764,1
1.038469702,0
1.138456922,1
1.138462760,0
1.238449790,1
1.238456038,0
1.338444098,1
1.338449926,0
1.438434498,1
1.438441234,0
1.538431042,1
1.538436922,0
1.638423180,1
1.638429298,0
1.738418218,1
1.738424428,0
1.838409934,1
1.838416244,0
1.938403972,1
1.938410092,0
2.038396358,1
2.038402476,0
2.138389724,1
2.138395784,0
2.238360704,1
2.238367792,0
2.338376298,1
2.338382186,0
2.438370204,1
2.438376082,0
2.538363240,1
2.538369108,0
2.638355776,1
2.638361814,0
2.738349672,1
2.738355510,0
2.838343468,1
2.838349706,0
2.938337464,1
2.938343714,0
3.038329958,1
3.038336218,0
3.138322406,1
3.138328502,0
3.238315640,1
3.238321968,0
3.338287766,1
3.338294484,0
3.438303528,1
3.438309448,0
3.538297214,1
3.538303142,0
3.638290038,1
3.638295906,0
3.738260686,1
3.738267522,0
3.838277226,1
3.838283518,0
3.938270862,1
3.938277062,0
4.038263016,1
4.038268884,0
4.138256160,1
4.138262278,0
4.238248964,1
4.238255262,0
4.338242996,1
4.338249046,0
4.438236310,1
4.438242178,0
4.538207556,1
4.538214304,0
4.638220110,1
4.638227468,0
4.738216100,1
4.738222450,0
4.838209004,1
4.838214882,0
4.938203056,1
4.938209386,0
5.038197150,1
5.038202998,0
5.138190712,1
5.138196802,0
5.238183244,1
5.238189134,0
5.338176268,1
5.338182166,0
5.438169620,1
5.438175528,0
5.538162772,1
5.538168840,0
5.638155984,1
5.638161882,0
5.738149686,1
5.738155564,0
5.838143598,1
5.838149456,0
5.938136020,1
5.938142228,0
6.038129760,1
6.038135650,0
6.138123792,1
6.138129672,0
6.238116704,1
6.238122654,0
6.338109046,1
6.338115204,0
6.438104036,1
6.438109936,0
6.538096538,1
6.538102836,0
6.638089888,1
6.638095806,0
6.738083150,1
6.738089238,0
6.838076770,1
6.838082648,0
6.938069870,1
6.938075758,0
7.038064320,1
7.038070692,0
7.138056572,1
7.138062480,0
7.238027254,1
7.238033992,0
7.338020664,1
7.338027782,0
7.438036202,1
7.438042640,0
7.538029492,1
7.538035390,0
7.638023712,1
7.638030072,0
7.737993126,1
7.738000510,0
7.838009470,1
7.838015328,0
7.938003780,1
7.938010150,0
8.037997070,1
8.038003468,0
8.137989448,1
8.137995798,0
8.237982308,1
8.237988226,0
8.337976256,1
8.337982154,0
8.437969486,1
8.437975434,0
8.537940088,1
8.537947224,0
8.637953236,1
8.637960204,0
8.737949562,1
8.737955730,0
8.837942632,1
8.837949060,0
8.937935960,1
8.937941818,0
9.037931158,1
9.037937008,0
9.137922476,1
9.137928964,0
