Time [s],Pru11
0.000000000,0
0.072344554,1
0.072352010,0
0.172338640,1
0.172345598,0
0.272353596,1
0.272359744,0
0.372347004,1
0.372353612,0
0.472340242,1
0.472346500,0
0.572333788,1
0.572339668,0
0.672326896,1
0.672333396,0
0.772320036,1
0.772326492,0
0.872313292,1
0.872319160,0
0.972307798,1
0.972313678,0
1.072300118,1
1.072306174,0
1.172295004,1
1.172301084,0
1.272287060,1
1.272293268,0
1.372280946,1
1.372286786,0
1.472273634,1
1.472280154,0
1.572266312,1
1.572272780,0
1.672259878,1
1.672266156,0
1.772253424,1
1.772259312,0
1.872246402,1
1.872252818,0
1.972238630,1
1.972245396,0
2.072233932,1
2.072239792,0
2.172224422,1
2.172231648,0
2.272220034,1
2.272225914,0
2.372213620,1
2.372219790,0
2.472207006,1
2.472212894,0
2.572177036,1
2.572184472,0
2.672190930,1
2.672198348,0
2.772187062,1
2.772193392,0
2.872179568,1
2.872185476,0
2.972173512,1
2.972179872,0
3.072166678,1
3.072172626,0
3.172159984,1
3.172166312,0
3.272152928,1
3.272158996,0
3.372147522,1
3.372153430,0
3.472039852,1
3.472045994,0
3.572133392,1
3.572139920,0
3.672126726,1
3.672132794,0
3.772120520,1
3.772126828,0
3.872112924,1
3.872118734,0
3.972106310,1
3.972112876,0
4.072077916,1
4.072084882,0
4.172093206,1
4.172099494,0
4.272085862,1
4.272091790,0
4.372079814,1
4.372085692,0
4.472071830,1
4.472077898,0
4.572066920,1
4.572072980,0
4.672060464,1
4.672066864,0
4.772053618,1
4.772059496,0
4.871929148,1
4.871935648,0
4.972040724,1
4.972046622,0
5.071916104,1
5.071922674,0
5.172026062,1
5.172032198,0
5.272019564,1
5.272025990,0
5.372013374,1
5.372019794,0
5.472009270,1
5.472015798,0
5.571999202,1
5.572005298,0
5.671993972,1
5.671999862,0
5.771988036,1
5.771993894,0
5.871979758,1
5.871985786,0
5.971973130,1
5.971979038,0
6.071966890,1
6.071972980,0
6.171959584,1
6.171965482,0
6.271953794,1
6.271959634,0
6.371946696,1
6.371952564,0
6.471940288,1
6.471946126,0
6.571833858,1
6.571840198,0
6.671923824,1
6.671930812,0
6.771897584,1
6.771904322,0
6.871914334,1
6.871920212,0
6.971903636,1
6.971910844,0
7.071899536,1
7.071905634,0
7.171895748,1
7.171901608,0
7.271886038,1
7.271892394,0
7.371880056,1
7.371885896,0
7.471876550,1
7.471882398,0
7.571867088,1
7.571873258,0
7.671860198,1
7.671866096,0
7.771852330,1
7.771858398,0
7.871845780,1
7.871851588,0
7.971839838,1
7.971846108,0
8.071810282,1
8.071817508,0
8.171826050,1
8.171831918,0
8.271819010,1
8.271825266,0
8.371813068,1
8.371819226,0
8.471810120,1
8.471815948,0
8.571800838,1
8.571806698,0
8.671792398,1
8.671798556,0
8.771785658,1
8.771792186,0
