Time [s],Pru11
0.000000000,1
0.087010166,0
0.087013018,1
0.187003500,0
0.187006130,1
0.286995376,0
0.286998014,1
0.386990128,0
0.386992968,1
0.486960194,0
0.486963442,1
0.586975966,0
0.586978614,1
0.686970548,0
0.686973240,1
0.786939684,0
0.786942802,1
0.886956366,0
0.886959456,1
0.986950948,0
0.986953792,1
1.086942944,0
1.086945922,1
1.186936856,0
1.186939746,1
1.286930568,0
1.286933620,1
1.386923532,0
1.386926182,1
1.486917074,0
1.486919724,1
1.586911144,0
1.586913788,1
1.686901900,0
1.686904528,1
1.786897480,0
1.786900322,1
1.886889844,0
1.886892764,1
1.986884004,0
1.986886646,1
2.086772392,0
2.086793722,1
2.186870978,0
2.186873630,1
2.286864528,0
2.286867182,1
2.386854182,0
2.386856842,1
2.486850812,0
2.486853454,1
2.586843124,0
2.586845974,1
2.686834046,0
2.686836686,1
2.786807700,0
2.786810346,1
2.886822978,0
2.886825596,1
2.986817786,0
2.986820430,1
3.086810158,0
3.086813010,1
3.186800620,0
3.186803480,1
3.286796990,0
3.286799650,1
3.386790240,0
3.386792900,1
3.486783560,0
3.486786200,1
3.586777250,0
3.586779882,1
3.686666186,0
3.686686574,1
3.786764878,0
3.786767812,1
3.886734102,0
3.886736730,1
3.986747610,0
3.986750230,1
4.086743060,0
4.086745728,1
4.186736988,0
4.186739638,1
4.286729488,0
4.286732126,1
4.386723546,0
4.386726458,1
4.486717464,0
4.486720116,1
4.586711162,0
4.586713836,1
4.686680276,0
4.686683134,1
4.786696812,0
4.786699854,1
4.886691188,0
4.886693832,1
4.986683808,0
4.986686450,1
5.086677506,0
5.086680170,1
5.186669626,0
5.186672274,1
5.286664202,0
5.286667056,1
5.386656982,0
5.386660104,1
5.486627084,0
5.486629720,1
5.586643258,0
5.586646168,1
5.686636106,0
5.686638956,1
5.786630732,0
5.786634006,1
5.886513268,0
5.886539696,1
5.986615970,0
5.986619108,1
6.086610794,0
6.086613458,1
6.186604112,0
6.186607016,1
6.286596500,0
6.286599130,1
6.386589998,0
6.386592988,1
6.486584162,0
6.486586816,1
6.586577510,0
6.586580192,1
6.686569858,0
6.686572750,1
6.786463570,0
6.786479960,1
6.886557340,0
6.886560004,1
6.986547480,0
6.986550378,1
7.086520668,0
7.086523536,1
7.186534402,0
7.186537560,1
7.286506410,0
7.286509248,1
7.386523982,0
7.386526614,1
7.486516790,0
7.486519892,1
7.586510414,0
7.586513308,1
7.686503622,0
7.686506452,1
7.786497316,0
7.786499940,1
7.886490172,0
7.886493306,1
7.986480660,0
7.986483508,1
8.086476834,0
8.086479796,1
8.186467662,0
8.186470770,1
8.286463514,0
8.286466426,1
8.386457480,0
8.386460142,1
8.486450616,0
8.486453278,1
8.586443800,0
8.586446884,1
8.686437116,0
8.686439788,1
8.786430650,0
8.786433324,1
8.886423156,0
8.886426348,1
8.986416222,0
8.986418852,1
9.086411024,0
9.086413928,1
9.186401762,0
9.186404420,1
9.286396466,0
9.286399326,1
9.386390890,0
9.386393572,1
9.486383594,0
9.486386266,1
9.586377408,0
9.586380082,1
9.686369384,0
9.686372334,1
9.786363906,0
9.786366540,1
9.886249150,0
9.886273138,1
9.986349726,0
9.986352366,1
10.086343160,0
10.086345992,1
10.186334176,0
10.186336824,1
10.286212954,0
10.286246224,1
10.386323192,0
10.386326064,1
10.486317264,0
10.486319918,1
10.586309650,0
10.586312310,1
10.686302654,0
10.686305934,1
10.786296966,0
10.786299598,1
10.886290290,0
10.886292932,1
10.986282974,0
10.986285624,1
11.086276278,0
11.086278938,1
11.186246104,0
11.186248972,1
11.286263364,0
11.286265996,1
11.386256198,0
11.386258858,1
11.486250020,0
11.486252662,1
11.586240676,0
11.586243324,1
11.686237204,0
11.686239858,1
11.786230208,0
11.786233252,1
11.886222114,0
11.886224992,1
11.986213246,0
11.986216056,1
12.086209318,0
12.086211938,1
12.186179894,0
12.186182920,1
12.286194274,0
12.286196922,1
12.386187458,0
12.386190116,1
12.486159402,0
12.486162268,1
12.586177600,0
12.586180632,1
12.686170222,0
12.686172856,1
12.786162686,0
12.786165306,1
12.886156996,0
12.886159640,1
12.986040720,0
12.986066026,1
13.086143562,0
13.086146204,1
13.186113218,0
13.186116366,1
13.286130076,0
13.286132700,1
13.386122520,0
13.386125168,1
13.486117240,0
13.486119882,1
13.586109972,0
13.586113044,1
13.686102984,0
13.686105626,1
13.786095268,0
13.786098366,1
13.886089648,0
13.886092290,1
13.986082710,0
13.986085370,1
14.086077950,0
14.086080972,1
14.186046546,0
14.186049454,1
14.286062414,0
14.286065064,1
14.386053096,0
14.386055736,1
14.486049676,0
14.486052378,1
14.586043986,0
14.586046840,1
14.686036140,0
14.686038810,1
14.786029222,0
14.786031892,1
14.886023032,0
14.886025664,1
14.986016212,0
14.986018864,1
15.086008726,0
15.086011364,1
15.185890364,0
15.185919032,1
15.285995816,0
15.285998456,1
15.385989358,0
15.385992158,1
15.485983118,0
15.485985820,1
15.585976218,0
15.585978860,1
15.685969300,0
15.685971982,1
15.785963150,0
15.785965792,1
15.885955802,0
15.885958442,1
15.985946472,0
15.985949172,1
16.085833230,0
16.085859328,1
16.185912496,0
16.185915334,1
16.285929194,0
16.285932306,1
16.385922264,0
16.385924894,1
16.485916354,0
16.485919016,1
16.585908984,0
16.585911654,1
16.685878898,0
16.685882026,1
16.785895744,0
16.785898376,1
16.885889164,0
16.885892306,1
16.985882974,0
16.985885636,1
17.085876064,0
17.085878706,1
17.185762662,0
17.185785550,1
17.285863184,0
17.285866066,1
17.385856522,0
17.385859366,1
17.485849594,0
17.485852246,1
17.585841964,0
17.585845034,1
17.685836322,0
17.685839206,1
17.785829332,0
17.785831986,1
17.885821974,0
17.885825244,1
17.985815972,0
17.985818634,1
18.085809092,0
18.085812134,1
18.185779114,0
18.185781982,1
18.285796020,0
18.285798682,1
18.385786662,0
18.385789490,1
18.485782748,0
18.485785420,1
18.585775968,0
18.585778620,1
18.685768916,0
18.685771548,1
18.785761828,0
18.785764456,1
18.885754756,0
18.885757376,1
18.985746446,0
18.985749074,1
19.085743442,0
19.085746066,1
19.185638550,0
19.185652008,1
19.285728602,0
19.285731462,1
19.385722200,0
19.385724822,1
19.485715688,0
19.485718340,1
19.585707870,0
19.585710718,1
19.685701688,0
19.685704296,1
19.785695276,0
19.785698406,1
19.885688334,0
19.885690974,1
19.985682640,0
19.985685824,1
20.085674852,0
20.085677922,1
20.185645632,0
20.185648290,1
20.285661758,0
20.285664598,1
20.385655076,0
20.385657766,1
20.485648284,0
20.485651166,1
20.585641684,0
20.585644324,1
20.685613044,0
20.685615682,1
20.785626360,0
20.785629008,1
20.885622506,0
20.885625170,1
20.985614586,0
20.985617426,1
21.085607766,0
21.085610384,1
21.185499190,0
21.185518028,1
21.285594620,0
21.285597450,1
21.385588208,0
21.385591300,1
21.485582624,0
21.485585268,1
21.585574804,0
21.585577474,1
21.685569110,0
21.685571754,1
21.785562908,0
21.785565502,1
21.885554568,0
21.885557458,1
21.985548294,0
21.985551136,1
22.085541952,0
22.085544784,1
22.185429496,0
22.185451196,1
22.285425846,0
22.285444614,1
22.385521496,0
22.385524136,1
22.485515482,0
22.485518136,1
22.585507122,0
22.585510390,1
22.685502126,0
22.685504770,1
22.785495784,0
22.785498448,1
22.885488352,0
22.885491174,1
22.985482520,0
22.985485172,1
23.085475116,0
23.085477750,1
23.185360024,0
23.185384722,1
23.285459084,0
23.285461692,1
23.385455120,0
23.385457952,1
23.485448896,0
23.485451530,1
23.585442612,0
23.585445256,1
23.685435110,0
23.685438024,1
23.785428906,0
23.785431530,1
23.885398198,0
23.885401336,1
23.985415182,0
23.985417844,1
24.085409278,0
24.085412360,1
24.185288286,0
24.185317872,1
24.285394504,0
24.285397854,1
24.385387540,0
24.385390180,1
24.485381596,0
24.485384530,1
24.585374214,0
24.585376854,1
24.685367920,0
24.685371022,1
24.785360998,0
24.785363838,1
24.885354164,0
24.885356794,1
24.985348740,0
24.985351382,1
25.085340678,0
25.085343818,1
