Time [s],Sheep1
0.000000000,0
0.020899150,1
0.020901410,0
0.120887138,1
0.120889346,0
0.220849014,1
0.220850282,0
0.320833370,1
0.320834362,0
0.420827458,1
0.420828760,0
0.520833924,1
0.520836602,0
0.620819160,1
0.620821710,0
0.720807926,1
0.720809238,0
0.820809152,1
0.820812502,0
0.920797896,1
0.920799636,0
1.020786012,1
1.020787032,0
1.120779818,1
1.120781068,0
1.220774876,1
1.220775946,0
1.320768440,1
1.320769530,0
1.420761394,1
1.420763396,0
1.520766512,1
1.520770878,0
1.620753726,1
1.620755646,0
1.720741540,1
1.720742870,0
1.820748944,1
1.820752386,0
1.920733368,1
1.920734670,0
2.020720312,1
2.020721324,0
2.120714548,1
2.120716120,0
2.220709184,1
2.220710154,0
2.320700036,1
2.320701046,0
2.420692692,1
2.420693940,0
2.520723324,1
2.520726302,0
2.620694450,1
2.620695728,0
2.720678174,1
2.720679490,0
2.820710032,1
2.820712354,0
2.920669202,1
2.920671598,0
3.020662066,1
3.020663124,0
3.120648766,1
3.120650348,0
3.220641048,1
3.220642128,0
3.320634092,1
3.320635092,0
3.420627366,1
3.420628364,0
3.520634570,1
3.520638508,0
3.620616042,1
3.620617634,0
3.720609484,1
3.720610626,0
3.820608808,1
3.820612356,0
3.920596852,1
3.920598160,0
4.020593910,1
4.020595182,0
4.120583064,1
4.120585056,0
4.220577380,1
4.220578358,0
4.320570440,1
4.320571800,0
4.420563422,1
4.420564492,0
4.520561822,1
4.520565212,0
4.620573714,1
4.620575712,0
4.720544188,1
4.720545408,0
4.820546796,1
4.820549918,0
4.920546690,1
4.920550748,0
5.020533620,1
5.020535272,0
5.120517664,1
5.120518924,0
5.220510656,1
5.220511896,0
5.320503716,1
5.320504776,0
5.420497758,1
5.420499068,0
5.520492858,1
5.520496158,0
5.620489780,1
5.620491588,0
5.720478672,1
5.720479928,0
5.820477172,1
5.820480838,0
5.920464442,1
5.920465472,0
6.020456190,1
6.020457640,0
6.120464670,1
6.120466498,0
6.220446842,1
6.220448338,0
6.320438984,1
6.320440102,0
6.420429610,1
6.420430640,0
6.520440912,1
6.520443610,0
6.536010214,1
6.536010216,0
6.536010224,1
6.536010228,0
6.536010236,1
6.536010238,0
6.536010246,1
6.536010248,0
6.536010262,1
6.536010264,0
6.620418644,1
6.620419854,0
6.720412874,1
6.720413882,0
6.820409832,1
6.820412950,0
6.920404334,1
6.920406480,0
7.020390550,1
7.020391622,0
7.120385202,1
7.120386302,0
7.220379092,1
7.220380092,0
7.320369140,1
7.320370168,0
7.420362808,1
7.420363758,0
7.520371978,1
7.520375818,0
7.620348778,1
7.620351498,0
7.720348136,1
7.720349394,0
7.820345488,1
7.820349636,0
7.920385392,1
7.920388370,0
8.020335582,1
8.020337084,0
8.120340802,1
8.120343500,0
8.220327870,1
8.220330132,0
8.320305762,1
8.320306812,0
8.420306050,1
8.420307496,0
8.520309118,1
8.520312434,0
8.620298046,1
8.620300292,0
8.720277642,1
8.720278694,0
8.820280084,1
8.820283422,0
8.920282060,1
8.920285378,0
9.020269828,1
9.020272498,0
9.120286756,1
9.120289944,0
9.220256504,1
9.220258076,0
9.320237572,1
9.320238832,0
9.420232210,1
9.420233212,0
9.520237290,1
9.520240956,0
9.620224106,1
9.620226448,0
9.720215056,1
9.720216062,0
9.820214462,1
9.820218112,0
9.920199670,1
9.920200690,0
10.020191886,1
10.020192896,0
10.120198876,1
10.120200552,0
10.220179582,1
10.220180612,0
10.320170180,1
10.320171406,0
10.420163528,1
10.420164534,0
10.520173212,1
10.520176142,0
10.620154722,1
10.620156230,0
10.720147808,1
10.720149306,0
10.820148044,1
10.820151424,0
10.920192198,1
10.920196474,0
11.020137606,1
11.020138688,0
11.120164012,1
11.120168110,0
11.220120962,1
11.220122898,0
11.320106376,1
11.320107898,0
11.420098552,1
11.420099602,0
11.520108578,1
11.520113296,0
11.620089146,1
11.620091844,0
11.720080342,1
11.720081874,0
11.820086428,1
11.820089076,0
11.920069834,1
11.920070962,0
12.020058818,1
12.020059848,0
12.120054346,1
12.120056136,0
12.220058802,1
12.220061908,0
12.320041820,1
12.320042988,0
12.420033452,1
12.420034484,0
12.520031188,1
12.520033880,0
12.620029672,1
12.620030992,0
12.720014550,1
12.720015612,0
12.820021354,1
12.820024444,0
12.920002052,1
12.920003232,0
13.019999344,1
13.020002046,0
13.119986950,1
13.119988212,0
13.219982368,1
13.219983408,0
13.319975272,1
13.319977570,0
13.419967146,1
13.419968426,0
13.519975080,1
13.519978872,0
13.619962318,1
13.619964524,0
13.719949182,1
13.719950940,0
13.819949186,1
13.819952806,0
13.919937302,1
13.919938318,0
14.019927454,1
14.019928556,0
14.119919250,1
14.119920218,0
14.219923694,1
14.219924992,0
14.319906818,1
14.319907838,0
14.419901122,1
14.419902132,0
14.519899856,1
14.519903158,0
14.619887870,1
14.619889112,0
14.719891824,1
14.719893366,0
14.819878300,1
14.819881610,0
14.919874064,1
14.919875876,0
15.019909404,1
15.019911756,0
15.119899200,1
15.119902348,0
15.219858894,1
15.219860856,0
15.319841178,1
15.319842480,0
15.419833852,1
15.419834782,0
15.519840858,1
15.519845006,0
15.619833140,1
15.619835610,0
15.719816966,1
15.719818264,0
15.819815940,1
15.819819896,0
15.919809272,1
15.919810570,0
16.019798246,1
16.019799314,0
16.119788186,1
16.119789456,0
16.219794172,1
16.219796360,0
16.319776586,1
16.319777916,0
16.419769288,1
16.419770558,0
16.519780372,1
16.519783528,0
16.619763286,1
16.619765292,0
16.719751488,1
16.719752796,0
16.819745232,1
16.819748860,0
16.919741242,1
16.919742764,0
17.019728164,1
17.019729464,0
17.119724040,1
17.119725070,0
17.219717502,1
17.219719300,0
17.319713094,1
17.319714572,0
17.419701934,1
17.419702944,0
17.519711006,1
17.519715118,0
17.619691992,1
17.619693270,0
17.719684776,1
17.719685834,0
17.819678048,1
17.819681874,0
17.919674266,1
17.919675598,0
18.019663060,1
18.019664100,0
18.040386364,1
18.040386366,0
18.119658646,1
18.119659672,0
18.219658186,1
18.219660052,0
18.319642816,1
18.319643876,0
18.419637310,1
18.419638392,0
18.519647072,1
18.519649918,0
18.619624174,1
18.619625214,0
18.719628296,1
18.719630066,0
18.819612380,1
18.819615206,0
18.919606990,1
18.919608538,0
19.019601720,1
19.019602950,0
19.119590702,1
19.119591704,0
19.219586546,1
19.219587592,0
19.319576844,1
19.319578166,0
19.419570718,1
19.419571928,0
19.519579076,1
19.519583138,0
19.619554952,1
19.619556538,0
19.719554112,1
19.719555490,0
19.819552644,1
19.819556444,0
19.919540934,1
19.919542722,0
20.019541004,1
20.019542336,0
20.119524136,1
20.119525118,0
20.219527486,1
20.219528496,0
20.319510728,1
20.319511710,0
20.419501634,1
20.419502740,0
20.519505414,1
20.519508500,0
20.619497984,1
20.619499054,0
20.719485756,1
20.719487196,0
20.819480248,1
20.819483164,0
20.919473138,1
20.919474476,0
21.019468916,1
21.019470166,0
21.119457336,1
21.119458426,0
21.219452200,1
21.219453190,0
21.319464728,1
21.319466026,0
21.419439802,1
21.419440832,0
21.519444452,1
21.519448760,0
21.619429630,1
21.619431632,0
21.719419564,1
21.719420644,0
21.819414554,1
21.819417902,0
21.919405422,1
21.919407444,0
22.019396384,1
22.019397960,0
22.119390692,1
22.119391732,0
22.219394412,1
22.219395972,0
22.319424012,1
22.319426590,0
22.419380404,1
22.419382142,0
22.519404334,1
22.519407520,0
22.619366516,1
22.619368512,0
22.719353116,1
22.719354406,0
22.819346936,1
22.819350252,0
22.919340396,1
22.919343402,0
23.019332824,1
23.019334974,0
23.119332766,1
23.119335522,0
23.219323742,1
23.219325734,0
23.319311492,1
23.319312762,0
23.419312444,1
23.419314062,0
23.519312204,1
23.519315802,0
23.619298392,1
23.619300612,0
23.719286924,1
23.719288182,0
23.819285402,1
23.819289488,0
23.919273130,1
23.919274132,0
24.019268312,1
24.019271460,0
24.119266462,1
24.119268248,0
24.219264108,1
24.219265790,0
24.319248490,1
24.319249818,0
24.419241060,1
24.419242080,0
24.519246018,1
24.519248914,0
24.619236284,1
24.619237826,0
24.719219956,1
24.719220926,0
24.819222304,1
24.819225916,0
24.919208916,1
24.919209982,0
25.019200834,1
25.019203022,0
25.119203970,1
25.119205022,0
25.219187452,1
25.219188492,0
25.319182660,1
25.319183728,0
25.419172328,1
25.419173336,0
25.519178388,1
25.519181684,0
25.619162768,1
