Time [s],Sheep1
0.000000000,0
0.009150786,1
0.009152786,0
0.120247980,1
0.120249020,0
0.231354776,1
0.231358298,0
0.342453142,1
0.342454484,0
0.453558846,1
0.453562688,0
0.564664224,1
0.564665700,0
0.675767796,1
0.675769034,0
0.786890520,1
0.786892658,0
0.897998942,1
0.898001694,0
1.009083880,1
1.009086238,0
1.120179936,1
1.120181004,0
1.231282680,1
1.231283738,0
1.342392572,1
1.342396600,0
1.453493886,1
1.453497226,0
1.564596952,1
1.564600568,0
1.675699176,1
1.675700486,0
1.786802738,1
1.786803956,0
1.897926490,1
1.897929490,0
2.009012176,1
2.009014132,0
2.120116556,1
2.120118528,0
2.231218940,1
2.231219910,0
2.342329902,1
2.342331390,0
2.453431554,1
2.453434956,0
2.564531920,1
2.564533706,0
2.675635340,1
2.675638852,0
2.786742852,1
2.786745062,0
2.897843036,1
2.897844424,0
3.008968084,1
3.008970464,0
3.120052430,1
3.120053458,0
3.231153100,1
3.231154120,0
3.342267992,1
3.342269508,0
3.453360570,1
3.453361880,0
3.564468282,1
3.564470964,0
3.675568686,1
3.675570232,0
3.786680926,1
3.786684184,0
3.897774544,1
3.897776398,0
4.008877828,1
4.008878888,0
4.120002408,1
4.120005384,0
4.231089038,1
4.231090556,0
4.342188778,1
4.342189838,0
4.453294016,1
4.453295086,0
4.564397868,1
4.564398910,0
4.675505368,1
4.675508854,0
4.786605386,1
4.786606364,0
4.897718886,1
4.897722446,0
5.008812098,1
5.008814774,0
5.119919438,1
5.119920596,0
5.231040272,1
5.231042164,0
5.342130374,1
5.342133462,0
5.453253522,1
5.453255578,0
5.564333964,1
5.564335980,0
5.675435282,1
5.675436322,0
5.786542380,1
5.786545606,0
5.897655828,1
5.897658576,0
6.008760934,1
6.008764852,0
6.119848616,1
6.119850642,0
6.230954122,1
6.230955254,0
6.342079650,1
6.342081498,0
6.453164410,1
6.453165440,0
6.564260356,1
6.564264654,0
6.675374766,1
6.675377832,0
6.786470092,1
6.786471344,0
6.897581868,1
6.897586098,0
7.008681408,1
