Time [s],Sheep1
0.000000000,1
0.015915826,0
0.015927924,1
0.127013786,0
0.127031666,1
0.238115788,0
0.238135580,1
0.349219360,0
0.349239350,1
0.460323146,0
0.460343002,1
0.571433194,0
0.571446628,1
0.682534298,0
0.682550658,1
0.793637160,0
0.793654400,1
0.904746924,0
0.904757984,1
1.015843886,0
1.015861834,1
1.126954024,0
1.126965706,1
1.238054390,0
1.238069380,1
1.349161202,0
1.349172950,1
1.460261002,0
1.460276870,1
1.571362032,0
1.571380564,1
1.682470024,0
1.682484514,1
1.793568728,0
1.793588104,1
1.904674066,0
1.904691998,1
2.015783200,0
2.015795776,1
2.126882368,0
2.126899318,1
2.237993100,0
2.238003140,1
2.349093692,0
2.349107108,1
2.460191422,0
2.460210690,1
2.571300330,0
2.571314422,1
2.682400454,0
2.682418240,1
2.793506200,0
2.793522050,1
2.904608842,0
2.904625632,1
3.015734200,0
3.015735848,1
3.126818272,0
3.126833220,1
3.237919130,0
3.237937032,1
3.349030398,0
3.349040700,1
3.460128178,0
3.460144538,1
3.571229238,0
3.571248250,1
3.682332408,0
3.682352038,1
3.793443556,0
3.793455926,1
3.904548338,0
3.904559618,1
4.015644836,0
4.015663394,1
4.126747736,0
4.126766972,1
4.237857762,0
4.237870964,1
4.348955662,0
4.348974700,1
4.460071908,0
4.460078228,1
4.571169408,0
4.571182040,1
4.682272838,0
4.682285906,1
4.793373774,0
4.793389764,1
4.904475482,0
4.904493494,1
5.015591202,0
5.015597100,1
5.126687830,0
5.126700818,1
5.237800806,0
5.237804678,1
5.348895966,0
5.348908564,1
5.460032248,0
5.460034190,1
5.571111880,0
5.571115890,1
5.682210124,0
5.682219596,1
5.793304996,0
5.793323502,1
5.904405484,0
5.904427132,1
6.015522146,0
6.015531176,1
6.126633312,0
6.126634874,1
6.237724860,0
6.237738584,1
6.348830740,0
6.348842258,1
6.459974474,0
6.459976752,1
6.571035232,0
6.571049814,1
6.682143078,0
6.682153638,1
6.793244546,0
6.793257194,1
6.904341702,0
6.904361074,1
7.015445528,0
7.015464778,1
7.126550414,0
7.126568442,1
7.237674068,0
7.237674828,1
7.348761766,0
7.348776016,1
7.459896672,0
7.459899550,1
7.570975506,0
7.570983530,1
7.682070954,0
7.682087412,1
7.793183000,0
7.793191028,1
7.904275116,0
7.904294796,1
8.015393340,0
8.015398660,1
8.126508806,0
8.126511544,1
8.237592850,0
8.237606282,1
8.348693408,0
8.348709816,1
8.459795512,0
8.459813810,1
8.570899016,0
8.570917388,1
8.682001622,0
8.682021320,1
8.793109316,0
8.793125066,1
8.904218564,0
8.904228582,1
9.015314808,0
9.015332446,1
9.126417382,0
9.126436060,1
9.237538604,0
9.237540296,1
9.348622750,0
9.348643870,1
9.459743806,0
9.459747492,1
9.570832408,0
9.570851140,1
9.681934362,0
9.681954932,1
9.793046666,0
9.793058816,1
9.904180848,0
9.904182500,1
10.015258486,0
10.015266434,1
10.126353898,0
10.126369888,1
10.237454602,0
10.237473914,1
10.348557996,0
10.348577656,1
10.459661262,0
10.459681240,1
10.570769096,0
10.570785196,1
10.681869658,0
10.681888688,1
10.792972994,0
10.792992660,1
10.904075626,0
10.904096356,1
11.015179696,0
11.015200146,1
11.126293552,0
11.126303780,1
11.237405472,0
11.237407486,1
11.348493810,0
11.348511196,1
11.459606752,0
11.459615088,1
11.570724974,0
11.570726880,1
11.681828654,0
11.681830966,1
11.792919378,0
11.792926438,1
11.904014314,0
11.904030224,1
12.015124412,0
12.015133754,1
12.126216318,0
12.126237486,1
12.237331570,0
12.237341412,1
12.348432764,0
12.348445002,1
12.459529078,0
12.459548724,1
12.570633346,0
12.570652568,1
12.681737580,0
12.681756488,1
12.792845644,0
12.792860070,1
12.903943726,0
12.903963706,1
13.015048306,0
13.015067636,1
13.126153240,0
13.126171488,1
13.237256090,0
13.237275012,1
13.348367064,0
13.348379022,1
13.459462848,0
13.459482522,1
13.570564578,0
13.570586528,1
13.681670698,0
13.681689998,1
13.792774292,0
13.792793918,1
13.903894100,0
13.903897702,1
14.014983486,0
14.015001492,1
14.126086026,0
14.126105024,1
14.237192418,0
14.237208768,1
14.348291816,0
14.348312796,1
14.459406310,0
14.459416258,1
14.570508700,0
14.570520162,1
14.681605322,0
14.681624020,1
14.792709254,0
14.792727622,1
14.903811166,0
14.903831476,1
15.014949604,0
15.014951032,1
15.126024948,0
15.126039044,1
15.237130978,0
15.237142778,1
15.348234350,0
15.348246486,1
15.459332528,0
15.459350138,1
15.570445338,0
15.570454062,1
15.681539342,0
15.681557690,1
15.792639190,0
15.792661450,1
15.903745862,0
15.903765144,1
16.014848902,0
16.014868942,1
16.125966780,0
16.125972532,1
16.237058564,0
16.237076496,1
16.348160874,0
16.348180164,1
16.459273594,0
16.459284002,1
16.570370836,0
16.570387556,1
16.681499154,0
16.681502562,1
16.792584134,0
16.792595254,1
16.903680964,0
16.903698978,1
17.014786306,0
17.014802674,1
17.125887408,0
17.125906544,1
17.236997686,0
17.237010128,1
17.348093886,0
17.348113986,1
17.459197468,0
17.459217706,1
17.570312824,0
17.570321378,1
17.681408698,0
17.681425266,1
17.792521766,0
17.792528774,1
17.903617478,0
17.903632768,1
18.014718428,0
18.014736456,1
18.125821648,0
18.125840334,1
18.236925444,0
18.236944078,1
18.348027114,0
18.348047734,1
18.459170254,0
18.459171900,1
18.570236532,0
18.570255376,1
18.681339784,0
18.681359042,1
18.792445692,0
18.792462632,1
18.903546922,0
18.903566604,1
19.014649870,0
19.014670140,1
19.125754444,0
19.125774090,1
19.236874428,0
19.236877852,1
19.347964032,0
19.347981308,1
19.459092370,0
19.459094336,1
19.570185296,0
19.570189018,1
19.681276438,0
19.681292816,1
19.792386466,0
19.792396444,1
19.903487714,0
19.903500286,1
20.014594562,0
20.014604092,1
20.125718630,0
20.125720302,1
20.236808700,0
20.236811512,1
20.347897872,0
20.347915180,1
20.459035126,0
20.459037218,1
20.570118748,0
20.570122668,1
20.681239704,0
20.681241676,1
20.792314504,0
20.792330284,1
20.903414364,0
20.903433964,1
21.014531022,0
21.014537590,1
21.125632462,0
21.125641368,1
21.236725190,0
21.236745130,1
21.347835006,0
21.347849116,1
21.458933418,0
21.458952744,1
21.570036784,0
21.570056424,1
21.681152352,0
21.681160250,1
21.792244972,0
21.792264008,1
21.903390396,0
21.903392514,1
22.014462454,0
22.014471504,1
22.125554524,0
22.125575242,1
22.236668724,0
22.236678904,1
22.347761310,0
22.347782570,1
22.458906144,0
22.458908326,1
22.569979496,0
22.569990146,1
22.681104022,0
22.681106160,1
22.792187360,0
22.792197850,1
22.903282526,0
22.903301520,1
23.014396144,0
23.014405214,1
23.125499234,0
23.125509042,1
23.236607272,0
23.236612592,1
23.347705278,0
23.347716438,1
23.458803054,0
23.458820144,1
23.569952380,0
23.569954000,1
23.681013000,0
23.681027730,1
23.792113518,0
23.792131566,1
23.903217114,0
23.903235336,1
24.014328122,0
24.014338962,1
24.125423942,0
24.125442548,1
24.236531378,0
24.236546448,1
24.347634892,0
24.347650132,1
24.458743620,0
24.458754090,1
24.569849096,0
24.569857780,1
24.680944976,0
24.680961494,1
24.792049032,0
24.792065270,1
24.903149758,0
24.903168770,1
25.014258334,0
25.014272754,1
25.125357844,0
25.125376512,1
25.236476040,0
25.236480120,1
25.347617242,0
25.347618884,1
25.458673354,0
25.458687550,1
25.569780930,0
25.569791500,1
25.680884006,0
25.680895016,1
25.791981412,0
25.791998980,1
25.903087800,0
25.903102800,1
26.014188808,0
26.014206544,1
26.125306682,0
26.125310200,1
26.236396858,0
26.236413910,1
26.347498344,0
26.347517734,1
26.458639440,0
26.458641568,1
26.569713428,0
26.569725158,1
26.680817444,0
26.680828762,1
26.791925878,0
26.791932548,1
26.903015118,0
26.903036238,1
27.014130570,0
27.014140162,1
27.125222338,0
27.125243916,1
27.236332636,0
27.236347576,1
27.347435920,0
27.347451330,1
27.458532886,0
27.458555146,1
27.569648314,0
27.569658894,1
27.680745230,0
27.680762596,1
27.791854942,0
27.791866222,1
27.902961908,0
27.902970142,1
28.014055618,0
28.014073824,1
28.125160690,0
28.125177670,1
