Time [s],Sheep1
0.000000000,1
0.060068910,0
0.060082798,1
0.171168938,0
0.171186480,1
0.282278730,0
0.282290276,1
0.393374230,0
0.393394098,1
0.504486790,0
0.504498000,1
0.615598618,0
0.615601496,1
0.726721364,0
0.726722918,1
0.837795514,0
0.837809048,1
0.948911416,0
0.948913384,1
1.059997168,0
1.060016714,1
1.171142374,0
1.171144020,1
1.282222424,0
1.282224222,1
1.393313504,0
1.393328032,1
1.504422680,0
1.504431952,1
1.615524310,0
1.615535728,1
1.726624230,0
1.726639178,1
1.837723606,0
1.837742928,1
1.948827916,0
1.948846894,1
2.059946474,0
2.059950592,1
2.171037242,0
2.171054272,1
2.282141948,0
2.282158378,1
2.393246608,0
2.393261886,1
2.504351844,0
2.504366236,1
2.615465470,0
2.615469250,1
2.726564840,0
2.726573458,1
2.837709754,0
2.837711332,1
2.948767134,0
2.948780872,1
3.059868190,0
3.059884520,1
3.170987408,0
3.170988628,1
3.282074156,0
3.282092044,1
3.393178580,0
3.393195870,1
3.504280216,0
3.504299450,1
3.615383044,0
3.615403324,1
3.726491800,0
3.726507110,1
3.837597644,0
3.837611158,1
3.948699182,0
3.948714710,1
4.059800000,0
4.059818318,1
4.170902074,0
4.170922066,1
4.282020908,0
4.282025728,1
4.393112054,0
4.393129604,1
4.504219848,0
4.504233442,1
4.615321744,0
4.615337224,1
4.726423210,0
4.726440880,1
4.837537704,0
4.837544906,1
4.948636642,0
4.948648670,1
5.059736384,0
5.059752604,1
5.170837298,0
5.170856102,1
5.281938304,0
5.281959634,1
5.393060760,0
5.393063768,1
5.504147484,0
5.504167614,1
5.615257048,0
5.615271356,1
5.726355264,0
5.726374940,1
5.837464574,0
5.837478608,1
5.948567378,0
5.948582378,1
6.059673842,0
6.059686222,1
6.170772968,0
6.170790050,1
6.281906760,0
6.281908350,1
6.392982396,0
6.392997304,1
6.504083468,0
6.504101100,1
6.615199412,0
6.615205030,1
6.726291994,0
6.726308634,1
6.837405288,0
6.837412650,1
6.948497852,0
6.948516190,1
7.059597104,0
7.059620054,1
7.170711948,0
7.170723858,1
7.281809922,0
7.281827678,1
7.392911704,0
7.392931312,1
7.504015694,0
7.504035026,1
7.615136228,0
7.615138886,1
7.726226178,0
7.726242568,1
7.837325904,0
7.837346634,1
7.948467592,0
7.948470424,1
8.059580874,0
8.059582756,1
8.170646090,0
8.170657680,1
8.281752490,0
8.281761560,1
8.392848912,0
8.392865342,1
8.503956984,0
8.503969256,1
8.615058756,0
8.615072636,1
8.726178420,0
8.726180496,1
8.837266658,0
8.837280222,1
8.948362970,0
8.948384130,1
9.059472294,0
9.059487832,1
9.170572244,0
9.170591546,1
9.281676686,0
9.281695374,1
9.392788586,0
9.392799366,1
9.503883458,0
9.503902740,1
9.614988050,0
9.615006418,1
9.726137026,0
9.726139168,1
9.837203462,0
9.837214252,1
9.948297230,0
9.948317980,1
10.059405292,0
10.059421952,1
10.170508054,0
10.170525334,1
10.281608432,0
10.281628972,1
10.392718106,0
10.392732972,1
10.503825496,0
10.503836776,1
10.614922796,0
10.614940264,1
10.726021194,0
10.726044334,1
10.837125956,0
10.837147936,1
10.948249326,0
10.948251834,1
11.059337704,0
11.059355404,1
11.170446524,0
11.170459566,1
11.281544706,0
11.281563042,1
11.392684554,0
11.392686410,1
11.503750972,0
11.503770534,1
11.614866564,0
11.614874550,1
11.725966750,0
11.725978080,1
11.837067800,0
11.837082052,1
11.948171290,0
11.948185600,1
12.059291372,0
12.059293118,1
12.170384398,0
12.170393210,1
12.281481298,0
12.281496898,1
12.392591858,0
12.392600536,1
12.503684846,0
12.503704238,1
12.614790358,0
12.614808354,1
12.725899932,0
12.725912112,1
12.836997202,0
12.837015604,1
12.948099140,0
12.948119530,1
13.059218228,0
13.059223128,1
13.170326880,0
13.170328756,1
13.281413538,0
13.281430536,1
13.392518956,0
13.392534584,1
13.503619172,0
13.503638204,1
13.614722260,0
13.614741910,1
13.725825640,0
13.725845608,1
13.836940556,0
13.836949738,1
13.948039936,0
13.948053234,1
14.059137684,0
14.059157012,1
14.170241300,0
14.170260652,1
14.281364118,0
14.281365156,1
14.392449926,0
14.392468114,1
14.503550126,0
14.503572126,1
14.614673772,0
14.614675900,1
14.725761908,0
14.725779618,1
14.836908684,0
14.836910574,1
14.947975914,0
14.947987332,1
15.059070242,0
15.059090840,1
15.170172830,0
15.170194610,1
15.281278844,0
15.281298184,1
15.392400908,0
15.392402530,1
15.503488920,0
15.503505960,1
15.614594794,0
15.614609504,1
15.725721022,0
15.725722520,1
15.836805960,0
15.836817400,1
15.947904226,0
15.947920784,1
16.059012450,0
16.059024810,1
16.170110558,0
16.170128560,1
16.281224856,0
16.281232464,1
16.392323980,0
16.392335840,1
16.503470746,0
16.503472886,1
16.614526576,0
16.614543692,1
16.725632742,0
16.725647270,1
16.836737334,0
16.836750938,1
16.947835884,0
16.947854572,1
17.058939002,0
17.058958338,1
17.170050826,0
17.170062436,1
17.281147272,0
17.281165910,1
17.392249920,0
17.392269556,1
17.503353592,0
17.503373374,1
17.614455998,0
17.614477426,1
17.725565404,0
17.725581132,1
17.836663982,0
17.836684690,1
17.947783832,0
17.947789032,1
18.058880318,0
18.058892348,1
18.169977804,0
18.169996138,1
18.281089390,0
18.281100078,1
18.392186334,0
18.392203514,1
18.503287242,0
18.503307302,1
18.614391046,0
18.614410926,1
18.725500844,0
18.725514740,1
18.836603148,0
18.836618648,1
18.947702470,0
18.947722200,1
19.058803506,0
19.058825996,1
19.169910700,0
19.169929702,1
19.281013656,0
19.281033604,1
19.392127092,0
19.392137440,1
19.503227374,0
19.503241026,1
19.614325360,0
19.614344898,1
19.725430624,0
19.725448594,1
19.836536940,0
19.836552360,1
19.947675724,0
19.947677640,1
20.058745530,0
20.058760208,1
20.169847074,0
20.169863634,1
20.280951066,0
20.280967424,1
20.392050772,0
20.392071090,1
20.503165306,0
20.503175106,1
20.614282220,0
20.614283168,1
20.725365260,0
20.725382242,1
20.836466846,0
20.836486198,1
20.947587850,0
20.947589958,1
21.058685196,0
21.058693712,1
21.169781470,0
21.169797800,1
21.280881280,0
21.280901250,1
21.391982444,0
21.392005014,1
21.503085830,0
21.503108800,1
21.614208872,0
21.614212530,1
21.725302078,0
21.725316294,1
21.836402690,0
21.836419980,1
21.947505974,0
21.947523652,1
22.058627114,0
22.058628126,1
22.169720240,0
22.169731340,1
22.280816092,0
22.280835100,1
22.391922094,0
22.391938784,1
22.503023036,0
22.503042380,1
22.614130440,0
22.614146250,1
22.725239834,0
22.725250102,1
22.836335856,0
22.836353788,1
22.947438590,0
22.947457588,1
23.058541844,0
23.058561160,1
23.169662532,0
23.169665116,1
23.280755358,0
23.280768876,1
23.391893216,0
23.391894888,1
23.502960634,0
23.502976344,1
23.614058734,0
23.614079984,1
23.725204042,0
23.725206456,1
23.836276620,0
23.836287800,1
23.947375750,0
23.947391370,1
24.058476594,0
24.058494932,1
24.169578906,0
24.169598828,1
24.280699978,0
24.280702496,1
24.391791160,0
24.391806208,1
24.502894604,0
24.502910044,1
24.614012264,0
24.614013602,1
24.725135206,0
24.725136934,1
24.836203016,0
24.836221388,1
24.947316068,0
24.947325408,1
25.058469816,0
25.058472178,1
25.169518202,0
25.169532924,1
25.280620534,0
25.280636292,1
25.391741546,0
25.391743464,1
25.502822130,0
25.502843728,1
25.613932658,0
25.613947548,1
25.725032202,0
