Time [s],Sheep1
0.000000000,1
0.036689856,0
0.036731724,1
0.147793538,0
0.147835348,1
0.258899316,0
0.258939012,1
0.370000932,0
0.370042900,1
0.481103726,0
0.481146854,1
0.592207410,0
0.592250498,1
0.703313876,0
0.703354248,1
0.814418314,0
0.814458190,1
0.925524056,0
0.925561904,1
1.036626712,0
1.036665742,1
1.147726506,0
1.147769564,1
1.258830890,0
1.258873238,1
1.369936924,0
1.369976946,1
1.481041132,0
1.481080608,1
1.592143466,0
1.592184640,1
1.703249066,0
1.703288648,1
1.814354622,0
1.814392248,1
1.925456116,0
1.925496132,1
2.036561470,0
2.036599628,1
2.147663162,0
2.147703460,1
2.258767236,0
2.258807232,1
2.369868510,0
2.369911248,1
2.480977170,0
2.481014838,1
2.592080122,0
2.592118640,1
2.703184066,0
2.703222456,1
2.814286290,0
2.814326016,1
2.925392338,0
2.925430198,1
3.036493980,0
3.036533862,1
3.147597636,0
3.147637752,1
3.258699156,0
3.258741614,1
3.369802190,0
3.369845158,1
3.480908900,0
3.480949126,1
3.592012312,0
3.592052648,1
3.703114024,0
3.703156462,1
3.814217402,0
3.814260180,1
3.925323666,0
3.925363890,1
4.036424084,0
4.036467854,1
4.147531866,0
4.147571912,1
4.258635006,0
4.258675582,1
4.369741526,0
4.369779076,1
4.480840186,0
4.480882874,1
4.591945066,0
4.591986962,1
4.703051004,0
4.703090474,1
4.814154606,0
4.814194392,1
4.925255936,0
4.925298022,1
5.036359556,0
5.036401934,1
5.147466276,0
5.147505640,1
5.258569754,0
5.258609560,1
5.369672800,0
5.369713142,1
5.480774680,0
5.480817078,1
5.591877968,0
5.591920958,1
5.702981680,0
5.703024628,1
5.814088960,0
5.814128394,1
5.925191668,0
5.925232072,1
6.036296422,0
6.036336074,1
6.147398402,0
6.147439710,1
6.258502312,0
6.258543348,1
6.369607286,0
6.369647508,1
6.480713336,0
6.480750824,1
6.591816612,0
6.591854710,1
6.702915904,0
6.702958362,1
6.814021860,0
6.814062376,1
6.925122976,0
6.925166154,1
7.036232066,0
7.036269834,1
7.147335312,0
7.147373468,1
7.258438646,0
7.258477396,1
7.369541172,0
7.369581054,1
7.480645444,0
7.480685258,1
7.591748410,0
7.591788816,1
7.702852124,0
7.702892504,1
7.813953530,0
7.813996308,1
7.925058188,0
