Time [s],Sheep1
0.000000000,1
0.107326866,0
0.107369014,1
0.218429170,0
0.218472476,1
0.329536326,0
0.329576432,1
0.440638750,0
0.440680178,1
0.551744976,0
0.551784170,1
0.662846550,0
0.662887926,1
0.773951140,0
0.773991252,1
0.885052796,0
0.885095244,1
0.996157562,0
0.996199038,1
1.107261294,0
1.107302574,1
1.218363288,0
1.218406574,1
1.329467550,0
1.329510178,1
1.440571148,0
1.440614074,1
1.551676408,0
1.551718174,1
1.662778590,0
1.662821488,1
1.773882036,0
1.773925314,1
1.884987786,0
1.885029224,1
1.996094000,0
1.996133228,1
2.107196352,0
2.107236742,1
2.218298704,0
2.218340612,1
2.329402018,0
2.329444646,1
2.440507608,0
2.440548040,1
2.551609630,0
2.551651790,1
2.662714266,0
2.662755640,1
2.773820976,0
2.773859376,1
2.884922808,0
2.884963184,1
2.996026520,0
2.996066866,1
3.107130308,0
3.107170700,1
3.218233230,0
3.218274298,1
3.329334422,0
3.329378170,1
3.440440334,0
3.440482152,1
3.551545464,0
3.551585642,1
3.662646634,0
3.662689532,1
3.773752174,0
3.773793354,1
3.884854264,0
3.884897032,1
3.995962114,0
3.996001062,1
4.107065854,0
4.107104734,1
4.218169936,0
4.218208492,1
4.329272774,0
4.329312272,1
4.440375084,0
4.440415844,1
4.551478612,0
4.551519840,1
4.662581642,0
4.662623610,1
4.773683492,0
4.773727232,1
4.884789510,0
4.884831338,1
4.995894610,0
4.995934736,1
5.106996940,0
5.107038418,1
5.218101986,0
5.218142384,1
5.329205706,0
5.329246082,1
5.440309492,0
5.440349844,1
5.551413322,0
5.551453678,1
5.662514078,0
5.662557548,1
5.773619528,0
5.773661218,1
5.884723764,0
5.884764834,1
5.995827716,0
5.995868610,1
6.106933220,0
6.106972580,1
6.218035578,0
6.218076454,1
6.329138166,0
6.329180042,1
6.440240844,0
6.440283592,1
6.551347802,0
6.551387428,1
6.662450888,0
6.662491244,1
6.773552096,0
6.773595134,1
6.884655842,0
6.884699128,1
6.995760798,0
6.995802764,1
7.106865384,0
7.106906474,1
7.217967202,0
7.218010138,1
7.329071608,0
7.329113974,1
7.440177862,0
7.440217714,1
7.551281050,0
7.551321428,1
7.662384858,0
7.662425192,1
7.773489760,0
7.773528832,1
7.884589478,0
7.884632964,1
7.995696174,0
7.995736530,1
8.106797310,0
8.106840318,1
8.217903274,0
8.217944310,1
8.329004478,0
8.329047666,1
8.440108326,0
8.440151914,1
8.551216042,0
8.551255476,1
8.662317696,0
8.662359012,1
8.773420502,0
8.773462850,1
8.884526334,0
8.884566632,1
8.995630190,0
8.995670666,1
9.106734982,0
9.106774204,1
9.217837950,0
9.217878006,1
9.328940444,0
9.328981770,1
9.440044556,0
9.440085446,1
9.551148592,0
9.551189070,1
9.662252588,0
9.662292972,1
9.773356428,0
9.773396810,1
9.884460234,0
9.884500620,1
9.995563900,0
9.995604244,1
10.106664862,0
10.106708480,1
10.217771376,0
10.217811812,1
10.328872798,0
10.328915706,1
10.439978542,0
10.440019172,1
10.551083366,0
10.551123012,1
10.662187100,0
10.662226876,1
10.773291110,0
10.773330512,1
10.884395676,0
10.884434552,1
10.995497840,0
10.995538186,1
11.106599134,0
11.106641822,1
11.217702266,0
11.217745882,1
11.328809128,0
11.328849474,1
11.439911312,0
11.439953150,1
11.551015742,0
11.551057080,1
11.662120666,0
11.662160642,1
11.773223328,0
11.773264428,1
11.884324562,0
11.884368358,1
11.995431644,0
11.995472060,1
12.106535464,0
12.106575854,1
12.217639276,0
12.217679624,1
12.328740198,0
12.328783626,1
12.439845652,0
12.439887292,1
12.550950604,0
12.550991070,1
12.662053928,0
12.662094862,1
12.773155238,0
12.773198526,1
12.884260338,0
12.884302236,1
12.995365552,0
12.995405958,1
13.106469340,0
13.106509882,1
13.217573274,0
13.217613462,1
13.328677626,0
13.328717082,1
13.439779876,0
13.439821206,1
13.550884668,0
13.550924994,1
13.661987830,0
13.662028386,1
13.773091270,0
13.773132470,1
13.884193510,0
13.884235918,1
13.995298804,0
