Time [s],Sheep1
0.000000000,1
0.085267366,0
0.085309166,1
0.196370298,0
0.196412846,1
0.307474612,0
0.307516590,1
0.418576962,0
0.418620508,1
0.529682942,0
0.529724028,1
0.640785614,0
0.640827872,1
0.751889022,0
0.751931650,1
0.862995404,0
0.863035430,1
0.974097214,0
0.974139442,1
1.085201190,0
1.085243130,1
1.196304904,0
1.196346598,1
1.307409122,0
1.307450262,1
1.418512120,0
1.418554448,1
1.529614660,0
1.529658058,1
1.640723560,0
1.640761870,1
1.751825238,0
1.751865626,1
1.862929090,0
1.862969094,1
1.974032986,0
1.974073236,1
2.085137488,0
2.085176824,1
2.196238754,0
2.196280652,1
2.307342494,0
2.307384202,1
2.418446518,0
2.418488258,1
2.529550298,0
2.529592036,1
2.640652548,0
2.640695846,1
2.751759134,0
2.751799502,1
2.862861162,0
2.862903078,1
2.973966648,0
2.974006960,1
3.085070416,0
3.085110664,1
3.196175512,0
3.196214320,1
3.307276602,0
3.307318520,1
3.418381246,0
3.418422114,1
3.529483834,0
3.529525832,1
3.640587552,0
3.640629630,1
3.751690408,0
3.751733694,1
3.862799062,0
3.862837432,1
3.973901628,0
3.973941200,1
4.085004386,0
4.085045042,1
4.196107994,0
4.196148368,1
4.307213056,0
4.307252418,1
4.418314672,0
4.418356170,1
4.529417268,0
4.529459716,1
4.640521706,0
4.640563424,1
4.751625638,0
4.751667238,1
4.862727954,0
4.862771342,1
4.973835668,0
4.973874830,1
5.084939696,0
5.084978712,1
5.196044218,0
5.196082426,1
5.307148374,0
5.307186224,1
5.418250020,0
5.418289956,1
5.529351682,0
5.529393860,1
5.640454968,0
5.640497636,1
5.751562732,0
5.751601508,1
5.862662944,0
5.862704782,1
5.973765650,0
5.973808858,1
6.084871212,0
6.084912560,1
6.195975838,0
6.196016274,1
6.307076480,0
6.307119868,1
6.418182972,0
6.418223700,1
6.529287068,0
6.529327442,1
6.640391488,0
6.640431428,1
6.751492392,0
6.751535278,1
6.862596784,0
6.862638762,1
6.973701198,0
6.973742476,1
7.084803360,0
7.084846498,1
7.195909474,0
7.195950100,1
7.307013664,0
7.307053994,1
7.418117498,0
7.418157536,1
7.529223098,0
7.529261226,1
7.640324820,0
7.640365152,1
7.751432422,0
7.751469270,1
7.862529964,0
7.862572932,1
7.973634718,0
7.973676336,1
8.084739048,0
8.084780096,1
8.195840860,0
8.195883998,1
8.306947430,0
8.306987812,1
8.418051092,0
8.418091460,1
8.529154846,0
8.529195150,1
8.640258474,0
8.640298836,1
8.751362336,0
8.751402654,1
8.862465048,0
8.862506724,1
8.973567820,0
8.973610318,1
9.084671100,0
9.084714026,1
9.195777562,0
9.195817916,1
9.306878190,0
9.306921760,1
9.417986652,0
9.418025528,1
9.529088402,0
9.529129348,1
9.640192340,0
9.640232810,1
9.751296292,0
9.751336728,1
9.862400692,0
9.862440508,1
9.973502502,0
9.973544370,1
10.084606790,0
10.084648028,1
10.195708010,0
10.195751718,1
10.306813772,0
10.306855400,1
10.417916050,0
10.417959158,1
10.529024538,0
10.529062916,1
10.640126518,0
10.640166608,1
10.751230198,0
10.751270496,1
10.862333960,0
10.862374314,1
10.973437726,0
10.973478076,1
11.084539664,0
11.084582002,1
11.195643474,0
11.195685732,1
11.306750584,0
11.306789104,1
11.417851260,0
11.417893300,1
11.528953720,0
11.528996738,1
11.640059050,0
11.640100558,1
11.751163898,0
11.751204236,1
11.862267658,0
11.862307972,1
11.973371384,0
11.973411684,1
12.084475114,0
12.084515432,1
12.195577832,0
12.195619488,1
12.306680602,0
12.306723210,1
12.417787428,0
12.417826934,1
12.528890776,0
12.528930712,1
12.639991174,0
12.640034532,1
12.751094592,0
12.751138288,1
12.862201810,0
12.862242096,1
12.973306966,0
12.973345986,1
13.084409072,0
13.084449380,1
13.195514528,0
13.195553138,1
13.306615418,0
13.306657296,1
13.417718194,0
13.417760952,1
13.528826860,0
13.528864628,1
13.639926380,0
13.639968358,1
13.751028716,0
13.751072302,1
13.862133912,0
13.862175548,1
13.973239708,0
13.973279718,1
14.084341774,0
14.084383084,1
14.195446654,0
14.195487010,1
14.306550498,0
14.306590848,1
14.417653214,0
14.417694672,1
14.528756052,0
14.528798558,1
14.639860080,0
14.639902206,1
14.750964042,0
14.751005662,1
14.862066248,0
14.862109496,1
14.973172316,0
14.973213524,1
15.084276472,0
15.084317418,1
15.195382446,0
15.195420864,1
15.306484322,0
15.306524692,1
15.417588038,0
15.417628396,1
15.528691006,0
15.528732242,1
15.639793152,0
15.639835960,1
15.750899224,0
15.750939534,1
15.862001782,0
15.862043588,1
15.973104348,0
15.973147296,1
16.084210550,0
16.084251198,1
16.195314198,0
16.195354512,1
16.306419040,0
16.306458540,1
16.417523578,0
16.417562572,1
16.528625892,0
16.528666218,1
16.639728156,0
16.639769956,1
16.750830680,0
16.750873558,1
16.861936946,0
16.861976962,1
16.973037860,0
16.973081228,1
17.084141384,0
17.084184840,1
17.195248888,0
17.195288646,1
17.306351800,0
17.306392132,1
17.417455176,0
17.417495974,1
17.528556528,0
17.528599788,1
17.639663114,0
17.639703404,1
17.750768580,0
17.750807344,1
17.861868422,0
17.861911160,1
17.972975214,0
17.973014986,1
18.084076278,0
18.084118826,1
18.195178952,0
18.195222310,1
18.306286976,0
18.306325926,1
18.417388570,0
18.417429878,1
18.528490304,0
18.528533400,1
18.639595210,0
18.639637318,1
18.750697832,0
18.750740918,1
18.861803244,0
18.861844972,1
18.972906050,0
18.972948446,1
19.084011870,0
19.084052228,1
19.195113874,0
19.195156240,1
19.306216058,0
19.306260016,1
19.417323610,0
19.417363566,1
19.528427574,0
19.528467280,1
19.639528516,0
19.639570954,1
19.750633286,0
19.750674924,1
19.861735680,0
19.861778878,1
19.972840764,0
19.972882562,1
20.083944394,0
20.083986312,1
20.195047548,0
20.195089674,1
20.306151950,0
20.306193470,1
20.417254084,0
20.417297658,1
20.528360076,0
20.528401392,1
20.639464476,0
20.639504676,1
20.750567336,0
20.750608446,1
20.861668450,0
20.861712218,1
20.972777052,0
20.972816072,1
21.083878262,0
21.083919942,1
21.194981716,0
21.195023442,1
21.306087086,0
21.306127408,1
21.417191260,0
21.417231386,1
21.528292230,0
21.528335148,1
21.639397462,0
21.639438442,1
21.750501814,0
21.750542302,1
21.861605606,0
21.861645922,1
21.972708626,0
21.972750166,1
22.083814880,0
22.083853556,1
22.194915740,0
22.194957416,1
22.306018292,0
22.306061240,1
22.417125732,0
22.417164908,1
22.528227244,0
22.528268660,1
22.639328854,0
22.639372434,1
22.750435744,0
22.750476162,1
22.861540356,0
22.861579842,1
22.972643954,0
22.972683696,1
23.083746946,0
23.083787314,1
23.194850570,0
23.194891174,1
23.305953658,0
23.305995098,1
23.417056618,0
23.417098626,1
23.528160370,0
23.528202606,1
23.639264650,0
23.639305960,1
23.750366730,0
23.750410038,1
23.861470040,0
23.861513848,1
23.972574032,0
23.972617240,1
24.083678132,0
24.083721188,1
24.194782360,0
24.194824788,1
24.305888300,0
24.305928682,1
24.416991280,0
24.417032618,1
24.528093422,0
24.528136340,1
24.639197604,0
24.639239992,1
24.750304444,0
24.750343460,1
24.861404080,0
24.861447470,1
24.972510790,0
24.972551162,1
25.083615064,0
25.083655000,1
25.194714810,0
25.194758538,1
25.305822010,0
25.305862492,1
25.416924810,0
25.416966378,1
25.528028802,0
25.528070228,1
25.639131572,0
25.639173690,1
25.750237822,0
25.750277338,1
25.861339760,0
25.861381116,1
25.972441630,0
25.972484950,1
26.083547828,0
26.083588506,1
26.194652020,0
26.194692504,1
26.305755106,0
26.305796086,1
26.416859506,0
26.416899834,1
26.527964146,0
26.528003852,1
26.639066234,0
26.639107574,1
26.750167884,0
26.750211120,1
26.861273264,0
26.861314760,1
26.972377232,0
26.972418732,1
27.083479232,0
27.083522288,1
27.194584390,0
27.194626206,1
27.305687590,0
27.305730008,1
27.416793426,0
27.416833664,1
27.527899614,0
27.527937262,1
27.639000902,0
27.639041274,1
27.750104572,0
27.750145130,1
27.861205920,0
27.861248748,1
27.972311060,0
27.972352728,1
28.083415628,0
28.083456236,1
28.194516814,0
28.194559944,1
28.305622624,0
28.305663844,1
28.416724782,0
28.416767620,1
28.527829282,0
28.527871468,1
28.638934848,0
28.638975008,1
28.750038818,0
28.750078804,1
28.861141448,0
28.861182542,1
28.972244444,0
28.972286272,1
29.083352362,0
29.083390208,1
29.194450298,0
29.194493466,1
29.305554308,0
29.305597658,1
29.416663586,0
29.416701362,1
29.527764474,0
29.527805220,1
29.638867980,0
29.638908860,1
29.749970856,0
29.750012356,1
29.861075698,0
29.861116092,1
29.972180222,0
29.972220194,1
30.083281010,0
30.083323708,1
30.194387200,0
30.194427266,1
30.305489108,0
30.305531246,1
30.416591654,0
30.416634712,1
30.527695690,0
30.527738878,1
30.638804468,0
30.638842488,1
30.749904344,0
30.749946202,1
30.861008224,0
30.861049990,1
30.972113418,0
30.972153530,1
31.083216686,0
31.083257724,1
31.194321166,0
31.194361422,1
31.305422942,0
31.305464870,1
