Time [s],Sheep1
0.000000000,1
0.005005042,0
0.005043728,1
0.116115962,0
0.116147460,1
0.227272474,0
0.227275120,1
0.338321150,0
0.338355066,1
0.449426218,0
0.449458898,1
0.560524144,0
0.560562582,1
0.671633644,0
0.671666332,1
0.782757484,0
0.782770094,1
0.893888916,0
0.893891994,1
1.004945040,0
1.004977428,1
1.116102928,0
1.116105558,1
1.227147056,0
1.227184884,1
1.338253606,0
1.338288712,1
1.449358206,0
1.449392414,1
1.560462938,0
1.560496218,1
1.671561200,0
1.671599936,1
1.782671280,0
1.782703678,1
1.893775832,0
1.893807240,1
2.004895150,0
2.004911138,1
2.116032150,0
2.116034746,1
2.227082902,0
2.227118612,1
2.338183764,0
2.338222190,1
2.449293200,0
2.449325910,1
2.560444420,0
2.560447498,1
2.671524850,0
2.671533420,1
2.782607284,0
2.782637250,1
2.893703334,0
2.893740932,1
3.004805812,0
3.004844488,1
3.115909430,0
3.115948418,1
3.227043018,0
3.227052100,1
3.338169176,0
3.338171804,1
3.449221166,0
3.449259584,1
3.560380662,0
3.560383292,1
3.671488380,0
3.671491012,1
3.782531574,0
3.782570832,1
3.893635952,0
3.893674382,1
4.004744412,0
4.004778048,1
4.115844308,0
4.115881816,1
4.227001924,0
4.227004792,1
4.338050876,0
4.338089312,1
4.449183132,0
4.449193230,1
4.560265182,0
4.560296970,1
4.671361978,0
4.671400404,1
4.782521942,0
4.782524580,1
4.893572332,0
4.893608082,1
5.004673320,0
5.004711736,1
5.115777344,0
5.115815464,1
5.226906330,0
5.226919204,1
5.337985090,0
5.338022908,1
5.449087466,0
5.449126784,1
5.560248418,0
5.560251082,1
5.671295412,0
5.671334138,1
5.782406156,0
5.782437934,1
5.893504064,0
5.893541572,1
6.004607170,0
6.004645306,1
6.115734074,0
6.115749102,1
6.226813690,0
6.226852732,1
6.337916188,0
6.337956584,1
6.449049010,0
6.449060150,1
6.560180966,0
6.560183614,1
6.671233406,0
6.671267660,1
6.782333558,0
6.782371386,1
6.893437056,0
6.893475174,1
7.004565008,0
7.004578946,1
7.115643564,0
7.115682572,1
7.226747630,0
7.226786380,1
7.337873902,0
7.337890112,1
7.448955128,0
7.448993706,1
7.560109542,0
7.560112172,1
7.671209438,0
7.671212504,1
7.782290274,0
7.782304940,1
7.893393996,0
7.893408668,1
8.004525910,0
8.004528548,1
8.115576666,0
8.115616024,1
8.226706078,0
8.226719930,1
8.337785086,0
8.337823492,1
8.448907248,0
8.448927326,1
8.559992112,0
8.560031052,1
8.671096696,0
8.671134814,1
8.782199958,0
8.782238376,1
8.893303342,0
8.893342122,1
9.004437494,0
9.004445942,1
9.115533156,0
9.115549676,1
9.226613922,0
9.226653342,1
9.337718198,0
9.337757064,1
9.448823278,0
9.448860836,1
9.559926302,0
9.559964412,1
9.671030704,0
9.671068222,1
9.782131908,0
9.782171854,1
9.893237582,0
9.893275710,1
10.004363390,0
10.004379290,1
10.115443964,0
10.115483092,1
10.226599014,0
10.226601664,1
10.337652840,0
10.337690636,1
10.448756372,0
10.448794190,1
10.559881864,0
10.559898104,1
10.670969176,0
10.671001724,1
10.782066418,0
10.782105416,1
10.893194330,0
10.893209300,1
11.004328178,0
11.004330828,1
11.115379232,0
11.115416480,1
11.226482566,0
11.226520404,1
11.337586038,0
11.337624154,1
11.448689296,0
11.448727716,1
11.559851726,0
11.559854764,1
11.670896622,0
11.670935348,1
11.782059736,0
11.782062600,1
11.893106234,0
11.893142822,1
12.004212296,0
12.004246510,1
12.115312522,0
12.115350032,1
12.226435442,0
12.226453984,1
12.337543192,0
12.337557502,1
12.448675092,0
12.448677732,1
12.559726196,0
12.559764916,1
12.670835758,0
12.670868744,1
12.781933996,0
12.781972444,1
12.893040516,0
12.893076186,1
13.004141018,0
13.004180054,1
13.115245576,0
13.115283624,1
13.226375346,0
13.226387376,1
13.337499526,0
13.337502162,1
13.448563758,0
13.448594674,1
13.559689374,0
13.559698646,1
13.670784396,0
13.670802352,1
13.781873034,0
13.781905962,1
13.892971284,0
13.893009734,1
14.004075234,0
14.004113350,1
14.115205010,0
14.115217020,1
14.226315292,0
14.226320972,1
14.337396332,0
14.337424638,1
14.448512318,0
14.448528218,1
14.559608546,0
14.559631948,1
14.670696250,0
14.670735566,1
14.781801626,0
14.781839444,1
14.892903474,0
14.892943096,1
15.004008894,0
15.004047040,1
15.115163900,0
15.115166528,1
15.226218850,0
15.226254240,1
15.337379694,0
15.337382346,1
15.448424978,0
15.448461886,1
15.559535294,0
15.559565426,1
15.670631264,0
15.670669082,1
15.781735010,0
15.781772840,1
15.892838110,0
15.892876540,1
16.003993446,0
16.003996094,1
16.115059426,0
16.115084012,1
16.226154824,0
16.226187764,1
16.337254710,0
16.337291560,1
16.448361338,0
16.448395246,1
16.559461338,0
16.559498856,1
16.670595534,0
16.670602522,1
16.781668100,0
16.781706530,1
16.892824616,0
16.892827266,1
17.003883026,0
17.003913834,1
17.115001962,0
17.115017592,1
17.226082672,0
17.226121132,1
17.337203258,0
17.337224836,1
17.448291034,0
17.448328784,1
17.559399392,0
17.559432472,1
17.670506650,0
17.670536038,1
17.781606934,0
17.781639804,1
17.892712044,0
17.892743664,1
18.003832708,0
18.003847148,1
18.114934214,0
18.114951024,1
18.226015632,0
18.226054882,1
18.337116378,0
18.337158456,1
18.448278102,0
18.448280744,1
18.559327394,0
18.559365822,1
18.670491054,0
18.670493976,1
18.781542956,0
18.781573242,1
18.892662620,0
18.892676992,1
19.003742028,0
19.003780704,1
19.114850274,0
19.114884522,1
19.225958258,0
19.225988238,1
19.337099592,0
19.337102212,1
19.448183558,0
19.448195618,1
19.559260396,0
19.559299416,1
19.670367090,0
19.670403120,1
19.781473996,0
19.781506654,1
19.892630058,0
19.892633160,1
20.003680180,0
20.003714116,1
20.114802994,0
20.114817982,1
20.225882770,0
20.225921510,1
20.336994884,0
20.337025182,1
20.448113760,0
20.448129038,1
20.559195106,0
20.559232924,1
20.670326786,0
20.670336338,1
20.781403916,0
20.781440232,1
20.892528340,0
20.892543950,1
21.003616384,0
21.003647572,1
21.114765706,0
21.114768348,1
21.225842662,0
21.225854974,1
21.336972116,0
21.336974746,1
21.448031926,0
21.448062512,1
21.559150688,0
21.559166308,1
21.670231304,0
21.670270060,1
21.781333578,0
21.781373674,1
21.892438994,0
21.892477452,1
22.003542976,0
22.003581154,1
22.114677388,0
22.114684888,1
22.225783314,0
22.225788594,1
22.336861958,0
22.336892256,1
22.447975272,0
22.447995960,1
22.559060536,0
22.559099536,1
22.670193328,0
22.670203208,1
22.781269344,0
22.781307162,1
22.892380816,0
22.892410708,1
23.003476004,0
23.003514410,1
23.114632692,0
23.114635334,1
23.225689280,0
23.225721930,1
23.336847228,0
23.336849880,1
23.447892898,0
23.447929514,1
23.559018080,0
23.559033080,1
23.670109624,0
23.670136920,1
23.781203608,0
23.781240524,1
23.892305770,0
23.892344220,1
24.003462242,0
24.003464868,1
24.114520878,0
24.114551734,1
24.225618022,0
24.225655290,1
24.336722310,0
24.336758930,1
24.447875524,0
24.447878160,1
24.558932516,0
24.558966418,1
24.670037502,0
24.670070198,1
24.781162170,0
24.781173852,1
24.892291602,0
24.892294234,1
25.003342850,0
25.003381256,1
25.114469650,0
25.114484968,1
25.225549174,0
25.225588914,1
25.336706664,0
25.336709772,1
25.447784456,0
25.447796166,1
25.558862664,0
25.558899892,1
25.669969546,0
25.670003750,1
25.781069144,0
25.781107274,1
25.892173590,0
25.892211098,1
26.003300578,0
26.003314708,1
26.114431680,0
26.114434780,1
26.225507444,0
26.225522374,1
26.336594964,0
26.336625844,1
26.447690628,0
26.447729646,1
26.558794110,0
26.558833370,1
26.669952828,0
26.669955450,1
26.781011094,0
26.781040792,1
26.892111226,0
26.892144376,1
27.003246258,0
27.003249224,1
27.114319598,0
27.114351996,1
27.225443630,0
27.225455640,1
27.336522810,0
27.336559410,1
27.447650302,0
27.447663200,1
27.558729136,0
27.558766664,1
27.669893662,0
27.669896284,1
27.780961496,0
27.780974104,1
27.892042618,0
27.892078038,1
28.003147592,0
28.003181508,1
28.114257190,0
28.114285388,1
28.225357024,0
28.225389112,1
28.336477690,0
28.336492652,1
28.447610192,0
28.447612822,1
28.558662188,0
28.558700296,1
28.669763658,0
