Time [s],Sheep1
0.000000000,0
0.084432286,1
0.084438246,0
0.195497734,1
0.195503052,0
0.306579140,1
0.306584660,0
0.417706420,1
0.417711740,0
0.528810058,1
0.528815348,0
0.639890264,1
0.639895582,0
0.751001014,1
0.751006564,0
0.862098630,1
0.862103948,0
0.973225482,1
0.973230780,0
1.084325538,1
1.084331506,0
1.195461008,1
1.195466536,0
1.306513766,1
1.306519104,0
1.417640276,1
1.417645896,0
1.528721852,1
1.528727192,0
1.639848620,1
1.639853940,0
1.750977742,1
1.750983572,0
1.862033680,1
1.862039030,0
1.973166150,1
1.973172040,0
2.084238764,1
2.084244084,0
2.195350178,1
2.195355706,0
2.306505626,1
2.306511114,0
2.417572628,1
2.417578306,0
2.528677512,1
2.528682830,0
2.639767224,1
2.639773202,0
2.750884102,1
2.750890302,0
2.861963974,1
2.861969294,0
2.973093304,1
2.973098634,0
3.084179036,1
3.084185046,0
3.195298078,1
3.195303438,0
3.306378670,1
3.306384470,0
3.417490590,1
3.417496518,0
3.528588112,1
3.528593450,0
3.639742396,1
3.639748296,0
3.750831570,1
3.750837398,0
3.861950478,1
3.861956366,0
3.973009710,1
3.973015688,0
4.084110952,1
4.084116480,0
4.195205804,1
4.195211162,0
4.306312782,1
4.306318132,0
4.417415922,1
4.417421252,0
4.528520168,1
4.528525488,0
4.639622738,1
4.639628118,0
4.750733038,1
4.750738556,0
4.861830586,1
4.861836284,0
4.972963414,1
4.972968944,0
5.084037756,1
5.084042506,0
5.195175892,1
5.195181380,0
5.306269390,1
5.306275188,0
5.417349990,1
5.417355360,0
5.528453056,1
5.528458376,0
5.639615282,1
5.639620792,0
5.750657892,1
5.750663662,0
5.861787962,1
5.861793692,0
5.972870390,1
5.972875718,0
6.084000274,1
6.084006284,0
6.195081834,1
6.195087372,0
6.306221328,1
6.306226858,0
6.417308238,1
6.417313568,0
6.528412304,1
6.528417614,0
6.639497004,1
6.639502564,0
6.750604780,1
6.750610668,0
6.861749774,1
6.861755292,0
6.972804812,1
6.972810320,0
7.083904232,1
7.083909840,0
7.195016128,1
7.195021976,0
7.306121630,1
7.306127140,0
7.417268948,1
7.417274746,0
7.528326204,1
7.528331994,0
7.639423672,1
7.639429032,0
7.750527030,1
7.750532338,0
7.861634136,1
7.861639454,0
7.972736510,1
7.972741860,0
8.083838526,1
8.083843856,0
8.194967190,1
8.194972510,0
8.306079126,1
8.306084664,0
8.417175992,1
8.417181530,0
8.528253486,1
8.528257716,0
8.639384902,1
8.639390900,0
8.750460528,1
8.750465838,0
8.861564120,1
8.861569450,0
8.972674308,1
8.972679798,0
9.083795730,1
9.083801038,0
9.194927434,1
9.194933212,0
9.305985962,1
9.305991502,0
9.417105564,1
9.417110922,0
9.528186040,1
9.528191368,0
9.639297456,1
9.639303004,0
9.750416706,1
9.750422036,0
9.861497602,1
9.861502960,0
9.972627904,1
9.972633534,0
10.083705442,1
10.083710750,0
10.194822496,1
10.194828014,0
10.305913090,1
10.305918878,0
10.417033668,1
10.417039888,0
10.528124594,1
10.528129924,0
10.639247906,1
10.639253436,0
10.750356028,1
10.750361548,0
10.861433778,1
10.861439086,0
10.972534790,1
10.972540108,0
11.083647612,1
11.083653142,0
11.194746566,1
11.194751914,0
11.305868408,1
11.305874196,0
11.416965182,1
11.416971090,0
11.528097010,1
11.528102530,0
11.639157328,1
11.639162676,0
11.750270050,1
11.750275928,0
11.861416998,1
11.861422516,0
11.972468084,1
11.972472032,0
12.083571878,1
12.083577206,0
12.194728024,1
12.194734052,0
12.305805950,1
12.305811238,0
12.416905400,1
12.416910770,0
12.528039050,1
12.528044770,0
12.639090798,1
12.639096138,0
12.750226756,1
12.750232624,0
12.861300562,1
12.861305922,0
12.972407512,1
12.972413042,0
13.083503244,1
13.083508622,0
13.194608854,1
13.194614202,0
13.305712196,1
13.305717504,0
13.416858736,1
13.416864236,0
13.527941816,1
13.527947346,0
13.639023690,1
13.639029440,0
13.750130560,1
13.750136060,0
13.861258048,1
13.861263378,0
13.972334252,1
13.972340012,0
14.083453314,1
14.083459144,0
14.194550076,1
14.194555984,0
14.305646306,1
14.305651636,0
14.416755776,1
14.416761424,0
14.527879904,1
14.527885202,0
14.638983204,1
14.638988514,0
14.750089224,1
14.750094542,0
14.861220024,1
14.861225524,0
14.972285718,1
14.972291306,0
15.083402536,1
15.083407876,0
15.194516956,1
15.194522962,0
15.305594876,1
15.305600376,0
15.416679196,1
15.416683088,0
15.527814214,1
15.527819984,0
15.638914324,1
15.638919634,0
15.750017004,1
15.750022322,0
15.861103514,1
15.861109504,0
15.972235744,1
15.972241692,0
16.083342284,1
16.083348172,0
16.194431012,1
16.194436340,0
16.305546092,1
16.305552030,0
16.416624052,1
16.416629620,0
16.527719740,1
16.527725090,0
16.638823390,1
16.638828700,0
16.749978016,1
16.749984066,0
16.861053716,1
16.861059036,0
16.972176694,1
16.972182224,0
17.083270346,1
17.083276184,0
17.194341664,1
17.194346962,0
17.305475092,1
17.305480590,0
17.416588978,1
17.416594526,0
17.527698278,1
17.527703818,0
17.638756870,1
17.638762228,0
17.749860298,1
17.749866048,0
17.860989804,1
17.860995322,0
17.972115250,1
17.972121220,0
18.083204560,1
18.083210516,0
18.194275638,1
18.194280966,0
18.305380240,1
18.305385538,0
18.416502114,1
18.416508054,0
18.527637732,1
18.527643230,0
18.638700902,1
18.638706620,0
18.749794200,1
18.749799538,0
18.860896258,1
18.860900628,0
18.972053190,1
18.972058768,0
19.083113702,1
19.083119460,0
19.194208118,1
19.194213906,0
19.305311726,1
19.305317044,0
19.416416354,1
19.416421674,0
19.527520620,1
19.527525940,0
19.638628128,1
19.638633486,0
19.749726678,1
19.749732016,0
19.860882970,1
19.860888478,0
19.971941310,1
19.971947270,0
20.083075586,1
20.083081594,0
20.194149214,1
20.194155094,0
20.305300198,1
20.305306206,0
20.416378074,1
20.416383592,0
20.527495800,1
20.527501328,0
20.638606638,1
20.638612126,0
20.749713126,1
20.749719154,0
20.860819080,1
20.860824610,0
20.971866918,1
20.971872218,0
21.082971428,1
21.082976736,0
21.194125842,1
21.194131850,0
21.305186360,1
21.305192386,0
21.416326580,1
21.416332140,0
21.527435416,1
21.527440956,0
21.638531884,1
21.638537612,0
21.749655288,1
21.749660818,0
21.860734366,1
21.860740354,0
21.971854412,1
21.971860472,0
22.082904802,1
22.082910130,0
22.194009296,1
22.194014644,0
22.305114922,1
22.305120910,0
22.416223636,1
22.416229154,0
22.527372380,1
22.527378396,0
22.638451698,1
22.638457646,0
22.749587868,1
22.749593398,0
22.860634970,1
22.860640278,0
22.971786720,1
22.971792450,0
23.082885030,1
23.082890508,0
23.193941754,1
23.193947114,0
23.305045320,1
23.305050620,0
23.416155196,1
23.416160724,0
23.527260842,1
23.527266362,0
23.638416244,1
23.638422014,0
23.749479600,1
23.749485700,0
23.860567488,1
23.860572826,0
23.971667872,1
23.971672450,0
24.082813226,1
24.082818754,0
24.193875120,1
24.193880438,0
24.304982314,1
24.304987654,0
24.416089228,1
24.416094738,0
24.527192054,1
24.527197592,0
24.638297530,1
24.638303038,0
24.749398676,1
24.749403984,0
24.860534664,1
24.860540404,0
24.971647488,1
24.971653398,0
25.082728134,1
25.082733424,0
25.193861068,1
25.193866566,0
25.304918856,1
25.304924606,0
25.416015732,1
25.416021040,0
25.527126714,1
25.527132224,0
25.638223420,1
25.638228788,0
25.749334390,1
25.749340110,0
25.860490372,1
25.860495902,0
25.971536502,1
25.971541850,0
26.082637336,1
26.082643036,0
26.193768456,1
26.193773774,0
26.304845464,1
26.304850772,0
26.416008602,1
26.416014110,0
26.527057240,1
26.527062598,0
26.638178664,1
26.638184394,0
26.749260358,1
26.749265668,0
26.860371202,1
26.860377122,0
26.971522272,1
26.971528162,0
27.082600016,1
27.082605514,0
27.193734558,1
27.193740276,0
27.304780486,1
27.304785796,0
27.415880900,1
27.415885528,0
27.527032270,1
27.527038278,0
27.638089646,1
27.638095016,0
27.749192952,1
27.749198260,0
27.860332192,1
27.860337502,0
27.971427234,1
27.971432564,0
28.082564864,1
28.082570382,0
28.193607132,1
28.193612770,0
28.304762662,1
28.304768450,0
28.415816158,1
28.415821488,0
28.526933802,1
28.526939560,0
28.638060764,1
28.638066282,0
28.749126998,1
28.749132306,0
28.860236758,1
28.860242508,0
28.971342382,1
28.971347890,0
29.082489514,1
29.082495322,0
29.193540798,1
29.193546426,0
29.304646412,1
29.304651740,0
29.415780332,1
29.415786032,0
29.526852234,1
29.526854906,0
29.637975836,1
29.637981364,0
29.749087758,1
29.749093276,0
29.860185570,1
29.860190890,0
29.971267938,1
29.971273466,0
30.082397468,1
30.082402756,0
30.193526288,1
30.193532286,0
30.304620458,1
30.304625978,0
30.415708254,1
30.415713544,0
30.526786406,1
30.526791954,0
30.637917958,1
30.637923486,0
30.749052268,1
30.749058266,0
30.860095972,1
30.860100384,0
30.971201986,1
30.971207534,0
31.082304018,1
31.082309356,0
31.193449844,1
31.193455844,0
31.304563996,1
31.304569524,0
31.415620274,1
31.415626332,0
31.526747542,1
31.526753062,0
31.637877174,1
31.637882732,0
31.748946108,1
31.748951996,0
31.860037490,1
31.860043030,0
31.971134132,1
31.971139442,0
32.082237324,1
32.082242672,0
32.193363872,1
32.193369172,0
32.304477586,1
32.304483634,0
32.415600024,1
32.415606194,0
32.526659540,1
32.526665048,0
32.637814216,1
32.637820066,0
32.748914286,1
32.748919836,0
32.859962602,1
32.859967892,0
32.971075532,1
32.971081052,0
33.082197246,1
33.082203014,0
33.193275086,1
33.193280434,0
33.304385508,1
33.304391018,0
33.415533858,1
33.415539356,0
33.526637638,1
33.526643136,0
33.637695344,1
33.637700892,0
33.748798602,1
33.748804312,0
33.859896562,1
33.859901872,0
33.971037454,1
33.971043152,0
34.082160622,1
34.082166642,0
34.193214116,1
34.193219636,0
34.304306790,1
34.304310688,0
34.415416708,1
34.415422056,0
34.526518098,1
34.526523408,0
34.637674536,1
34.637680046,0
34.748730572,1
34.748735902,0
34.859889038,1
34.859894596,0
34.970985578,1
34.970991418,0
35.082043352,1
35.082049300,0
35.193199780,1
35.193205508,0
35.304299582,1
35.304305580,0
35.415348036,1
35.415353376,0
35.526451754,1
35.526457094,0
35.637561948,1
35.637567478,0
35.748710914,1
35.748716434,0
35.859809296,1
35.859815202,0
35.970895516,1
35.970901324,0
36.081969760,1
36.081975350,0
36.193115338,1
36.193121024,0
36.304176688,1
36.304182248,0
36.415293828,1
36.415299796,0
36.526388392,1
36.526393900,0
36.637488600,1
36.637493910,0
36.748625808,1
36.748631336,0
36.859747898,1
36.859753418,0
36.970807152,1
36.970813170,0
37.081958466,1
37.081964526,0
37.193011730,1
37.193017060,0
37.304157476,1
37.304163406,0
37.415270516,1
37.415276016,0
37.526341140,1
37.526346468,0
37.637446998,1
37.637452718,0
37.748551832,1
37.748557140,0
37.859688956,1
37.859694476,0
37.970744182,1
37.970749902,0
38.081862870,1
38.081868170,0
38.192946318,1
38.192951848,0
38.304103628,1
38.304109556,0
38.415147772,1
38.415153110,0
38.526258500,1
38.526264290,0
38.637367800,1
38.637373956,0
38.748458590,1
38.748463900,0
38.859562398,1
38.859567726,0
38.970669186,1
38.970674496,0
39.081797386,1
39.081802684,0
39.192881138,1
39.192886656,0
39.303977708,1
39.303983016,0
39.415143012,1
39.415148512,0
39.526192206,1
39.526197966,0
39.637294846,1
39.637300384,0
39.748442520,1
39.748448750,0
39.859495672,1
39.859500980,0
39.970599372,1
39.970604732,0
40.081754138,1
40.081760198,0
40.192836850,1
40.192842130,0
40.303910650,1
40.303916200,0
40.415022278,1
40.415027836,0
40.526178614,1
40.526184094,0
40.637277014,1
40.637282882,0
40.748329888,1
40.748335206,0
40.859470492,1
40.859476022,0
40.970532584,1
40.970537934,0
41.081640974,1
41.081646274,0
41.192787498,1
41.192793436,0
41.303854370,1
41.303859680,0
41.414971258,1
41.414976606,0
41.526074168,1
41.526079466,0
41.637159046,1
41.637164356,0
41.748264696,1
41.748270524,0
41.859404292,1
41.859409830,0
41.970503704,1
41.970509212,0
42.081621490,1
42.081627050,0
42.192679150,1
42.192685100,0
42.303799180,1
42.303804520,0
42.414910266,1
42.414915566,0
42.525990166,1
42.525996216,0
42.637110826,1
42.637116614,0
42.748191038,1
42.748196766,0
42.859294544,1
42.859298614,0
42.970452540,1
42.970458740,0
43.081509180,1
43.081515028,0
43.192634838,1
43.192640196,0
43.303711930,1
43.303717248,0
43.414826144,1
43.414832264,0
43.525944662,1
43.525950000,0
43.637038984,1
43.637044492,0
43.748130022,1
43.748135342,0
43.859227640,1
43.859233188,0
43.970331266,1
43.970337036,0
44.081460374,1
44.081465712,0
44.192538594,1
44.192544262,0
44.303646012,1
44.303651532,0
44.414747252,1
44.414753310,0
44.525856158,1
44.525861986,0
44.636984184,1
44.636989952,0
44.748067226,1
44.748072764,0
44.859184492,1
44.859190232,0
44.970273800,1
44.970279338,0
45.081421116,1
45.081427166,0
45.192477166,1
45.192482486,0
45.303577136,1
45.303582446,0
45.414706742,1
45.414712062,0
45.525808650,1
45.525813980,0
45.636886818,1
45.636892598,0
45.748018696,1
45.748024024,0
45.859119344,1
45.859124844,0
45.970222202,1
45.970227560,0
46.081306762,1
46.081312070,0
46.192405776,1
46.192411094,0
46.303509796,1
46.303514304,0
46.414651390,1
46.414657308,0
46.525717138,1
46.525722648,0
46.636827170,1
46.636832698,0
46.747939136,1
46.747944504,0
46.859058162,1
46.859063872,0
46.970182346,1
46.970187866,0
47.081246718,1
47.081252536,0
47.192340104,1
47.192345432,0
47.303442642,1
47.303447950,0
47.414573698,1
47.414579008,0
47.525677114,1
47.525682752,0
47.636753964,1
47.636759364,0
47.747860640,1
47.747866230,0
47.858990288,1
47.858996288,0
47.970070156,1
47.970075734,0
48.081169992,1
48.081175322,0
48.192301840,1
48.192307380,0
48.303377888,1
48.303383238,0
48.414486284,1
48.414491782,0
48.525589890,1
48.525595380,0
48.636685168,1
48.636690526,0
48.747791246,1
48.747797014,0
48.858894480,1
48.858900150,0
48.970040906,1
48.970046426,0
49.081108774,1
49.081114094,0
49.192259938,1
49.192265478,0
49.303318248,1
49.303324176,0
49.414439726,1
49.414445054,0
49.525518294,1
49.525523632,0
49.636619740,1
49.636625048,0
49.747723248,1
49.747728398,0
49.858828482,1
49.858833802,0
49.969931802,1
49.969937120,0
50.081086914,1
50.081092634,0
50.192146324,1
50.192151644,0
50.303266588,1
50.303272136,0
50.414348536,1
50.414353844,0
50.525449822,1
50.525455130,0
50.636554342,1
50.636559640,0
50.747656398,1
50.747662146,0
50.858759982,1
50.858765720,0
50.969865290,1
50.969870640,0
51.080974614,1
51.080980662,0
51.192094610,1
51.192100310,0
51.303182848,1
51.303188158,0
51.414304894,1
51.414310504,0
51.525382500,1
51.525385772,0
51.636486678,1
51.636492046,0
51.747615102,1
51.747620802,0
51.858694728,1
51.858700056,0
51.969794248,1
51.969796974,0
52.080928840,1
52.080934160,0
52.192006126,1
52.192011436,0
52.303112142,1
52.303117472,0
52.414219080,1
52.414224398,0
52.525325606,1
52.525331146,0
52.636433382,1
52.636438760,0
52.747523440,1
52.747528760,0
52.858679462,1
52.858685380,0
52.969737742,1
52.969743280,0
53.080841286,1
53.080846824,0
53.191936884,1
53.191941204,0
53.303042740,1
53.303048050,0
53.414152234,1
53.414158072,0
53.525256860,1
53.525262620,0
53.636395664,1
53.636401192,0
53.747465502,1
53.747470990,0
53.858560416,1
53.858565736,0
53.969660934,1
53.969666284,0
54.080772280,1
54.080777590,0
54.191872404,1
54.191877732,0
54.302975472,1
54.302980780,0
54.414078748,1
54.414084096,0
54.525215758,1
54.525221488,0
54.636294118,1
54.636299376,0
54.747446920,1
54.747452790,0
54.858512678,1
54.858518188,0
54.969599076,1
54.969604384,0
55.080700580,1
55.080705910,0
55.191804994,1
55.191810312,0
55.302931740,1
55.302937028,0
55.414012846,1
55.414018154,0
55.525124632,1
55.525130530,0
55.636217086,1
55.636222764,0
55.747330988,1
55.747336288,0
55.858427766,1
55.858433074,0
55.969531374,1
55.969536682,0
56.080634656,1
56.080639976,0
56.191746472,1
56.191752002,0
56.302894764,1
56.302900462,0
56.413954712,1
56.413960242,0
56.525048924,1
56.525054274,0
56.636151710,1
56.636156840,0
56.747289124,1
56.747294844,0
56.858367782,1
56.858373092,0
56.969473084,1
56.969479134,0
57.080574800,1
57.080580798,0
57.191723422,1
57.191728902,0
