Time [s],Sheep1
0.000000000,1
0.087187076,0
0.087225092,1
0.198292894,0
0.198328402,1
0.309389406,0
0.309432224,1
0.420495358,0
0.420536070,1
0.531599212,0
0.531639590,1
0.642705954,0
0.642743242,1
0.753806804,0
0.753847316,1
0.864913986,0
0.864950916,1
0.976014692,0
0.976054628,1
1.087121046,0
1.087158274,1
1.198218488,0
1.198261954,1
1.309323408,0
1.309365666,1
1.420426562,0
1.420469920,1
1.531530542,0
1.531573110,1
1.642637036,0
1.642677042,1
1.753738878,0
1.753780906,1
1.864843248,0
1.864884686,1
1.975946642,0
1.975988158,1
2.087050092,0
2.087091862,1
2.198157954,0
2.198195722,1
2.309258948,0
2.309299424,1
2.420362606,0
2.420403008,1
2.531466480,0
2.531506986,1
2.642572090,0
2.642610588,1
2.753675784,0
2.753714312,1
2.864774704,0
2.864818190,1
2.975880628,0
2.975921884,1
3.086985326,0
3.087025666,1
3.198086818,0
3.198129176,1
3.309196030,0
3.309233098,1
3.420294882,0
3.420337030,1
3.531401654,0
3.531440488,1
3.642502536,0
3.642544332,1
3.753608954,0
3.753647814,1
3.864708436,0
3.864751582,1
3.975812526,0
3.975855284,1
4.086917876,0
4.086959396,1
4.198027358,0
4.198062864,1
4.309126440,0
4.309166556,1
4.420228260,0
4.420270380,1
4.531332428,0
4.531373896,1
4.642437542,0
4.642477658,1
4.753541100,0
4.753581600,1
4.864642102,0
4.864685258,1
4.975748104,0
4.975789130,1
5.086852420,0
5.086892862,1
5.197955922,0
5.197996600,1
5.309059444,0
5.309100290,1
5.420163552,0
5.420204012,1
5.531270552,0
5.531307970,1
5.642371984,0
5.642411582,1
5.753472276,0
5.753515014,1
5.864579636,0
5.864618770,1
5.975682634,0
5.975722512,1
6.086795064,0
6.086826194,1
6.197890226,0
6.197930040,1
6.308992636,0
6.309033972,1
6.420097322,0
6.420137484,1
6.531197824,0
6.531241210,1
6.642307322,0
6.642344970,1
6.753408562,0
6.753448642,1
6.864509542,0
6.864552510,1
6.975615564,0
6.975656080,1
7.086720672,0
7.086760252,1
7.197823654,0
7.197863420,1
7.308930262,0
7.308967580,1
7.420030170,0
7.420071132,1
7.531132970,0
7.531174668,1
7.642238932,0
7.642278518,1
7.753344852,0
7.753382650,1
7.864446122,0
7.864486036,1
7.975549012,0
7.975589618,1
8.086655552,0
8.086693668,1
8.197758820,0
8.197797156,1
8.308857628,0
8.308900876,1
8.419962310,0
8.420004668,1
8.531069968,0
8.531108624,1
8.642174356,0
8.642212124,1
8.753272958,0
8.753315706,1
8.864382864,0
8.864419642,1
8.975483086,0
8.975523162,1
9.086586642,0
9.086627114,1
9.197695052,0
9.197730590,1
9.308794802,0
9.308834310,1
9.419898160,0
9.419938282,1
9.531000340,0
9.531041878,1
9.642105292,0
9.642145768,1
9.753209198,0
9.753249358,1
9.864315546,0
9.864352986,1
9.975419918,0
9.975456914,1
10.086520356,0
10.086560486,1
