Time [s],Sheep1
0.000000000,1
0.047344710,0
0.047368630,1
0.158451862,0
0.158472390,1
0.269547864,0
0.269576396,1
0.380654178,0
0.380679888,1
0.491758662,0
0.491783520,1
0.602850306,0
0.602887444,1
0.713963970,0
0.713991038,1
0.825067928,0
0.825095188,1
0.936175092,0
0.936198762,1
1.047279036,0
1.047302316,1
1.158383240,0
1.158406196,1
1.269478344,0
1.269509850,1
1.380585766,0
1.380613964,1
1.491692758,0
1.491717594,1
1.602781332,0
1.602821250,1
1.713894372,0
1.713924924,1
1.825003054,0
1.825028752,1
1.936097330,0
1.936132768,1
2.047209862,0
2.047236430,1
2.158304324,0
2.158340100,1
2.269420046,0
2.269443646,1
2.380520580,0
2.380547678,1
2.491618502,0
2.491651628,1
2.602732052,0
2.602755264,1
2.713835114,0
2.713858966,1
2.824939190,0
2.824962696,1
2.936025244,0
2.936066320,1
3.047144672,0
3.047170122,1
3.158250426,0
3.158274052,1
3.269345488,0
3.269377646,1
3.380449860,0
3.380481360,1
3.491552570,0
3.491585358,1
3.602666362,0
3.602689102,1
3.713754638,0
3.713792746,1
3.824867978,0
3.824896504,1
3.935976188,0
3.936000570,1
4.047070864,0
4.047104030,1
4.158185422,0
4.158207670,1
4.269290376,0
4.269311684,1
4.380385736,0
4.380415276,1
4.491489680,0
4.491519224,1
4.602604010,0
4.602622868,1
4.713696880,0
4.713726812,1
4.824807094,0
4.824830670,1
4.935911202,0
4.935934244,1
5.047008064,0
5.047038006,1
5.158114286,0
5.158141784,1
5.269216866,0
5.269245308,1
5.380314350,0
5.380349370,1
5.491425112,0
5.491452948,1
5.602520764,0
5.602556552,1
5.713630842,0
5.713660304,1
5.824741984,0
5.824764582,1
5.935834494,0
5.935868256,1
6.046945656,0
6.046971916,1
6.158034368,0
6.158075776,1
6.269146908,0
6.269179418,1
6.380256370,0
6.380283190,1
6.491356832,0
6.491386858,1
6.602461210,0
6.602490390,1
6.713559100,0
6.713594472,1
6.824665752,0
6.824698240,1
6.935776934,0
6.935802104,1
7.046879154,0
7.046905694,1
7.157975406,0
7.158009252,1
7.269078386,0
7.269113354,1
7.380192654,0
7.380216926,1
7.491285198,0
7.491320784,1
7.602400906,0
7.602424486,1
7.713492786,0
7.713528226,1
7.824592590,0
7.824632014,1
7.935707116,0
7.935735928,1
8.046817070,0
8.046839668,1
8.157914300,0
8.157943376,1
8.269017838,0
8.269047008,1
8.380112732,0
8.380150738,1
8.491229890,0
8.491254666,1
8.602318498,0
8.602358268,1
8.713437438,0
8.713462138,1
8.824536632,0
8.824565796,1
8.935637160,0
8.935669668,1
9.046744630,0
9.046773448,1
9.157852640,0
9.157877196,1
9.268941040,0
9.268980798,1
9.380046652,0
9.380084718,1
9.491153300,0
9.491188436,1
9.602267408,0
9.602292438,1
9.713373600,0
9.713395928,1
9.824470670,0
9.824499546,1
9.935572850,0
9.935603386,1
10.046685658,0
10.046707276,1
10.157786848,0
10.157811114,1
10.268881426,0
10.268914896,1
10.379996138,0
10.380018426,1
10.491093866,0
10.491122042,1
10.602191374,0
10.602225884,1
10.713292406,0
10.713329794,1
10.824401332,0
10.824433800,1
