Time [s],Sheep1
0.000000000,1
0.005712526,0
0.005749314,1
0.116815764,0
0.116853460,1
0.227918998,0
0.227957086,1
0.339019918,0
0.339060606,1
0.450128032,0
0.450164692,1
0.561227150,0
0.561268196,1
0.672333856,0
0.672371956,1
0.783434532,0
0.783475672,1
0.894538652,0
0.894579796,1
1.005645286,0
1.005683496,1
1.116745732,0
1.116787122,1
1.227848848,0
1.227891106,1
1.338955424,0
1.338995096,1
1.450056332,0
1.450098580,1
1.561162360,0
1.561202184,1
1.672265614,0
1.672306012,1
1.783371722,0
1.783410088,1
1.894476954,0
1.894513720,1
2.005580030,0
2.005617480,1
2.116680364,0
2.116720994,1
2.227789722,0
2.227824786,1
2.338886228,0
2.338928604,1
2.449990980,0
2.450032710,1
2.561098794,0
2.561136232,1
2.672202860,0
2.672240310,1
2.783303242,0
2.783343614,1
2.894405706,0
2.894447724,1
3.005511092,0
3.005551442,1
3.116614696,0
3.116655176,1
3.227717690,0
3.227759016,1
3.338824474,0
3.338862642,1
3.449923678,0
3.449966676,1
3.561030422,0
3.561070408,1
3.672134244,0
3.672173852,1
3.783239780,0
3.783277746,1
3.894340502,0
3.894381676,1
4.005443764,0
4.005485332,1
4.116546836,0
4.116588916,1
4.227654040,0
4.227693114,1
4.338761192,0
4.338796680,1
4.449859092,0
4.449900492,1
4.560962206,0
4.561004262,1
4.672069478,0
4.672108458,1
4.783169900,0
4.783211590,1
4.894274554,0
4.894315508,1
5.005382166,0
5.005419182,1
5.116483356,0
5.116523106,1
5.227589306,0
5.227626914,1
5.338691108,0
5.338730808,1
5.449795912,0
5.449834458,1
5.560900440,0
5.560938378,1
5.672000644,0
5.672042232,1
5.783105022,0
5.783145972,1
5.894207604,0
5.894249352,1
6.005313734,0
6.005353606,1
6.116414996,0
6.116457096,1
6.227520968,0
6.227560704,1
6.338623998,0
6.338664426,1
6.449730100,0
6.449768636,1
6.560831900,0
6.560872214,1
6.671934930,0
6.671976038,1
6.783039288,0
6.783079708,1
