Time [s],Sheep1
0.000000000,1
0.056584262,0
0.056624372,1
0.167685934,0
0.167728262,1
0.278795980,0
0.278832118,1
0.389894460,0
0.389935880,1
0.500998916,0
0.501039592,1
0.612102908,0
0.612143336,1
0.723207852,0
0.723247020,1
0.834310014,0
0.834350850,1
0.945412968,0
0.945454746,1
1.056517538,0
1.056558498,1
1.167623132,0
1.167662128,1
1.278725234,0
1.278765872,1
1.389828404,0
1.389869674,1
1.500934320,0
1.500973684,1
1.612039380,0
1.612077470,1
1.723139480,0
1.723180840,1
1.834243422,0
1.834284830,1
1.945351916,0
1.945388634,1
2.056454018,0
2.056492416,1
2.167556370,0
2.167596304,1
2.278658510,0
2.278699928,1
2.389765562,0
2.389803888,1
2.500865720,0
2.500907676,1
2.611974692,0
2.612011460,1
2.723073890,0
2.723114990,1
2.834176260,0
2.834218628,1
2.945280514,0
2.945322640,1
3.056385070,0
3.056426490,1
3.167490764,0
3.167530268,1
3.278595110,0
3.278633880,1
3.389696450,0
3.389737580,1
3.500799760,0
3.500841258,1
3.611905320,0
3.611945330,1
3.723007688,0
3.723049048,1
3.834113930,0
3.834152776,1
3.945217066,0
3.945256466,1
4.056318436,0
4.056360056,1
4.167423488,0
4.167463862,1
4.278527534,0
4.278568044,1
4.389631232,0
4.389671632,1
4.500734512,0
4.500775346,1
4.611839748,0
4.611879128,1
4.722943618,0
4.722982716,1
4.834045116,0
4.834086742,1
4.945153726,0
4.945190552,1
5.056259200,0
5.056294400,1
5.167360326,0
5.167398024,1
5.278465388,0
5.278501766,1
5.389562884,0
5.389605362,1
5.500671938,0
5.500709406,1
5.611771820,0
5.611812836,1
5.722876634,0
5.722916694,1
5.833979502,0
5.834020548,1
5.945085676,0
5.945124448,1
6.056188736,0
6.056228414,1
6.167292214,0
6.167332118,1
6.278399250,0
6.278435958,1
6.389500114,0
6.389539164,1
6.500600290,0
6.500643196,1
6.611707274,0
6.611746976,1
6.722809770,0
6.722850522,1
6.833918688,0
6.833954474,1
6.945019572,0
6.945058344,1
7.056127608,0
7.056162268,1
7.167226158,0
7.167265702,1
7.278328932,0
7.278369600,1
7.389431536,0
7.389473296,1
7.500535772,0
7.500577168,1
7.611640018,0
7.611680996,1
7.722744860,0
7.722784540,1
7.833846066,0
7.833888384,1
7.944950852,0
7.944992120,1
8.056056918,0
8.056095716,1
8.167157800,0
8.167199808,1
8.278262096,0
8.278303444,1
8.389365020,0
8.389407048,1
8.500468842,0
8.500510820,1
8.611574708,0
8.611614768,1
8.722678382,0
8.722718780,1
8.833782088,0
8.833822162,1
8.944886380,0
8.944925938,1
9.055988024,0
9.056029664,1
9.167097218,0
9.167133774,1
9.278197072,0
9.278237350,1
9.389299304,0
9.389341234,1
9.500404020,0
9.500444844,1
9.611506484,0
9.611548502,1
9.722609206,0
9.722652324,1
9.833717250,0
9.833756296,1
9.944819532,0
9.944859700,1
10.055921994,0
10.055963594,1
10.167027430,0
10.167067514,1
10.278128822,0
10.278171260,1
10.389238324,0
10.389275004,1
10.500337346,0
10.500378752,1
10.611441570,0
10.611482558,1
10.722544970,0
10.722586290,1
10.833648314,0
10.833689980,1
10.944754206,0
10.944793936,1
11.055858430,0
11.055897458,1
11.166961632,0
11.167001258,1
11.278065812,0
11.278105112,1
11.389167894,0
11.389208624,1
11.500273878,0
11.500312884,1
11.611375890,0
11.611416468,1
11.722479860,0
11.722519920,1
11.833582362,0
11.833623888,1
11.944688892,0
11.944727672,1
12.055788546,0
12.055831404,1
12.166899358,0
12.166935094,1
12.277998488,0
12.278038888,1
12.389105230,0
12.389142728,1
12.500205992,0
12.500246368,1
12.611308814,0
12.611350442,1
12.722412094,0
12.722454252,1
12.833518376,0
12.833557800,1
12.944622384,0
12.944661434,1
13.055723486,0
13.055765454,1
13.166828458,0
13.166869142,1
13.277936838,0
13.277972656,1
13.389036466,0
13.389076516,1
13.500139198,0
13.500180424,1
13.611246248,0
13.611284038,1
13.722346338,0
13.722388028,1
13.833452500,0
13.833491576,1
13.944553582,0
13.944595338,1
14.055658608,0
14.055699028,1
14.166763830,0
14.166802866,1
14.277866130,0
14.277906948,1
14.388968488,0
14.389010238,1
14.500074950,0
14.500114056,1
14.611178428,0
14.611217838,1
14.722282088,0
14.722321608,1
14.833383798,0
14.833425574,1
14.944489736,0
14.944529446,1
15.055591516,0
15.055633056,1
15.166695938,0
15.166736812,1
15.277798118,0
15.277840474,1
15.388903454,0
15.388944472,1
15.500006934,0
15.500047860,1
15.611109896,0
15.611151612,1
15.722216212,0
15.722255320,1
15.833317060,0
15.833359138,1
15.944427330,0
15.944463370,1
16.055525616,0
16.055567098,1
16.166628906,0
16.166670704,1
16.277732128,0
16.277774174,1
16.388836822,0
16.388878114,1
16.499940272,0
16.499982170,1
16.611043904,0
16.611085630,1
16.722148238,0
16.722189318,1
16.833250976,0
16.833292974,1
16.944355468,0
16.944397146,1
17.055459272,0
17.055500892,1
17.166563322,0
17.166604288,1
17.277665982,0
17.277708038,1
17.388773550,0
17.388811966,1
17.499874898,0
17.499915472,1
17.610978524,0
17.611019552,1
17.722083882,0
17.722123180,1
17.833190858,0
17.833226996,1
17.944291754,0
17.944330776,1
18.055393032,0
18.055434564,1
18.166500540,0
18.166538278,1
18.277600890,0
18.277642068,1
18.388705876,0
18.388745696,1
18.499808794,0
18.499849580,1
18.610912862,0
18.610953540,1
18.722018910,0
18.722057086,1
18.833123444,0
18.833160852,1
18.944223534,0
18.944264592,1
19.055326090,0
19.055368128,1
19.166429834,0
19.166472112,1
19.277534434,0
19.277575972,1
19.388640770,0
19.388679538,1
19.499742026,0
19.499783432,1
19.610850494,0
19.610886912,1
19.721949858,0
19.721991128,1
19.833056804,0
19.833094662,1
19.944161734,0
19.944198450,1
20.055267226,0
20.055302316,1
20.166364404,0
20.166405992,1
20.277467714,0
20.277509750,1
20.388573076,0
20.388613346,1
20.499675122,0
20.499717040,1
20.610781618,0
20.610820998,1
20.721883684,0
20.721924714,1
20.832987492,0
20.833028338,1
20.944092098,0
20.944132446,1
21.055194412,0
21.055236002,1
21.166301118,0
21.166339536,1
21.277404202,0
21.277443304,1
21.388505470,0
21.388547150,1
21.499611228,0
21.499651092,1
21.610715220,0
21.610755042,1
21.721817536,0
21.721858296,1
21.832920402,0
21.832962138,1
21.944023780,0
21.944066096,1
22.055128822,0
22.055169942,1
22.166232088,0
22.166273514,1
22.277335576,0
22.277377202,1
22.388438530,0
22.388480938,1
22.499546952,0
22.499584750,1
22.610647910,0
22.610688698,1
22.721750504,0
22.721792244,1
22.832853758,0
22.832896136,1
22.943958186,0
22.943999602,1
23.055068078,0
23.055103798,1
23.166166496,0
23.166207530,1
23.277270668,0
