Time [s],Sheep1
0.000000000,1
0.082457406,0
0.082471102,1
0.193562660,0
0.193575002,1
0.304666700,0
0.304678658,1
0.415768908,0
0.415782214,1
0.526871544,0
0.526886376,1
0.637976220,0
0.637990240,1
0.749079930,0
0.749093816,1
0.860183096,0
0.860197386,1
0.971290742,0
0.971301382,1
1.082391640,0
1.082405268,1
1.193493836,0
1.193508948,1
1.304601264,0
1.304612852,1
1.415702800,0
1.415716208,1
1.526804766,0
1.526820146,1
1.637912062,0
1.637923950,1
1.749015956,0
1.749027986,1
1.860117042,0
1.860131554,1
1.971220836,0
1.971235178,1
2.082325214,0
2.082339372,1
2.193429906,0
2.193442850,1
2.304532482,0
2.304546512,1
2.415638756,0
2.415650466,1
2.526740470,0
2.526754424,1
2.637849286,0
2.637858036,1
2.748949550,0
2.748961570,1
2.860051554,0
2.860065508,1
2.971154808,0
2.971169140,1
3.082263164,0
3.082272900,1
3.193366928,0
3.193376818,1
3.304472550,0
3.304480590,1
3.415570666,0
3.415584322,1
3.526673658,0
3.526688198,1
3.637777788,0
3.637791810,1
3.748881774,0
3.748895782,1
3.859984626,0
3.859999296,1
3.971088476,0
3.971103426,1
4.082192672,0
4.082207008,1
4.193299222,0
4.193310864,1
4.304400324,0
4.304414664,1
4.415506696,0
4.415518384,1
4.526607858,0
4.526622240,1
4.637716248,0
4.637725650,1
4.748815744,0
4.748829890,1
4.859920702,0
4.859933704,1
4.971026794,0
4.971037114,1
5.082127008,0
5.082141004,1
5.193230468,0
5.193244738,1
5.304335098,0
5.304348498,1
5.415437940,0
5.415452328,1
5.526544760,0
5.526556130,1
5.637645498,0
5.637659860,1
5.748751770,0
5.748763488,1
5.859859070,0
5.859867492,1
5.970958062,0
5.970971080,1
6.082064390,0
6.082074788,1
6.193167592,0
6.193178882,1
6.304267930,0
6.304282270,1
6.415375278,0
6.415386330,1
6.526476070,0
6.526490042,1
6.637581612,0
6.637593928,1
6.748683790,0
6.748697498,1
6.859790900,0
6.859801178,1
6.970894536,0
6.970904856,1
7.081998366,0
7.082008744,1
7.193100884,0
7.193112886,1
7.304202614,0
7.304216562,1
7.415306314,0
7.415319990,1
7.526411870,0
7.526423932,1
7.637516290,0
7.637527678,1
7.748618688,0
7.748631666,1
7.859723416,0
7.859735326,1
7.970824752,0
7.970838794,1
8.081930840,0
8.081942880,1
8.193031790,0
8.193046440,1
8.304136096,0
8.304150106,1
8.415240376,0
8.415254322,1
8.526343452,0
8.526357814,1
8.637452078,0
8.637461458,1
8.748551658,0
8.748565224,1
8.859655512,0
8.859669434,1
8.970758138,0
8.970772720,1
9.081862828,0
9.081876536,1
9.192966912,0
9.192980276,1
9.304076872,0
9.304084200,1
9.415174828,0
9.415187814,1
9.526284052,0
9.526291774,1
9.637381258,0
9.637395600,1
9.748485018,0
9.748499344,1
9.859595180,0
9.859602944,1
9.970696208,0
9.970706868,1
10.081796546,0
10.081810744,1
10.192901388,0
10.192914442,1
10.304004956,0
10.304018006,1
10.415108562,0
10.415121920,1
10.526211228,0
10.526225638,1
10.637317184,0
10.637329522,1
10.748418910,0
10.748433246,1
10.859522594,0
10.859536834,1
10.970626356,0
10.970640598,1
11.081730734,0
11.081744712,1
11.192834138,0
11.192848150,1
11.303937752,0
11.303952112,1
