Time [s],Pru11
0.000000000,1
0.047840572,0
0.047873166,1
0.147838056,0
0.147870610,1
0.247835226,0
0.247868108,1
0.347830410,0
0.347865558,1
0.447825700,0
0.447863014,1
0.547827696,0
0.547860496,1
0.647825392,0
0.647857978,1
0.747818402,0
0.747855444,1
0.847815268,0
0.847852934,1
0.947818230,0
0.947850376,1
1.047815352,0
1.047847850,1
1.147812544,0
1.147845346,1
1.247805154,0
1.247842828,1
1.347803674,0
1.347840284,1
1.447805012,0
1.447837766,1
1.547802492,0
1.547835256,1
1.647794766,0
1.647832712,1
1.747794774,0
1.747830226,1
1.847790424,0
1.847827682,1
1.947792720,0
1.947825138,1
2.047789978,0
2.047822612,1
2.147787242,0
2.147820132,1
2.247779922,0
2.247817588,1
2.347776242,0
2.347815060,1
2.447780122,0
2.447812532,1
2.547777426,0
2.547810020,1
2.647774898,0
2.647807532,1
2.747771466,0
2.747804964,1
2.847767570,0
2.847802460,1
2.947767090,0
2.947799964,1
3.047764770,0
3.047797452,1
3.147756002,0
3.147794908,1
3.247759784,0
3.247792418,1
3.347752096,0
3.347789874,1
3.447753728,0
3.447787362,1
3.547752334,0
3.547784840,1
3.647749742,0
3.647782336,1
3.747742108,0
3.747779822,1
3.847739674,0
3.847777300,1
3.947740570,0
3.947774804,1
4.047739656,0
4.047772298,1
4.147736950,0
4.147769752,1
4.247729548,0
4.247767262,1
4.347732164,0
4.347764750,1
4.447727242,0
4.447762228,1
4.547726952,0
4.547759714,1
4.647724358,0
4.647757200,1
4.747722324,0
4.747754718,1
4.847719586,0
4.847752172,1
4.947713848,0
4.947749658,1
5.047714454,0
5.047747182,1
5.147712058,0
5.147744652,1
5.247709120,0
5.247742162,1
5.347706846,0
5.347739648,1
5.447700706,0
5.447737116,1
5.547701856,0
5.547734618,1
5.647699310,0
5.647732112,1
5.747696962,0
5.747729596,1
5.847693400,0
5.847727114,1
5.947687316,0
5.947724614,1
6.047689386,0
6.047722108,1
6.147686966,0
6.147719600,1
6.247684196,0
6.247717078,1
6.347678312,0
6.347714594,1
6.447674214,0
6.447712096,1
6.547677002,0
6.547709596,1
6.647674206,0
6.647707096,1
6.747670148,0
6.747704590,1
6.847669536,0
6.847702090,1
6.947666988,0
6.947699574,1
7.047664352,0
7.047697074,1
7.147661788,0
7.147694592,1
7.247657866,0
7.247692084,1
7.347657006,0
7.347689592,1
7.447653522,0
7.447687068,1
7.547651150,0
7.547684584,1
7.647649242,0
7.647682082,1
7.747642180,0
7.747679606,1
7.847639296,0
7.847677082,1
7.947637844,0
7.947674582,1
8.047637992,0
8.047672210,1
8.147636804,0
8.147669606,1
8.247629110,0
8.247667120,1
8.347631842,0
8.347664596,1
8.447628886,0
8.447662120,1
8.547624984,0
8.547659634,1
8.647624556,0
8.647657150,1
8.747622296,0
8.747654656,1
8.847615898,0
8.847652164,1
8.947617022,0
8.947649680,1
9.047611648,0
9.047647170,1
9.147614060,0
9.147644660,1
9.247609358,0
9.247642208,1
9.347606818,0
9.347639698,1
9.447604308,0
9.447637230,1
9.547598574,0
9.547634736,1
9.647599410,0
9.647632260,1
9.747596876,0
9.747629758,1
9.847589798,0
9.847627240,1
9.947594978,0
9.947624756,1
10.047585356,0
10.047622270,1
10.147586974,0
10.147619816,1
10.247584664,0
10.247617338,1
10.347582204,0
10.347614836,1
10.447579470,0
10.447612352,1
10.547572208,0
10.547609850,1
10.647574490,0
10.647607380,1
10.747570388,0
10.747604886,1
10.847569206,0
10.847602408,1
10.947566944,0
10.947599938,1
11.047564834,0
11.047597460,1
11.147562476,0
11.147594974,1
11.247558254,0
11.247592504,1
11.347557424,0
11.347590010,1
11.447549680,0
11.447587546,1
11.547552442,0
11.547585036,1
11.647549468,0
11.647582574,1
11.747547252,0
11.747580094,1
11.847540950,0
11.847577592,1
11.947536200,0
11.947575114,1
12.047536736,0
12.047572650,1
12.147536290,0
12.147570164,1
12.247534834,0
12.247567724,1
12.347532332,0
12.347565214,1
12.447529092,0
12.447562766,1
12.547527654,0
12.547560280,1
12.647523182,0
12.647557824,1
12.747522886,0
12.747555328,1
12.847520216,0
12.847552850,1
12.947514544,0
12.947550362,1
13.047510368,0
13.047547898,1
13.147510192,0
13.147545426,1
13.247510098,0
13.247542948,1
13.347507562,0
13.347540492,1
13.447505098,0
13.447538028,1
13.547502684,0
13.547535572,1
13.647497108,0
13.647533078,1
13.747497980,0
13.747530614,1
13.847495492,0
13.847528126,1
13.947488340,0
13.947525670,1
14.047492460,0
14.047523206,1
14.147484060,0
14.147520744,1
14.247492542,0
14.247518270,1
14.347483334,0
14.347515814,1
14.447480428,0
14.447513318,1
14.547477972,0
14.547510862,1
14.647470956,0
14.647508382,1
14.747471356,0
14.747505958,1
14.847470588,0
14.847503470,1
14.947468300,0
14.947501014,1
15.047465764,0
15.047498558,1
15.147457170,0
15.147496092,1
15.247461026,0
15.247493620,1
15.347458522,0
15.347491156,1
15.447456018,0
15.447488692,1
15.547453296,0
15.547486218,1
15.647451128,0
15.647483754,1
15.747443848,0
15.747481314,1
15.847441150,0
15.847478842,1
15.947443486,0
15.947476400,1
16.047441262,0
16.047473936,1
16.147438772,0
16.147471486,1
16.247431244,0
16.247468998,1
16.347433234,0
16.347466572,1
16.447430832,0
16.447464092,1
16.547428760,0
16.547461650,1
16.647426518,0
16.647459192,1
16.747422550,0
16.747456720,1
16.847421700,0
16.847454294,1
16.947419404,0
16.947451822,1
17.047416698,0
17.047449372,1
17.147414144,0
17.147446906,1
17.247409494,0
17.247444456,1
17.347404910,0
17.347441992,1
17.447406660,0
17.447439550,1
17.547404188,0
17.547437118,1
17.647400490,0
17.647434660,1
17.747396432,0
17.747432194,1
17.847396048,0
17.847429754,1
17.947394694,0
17.947427280,1
18.047387764,0
18.047424822,1
18.147391730,0
18.147422380,1
18.247383560,0
18.247419954,1
18.347384600,0
18.347417482,1
18.447382110,0
18.447415040,1
18.547379684,0
18.547412606,1
18.647377210,0
18.647410180,1
18.747370576,0
18.747407722,1
18.847372334,0
18.847405256,1
18.947369516,0
18.947402814,1
19.047367714,0
19.047400396,1
19.147365328,0
19.147397906,1
19.247357646,0
19.247395480,1
19.347359684,0
19.347393030,1
19.447363724,0
19.447390604,1
19.547355272,0
19.547388162,1
19.647352766,0
19.647385736,1
19.747350636,0
19.747383262,1
19.847348100,0
19.847380836,1
19.947345698,0
19.947378370,1
20.047343496,0
20.047375960,1
20.147339628,0
20.147373494,1
20.247335642,0
20.247371068,1
20.347335264,0
20.347368658,1
20.447332862,0
20.447366208,1
20.547331108,0
20.547363742,1
20.647328376,0
20.647361306,1
20.747323774,0
20.747358904,1
20.847322308,0
20.847356446,1
20.947321258,0
20.947354020,1
21.047318736,0
21.047351578,1
21.147313716,0
21.147349150,1
21.247309642,0
21.247346724,1
21.347309432,0
21.347344274,1
21.447307212,0
21.447341846,1
21.547306786,0
21.547339420,1
21.647304064,0
21.647336986,1
21.747301846,0
21.747334520,1
21.847296642,0
21.847332108,1
21.947296760,0
21.947329690,1
22.047294374,0
22.047327224,1
22.147287802,0
22.147324820,1
22.247287152,0
22.247322378,1
22.347283612,0
22.347319960,1
22.447284618,0
22.447317548,1
22.547282152,0
22.547315080,1
22.647279692,0
22.647312662,1
22.747275536,0
22.747310250,1
22.847271158,0
22.847307816,1
22.947271362,0
22.947305388,1
23.047270296,0
23.047302970,1
23.147267260,0
23.147300518,1
23.247262064,0
23.247298130,1
23.347258198,0
23.347295696,1
23.447260346,0
23.447293276,1
23.547257912,0
23.547290834,1
23.647255468,0
23.647288398,1
23.747252992,0
23.747286010,1
23.847250830,0
23.847283592,1
23.947248626,0
23.947281124,1
24.047246070,0
24.047278752,1
24.147243596,0
24.147276310,1
24.247235184,0
24.247273898,1
24.347236340,0
24.347271486,1
24.447236048,0
24.447269058,1
24.547233708,0
24.547266638,1
24.647231226,0
24.647264196,1
24.747226798,0
24.747261824,1
24.847223346,0
24.847259364,1
24.947223054,0
24.947256952,1
25.047221868,0
25.047254550,1
25.147219144,0
25.147252114,1
25.247214564,0
25.247249718,1
25.347214600,0
25.347247274,1
25.447210340,0
25.447244878,1
25.547209552,0
25.547242482,1
25.647207340,0
25.647240062,1
25.747204920,0
25.747237634,1
25.847202236,0
25.847235206,1
25.947197552,0
25.947232810,1
26.047197564,0
26.047230406,1
26.147195016,0
26.147227986,1
26.247188932,0
26.247225574,1
26.347184976,0
26.347223170,1
26.447184756,0
26.447220766,1
26.547185696,0
26.547218328,1
26.647183210,0
26.647215924,1
26.747178654,0
26.747213536,1
26.847178394,0
26.847211108,1
26.947172022,0
26.947208712,1
27.047173794,0
27.047206324,1
27.147170948,0
27.147203878,1
27.247163432,0
27.247201506,1
27.347165196,0
27.347199086,1
27.447159280,0
27.447196682,1
27.547161372,0
27.547194294,1
27.647158886,0
27.647191856,1
27.747152370,0
27.747189476,1
27.847154350,0
27.847187064,1
27.947145840,0
27.947184666,1
28.047149796,0
28.047182262,1
28.147147128,0
28.147179850,1
28.247144714,0
28.247177436,1
28.347141590,0
28.347175048,1
28.447139352,0
28.447172658,1
28.547137196,0
28.547170230,1
28.647134928,0
28.647167858,1
28.747132706,0
28.747165444,1
28.847130094,0
28.847163064,1
28.947127824,0
28.947160626,1
29.047124460,0
29.047158254,1
29.147123166,0
29.147155840,1
29.247117722,0
29.247153460,1
29.347116196,0
29.347151046,1
29.447112264,0
29.447148674,1
29.547111954,0
29.547146284,1
29.647113494,0
29.647143886,1
29.747108504,0
29.747141474,1
29.847106250,0
29.847139092,1
29.947103862,0
29.947136704,1
30.047099192,0
30.047134314,1
30.147098932,0
30.147131902,1
30.247090966,0
30.247129616,1
30.347090736,0
30.347127122,1
30.447086716,0
30.447124750,1
30.547086566,0
30.547122480,1
30.647086976,0
30.647119946,1
30.747080284,0
30.747117582,1
30.847077302,0
30.847115184,1
30.947079888,0
30.947112770,1
31.047074084,0
31.047110398,1
31.147075134,0
31.147108016,1
31.247067816,0
31.247105610,1
31.347065308,0
31.347103230,1
31.447067878,0
31.447100848,1
31.547061216,0
31.547098450,1
31.647060842,0
31.647096100,1
31.747060894,0
31.747093696,1
31.847058880,0
31.847091322,1
31.947056386,0
31.947088932,1
32.047048724,0
32.047086558,1
32.147051488,0
32.147084160,1
32.247048802,0
32.247081772,1
32.347046828,0
32.347079430,1
32.447040326,0
