Time [s],Pru11
0.000000000,1
0.022345530,0
0.022361652,1
0.122346312,0
0.122361138,1
0.222345742,0
0.222360568,1
0.322343052,0
0.322360052,1
0.422341378,0
0.422359506,1
0.522342094,0
0.522359000,1
0.622343628,0
0.622358454,1
0.722339922,0
0.722357938,1
0.822340366,0
0.822357376,1
0.922342060,0
0.922356844,1
1.022339336,0
1.022356322,1
1.122341038,0
1.122355782,1
1.222340666,0
1.222355276,1
1.322336606,0
1.322354728,1
1.422339532,0
1.422354188,1
1.522336000,0
1.522353656,1
1.622338388,0
1.622353124,1
1.722336248,0
1.722352584,1
1.822336708,0
1.822352076,1
1.922336776,0
1.922351552,1
2.022332282,0
2.022351004,1
2.122334246,0
2.122350456,1
2.222331762,0
2.222349938,1
2.322330364,0
2.322349430,1
2.422334464,0
2.422348864,1
2.522331050,0
2.522348332,1
2.622333286,0
2.622347838,1
2.722328232,0
2.722347288,1
2.822332226,0
2.822346756,1
2.922331700,0
2.922346230,1
3.022326696,0
3.022345704,1
3.122330098,0
3.122345164,1
3.222329868,0
3.222344606,1
3.322328022,0
3.322344080,1
3.422327888,0
3.422343546,1
3.522324138,0
3.522343052,1
3.622327044,0
3.622342478,1
3.722325286,0
3.722341984,1
3.822326664,0
3.822341450,1
3.922326098,0
3.922340924,1
4.022325572,0
4.022340396,1
4.122323724,0
4.122339838,1
4.222324534,0
4.222339320,1
4.322320984,0
4.322338800,1
4.422321408,0
4.422338242,1
4.522319682,0
4.522337714,1
4.622318178,0
4.622337172,1
4.722322076,0
4.722336644,1
4.822320892,0
4.822336124,1
4.922321068,0
4.922335598,1
5.022320420,0
5.022335078,1
5.122317556,0
5.122334550,1
5.222319470,0
5.222333990,1
5.322318934,0
5.322333462,1
5.422314950,0
5.422332950,1
5.522314430,0
5.522332398,1
5.622314454,0
5.622331862,1
5.722316582,0
5.722331366,1
5.822316030,0
5.822330814,1
5.922312436,0
5.922330286,1
6.022314940,0
6.022329766,1
6.122311148,0
6.122329222,1
6.222312628,0
6.222328700,1
6.322313418,0
6.322328156,1
6.422313210,0
6.422327620,1
6.522312496,0
6.522327106,1
6.622309400,0
6.622326568,1
6.722311750,0
6.722326056,1
6.822308382,0
6.822325534,1
6.922308788,0
6.922324998,1
7.022309674,0
7.022324460,1
7.122306234,0
7.122323898,1
7.222306392,0
7.222323384,1
7.322308246,0
7.322322856,1
7.422307636,0
7.422322334,1
7.522307194,0
7.522321820,1
7.622303088,0
7.622321258,1
7.722305822,0
7.722320752,1
7.822305412,0
7.822320198,1
7.922304834,0
7.922319668,1
8.022305104,0
8.022319146,1
8.122302254,0
8.122318600,1
8.222302212,0
8.222318068,1
8.322302768,0
8.322317546,1
8.422299814,0
8.422317056,1
8.522299892,0
8.522316508,1
8.622298160,0
8.622315994,1
8.722299342,0
8.722315430,1
8.822299722,0
8.822314924,1
8.922299600,0
8.922314384,1
9.022299252,0
9.022313870,1
9.122298490,0
9.122313314,1
9.222296030,0
9.222312816,1
9.322297754,0
9.322312284,1
9.422292694,0
9.422311744,1
9.522293396,0
9.522311220,1
9.622295792,0
9.622310690,1
9.722292884,0
9.722310134,1
9.822294384,0
9.822309650,1
9.922295582,0
9.922309102,1
10.022293898,0
10.022308562,1
10.122294766,0
10.122308046,1
10.222289890,0
10.222307522,1
10.322289902,0
10.322306984,1
10.422292122,0
10.422306452,1
10.522291982,0
10.522305904,1
10.622290842,0
10.622305404,1
10.722286046,0
10.722304856,1
10.822289850,0
10.822304338,1
10.922288966,0
10.922303830,1
11.022284240,0
11.022303298,1
11.122288004,0
11.122302742,1
11.222285024,0
11.222302242,1
11.322284356,0
11.322301694,1
11.422286976,0
11.422301184,1
11.522287466,0
11.522300652,1
11.622284790,0
11.622300104,1
11.722281616,0
11.722299594,1
11.822283884,0
11.822299078,1
11.922280584,0
11.922298528,1
12.022281050,0
12.022298028,1
12.122282678,0
12.122297462,1
12.222282128,0
12.222296954,1
12.322278602,0
12.322296420,1
12.422281390,0
12.422295886,1
12.522280544,0
12.522295370,1
12.622278202,0
12.622294860,1
12.722279758,0
12.722294326,1
12.822277608,0
12.822293810,1
12.922278922,0
12.922293260,1
13.022275628,0
13.022292750,1
13.122277406,0
13.122292232,1
13.222274128,0
13.222291816,1
13.322273202,0
13.322291170,1
13.422275970,0
13.422290644,1
13.522272164,0
13.522290102,1
