Time [s],Pru11
0.000000000,1
0.074646308,0
0.074659316,1
0.174648494,0
0.174659142,1
0.274645912,0
0.274658976,1
0.374646632,0
0.374658850,1
0.474647500,0
0.474658652,1
0.574644980,0
0.574658526,1
0.674645918,0
0.674658376,1
0.774652808,0
0.774658186,1
0.874648186,0
0.874658052,1
0.974647940,0
0.974657892,1
1.074647798,0
1.074657750,1
1.174646166,0
1.174657576,1
1.274647504,0
1.274657416,1
1.374647256,0
1.374657250,1
1.474644826,0
1.474657122,1
1.574646034,0
1.574656956,1
1.674644996,0
1.674656780,1
1.774646348,0
1.774656636,1
1.874644900,0
1.874656462,1
1.974645612,0
1.974656294,1
2.074646004,0
2.074656166,1
2.174643980,0
2.174656014,1
2.274645702,0
2.274655822,1
2.374645500,0
2.374655702,1
2.474642564,0
2.474655534,1
2.574647388,0
2.574655366,1
2.674642644,0
2.674655228,1
2.774642106,0
2.774655052,1
2.874642890,0
2.874654908,1
2.974644770,0
2.974654722,1
3.074640832,0
3.074654578,1
3.174641248,0
3.174654424,1
3.274644078,0
3.274654240,1
3.374643908,0
3.374654118,1
3.474643708,0
3.474653956,1
3.574643394,0
3.574653794,1
3.674641144,0
3.674653602,1
3.774643518,0
3.774653456,1
3.874643110,0
3.874653310,1
3.974643196,0
3.974653148,1
4.074642026,0
4.074652994,1
4.174639904,0
4.174652816,1
4.274642294,0
4.274652654,1
4.374641060,0
4.374652492,1
4.474641794,0
4.474652338,1
4.574642376,0
4.574652200,1
4.674638108,0
4.674652046,1
4.774641266,0
4.774651884,1
4.874639960,0
4.874651712,1
4.974641644,0
4.974651558,1
5.074641218,0
5.074651380,1
5.174641312,0
5.174651216,1
5.274638340,0
5.274651094,1
5.374639106,0
5.374650922,1
5.474640590,0
5.474650752,1
5.574637396,0
5.574650588,1
5.674638344,0
5.674650458,1
5.774638524,0
5.774650270,1
5.874639986,0
5.874650106,1
5.974639894,0
5.974649974,1
6.074639802,0
6.074649804,1
6.174639662,0
6.174649656,1
6.274637314,0
6.274649484,1
6.374639206,0
6.374649328,1
6.474639306,0
6.474649180,1
6.574634990,0
6.574649032,1
6.674638684,0
6.674648844,1
6.774636032,0
6.774648704,1
6.874636130,0
6.874648540,1
6.974638382,0
6.974648384,1
7.074637658,0
7.074648196,1
7.174638126,0
7.174648030,1
7.274634834,0
7.274647882,1
7.374634868,0
7.374647742,1
7.474637392,0
7.474647552,1
7.574637220,0
7.574647428,1
7.674637310,0
7.674647256,1
7.774634778,0
7.774647114,1
7.874635188,0
7.874646934,1
7.974633558,0
7.974646776,1
8.074633514,0
8.074646634,1
8.174634300,0
8.174646478,1
8.274633552,0
8.274646304,1
8.374635602,0
8.374646130,1
8.474635804,0
8.474645966,1
8.574635614,0
8.574645816,1
8.674634770,0
8.674645674,1
8.774632276,0
8.774645492,1
8.874634694,0
8.874645342,1
8.974635256,0
8.974645160,1
9.074631490,0
9.074645026,1
9.174634940,0
9.174644844,1
9.274634510,0
9.274644718,1
9.374632272,0
9.374644552,1
9.474634104,0
9.474644370,1
9.574634482,0
9.574644220,1
9.674632236,0
9.674644062,1
9.774631062,0
9.774643910,1
9.874632336,0
9.874643744,1
9.974630776,0
9.974643578,1
10.074633274,0
10.074643436,1
10.174633068,0
10.174643268,1
10.274630630,0
10.274643118,1
10.374630910,0
10.374642944,1
10.474632616,0
10.474642778,1
10.574629626,0
10.574642618,1
10.674629538,0
10.674642460,1
10.774632100,0
10.774642308,1
10.874629700,0
10.874642118,1
10.974632022,0
10.974641966,1
11.074632494,0
11.074641816,1
11.174631704,0
11.174641656,1
11.274631432,0
11.274641512,1
11.374628784,0
11.374641322,1
11.474631258,0
11.474641170,1
11.574627650,0
11.574641018,1
11.674630922,0
11.674640874,1
11.774630978,0
11.774640706,1
11.874626698,0
11.874640548,1
11.974630778,0
11.974640372,1
12.074630066,0
12.074640228,1
12.174629866,0
12.174640074,1
12.274629666,0
12.274639914,1
12.374627130,0
12.374639754,1
12.474629466,0
12.474639570,1
12.574629210,0
12.574639410,1
12.674629034,0
12.674639274,1
12.774626736,0
12.774639114,1
12.874625872,0
12.874638946,1
12.974628376,0
12.974638786,1
13.074625864,0
13.074638640,1
13.174626606,0
13.174638456,1
13.274628110,0
13.274638312,1
13.374627934,0
13.374638134,1
13.474626988,0
13.474637982,1
13.574625764,0
13.574637838,1
13.674627476,0
13.674637676,1
13.774625746,0
13.774637492,1
13.874624642,0
13.874637356,1
13.974625986,0
13.974637194,1
14.074623784,0
14.074637034,1
14.174626680,0
14.174636840,1
14.274626462,0
14.274636704,1
14.374622590,0
14.374636542,1
14.474624660,0
14.474636366,1
14.574626012,0
14.574636220,1
14.674626162,0
14.674636076,1
14.774623296,0
14.774635922,1
14.874629064,0
14.874635720,1
14.974623398,0
14.974635576,1
15.074623836,0
15.074635414,1
15.174625452,0
15.174635276,1
