Time [s],Pru11
0.000000000,1
0.093784512,0
0.093794512,1
0.193781126,0
0.193794134,1
0.293781716,0
0.293793766,1
0.393782594,0
0.393793396,1
0.493779514,0
0.493793050,1
0.593780120,0
0.593792696,1
0.693781294,0
0.693792342,1
0.793780180,0
0.793791980,1
0.893781826,0
0.893791610,1
0.993781280,0
0.993791232,1
1.093779718,0
1.093790894,1
1.193780604,0
1.193790508,1
1.293777898,0
1.293790154,1
1.393779864,0
1.393789776,1
1.493778900,0
1.493789422,1
1.593776234,0
1.593789084,1
1.693781384,0
1.693788696,1
1.793775596,0
1.793788318,1
1.893777242,0
1.893787986,1
1.993777670,0
1.993787624,1
2.093777244,0
2.093787236,1
2.193777072,0
2.193786898,1
2.293773404,0
2.293786534,1
2.393776194,0
2.393786146,1
2.493775854,0
2.493785806,1
2.593775410,0
2.593785452,1
2.693772486,0
2.693785072,1
2.793772298,0
2.793784708,1
2.893774560,0
2.893784336,1
2.993770812,0
2.993783980,1
3.093771240,0
3.093783600,1
3.193773292,0
3.193783244,1
3.293770102,0
3.293782904,1
3.393772106,0
3.393782508,1
3.493770886,0
3.493782174,1
3.593771834,0
3.593781786,1
3.693770572,0
3.693781438,1
3.793767176,0
3.793781064,1
3.893768850,0
3.893780708,1
3.993769582,0
3.993780366,1
4.093770136,0
4.093779978,1
4.193769700,0
4.193779604,1
4.293768214,0
4.293779256,1
4.393767808,0
4.393778890,1
4.493768642,0
4.493778516,1
4.593768182,0
4.593778174,1
4.693765944,0
4.693777824,1
4.793764424,0
4.793777434,1
4.893765554,0
4.893777092,1
4.993768884,0
4.993776694,1
5.093766398,0
5.093776358,1
5.193763456,0
5.193775968,1
5.293763842,0
5.293775634,1
5.393763282,0
5.393775244,1
5.493761684,0
5.493774894,1
5.593762286,0
5.593774510,1
5.693761294,0
5.693774176,1
5.793766584,0
5.793773808,1
5.893761456,0
5.893773426,1
5.993761666,0
5.993773082,1
6.093762738,0
6.093772692,1
6.193762356,0
6.193772348,1
6.293759980,0
6.293771982,1
6.393758564,0
6.393771622,1
6.493757230,0
6.493771270,1
6.593760982,0
6.593770896,1
6.693760526,0
6.693770520,1
6.793759078,0
6.793770184,1
6.893758958,0
6.893769784,1
6.993759888,0
6.993769456,1
7.093759192,0
7.093769064,1
7.193758736,0
7.193768696,1
7.293758552,0
7.293768336,1
7.393758208,0
7.393767992,1
7.493756352,0
7.493767600,1
7.593757254,0
7.593767248,1
7.693754310,0
7.693766880,1
7.793752534,0
7.793766510,1
7.893756420,0
7.893766318,1
7.993752844,0
7.993765796,1
8.093753652,0
8.093765444,1
8.193755130,0
8.193765084,1
8.293754314,0
8.293764698,1
8.393754416,0
8.393764330,1
8.493753080,0
8.493763992,1
8.593753632,0
8.593763624,1
8.693753254,0
8.693763246,1
8.793751172,0
8.793762878,1
8.893749650,0
8.893762532,1
8.993748682,0
8.993762146,1
9.093751848,0
9.093761802,1
9.193751454,0
9.193761448,1
9.293750062,0
9.293761062,1
9.393750700,0
9.393760708,1
9.493748498,0
9.493760332,1
9.593750216,0
9.593759962,1
9.693749606,0
9.693759600,1
9.793746588,0
9.793759262,1
9.893750098,0
9.893758892,1
9.993746272,0
9.993758530,1
10.093748262,0
10.093758174,1
10.193745428,0
10.193757788,1
10.293746034,0
10.293757418,1
10.393745072,0
10.393757072,1
10.493743846,0
10.493756726,1
10.593744426,0
10.593756324,1
10.693746032,0
10.693755984,1
10.793745646,0
10.793755598,1
10.893745370,0
10.893755260,1
10.993741040,0
10.993754888,1
11.093744852,0
11.093754510,1
11.193744170,0
11.193754162,1
11.293740462,0
11.293753784,1
11.393743500,0
11.393753444,1
11.493739728,0
11.493753080,1
11.593742892,0
11.593752710,1
11.693742378,0
11.693752330,1
11.793741150,0
11.793751990,1
11.893740682,0
11.893751628,1
11.993739566,0
11.993751232,1
12.093738642,0
12.093750900,1
12.193740558,0
12.193750512,1
12.293739914,0
12.293750156,1
12.393739822,0
12.393749816,1
12.493739474,0
12.493749428,1
12.593738406,0
12.593749064,1
12.693736442,0
12.693748716,1
12.793736982,0
12.793748328,1
12.893736210,0
12.893747964,1
12.993735142,0
12.993747624,1
13.093735538,0
13.093747236,1
13.193737166,0
13.193746912,1
13.293736778,0
13.293746514,1
13.393736350,0
13.393746158,1
13.493733888,0
13.493745794,1
13.593733716,0
13.593745454,1
13.693735080,0
13.693745080,1
13.793734924,0
13.793744708,1
13.893731894,0
13.893744352,1
13.993730778,0
13.993744002,1
14.093731460,0
14.093743622,1
14.193733320,0
14.193743264,1
14.293728858,0
14.293742890,1
14.393730812,0
14.393742510,1
14.493732286,0
14.493742152,1
14.593729040,0
14.593741802,1
14.693731476,0
14.693741428,1
14.793731070,0
14.793741062,1
14.893730832,0
14.893740714,1
14.993730762,0
14.993740364,1
15.093727012,0
15.093739966,1
15.193727544,0
15.193739640,1
15.293729690,0
15.293739252,1
15.393728900,0
