Time [s],Pru11
0.000000000,1
0.083516340,0
0.083528886,1
0.183514764,0
0.183528550,1
0.283515326,0
0.283528166,1
0.383515590,0
0.383527790,1
0.483514094,0
0.483527430,1
0.583514470,0
0.583527038,1
0.683514190,0
0.683526710,1
0.783512942,0
0.783526334,1
0.883512286,0
0.883525942,1
0.983513022,0
0.983525574,1
1.083511476,0
1.083525222,1
1.183512068,0
1.183524854,1
1.283511876,0
1.283524486,1
1.383510580,0
1.383524108,1
1.483510954,0
1.483523740,1
1.583510770,0
1.583523362,1
1.683509704,0
1.683522994,1
1.783509830,0
1.783522624,1
1.883509622,0
1.883522262,1
1.983508476,0
1.983521902,1
2.083508940,0
2.083521548,1
2.183508554,0
2.183521164,1
2.283507496,0
2.283520810,1
2.383508264,0
2.383520800,1
2.483506262,0
2.483520062,1
2.583505932,0
2.583519718,1
2.683506370,0
2.683519332,1
2.783506256,0
2.783518970,1
2.883505310,0
2.883518584,1
2.983505652,0
2.983518238,1
3.083505402,0
3.083517890,1
3.183503768,0
3.183517520,1
3.283504278,0
3.283517126,1
3.383504954,0
3.383516764,1
3.483503136,0
3.483516400,1
3.583503212,0
3.583516022,1
3.683503042,0
3.683515658,1
3.783501862,0
3.783515304,1
3.883502124,0
3.883514932,1
3.983501872,0
3.983514586,1
4.083500486,0
4.083514198,1
4.183500970,0
4.183513868,1
4.283500696,0
4.283513496,1
4.383500772,0
4.383513212,1
4.483499976,0
4.483512922,1
4.583499812,0
4.583512374,1
4.683498738,0
4.683512026,1
4.783499030,0
4.783511686,1
4.883497578,0
4.883511324,1
4.983497454,0
4.983510928,1
5.083497826,0
5.083510596,1
5.183497518,0
5.183510216,1
5.283496562,0
5.283509852,1
5.383497014,0
5.383509472,1
5.483496618,0
5.483509132,1
5.583494960,0
5.583508752,1
5.683494724,0
5.683508380,1
5.783495366,0
5.783508024,1
5.883493954,0
5.883507700,1
5.983493526,0
5.983507320,1
6.083494362,0
6.083506938,1
6.183493302,0
6.183506590,1
6.283493320,0
6.283506210,1
6.383493620,0
6.383505886,1
6.483491744,0
6.483505504,1
6.583492300,0
6.583505132,1
6.683492142,0
6.683504776,1
6.783490674,0
6.783504426,1
6.883491262,0
6.883504078,1
6.983490992,0
6.983503714,1
7.083489988,0
7.083503332,1
7.183490128,0
7.183502976,1
7.283489970,0
7.283502636,1
7.383488798,0
7.383502262,1
7.483489088,0
7.483501922,1
7.583488818,0
7.583501556,1
7.683487878,0
7.683501198,1
7.783488024,0
7.783500840,1
7.883487866,0
7.883500476,1
7.983486822,0
7.983500230,1
8.083487424,0
8.083499744,1
8.183486538,0
8.183499412,1
8.283485246,0
8.283499038,1
8.383486152,0
8.383498698,1
8.483485698,0
8.483498300,1
8.583484374,0
8.583497934,1
8.683484824,0
8.683497608,1
8.783484578,0
8.783497362,1
8.883483132,0
8.883496900,1
8.983483838,0
8.983496512,1
9.083483736,0
9.083496194,1
9.183482442,0
9.183495812,1
9.283482572,0
9.283495462,1
9.383483246,0
9.383495096,1
9.483481128,0
9.483494746,1
9.583481714,0
9.583494378,1
9.683480452,0
9.683494028,1
9.783480292,0
9.783493670,1
9.883480502,0
9.883493344,1
9.983480304,0
9.983492954,1
10.083478946,0
10.083492626,1
10.183479434,0
10.183492260,1
10.283479340,0
10.283491902,1
10.383478070,0
10.383491774,1
10.483478366,0
10.483491176,1
10.583477944,0
10.583490840,1
10.683477144,0
10.683490466,1
10.783477338,0
10.783490132,1
10.883477084,0
10.883489892,1
10.983476004,0
10.983489414,1
11.083476884,0
11.083489062,1
11.183476022,0
11.183488712,1
11.283475382,0
11.283488344,1
11.383475584,0
11.383488016,1
11.483475032,0
11.483487666,1
11.583473562,0
11.583487314,1
11.683474186,0
11.683486964,1
11.783474330,0
11.783486588,1
11.883472940,0
11.883486252,1
11.983472996,0
11.983485870,1
12.083473078,0
12.083485526,1
12.183471446,0
12.183485198,1
12.283471966,0
12.283484824,1
12.383472224,0
12.383484480,1
12.483470816,0
12.483484112,1
12.583471080,0
12.583483786,1
12.683470736,0
12.683483434,1
12.783470002,0
12.783483050,1
12.883469938,0
12.883482738,1
12.983468954,0
12.983482394,1
13.083469610,0
13.083482018,1
13.183468466,0
13.183481682,1
13.283468522,0
13.283481458,1
13.383468986,0
13.383480970,1
13.483466906,0
13.483480602,1
13.583467442,0
13.583480274,1
13.683467248,0
13.683479906,1
13.783466648,0
13.783479570,1
13.883465504,0
13.883479202,1
13.983466144,0
13.983478880,1
14.083465920,0
14.083478504,1
14.183464864,0
14.183478176,1
14.283464974,0
14.283477840,1
14.383464454,0
14.383477608,1
14.483463638,0
14.483477128,1
14.583463974,0
14.583476792,1
14.683463966,0
14.683476422,1
14.783462878,0
14.783476086,1
14.883463062,0
14.883475734,1
14.983462796,0
14.983475390,1
15.083461716,0
15.083475030,1
15.183462004,0
15.183474708,1
15.283461684,0
15.283474356,1
15.383460978,0
15.383474012,1
15.483460778,0
15.483473674,1
15.583460616,0
15.583473298,1
15.683459648,0
15.683472944,1
15.783459846,0
15.783472600,1
15.883459502,0
15.883472262,1
15.983458172,0
15.983471918,1
16.083457962,0
16.083471572,1
16.183458498,0
16.183471218,1
16.283457176,0
16.283470866,1
16.383458038,0
16.383470768,1
16.483457934,0
16.483470190,1
16.583456556,0
16.583469868,1
16.683456730,0
16.683469516,1
16.783456496,0
16.783469178,1
16.883455176,0
16.883468824,1
16.983455990,0
16.983468480,1
17.083455540,0
17.083468134,1
17.183454460,0
17.183467788,1
17.283454650,0
17.283467442,1
17.383454976,0
17.383467082,1
17.483453350,0
17.483466752,1
17.583453574,0
17.583466422,1
17.683452268,0
17.683466062,1
17.783452138,0
17.783465740,1
17.883452570,0
17.883465402,1
17.983452688,0
17.983465056,1
18.083451038,0
18.083464686,1
18.183451540,0
18.183464366,1
18.283451386,0
18.283464004,1
18.383450680,0
18.383463690,1
18.483450640,0
18.483463320,1
18.583450150,0
18.583462982,1
18.683449356,0
18.683462636,1
18.783449290,0
18.783462306,1
18.883449552,0
18.883461976,1
18.983447910,0
18.983461616,1
19.083448636,0
19.083461286,1
19.183448354,0
19.183460956,1
19.283447296,0
19.283460634,1
19.383447846,0
19.383460264,1
19.483447252,0
19.483459950,1
19.583445858,0
19.583459604,1
19.683446360,0
19.683459242,1
19.783446302,0
19.783458936,1
19.883445316,0
19.883458558,1
19.983445458,0
19.983458228,1
20.083444416,0
20.083457882,1
20.183443822,0
20.183457576,1
20.283444500,0
20.283457212,1
20.383444122,0
20.383457122,1
20.483442984,0
20.483456704,1
20.583443414,0
20.583456206,1
20.683443196,0
20.683455860,1
20.783441826,0
20.783455530,1
20.883442390,0
20.883455192,1
20.983442036,0
20.983454878,1
21.083440818,0
21.083454524,1
21.183441400,0
21.183454184,1
21.283441174,0
21.283453862,1
21.383440458,0
21.383453508,1
21.483440424,0
21.483453170,1
21.583440182,0
21.583452840,1
21.683438812,0
21.683452516,1
21.783439488,0
21.783452186,1
21.883439174,0
21.883451822,1
21.983437810,0
21.983451508,1
22.083437496,0
22.083451178,1
22.183438278,0
22.183450830,1
22.283436770,0
22.283450508,1
22.383436856,0
22.383450168,1
22.483436068,0
22.483449814,1
22.583436850,0
22.583449506,1
22.683435694,0
22.683449168,1
22.783436012,0
22.783448828,1
22.883435864,0
22.883448474,1
22.983434468,0
22.983448166,1
23.083435210,0
23.083447850,1
23.183434838,0
23.183447496,1
23.283433404,0
23.283447148,1
23.383434104,0
23.383446810,1
23.483433852,0
23.483446510,1
23.583432858,0
23.583446146,1
23.683433150,0
23.683445832,1
23.783432884,0
23.783445500,1
23.883431488,0
23.883445186,1
23.983432102,0
23.983444822,1
24.083430930,0
24.083444508,1
24.183430440,0
24.183444176,1
24.283431060,0
24.283443846,1
24.383430960,0
24.383443530,1
24.483429510,0
24.483443438,1
24.583430098,0
24.583442850,1
24.683428926,0
24.683442512,1
24.783428588,0
24.783442204,1
24.883428984,0
24.883441866,1
24.983428756,0
24.983441510,1
25.083427754,0
25.083441188,1
25.183427110,0
25.183441328,1
25.283427932,0
25.283440540,1
25.383427168,0
25.383440210,1
25.483427044,0
25.483439894,1
25.583426906,0
25.583439562,1
25.683425414,0
25.683439214,1
25.783426042,0
25.783438900,1
25.883425990,0
25.883438592,1
25.983424466,0
25.983438260,1
26.083424216,0
26.083437896,1
26.183425348,0
26.183437726,1
26.283423760,0
26.283437282,1
26.383423572,0
26.383437182,1
26.483423784,0
26.483436602,1
26.583423380,0
26.583436278,1
26.683422160,0
26.683435946,1
26.783422748,0
26.783435638,1
26.883422720,0
26.883435314,1
26.983421668,0
26.983434982,1
27.083421808,0
27.083434650,1
27.183421620,0
27.183434342,1
27.283420240,0
27.283433986,1
27.383421132,0
27.383433646,1
27.483420744,0
27.483433354,1
27.583419740,0
27.583433030,1
27.683419880,0
27.683432714,1
27.783419764,0
27.783432374,1
27.883418336,0
27.883432040,1
27.983419132,0
27.983431884,1
28.083417952,0
28.083431392,1
28.183417356,0
28.183431060,1
28.283417984,0
28.283430768,1
28.383417978,0
28.383430412,1
28.483416326,0
28.483430120,1
28.583416930,0
28.583429764,1
28.683416870,0
28.683429472,1
28.783415394,0
28.783429132,1
28.883415958,0
28.883428792,1
28.983415754,0
28.983428500,1
29.083414862,0
29.083428152,1
29.183415002,0
29.183427836,1
29.283414854,0
29.283427552,1
29.383414962,0
29.383427212,1
29.483413598,0
29.483426896,1
29.583413794,0
29.583426548,1
29.683413510,0
29.683426248,1
29.783412258,0
29.783425916,1
29.883412766,0
29.883425598,1
29.983412634,0
29.983425282,1
30.083411254,0
30.083424950,1
30.183411802,0
30.183424634,1
30.283411654,0
30.283424310,1
30.383410938,0
30.383423994,1
30.483410190,0
30.483423694,1
30.583410514,0
30.583423354,1
30.683410326,0
30.683423030,1
30.783409042,0
30.783422706,1
30.883409622,0
30.883422414,1
30.983409480,0
30.983422090,1
31.083408468,0
31.083421766,1
31.183408640,0
31.183421442,1
31.283408564,0
31.283421132,1
31.383408296,0
31.383420808,1
31.483406778,0
31.483420476,1
31.583407310,0
31.583420184,1
31.683407258,0
31.683419860,1
31.783405798,0
31.783419534,1
31.883406392,0
31.883419226,1
31.983406116,0
31.983418902,1
32.083405128,0
32.083418608,1
32.183405452,0
32.183418276,1
32.283405358,0
32.283417968,1
32.383405394,0
32.383417628,1
32.483404036,0
32.483417334,1
32.583404112,0
32.583416994,1
32.683404020,0
32.683416708,1
32.783402622,0
32.783416368,1
32.883403154,0
32.883416084,1
32.983403094,0
32.983415734,1
33.083402176,0
33.083415426,1
33.183402308,0
33.183415382,1
33.283401856,0
33.283414832,1
33.383401162,0
33.383414492,1
33.483401366,0
33.483414184,1
33.583401194,0
33.583413890,1
33.683400004,0
33.683413566,1
33.783400464,0
33.783413258,1
33.883400260,0
33.883412908,1
33.983399310,0
33.983412640,1
34.083398594,0
34.083412306,1
34.183399324,0
34.183411974,1
34.283398328,0
34.283411680,1
34.383398330,0
34.383411628,1
34.483398334,0
34.483411038,1
34.583397296,0
34.583410850,1
34.683397716,0
34.683410414,1
34.783397640,0
34.783410104,1
34.883396058,0
34.883409804,1
34.983396830,0
34.983409494,1
35.083396530,0
35.083409178,1
35.183395588,0
35.183408886,1
35.283395726,0
35.283408560,1
35.383396050,0
35.383408274,1
35.483394252,0
35.483407950,1
35.583394816,0
35.583407642,1
35.683394572,0
35.683407308,1
35.783393318,0
35.783407016,1
35.883393874,0
35.883406706,1
35.983393774,0
35.983406382,1
36.083392848,0
36.083406098,1
36.183392938,0
36.183405764,1
36.283392830,0
36.283405486,1
36.383392096,0
36.383405186,1
36.483391956,0
36.483404836,1
36.583391878,0
36.583404536,1
36.683391018,0
36.683404218,1
36.783391276,0
36.783403918,1
36.883389870,0
36.883403616,1
36.983389962,0
36.983403290,1
37.083390188,0
37.083403022,1
37.183389960,0
37.183402696,1
37.283388658,0
37.283402404,1
37.383389612,0
37.383402078,1
37.483389166,0
37.483401784,1
37.583387706,0
37.583401490,1
37.683388260,0
37.683401182,1
37.783388214,0
37.783400864,1
37.883387130,0
37.883400554,1
37.983387484,0
37.983400252,1
38.083386318,0
38.083399952,1
38.183386328,0
38.183399626,1
38.283386596,0
38.283399332,1
38.383387006,0
38.383399038,1
38.483385472,0
38.483398712,1
38.583386010,0
38.583398428,1
38.683385596,0
38.683398110,1
38.783384094,0
38.783397832,1
38.883384680,0
38.883397514,1
38.983385076,0
38.983397196,1
39.083383206,0
39.083396902,1
39.183383840,0
39.183396576,1
39.283383610,0
39.283396300,1
39.383383452,0
39.383395996,1
39.483383054,0
39.483395694,1
39.583382704,0
39.583395400,1
39.683381714,0
39.683395090,1
39.783381972,0
39.783394766,1
39.883381854,0
39.883394456,1
39.983380912,0
39.983394194,1
40.083380340,0
40.083393860,1
40.183380894,0
40.183393584,1
40.283379568,0
40.283393266,1
40.383380314,0
40.383392996,1
40.483380518,0
40.483392966,1
40.583379728,0
40.583392370,1
40.683378810,0
40.683392052,1
40.783379062,0
40.783391758,1
40.883378816,0
40.883391480,1
40.983377474,0
40.983391292,1
41.083377980,0
41.083390854,1
41.183377990,0
41.183390544,1
41.283376968,0
41.283390266,1
41.383377556,0
41.383389956,1
41.483377102,0
41.483389678,1
41.583375584,0
41.583389376,1
41.683375370,0
41.683389060,1
41.783376108,0
41.783388782,1
41.883374776,0
41.883388480,1
41.983375314,0
41.983388186,1
42.083374516,0
42.083387902,1
42.183373830,0
42.183387584,1
42.283374488,0
42.283387282,1
42.383374604,0
42.383387228,1
42.483373094,0
42.483386678,1
42.583373672,0
42.583386378,1
42.683373466,0
42.683386116,1
42.783372484,0
42.783385814,1
42.883372742,0
42.883385480,1
42.983372584,0
42.983385186,1
43.083371626,0
43.083384924,1
43.183371780,0
43.183384614,1
43.283370630,0
43.283384336,1
43.383370976,0
43.383384018,1
43.483370954,0
43.483383740,1
43.583370636,0
43.583383446,1
43.683369582,0
43.683383136,1
43.783370032,0
43.783382842,1
43.883369882,0
43.883382532,1
43.983368948,0
43.983382238,1
44.083368502,0
44.083381934,1
44.183368936,0
44.183381672,1
44.283367594,0
44.283381386,1
44.383374996,0
44.383381292,1
44.483368276,0
44.483380782,1
44.583367758,0
44.583380494,1
44.683366440,0
44.683380176,1
44.783367410,0
44.783379890,1
44.883366948,0
44.883379596,1
44.983365532,0
44.983379326,1
45.083366238,0
45.083379024,1
45.183366048,0
45.183378746,1
45.283365138,0
45.283378444,1
45.383365476,0
45.383378132,1
45.483365118,0
45.483377862,1
45.583364342,0
45.583377552,1
45.683363568,0
45.683377258,1
45.783364138,0
45.783376970,1
45.883363330,0
45.883376708,1
45.983363588,0
45.983376422,1
46.083362982,0
46.083376110,1
46.183362080,0
46.183375824,1
46.283362632,0
46.283375554,1
46.383363058,0
46.383375362,1
46.483361170,0
46.483374956,1
46.583361916,0
46.583374660,1
46.683361700,0
46.683374390,1
46.783360430,0
46.783374072,1
46.883361056,0
46.883373800,1
46.983360648,0
46.983373506,1
47.083359490,0
47.083373372,1
47.183360100,0
47.183372932,1
47.283359940,0
47.283372646,1
47.383358982,0
47.383372350,1
47.483359320,0
47.483372048,1
47.583358160,0
47.583371770,1
47.683357778,0
47.683371474,1
47.783358514,0
47.783371316,1
47.883358276,0
47.883370926,1
47.983357318,0
47.983370606,1
48.083357622,0
48.083370312,1
48.183357432,0
48.183370026,1
48.283355986,0
48.283369770,1
48.383357218,0
48.383369452,1
48.483356668,0
48.483369166,1
48.583355614,0
48.583368902,1
48.683356110,0
48.683368624,1
48.783355960,0
48.783368336,1
48.883354704,0
48.883368042,1
48.983354938,0
48.983367770,1
49.083354834,0
49.083367484,1
49.183353452,0
49.183367198,1
49.283354134,0
49.283366886,1
49.383354222,0
49.383366624,1
49.483352584,0
49.483366344,1
49.583353210,0
49.583366050,1
49.683352130,0
49.683365788,1
49.783351796,0
49.783365740,1
49.883352380,0
49.883365214,1
49.983352278,0
49.983365126,1
50.083351342,0
50.083364896,1
50.183351504,0
50.183364360,1
50.283351426,0
50.283364074,1
50.383351386,0
50.383364020,1
50.483351332,0
50.483363484,1
50.583349884,0
50.583363198,1
50.683350094,0
50.683362918,1
50.783350198,0
50.783362784,1
50.883348672,0
50.883362368,1
50.983349368,0
50.983362066,1
51.083349168,0
51.083361818,1
51.183347858,0
51.183361522,1
51.283348322,0
51.283361252,1
51.383349116,0
51.383360956,1
51.483347236,0
51.483360670,1
51.583347566,0
51.583360400,1
51.683347174,0
51.683360112,1
51.783346200,0
51.783359834,1
51.883346722,0
51.883359538,1
51.983346650,0
51.983359300,1
52.083345268,0
52.083359012,1
52.183345908,0
52.183358734,1
52.283345758,0
52.283358446,1
52.383346214,0
52.383358168,1
52.483344552,0
52.483357880,1
52.583344784,0
52.583357594,1
52.683344538,0
52.683357322,1
52.783343810,0
52.783357028,1
52.883343018,0
52.883356756,1
52.983343564,0
52.983356494,1
53.083342460,0
53.083356230,1
53.183343102,0
53.183356102,1
53.283342902,0
53.283355664,1
53.383342854,0
53.383355368,1
53.483342192,0
53.483355112,1
53.583342064,0
53.583354834,1
53.683341082,0
53.683354554,1
53.783341434,0
53.783354260,1
53.883341348,0
53.883353980,1
53.983340492,0
53.983353710,1
54.083340598,0
54.083353438,1
54.183340502,0
54.183353176,1
54.283339072,0
54.283352912,1
54.383339128,0
54.383352626,1
54.483339506,0
54.483352346,1
54.583339354,0
54.583352076,1
54.683338106,0
54.683351764,1
54.783338764,0
54.783351516,1
54.883338548,0
54.883351222,1
54.983337652,0
54.983350974,1
55.083337918,0
55.083350694,1
55.183337702,0
55.183350406,1
55.283336694,0
55.283350128,1
55.383337414,0
55.383349888,1
55.483336912,0
55.483349608,1
55.583336016,0
55.583349336,1
55.683336256,0
55.683349066,1
55.783336026,0
55.783349034,1
55.883335338,0
55.883348490,1
55.983335402,0
55.983348244,1
56.083334196,0
56.083347980,1
56.183334372,0
56.183347670,1
56.283334172,0
56.283347406,1
56.383334606,0
56.383347150,1
56.483334230,0
56.483346872,1
56.583332872,0
56.583346616,1
56.683332496,0
56.683346320,1
56.783333376,0
56.783346056,1
56.883332104,0
56.883345802,1
56.983332712,0
56.983345514,1
57.083332578,0
57.083345250,1
57.183331650,0
57.183344962,1
57.283331786,0
57.283344722,1
57.383332778,0
57.383344444,1
57.483331426,0
57.483344140,1
57.583330074,0
57.583343884,1
57.683330724,0
57.683343612,1
57.783330820,0
57.783343356,1
57.883329820,0
57.883343094,1
57.983329998,0
57.983343078,1
58.083329870,0
58.083342574,1
58.183328526,0
58.183342270,1
58.283329134,0
58.283342016,1
58.383329334,0
58.383341752,1
58.483328198,0
58.483341456,1
58.583328326,0
58.583341224,1
58.683328558,0
58.683340936,1
58.783326936,0
58.783340672,1
58.883327552,0
58.883340416,1
58.983327464,0
58.983340128,1
59.083326542,0
59.083339864,1
59.183326872,0
59.183339608,1
59.283326670,0
59.283339352,1
59.383326670,0
59.383339064,1
59.483325982,0
59.483338816,1
59.583325838,0
59.583338536,1
59.683325086,0
59.683338280,1
59.783325262,0
59.783338000,1
59.883325070,0
59.883337760,1
59.983324150,0
59.983337480,1
60.083324422,0
60.083337208,1
60.183323254,0
60.183336960,1
60.283322854,0
60.283336696,1
60.383323950,0
60.383336624,1
60.483323456,0
60.483336152,1
60.583322544,0
60.583335880,1
60.683322824,0
60.683335616,1
60.783323248,0
60.783335352,1
60.883321312,0
60.883335096,1
60.983322120,0
60.983334824,1
61.083321912,0
61.083334560,1
61.183320584,0
61.183334328,1
61.283321152,0
61.283334040,1
61.383321408,0
61.383333792,1
61.483319720,0
61.483333514,1
61.583320448,0
61.583333242,1
61.683320352,0
61.683333002,1
61.783319144,0
61.783332706,1
61.883319690,0
61.883332474,1
61.983319538,0
61.983332226,1
62.083319506,0
62.083331938,1
62.183318338,0
62.183331684,1
62.283318666,0
62.283331436,1
62.383318770,0
62.383331154,1
62.483317738,0
62.483330892,1
62.583317810,0
62.583330644,1
62.683317618,0
62.683330364,1
62.783316658,0
62.783330124,1
62.883317042,0
62.883329876,1
62.983317154,0
62.983329578,1
63.083315746,0
63.083329578,1
63.183315282,0
63.183329220,1
63.283315130,0
63.283328828,1
63.383315410,0
63.383328572,1
63.483315450,0
63.483328316,1
63.583315330,0
63.583328068,1
63.683314594,0
63.683327796,1
63.783314730,0
63.783327532,1
63.883314594,0
63.883327252,1
63.983313666,0
63.983327004,1
64.083313866,0
64.083326740,1
64.183313690,0
64.183326508,1
64.283312740,0
64.283326252,1
64.383312748,0
64.383325980,1
64.483312996,0
64.483325726,1
64.583312188,0
64.583325462,1
64.683312310,0
64.683325214,1
64.783312462,0
64.783324942,1
64.883310958,0
64.883324710,1
64.983311926,0
64.983324440,1
65.083311662,0
65.083324192,1
65.183310534,0
65.183323944,1
65.283310902,0
65.283323672,1
65.383311030,0
65.383323408,1
65.483309438,0
65.483323184,1
65.583310070,0
65.583322928,1
65.683308830,0
65.683322664,1
65.783308798,0
65.783322632,1
65.883309310,0
65.883322328,1
65.983309174,0
65.983321888,1
66.083308294,0
66.083321632,1
66.183308462,0
66.183321400,1
66.283308438,0
66.283321128,1
66.383307622,0
66.383321024,1
66.483307830,0
66.483320632,1
66.583307646,0
66.583320368,1
66.683306766,0
66.683320112,1
66.783307102,0
66.783319848,1
66.883306926,0
66.883319632,1
66.983306046,0
66.983319344,1
67.083306262,0
67.083319104,1
67.183305102,0
67.183318848,1
67.283304902,0
67.283318600,1
67.383305726,0
67.383318352,1
67.483305446,0
67.483318096,1
67.583304078,0
67.583317872,1
67.683304766,0
67.683317600,1
67.783304710,0
67.783317344,1
67.883303854,0
67.883317096,1
67.983304126,0
67.983316864,1
68.083303110,0
68.083316584,1
68.183302638,0
68.183316336,1
68.283303246,0
68.283316120,1
68.383303502,0
68.383315838,1
68.483302654,0
68.483315622,1
68.583301924,0
68.583315342,1
68.683302252,0
68.683315086,1
68.783302180,0
68.783315196,1
68.883300908,0
68.883314604,1
