Time [s],Pru11
0.000000000,1
0.020049342,0
0.020062270,1
0.120050338,0
0.120063234,1
0.220050654,0
0.220064190,1
0.320051522,0
0.320065170,1
0.420053254,0
0.420066150,1
0.520053354,0
0.520067090,1
0.620055158,0
0.620068046,1
0.720056240,0
0.720069042,1
0.820056500,0
0.820069990,1
0.920058080,0
0.920070978,1
1.020059116,0
1.020071924,1
1.120059086,0
1.120072920,1
1.220060114,0
1.220073844,1
1.320061278,0
1.320074814,1
1.420062296,0
1.420075786,1
1.520063908,0
1.520076756,1
1.620064894,0
1.620077744,1
1.720065192,0
1.720078698,1
1.820066692,0
1.820079668,1
1.920067774,0
1.920080664,1
2.020068082,0
2.020081610,1
2.120069628,0
2.120082614,1
2.220070758,0
2.220083560,1
2.320070762,0
2.320084762,1
2.420072476,0
2.420085510,1
2.520073638,0
2.520086448,1
2.620073696,0
2.620087434,1
2.720075594,0
2.720088404,1
2.820076548,0
2.820089398,1
2.920076886,0
2.920090368,1
3.020078448,0
3.020091338,1
3.120079426,0
3.120092314,1
3.220079492,0
3.220093276,1
3.320080532,0
3.320094230,1
3.420082294,0
3.420095230,1
3.520082606,0
3.520096304,1
3.620084216,0
3.620097154,1
3.720085234,0
3.720098122,1
3.820085594,0
3.820099124,1
3.920087228,0
3.920100076,1
4.020088132,0
4.020101062,1
4.120088574,0
4.120102022,1
4.220090070,0
4.220103000,1
4.320090614,0
4.320103976,1
4.420091208,0
4.420104944,1
4.520093112,0
4.520105922,1
4.620094024,0
4.620106922,1
4.720094394,0
4.720107890,1
4.820096002,0
4.820108890,1
4.920097010,0
4.920109874,1
5.020097322,0
5.020110804,1
5.120098842,0
5.120111820,1
5.220099890,0
5.220112788,1
5.320100002,0
5.320113748,1
5.420101826,0
5.420114740,1
5.520102850,0
5.520115732,1
5.620103202,0
5.620116684,1
5.720104698,0
5.720117674,1
5.820105826,0
5.820118674,1
5.920106144,0
5.920119642,1
6.020107688,0
6.020120616,1
6.120108614,0
6.120121598,1
6.220109076,0
6.220122558,1
6.320109532,0
6.320123572,1
6.420111698,0
6.420124546,1
6.520111752,0
6.520125490,1
6.620113622,0
6.620126480,1
6.720114612,0
6.720127454,1
6.820114898,0
6.820128468,1
6.920116496,0
6.920129426,1
7.020117526,0
7.020130416,1
7.120117644,0
7.120131390,1
7.220119450,0
7.220132380,1
7.320119336,0
7.320133378,1
7.420120558,0
7.420134360,1
7.520122356,0
7.520135326,1
7.620123690,0
7.620136330,1
7.720123560,0
7.720137304,1
7.820125412,0
7.820138302,1
