Time [s],Server,Client1,Client2
0.000000000,1,1,1
0.098869082,1,1,0
0.098869934,0,1,0
0.098869988,0,0,0
0.098883274,0,0,1
0.098883286,0,1,1
0.098883296,1,1,1
0.198873054,1,1,0
0.198873144,1,0,0
0.198873316,0,0,0
0.198886732,1,0,0
0.198886752,1,1,0
0.198887040,1,1,1
0.298876124,1,1,0
0.298877016,0,1,0
0.298877212,0,0,0
0.298890134,0,0,1
0.298890172,0,1,1
0.298890186,1,1,1
0.398879766,0,1,1
0.398880282,0,1,0
0.398880504,0,0,0
0.398893586,0,0,1
0.398893590,1,0,1
0.398893616,1,1,1
0.498883510,1,1,0
0.498883676,1,0,0
0.498883994,0,0,0
0.498897000,0,0,1
0.498897028,1,0,1
0.498897084,1,1,1
0.598886454,1,0,1
0.598886756,1,0,0
0.598887048,0,0,0
0.598900438,0,0,1
0.598900496,1,0,1
0.598900512,1,1,1
0.698890068,0,1,1
0.698890258,0,0,1
0.698890426,0,0,0
0.698903914,0,0,1
0.698903926,1,0,1
0.698903962,1,1,1
0.798893702,1,0,1
0.798894170,0,0,1
0.798894342,0,0,0
0.798907336,0,0,1
0.798907338,1,0,1
0.798907382,1,1,1
0.898897120,1,0,1
0.898897286,0,0,1
0.898898196,0,0,0
0.898910748,0,0,1
0.898910776,1,0,1
0.898910802,1,1,1
0.998901140,1,0,1
0.998901412,0,0,1
0.998902256,0,0,0
0.998914202,0,0,1
0.998914316,1,0,1
0.998914516,1,1,1
1.098903758,1,1,0
1.098904168,1,0,0
1.098904576,0,0,0
1.098917662,0,0,1
1.098917664,1,0,1
1.098917688,1,1,1
1.198907114,1,1,0
1.198907602,1,0,0
1.198907700,0,0,0
1.198921126,1,0,0
1.198921148,1,1,0
1.198921356,1,1,1
1.298910518,1,1,0
1.298910536,0,1,0
1.298911918,0,0,0
1.298924520,0,0,1
1.298924598,0,1,1
1.298924690,1,1,1
1.398914388,1,1,0
1.398914482,1,0,0
1.398914494,0,0,0
1.398927956,0,0,1
1.398927966,1,0,1
1.398928010,1,1,1
1.498917832,1,1,0
1.498918012,1,0,0
1.498918330,0,0,0
1.498931400,0,0,1
1.498931402,1,0,1
1.498931460,1,1,1
1.598921158,0,1,1
1.598921388,0,1,0
1.598921648,0,0,0
1.598934838,0,0,1
1.598934854,1,0,1
1.598934904,1,1,1
1.698924434,0,1,1
1.698924690,0,0,1
1.698925128,0,0,0
1.698938266,0,0,1
1.698938290,1,0,1
1.698938298,1,1,1
1.798928300,1,0,1
1.798928428,1,0,0
1.798928430,0,0,0
1.798941694,0,0,1
1.798941718,1,0,1
1.798941758,1,1,1
1.898931720,1,0,1
1.898932016,0,0,1
1.898932152,0,0,0
1.898945146,1,0,0
1.898945154,1,0,1
1.898945192,1,1,1
1.998935284,0,1,1
1.998935426,0,0,1
1.998935540,0,0,0
1.998948564,1,0,0
1.998948574,1,0,1
1.998948636,1,1,1
2.098938168,1,1,0
2.098938326,1,0,0
2.098938808,0,0,0
2.098952016,0,0,1
2.098952040,1,0,1
2.098952070,1,1,1
2.198941476,0,1,1
2.198941556,0,1,0
2.198942776,0,0,0
2.198955428,0,0,1
2.198955476,1,0,1
2.198955488,1,1,1
2.298945582,1,1,0
2.298945646,0,1,0
2.298945890,0,0,0
2.298958888,0,0,1
2.298958896,1,0,1
2.298958906,1,1,1
2.398948866,1,1,0
2.398949028,1,0,0
2.398949098,0,0,0
2.398962346,1,0,0
2.398962382,1,1,0
2.398962442,1,1,1
2.498951942,1,1,0
2.498952094,1,0,0
2.498952612,0,0,0
2.498965742,0,0,1
2.498965766,1,0,1
2.498965784,1,1,1
2.598955312,1,1,0
2.598955368,0,1,0
2.598959544,0,0,0
2.598969176,1,0,0
2.598969202,1,0,1
2.598969242,1,1,1
2.698958964,0,1,1
2.698958978,0,1,0
2.698959156,0,0,0
2.698972612,1,0,0
2.698972636,1,0,1
2.698972652,1,1,1
2.798962518,1,0,1
2.798962534,1,0,0
2.798962790,0,0,0
2.798976086,0,1,1
2.798976094,1,1,1
2.898965782,1,0,1
2.898966088,1,0,0
2.898966440,0,0,0
2.898979490,1,0,0
2.898979512,1,0,1
2.898979536,1,1,1
2.998969652,0,1,1
2.998969986,0,1,0
2.998971096,0,0,0
2.998982948,1,0,1
2.998982984,1,1,1
3.098972314,1,0,1
3.098972638,1,0,0
3.098973686,0,0,0
3.098986374,0,0,1
3.098986398,1,0,1
3.098986410,1,1,1
3.198975744,1,1,0
3.198976178,1,0,0
3.198976416,0,0,0
3.198989784,0,0,1
3.198989826,1,0,1
3.198989844,1,1,1
3.298979970,0,1,1
3.298979978,0,1,0
3.298980324,0,0,0
3.298993228,0,0,1
3.298993244,0,1,1
3.298993412,1,1,1
3.398983188,1,1,0
3.398983262,1,0,0
3.398983286,0,0,0
3.398996670,1,0,0
3.398996702,1,1,0
3.398996830,1,1,1
3.498986254,1,1,0
3.498986854,1,0,0
3.498987472,0,0,0
3.499000112,1,0,1
3.499000126,1,1,1
3.598989872,1,1,0
3.598990026,0,1,0
3.598992894,0,0,0
3.599003530,0,0,1
3.599003570,1,0,1
3.599003592,1,1,1
