Time [s],Server,Client1,Client2
0.000000000,1,1,1
0.006082370,1,1,0
0.006083020,1,0,0
0.006083212,0,0,0
0.006096198,1,0,0
0.006096218,1,0,1
0.006096236,1,1,1
0.106086410,0,1,1
0.106086554,0,1,0
0.106086656,0,0,0
0.106099658,1,0,1
0.106099682,1,1,1
0.206089096,1,1,0
0.206089734,1,0,0
0.206092686,0,0,0
0.206103106,0,0,1
0.206103126,1,0,1
0.206103158,1,1,1
0.306092938,1,0,1
0.306093032,1,0,0
0.306093778,0,0,0
0.306106560,0,0,1
0.306106604,0,1,1
0.306106692,1,1,1
0.406096030,0,1,1
0.406096224,0,1,0
0.406096464,0,0,0
0.406110040,1,0,1
0.406110216,1,1,1
0.506099916,0,1,1
0.506100014,0,1,0
0.506100268,0,0,0
0.506113456,0,0,1
0.506113494,0,1,1
0.506113508,1,1,1
0.606103262,1,1,0
0.606103672,0,1,0
0.606103778,0,0,0
0.606116926,0,0,1
0.606116938,1,1,1
0.706106748,1,1,0
0.706106764,0,1,0
0.706106910,0,0,0
0.706120382,1,0,1
0.706120384,1,1,1
0.806110356,1,1,0
0.806110716,1,0,0
0.806110722,0,0,0
0.806123852,0,0,1
0.806123858,1,0,1
0.806123876,1,1,1
0.906114198,0,1,1
0.906114240,0,0,1
0.906114786,0,0,0
0.906127270,1,0,0
0.906127292,1,0,1
0.906127312,1,1,1
1.006116592,1,1,0
1.006117570,0,1,0
1.006117668,0,0,0
1.006130722,0,0,1
1.006130758,0,1,1
1.006130762,1,1,1
1.106120016,1,1,0
1.106120542,0,1,0
1.106121130,0,0,0
1.106134192,0,0,1
1.106134206,1,0,1
1.106134346,1,1,1
1.206123926,1,0,1
1.206124254,1,0,0
1.206124698,0,0,0
1.206137654,0,0,1
1.206137658,1,0,1
1.206138174,1,1,1
1.306127522,1,0,1
1.306127710,0,0,1
1.306128492,0,0,0
1.306141100,0,0,1
1.306141102,1,0,1
1.306141130,1,1,1
1.406131018,1,1,0
1.406131030,1,0,0
1.406131416,0,0,0
1.406144548,0,0,1
1.406144550,0,1,1
1.406144554,1,1,1
1.506134210,1,0,1
1.506134332,0,0,1
1.506134728,0,0,0
1.506147990,1,0,0
1.506148012,1,1,0
1.506148018,1,1,1
1.606138032,0,1,1
1.606138230,0,0,1
1.606140534,0,0,0
1.606151448,1,0,0
1.606151456,1,0,1
1.606151648,1,1,1
1.706141604,0,1,1
1.706141682,0,0,1
1.706142044,0,0,0
1.706154908,1,0,0
1.706154918,1,0,1
1.706154932,1,1,1
1.806145158,0,1,1
1.806145418,0,1,0
1.806145430,0,0,0
1.806158372,0,0,1
1.806158376,1,0,1
1.806158384,1,1,1
1.906148722,1,0,1
1.906148752,1,0,0
1.906148842,0,0,0
1.906161802,0,1,0
1.906161810,1,1,0
1.906161824,1,1,1
2.006151364,0,1,1
2.006151654,0,1,0
2.006152004,0,0,0
2.006165254,1,0,0
2.006165270,1,1,1
2.106155020,1,1,0
2.106155040,0,1,0
2.106155600,0,0,0
2.106168712,1,0,0
2.106168724,1,0,1
2.106168736,1,1,1
2.206158514,1,1,0
2.206158866,0,1,0
2.206158964,0,0,0
2.206172156,0,1,0
2.206172308,1,1,0
2.206172322,1,1,1
2.306162150,1,0,1
2.306162230,0,0,1
2.306162614,0,0,0
2.306175622,1,1,0
2.306175632,1,1,1
2.406165016,0,1,1
2.406165040,0,0,1
2.406165540,0,0,0
2.406179058,1,0,0
2.406179082,1,1,0
2.406179212,1,1,1
2.506169048,1,1,0
2.506169292,0,1,0
2.506169388,0,0,0
2.506182498,0,0,1
2.506182500,0,1,1
2.506182540,1,1,1
2.606172366,1,1,0
2.606172926,1,0,0
2.606172990,0,0,0
2.606185942,0,1,0
2.606185976,1,1,0
2.606185982,1,1,1
2.706175680,1,0,1
2.706176034,1,0,0
2.706176250,0,0,0
2.706189418,1,0,0
2.706189428,1,0,1
2.706189432,1,1,1
2.806179420,0,1,1
2.806179472,0,1,0
2.806179962,0,0,0
2.806192852,0,1,0
2.806192872,0,1,1
2.806192892,1,1,1
2.906183340,1,1,0
2.906183364,1,0,0
2.906183374,0,0,0
2.906196302,0,1,0
2.906196326,1,1,0
2.906196340,1,1,1
3.006185928,1,1,0
3.006186326,1,0,0
3.006186864,0,0,0
3.006199768,0,1,0
3.006199786,1,1,1
3.106189498,0,1,1
3.106189572,0,1,0
3.106190288,0,0,0
3.106203202,0,1,0
3.106203212,1,1,0
3.106203238,1,1,1
3.206192994,1,0,1
3.206193140,0,0,1
3.206193362,0,0,0
3.206206674,0,0,1
3.206206682,0,1,1
3.206206694,1,1,1
3.306196662,0,1,1
3.306196974,0,1,0
3.306197732,0,0,0
3.306210124,0,1,0
3.306210126,1,1,1
3.406200066,1,1,0
3.406200424,0,1,0
3.406201126,0,0,0
3.406213552,1,0,0
3.406213574,1,1,0
3.406213594,1,1,1
3.506203424,0,1,1
3.506203652,0,1,0
3.506208654,0,0,0
3.506217014,0,0,1
3.506217034,1,0,1
3.506217136,1,1,1
3.606206520,1,0,1
3.606207154,0,0,1
3.606207184,0,0,0
3.606220452,1,0,0
3.606220464,1,1,0
3.606220466,1,1,1
3.706210300,0,1,1
3.706210644,0,1,0
3.706210648,0,0,0
3.706223890,0,1,0
3.706223908,1,1,0
3.706223948,1,1,1
3.806214156,0,1,1
3.806214248,0,1,0
3.806214386,0,0,0
3.806227362,0,1,0
3.806227374,1,1,0
3.806227392,1,1,1
3.906217778,1,0,1
3.906218126,0,0,1
3.906218388,0,0,0
3.906230796,0,1,0
3.906230822,1,1,0
3.906230844,1,1,1
4.006220512,1,1,0
4.006220932,1,0,0
4.006221286,0,0,0
4.006234244,0,1,0
4.006234272,0,1,1
4.006234278,1,1,1
4.106224390,0,1,1
4.106224404,0,1,0
4.106224532,0,0,0
4.106237702,0,1,0
4.106237732,0,1,1
4.106237736,1,1,1
4.206227334,1,1,0
4.206227572,1,0,0
4.206227872,0,0,0
4.206241150,0,1,0
4.206241176,1,1,0
4.206241328,1,1,1
4.306230886,1,0,1
4.306231024,0,0,1
4.306231898,0,0,0
4.306244592,1,0,0
4.306244598,1,1,0
4.306244652,1,1,1
4.406233992,0,1,1
4.406234606,0,0,1
4.406234846,0,0,0
4.406248030,0,1,0
4.406248040,1,1,0
4.406248062,1,1,1
4.506238158,1,0,1
4.506238168,1,0,0
4.506238208,0,0,0
4.506251510,0,1,0
4.506251514,1,1,0
4.506251528,1,1,1
4.606240810,1,1,0
4.606241088,0,1,0
4.606241798,0,0,0
4.606254946,1,0,0
4.606254950,1,1,0
4.606254964,1,1,1
4.706244782,1,0,1
4.706244914,0,0,1
4.706244934,0,0,0
4.706258402,1,0,0
4.706258406,1,1,0
4.706258430,1,1,1
4.806248394,0,1,1
4.806249142,0,0,1
4.806249384,0,0,0
4.806261826,1,0,0
4.806261846,1,1,0
4.806262016,1,1,1
4.906251894,1,0,1
4.906252786,1,0,0
4.906253418,0,0,0
4.906265262,0,1,0
4.906265290,1,1,0
4.906265324,1,1,1
5.006255108,1,1,0
5.006255150,1,0,0
5.006256826,0,0,0
5.006268734,0,1,0
5.006268770,1,1,0
5.006268774,1,1,1
5.106258252,1,0,1
5.106258520,0,0,1
5.106258880,0,0,0
5.106272178,1,0,0
5.106272182,1,1,0
5.106272232,1,1,1
5.206261784,0,1,1
5.206261858,0,1,0
5.206261988,0,0,0
5.206275622,0,1,0
5.206275656,1,1,0
5.206275666,1,1,1
5.306265612,1,0,1
5.306265988,1,0,0
5.306269720,0,0,0
5.306279080,1,0,0
5.306279084,1,1,0
5.306279132,1,1,1
5.406268862,1,1,0
5.406269036,1,0,0
5.406269182,0,0,0
5.406282508,0,1,0
5.406282552,1,1,0
5.406282566,1,1,1
5.506272378,1,0,1
5.506272768,1,0,0
5.506272854,0,0,0
5.506285948,0,1,0
5.506285974,1,1,0
5.506286000,1,1,1
5.606275874,1,0,1
5.606276170,1,0,0
5.606276174,0,0,0
5.606289394,0,1,0
5.606289422,1,1,0
5.606289458,1,1,1
5.706278876,1,1,0
5.706279268,0,1,0
5.706279978,0,0,0
5.706292858,0,1,0
5.706292876,1,1,0
5.706292884,1,1,1
5.806282700,0,1,1
5.806282828,0,1,0
5.806283520,0,0,0
5.806296308,1,0,0
5.806296350,1,0,1
5.806296458,1,1,1
5.906286422,1,1,0
5.906286920,1,0,0
5.906288186,0,0,0
5.906299776,0,0,1
5.906299780,1,0,1
5.906300272,1,1,1
6.006289536,1,1,0
6.006289926,1,0,0
6.006290570,0,0,0
6.006303184,0,1,0
6.006303226,1,1,0
6.006303240,1,1,1
6.106292944,0,1,1
6.106293568,0,1,0
6.106293622,0,0,0
6.106306674,0,0,1
6.106306690,1,0,1
6.106306910,1,1,1
6.206296234,1,1,0
6.206296784,0,1,0
6.206297084,0,0,0
6.206310062,0,1,0
6.206310112,1,1,0
6.206310130,1,1,1
6.306299916,1,0,1
6.306300094,0,0,1
6.306300418,0,0,0
6.306313524,0,1,0
6.306313552,1,1,0
6.306313564,1,1,1
6.406303298,1,0,1
6.406303596,0,0,1
6.406303636,0,0,0
6.406317002,0,1,0
6.406317014,1,1,0
6.406317036,1,1,1
6.506306856,1,0,1
6.506306940,1,0,0
6.506307604,0,0,0
6.506320416,0,1,0
6.506320476,1,1,0
6.506320486,1,1,1
6.606310094,1,1,0
6.606310774,1,0,0
6.606311018,0,0,0
6.606323888,0,1,0
6.606323898,1,1,0
6.606323918,1,1,1
6.706313766,1,1,0
6.706314016,0,1,0
6.706314100,0,0,0
6.706327310,0,1,0
