Time [s],Server,Client1,Client2
0.000000000,1,1,1
0.084387276,0,1,1
0.084387350,0,1,0
0.084387582,0,0,0
0.084400846,1,0,0
0.084400888,1,1,1
0.184390580,1,0,1
0.184390896,0,0,1
0.184391170,0,0,0
0.184404332,0,1,0
0.184404336,1,1,0
0.184404354,1,1,1
0.284394104,1,0,1
0.284394338,0,0,1
0.284394556,0,0,0
0.284407764,1,0,0
0.284407776,1,1,0
0.284407782,1,1,1
0.384397200,1,1,0
0.384397564,1,0,0
0.384398062,0,0,0
0.384411200,0,0,1
0.384411222,1,0,1
0.384411236,1,1,1
0.484400570,1,1,0
0.484400904,1,0,0
0.484401408,0,0,0
0.484414656,1,0,0
0.484414658,1,1,0
0.484414676,1,1,1
0.584404366,1,1,0
0.584404450,0,1,0
0.584404548,0,0,0
0.584418094,0,0,1
0.584418100,1,0,1
0.584418134,1,1,1
0.684408216,1,1,0
0.684408232,1,0,0
0.684408476,0,0,0
0.684421566,1,0,0
0.684421642,1,0,1
0.684421666,1,1,1
0.784411040,0,1,1
0.784411108,0,1,0
0.784411612,0,0,0
0.784425008,1,0,0
0.784425180,1,0,1
0.784425214,1,1,1
0.884415254,1,1,0
0.884415602,0,1,0
0.884415680,0,0,0
0.884428392,0,1,0
0.884428398,0,1,1
0.884428458,1,1,1
0.984418096,1,1,0
0.984418532,1,0,0
0.984418988,0,0,0
0.984431866,0,0,1
0.984431908,1,0,1
0.984432252,1,1,1
1.084421800,1,0,1
1.084421946,1,0,0
1.084422078,0,0,0
1.084435300,0,0,1
1.084435304,0,1,1
1.084435374,1,1,1
1.184425138,1,0,1
1.184425184,0,0,1
1.184425598,0,0,0
1.184438754,0,1,0
1.184438774,0,1,1
1.184438808,1,1,1
1.284428766,1,0,1
1.284429210,0,0,1
1.284429248,0,0,0
1.284442192,0,0,1
1.284442222,0,1,1
1.284442250,1,1,1
1.384432298,0,1,1
1.384432410,0,1,0
1.384432480,0,0,0
1.384445650,0,1,0
1.384445740,1,1,0
1.384445762,1,1,1
1.484435236,1,1,0
1.484435572,1,0,0
1.484436220,0,0,0
1.484449092,0,1,0
1.484449094,0,1,1
1.484449150,1,1,1
1.584438694,1,1,0
1.584438838,1,0,0
1.584439046,0,0,0
1.584452510,0,1,0
1.584452544,0,1,1
1.584452616,1,1,1
1.684442488,0,1,1
1.684442816,0,1,0
1.684444360,0,0,0
1.684455962,0,1,0
1.684456056,1,1,0
1.684456106,1,1,1
1.784445602,1,1,0
1.784445708,1,0,0
1.784446330,0,0,0
1.784459412,0,1,0
1.784459452,0,1,1
1.784459514,1,1,1
1.884449500,1,1,0
1.884450030,1,0,0
1.884450322,0,0,0
1.884462878,0,1,0
1.884462910,0,1,1
1.884462940,1,1,1
1.984452638,1,1,0
1.984452776,1,0,0
1.984453452,0,0,0
1.984466328,0,1,0
1.984466358,0,1,1
1.984466412,1,1,1
2.084456012,0,1,1
2.084456182,0,1,0
2.084456442,0,0,0
2.084469800,0,0,1
2.084469804,0,1,1
2.084469870,1,1,1
2.184459286,0,1,1
2.184459352,0,1,0
2.184459468,0,0,0
2.184473258,0,0,1
2.184473302,1,0,1
2.184473492,1,1,1
2.284463002,1,1,0
2.284463182,1,0,0
2.284463798,0,0,0
2.284476682,0,0,1
2.284476704,0,1,1
2.284476774,1,1,1
2.384466906,1,1,0
2.384466928,1,0,0
2.384475206,0,0,0
2.384480124,0,0,1
2.384480200,0,1,1
2.384480318,1,1,1
2.484469924,1,1,0
2.484470250,1,0,0
2.484470814,0,0,0
2.484483594,0,1,0
2.484483612,0,1,1
2.484483646,1,1,1
2.584473452,1,1,0
2.584473468,1,0,0
2.584473486,0,0,0
2.584487052,0,1,0
2.584487076,0,1,1
2.584487094,1,1,1
2.684477334,0,1,1
2.684477604,0,1,0
2.684478350,0,0,0
2.684490566,1,0,0
2.684490654,1,1,1
2.784480574,1,1,0
2.784480760,1,0,0
2.784481174,0,0,0
2.784494006,1,0,0
2.784494104,1,1,0
2.784494486,1,1,1
2.884484486,1,1,0
2.884484520,1,0,0
2.884484660,0,0,0
2.884497406,0,0,1
2.884497418,0,1,1
2.884497430,1,1,1
2.984486998,1,1,0
2.984488068,0,1,0
2.984488570,0,0,0
2.984500856,0,0,1
2.984500858,0,1,1
2.984501004,1,1,1
3.084490644,0,1,1
3.084490698,0,0,1
3.084490992,0,0,0
3.084504304,0,0,1
3.084504340,1,0,1
3.084504348,1,1,1
3.184494156,1,0,1
3.184494216,1,0,0
3.184494450,0,0,0
3.184507754,0,0,1
3.184507772,0,1,1
3.184507796,1,1,1
3.284497472,1,1,0
